"Target: Potatoe_raster2, Contains DAT files: APB_469447387ESC08110441432_______M1.DAT"
12891.0  ,     506
12915.4  ,     558
12939.9  ,     597
12964.3  ,     625
12988.7  ,     663
13013.1  ,     648
13037.6  ,     729
13062.0  ,     844
13086.4  ,     941
13110.8  ,     980
13135.2  ,    1082
13159.7  ,    1188
13184.1  ,    1365
13208.5  ,    1561
13232.9  ,    1752
13257.4  ,    1906
13281.8  ,    2080
13306.2  ,    2209
13330.6  ,    2442
13355.0  ,    2673
13379.5  ,    2818
13403.9  ,    3013
13428.3  ,    3182
13452.7  ,    3288
13477.2  ,    3423
13501.6  ,    3413
13526.0  ,    3438
13550.4  ,    3535
13574.9  ,    3442
13599.3  ,    3346
13623.7  ,    3097
13648.1  ,    2962
13672.5  ,    2739
13697.0  ,    2553
13721.4  ,    2428
13745.8  ,    2290
13770.2  ,    1982
13794.7  ,    1788
13819.1  ,    1505
13843.5  ,    1446
13867.9  ,    1289
13892.3  ,    1220
13916.8  ,    1160
13941.2  ,    1144
13965.6  ,    1255
13990.0  ,    1335
14014.5  ,    1445
14038.9  ,    1638
14063.3  ,    1842
14087.7  ,    2141
14112.1  ,    2415
14136.6  ,    2881
14161.0  ,    3244
14185.4  ,    3719
14209.8  ,    4147
14234.3  ,    4538
14258.7  ,    4752
14283.1  ,    4645
14307.5  ,    4396
14331.9  ,    3741
14356.4  ,    2994
14380.8  ,    2344
14405.2  ,    1704
14429.6  ,    1143
14454.1  ,     749
14478.5  ,     531
14502.9  ,     429
14527.3  ,     318
14551.8  ,     276
14576.2  ,     255
14600.6  ,     247
14625.0  ,     248
14649.4  ,     239
14673.9  ,     271
14698.3  ,     262
14722.7  ,     289
14747.1  ,     281
14771.6  ,     285
14796.0  ,     309
14820.4  ,     330
14844.8  ,     339
14869.2  ,     375
14893.7  ,     316
14918.1  ,     386
14942.5  ,     367
14966.9  ,     379
14991.4  ,     384
15015.8  ,     408
15040.2  ,     356
15064.6  ,     364
15089.0  ,     323
15113.5  ,     360
15137.9  ,     358
15162.3  ,     415
15186.7  ,     371
15211.2  ,     407
15235.6  ,     421
15260.0  ,     441
15284.4  ,     469
15308.8  ,     472
15333.3  ,     465
15357.7  ,     500
15382.1  ,     555
15406.5  ,     576
15431.0  ,     622
15455.4  ,     698
15479.8  ,     816
