"Target: Et_Then, Contains DAT files: APA_405536150ESC00910050104_______M2.DAT"
13081.5  ,      41
13106.0  ,      47
13130.4  ,      42
13154.8  ,      71
13179.2  ,      53
13203.6  ,      79
13228.0  ,      59
13252.4  ,      84
13276.8  ,      96
13301.2  ,      85
13325.6  ,      89
13350.1  ,      99
13374.5  ,      89
13398.9  ,     106
13423.3  ,      99
13447.7  ,      93
13472.1  ,     134
13496.5  ,     113
13520.9  ,     111
13545.3  ,     117
13569.7  ,      95
13594.2  ,     120
13618.6  ,     108
13643.0  ,     102
13667.4  ,     108
13691.8  ,      78
13716.2  ,      84
13740.6  ,      77
13765.0  ,      69
13789.4  ,      60
13813.9  ,      66
13838.3  ,      46
13862.7  ,      62
13887.1  ,      55
13911.5  ,      66
13935.9  ,      55
13960.3  ,      41
13984.7  ,      48
14009.1  ,      64
14033.5  ,      76
14058.0  ,      77
14082.4  ,      99
14106.8  ,     127
14131.2  ,     108
14155.6  ,     146
14180.0  ,     118
14204.4  ,     169
14228.8  ,     188
14253.2  ,     189
14277.6  ,     200
14302.1  ,     173
14326.5  ,     145
14350.9  ,     114
14375.3  ,     108
14399.7  ,      86
14424.1  ,      79
14448.5  ,      57
14472.9  ,      47
14497.3  ,      38
14521.7  ,      32
14546.2  ,      31
14570.6  ,      28
14595.0  ,      34
14619.4  ,      35
14643.8  ,      27
14668.2  ,      21
14692.6  ,      30
14717.0  ,      29
14741.4  ,      28
14765.8  ,      33
14790.3  ,      39
14814.7  ,      43
14839.1  ,      36
14863.5  ,      40
14887.9  ,      41
14912.3  ,      40
14936.7  ,      47
14961.1  ,      43
14985.5  ,      39
15009.9  ,      42
15034.4  ,      53
15058.8  ,      28
15083.2  ,      38
15107.6  ,      40
15132.0  ,      45
15156.4  ,      42
15180.8  ,      36
15205.2  ,      33
15229.6  ,      27
15254.1  ,      44
15278.5  ,      45
15302.9  ,      49
15327.3  ,      39
15351.7  ,      50
15376.1  ,      47
15400.5  ,      49
15424.9  ,      51
15449.3  ,      72
15473.7  ,      93
15498.2  ,     134
15522.6  ,     197
15547.0  ,     282
15571.4  ,     387
15595.8  ,     539
15620.2  ,     744
15644.6  ,     966
15669.0  ,    1202
15693.4  ,    1405
15717.8  ,    1556
15742.3  ,    1502
15766.7  ,    1486
15791.1  ,    1355
15815.5  ,    1195
15839.9  ,     972
15864.3  ,     731
15888.7  ,     599
15913.1  ,     381
15937.5  ,     244
15961.9  ,     158
15986.4  ,     125
16010.8  ,      94
16035.2  ,      68
16059.6  ,      64
16084.0  ,      72
16108.4  ,      69
16132.8  ,      55
16157.2  ,      69
16181.6  ,      56
16206.0  ,      56
16230.5  ,      50
16254.9  ,      71
16279.3  ,      59
16303.7  ,      55
16328.1  ,      71
16352.5  ,      58
16376.9  ,      53
16401.3  ,      57
16425.7  ,      70
16450.1  ,      52
16474.6  ,      72
16499.0  ,      49
16523.4  ,      55
16547.8  ,      62
16572.2  ,      61
16596.6  ,      94
16621.0  ,      54
16645.4  ,      69
16669.8  ,      73
16694.3  ,      70
16718.7  ,      79
16743.1  ,      74
16767.5  ,      79
16791.9  ,      92
16816.3  ,      86
16840.7  ,     102
16865.1  ,      99
16889.5  ,     101
16913.9  ,      93
16938.4  ,      80
16962.8  ,     122
16987.2  ,     106
17011.6  ,     122
17036.0  ,     107
17060.4  ,     107
17084.8  ,     117
17109.2  ,     126
17133.6  ,     137
17158.0  ,     136
17182.5  ,     131
17206.9  ,     138
17231.3  ,     141
17255.7  ,     143
17280.1  ,     113
17304.5  ,     126
17328.9  ,      97
17353.3  ,      95
17377.7  ,      87
17402.1  ,      90
17426.6  ,      97
17451.0  ,      89
17475.4  ,      86
17499.8  ,     135
17524.2  ,     158
17548.6  ,     173
17573.0  ,     243
17597.4  ,     265
17621.8  ,     340
17646.2  ,     298
17670.7  ,     301
17695.1  ,     324
17719.5  ,     281
17743.9  ,     230
17768.3  ,     183
17792.7  ,     144
17817.1  ,     133
17841.5  ,      95
17865.9  ,      83
17890.3  ,      90
17914.8  ,      62
17939.2  ,      74
17963.6  ,      91
17988.0  ,      65
18012.4  ,      66
18036.8  ,      67
18061.2  ,      64
18085.6  ,      58
18110.0  ,      65
18134.4  ,      63
18158.9  ,      81
18183.3  ,     114
18207.7  ,     112
18232.1  ,     128
18256.5  ,     116
18280.9  ,     133
18305.3  ,     123
18329.7  ,     129
18354.1  ,     122
18378.6  ,     103
18403.0  ,      87
18427.4  ,      73
18451.8  ,      50
18476.2  ,      43
18500.6  ,      39
18525.0  ,      28
18549.4  ,      23
18573.8  ,      31
18598.2  ,      19
18622.7  ,      23
18647.1  ,      24
18671.5  ,      29
18695.9  ,      21
18720.3  ,      19
18744.7  ,      16
18769.1  ,      17
18793.5  ,      24
18817.9  ,      26
18842.3  ,      22
18866.8  ,      22
18891.2  ,      23
18915.6  ,      27
18940.0  ,      26
18964.4  ,      16
18988.8  ,      20
19013.2  ,      22
19037.6  ,      24
19062.0  ,      26
19086.4  ,      31
19110.9  ,      33
19135.3  ,      27
19159.7  ,      28
19184.1  ,      18
19208.5  ,      22
19232.9  ,      27
19257.3  ,      25
19281.7  ,      39
19306.1  ,      28
19330.5  ,      24
19355.0  ,      27
19379.4  ,      26
19403.8  ,      19
19428.2  ,      35
19452.6  ,      29
19477.0  ,      33
19501.4  ,      23
19525.8  ,      29
19550.2  ,      44
19574.6  ,      41
19599.1  ,      39
19623.5  ,      42
19647.9  ,      35
19672.3  ,      33
19696.7  ,      43
19721.1  ,      43
19745.5  ,      42
19769.9  ,      42
19794.3  ,      40
19818.8  ,      47
19843.2  ,      42
19867.6  ,      50
19892.0  ,      29
19916.4  ,      25
19940.8  ,      38
19965.2  ,      30
19989.6  ,      37
20014.0  ,      35
20038.4  ,      46
20062.9  ,      44
20087.3  ,      33
20111.7  ,      42
20136.1  ,      38
20160.5  ,      26
20184.9  ,      32
20209.3  ,      34
20233.7  ,      25
20258.1  ,      40
20282.5  ,      30
20307.0  ,      23
20331.4  ,      23
20355.8  ,      33
20380.2  ,      26
20404.6  ,      25
20429.0  ,      23
20453.4  ,      31
20477.8  ,      25
20502.2  ,      24
20526.6  ,      18
20551.1  ,      27
20575.5  ,      20
20599.9  ,      34
20624.3  ,      21
20648.7  ,      21
20673.1  ,      20
20697.5  ,      23
20721.9  ,      27
20746.3  ,      18
20770.7  ,      19
20795.2  ,      19
20819.6  ,      12
20844.0  ,      29
20868.4  ,      24
20892.8  ,      32
20917.2  ,      21
20941.6  ,      23
20966.0  ,      17
20990.4  ,      28
21014.8  ,      24
21039.3  ,      20
21063.7  ,      20
21088.1  ,      21
21112.5  ,      19
21136.9  ,      16
21161.3  ,      24
21185.7  ,      22
21210.1  ,      19
21234.5  ,      23
21259.0  ,      23
21283.4  ,      30
21307.8  ,      27
21332.2  ,      38
21356.6  ,      30
21381.0  ,      48
21405.4  ,      35
21429.8  ,      58
21454.2  ,      43
21478.6  ,      31
21503.1  ,      35
21527.5  ,      25
21551.9  ,      35
21576.3  ,      25
21600.7  ,      33
21625.1  ,      18
21649.5  ,      18
21673.9  ,      24
21698.3  ,      12
21722.7  ,      19
21747.2  ,      25
21771.6  ,       9
21796.0  ,      21
21820.4  ,      17
21844.8  ,      17
21869.2  ,      22
21893.6  ,      18
21918.0  ,      16
21942.4  ,      18
21966.8  ,      16
21991.3  ,      30
22015.7  ,      20
22040.1  ,      17
22064.5  ,      26
22088.9  ,      23
22113.3  ,      32
22137.7  ,      19
22162.1  ,      14
22186.5  ,      21
22210.9  ,      22
22235.4  ,      20
22259.8  ,      16
22284.2  ,      11
22308.6  ,      24
22333.0  ,      14
22357.4  ,      21
22381.8  ,      19
22406.2  ,      13
22430.6  ,      16
22455.0  ,      21
22479.5  ,      11
22503.9  ,      21
22528.3  ,      18
22552.7  ,      14
22577.1  ,      24
22601.5  ,      20
22625.9  ,      18
22650.3  ,      19
22674.7  ,      13
22699.2  ,      22
22723.6  ,      18
22748.0  ,      22
22772.4  ,      19
22796.8  ,      14
22821.2  ,      16
22845.6  ,      20
22870.0  ,      19
22894.4  ,      13
22918.8  ,      18
22943.3  ,      13
22967.7  ,      20
22992.1  ,      20
23016.5  ,      21
23040.9  ,      14
23065.3  ,      15
23089.7  ,      14
23114.1  ,      18
23138.5  ,      14
23162.9  ,      21
23187.4  ,      13
23211.8  ,      15
23236.2  ,      24
23260.6  ,      14
23285.0  ,      12
23309.4  ,      15
23333.8  ,      17
23358.2  ,      28
23382.6  ,      15
23407.0  ,      21
23431.5  ,      20
23455.9  ,      18
23480.3  ,      15
23504.7  ,      14
23529.1  ,      24
23553.5  ,      19
23577.9  ,       7
23602.3  ,      13
23626.7  ,      16
23651.1  ,      14
23675.6  ,      22
23700.0  ,      20
23724.4  ,      11
23748.8  ,      17
23773.2  ,      24
23797.6  ,      15
23822.0  ,      16
23846.4  ,      20
23870.8  ,      21
23895.2  ,      18
23919.7  ,      14
23944.1  ,      20
23968.5  ,      19
23992.9  ,      18
24017.3  ,      17
