"Target: Askival_raster3, Contains DAT files: APB_576668225ESC20180691648_______M1.DAT"
13154.9  ,      64
13179.4  ,      72
13203.8  ,      82
13228.2  ,      86
13252.6  ,     103
13277.0  ,     116
13301.4  ,     106
13325.8  ,     109
13350.3  ,     104
13374.7  ,     144
13399.1  ,     140
13423.5  ,     139
13447.9  ,     178
13472.3  ,     171
13496.7  ,     186
13521.2  ,     175
13545.6  ,     198
13570.0  ,     189
13594.4  ,     177
13618.8  ,     176
13643.2  ,     161
13667.6  ,     146
13692.0  ,     141
13716.5  ,     110
13740.9  ,     118
13765.3  ,      93
13789.7  ,      89
13814.1  ,      73
13838.5  ,      51
13862.9  ,      64
13887.4  ,      61
13911.8  ,      58
13936.2  ,      69
13960.6  ,      47
13985.0  ,      62
14009.4  ,      51
14033.8  ,      64
14058.2  ,      71
14082.7  ,     104
14107.1  ,     113
14131.5  ,     133
14155.9  ,     137
14180.3  ,     160
14204.7  ,     190
14229.1  ,     206
14253.6  ,     209
14278.0  ,     202
14302.4  ,     196
14326.8  ,     156
14351.2  ,     132
14375.6  ,     117
14400.0  ,      85
14424.4  ,      42
14448.9  ,      31
14473.3  ,      32
14497.7  ,      17
14522.1  ,      15
14546.5  ,      19
14570.9  ,      19
14595.3  ,       7
14619.8  ,      17
14644.2  ,       6
14668.6  ,      11
14693.0  ,       5
14717.4  ,      11
14741.8  ,      11
14766.2  ,       7
14790.6  ,       7
14815.1  ,      11
14839.5  ,      18
14863.9  ,      13
14888.3  ,      15
14912.7  ,      27
14937.1  ,      16
14961.5  ,      16
14986.0  ,      17
15010.4  ,      22
15034.8  ,      16
15059.2  ,      14
15083.6  ,      18
15108.0  ,      16
15132.4  ,      20
15156.8  ,      21
15181.3  ,      18
15205.7  ,      30
15230.1  ,      17
15254.5  ,      23
15278.9  ,      20
15303.3  ,      28
15327.7  ,      30
15352.2  ,      28
15376.6  ,      27
15401.0  ,      29
15425.4  ,      22
15449.8  ,      23
15474.2  ,      41
15498.6  ,      50
15523.0  ,      52
15547.5  ,      58
15571.9  ,      88
15596.3  ,      99
15620.7  ,     107
15645.1  ,     177
15669.5  ,     174
15693.9  ,     192
15718.4  ,     225
15742.8  ,     219
15767.2  ,     208
15791.6  ,     201
15816.0  ,     187
15840.4  ,     160
15864.8  ,     139
15889.2  ,     102
15913.7  ,      84
15938.1  ,      80
15962.5  ,      71
15986.9  ,      68
16011.3  ,      72
16035.7  ,      68
16060.1  ,      62
16084.6  ,      66
16109.0  ,      47
16133.4  ,      58
16157.8  ,      70
16182.2  ,      63
16206.6  ,      89
16231.0  ,      79
16255.5  ,      87
16279.9  ,      68
16304.3  ,      74
16328.7  ,      89
16353.1  ,      78
16377.5  ,      73
16401.9  ,      85
16426.3  ,      72
16450.8  ,      79
16475.2  ,     100
16499.6  ,      67
16524.0  ,      89
16548.4  ,      85
16572.8  ,      75
16597.2  ,      87
16621.7  ,      80
16646.1  ,      85
16670.5  ,      96
16694.9  ,     120
16719.3  ,     111
16743.7  ,     122
16768.1  ,     139
16792.5  ,     133
16817.0  ,     136
16841.4  ,     128
16865.8  ,     154
16890.2  ,     153
16914.6  ,     169
16939.0  ,     189
16963.4  ,     197
16987.9  ,     208
17012.3  ,     180
17036.7  ,     220
17061.1  ,     203
17085.5  ,     239
17109.9  ,     231
17134.3  ,     230
17158.7  ,     247
17183.2  ,     209
17207.6  ,     232
17232.0  ,     231
17256.4  ,     208
17280.8  ,     185
17305.2  ,     189
17329.6  ,     189
17354.1  ,     155
17378.5  ,     149
17402.9  ,     128
17427.3  ,     124
17451.7  ,      96
17476.1  ,     100
17500.5  ,      91
17524.9  ,     100
17549.4  ,      85
17573.8  ,      88
17598.2  ,      81
17622.6  ,      89
17647.0  ,      85
17671.4  ,      62
17695.8  ,      73
17720.3  ,      69
17744.7  ,      66
17769.1  ,      61
17793.5  ,      50
17817.9  ,      33
17842.3  ,      25
17866.7  ,      41
17891.1  ,      37
17915.6  ,      30
17940.0  ,      33
17964.4  ,      32
17988.8  ,      31
18013.2  ,      45
18037.6  ,      32
18062.0  ,      30
18086.5  ,      48
18110.9  ,      65
18135.3  ,      69
18159.7  ,      78
18184.1  ,      98
18208.5  ,     102
18232.9  ,     125
18257.3  ,     123
18281.8  ,     123
18306.2  ,     127
18330.6  ,     131
18355.0  ,     130
18379.4  ,      81
18403.8  ,      64
18428.2  ,      63
18452.7  ,      45
18477.1  ,      36
18501.5  ,      25
18525.9  ,      20
18550.3  ,      15
18574.7  ,       7
18599.1  ,      13
18623.5  ,      11
18648.0  ,       8
18672.4  ,       7
18696.8  ,       4
18721.2  ,       7
18745.6  ,      11
18770.0  ,      13
18794.4  ,      13
18818.9  ,      17
18843.3  ,       6
18867.7  ,       6
18892.1  ,      12
18916.5  ,      17
18940.9  ,       7
18965.3  ,      17
18989.8  ,      13
19014.2  ,      18
19038.6  ,      10
19063.0  ,      20
19087.4  ,      16
19111.8  ,      15
19136.2  ,      16
19160.6  ,      21
19185.1  ,      26
19209.5  ,      17
19233.9  ,      22
19258.3  ,      25
19282.7  ,      19
19307.1  ,      17
19331.5  ,      28
19356.0  ,      15
19380.4  ,      38
19404.8  ,      26
