"Target: Hopeman_raster1, Contains DAT files: APB_576661505ESC20180691648_______M1.DAT"
20759.8  ,      19
20784.2  ,      10
20808.6  ,      17
20833.0  ,      13
20857.4  ,      12
20881.8  ,      11
20906.2  ,      12
20930.6  ,      11
20955.0  ,      10
20979.4  ,      13
21003.8  ,      10
21028.2  ,       5
21052.6  ,      12
21077.0  ,       7
21101.4  ,      11
21125.8  ,       4
21150.2  ,       6
21174.6  ,       9
21199.0  ,      10
21223.4  ,      14
21247.8  ,      18
21272.2  ,      26
21296.6  ,      21
21321.0  ,      29
21345.4  ,      40
21369.8  ,      31
21394.2  ,      25
21418.6  ,      39
21443.0  ,      23
21467.4  ,      31
21491.8  ,      20
21516.2  ,      16
21540.6  ,      19
21565.0  ,      14
21589.4  ,      13
21613.8  ,      11
21638.2  ,       8
21662.6  ,       5
21687.0  ,       5
21711.4  ,       7
21735.8  ,       3
21760.2  ,       6
21784.6  ,       5
21809.0  ,       2
21833.4  ,       8
21857.8  ,       4
21882.2  ,       8
21906.6  ,       5
21931.0  ,       7
21955.4  ,       8
21979.8  ,       8
22004.2  ,       2
22028.6  ,       7
22053.0  ,       5
22077.4  ,       9
22101.8  ,       7
22126.2  ,       8
22150.6  ,      10
22175.0  ,       7
22199.4  ,       5
22223.8  ,      10
22248.2  ,       3
22272.6  ,       8
22297.0  ,       6
22321.4  ,       5
22345.9  ,       3
22370.3  ,       7
22394.7  ,       2
22419.1  ,       4
22443.5  ,       6
22467.9  ,       4
22492.3  ,       2
22516.7  ,       2
22541.1  ,       5
22565.5  ,       6
22589.9  ,       3
22614.3  ,       6
22638.7  ,       1
22663.1  ,       4
22687.5  ,       1
22711.9  ,       7
22736.3  ,       2
22760.7  ,       4
22785.1  ,       5
22809.5  ,       3
22833.9  ,       6
22858.3  ,       4
22882.7  ,       3
22907.1  ,      10
22931.5  ,       5
22955.9  ,       2
22980.3  ,       3
23004.7  ,       3
23029.1  ,       5
23053.5  ,       1
23077.9  ,       4
23102.3  ,       5
23126.7  ,       0
23151.1  ,       5
23175.5  ,       5
23199.9  ,       1
23224.3  ,       2
23248.7  ,       5
