"Target: Haroldswick_Raster4, Contains DAT files: APB_568049766ESC19210671762_______M1.DAT"
15357.7  ,      19
15382.1  ,      21
15406.5  ,      19
15430.9  ,      27
15455.2  ,      31
15479.6  ,      35
15504.0  ,      45
15528.4  ,      60
15552.8  ,      72
15577.2  ,      95
15601.5  ,     112
15625.9  ,     150
15650.3  ,     196
15674.7  ,     215
15699.1  ,     199
15723.5  ,     230
15747.8  ,     262
15772.2  ,     241
15796.6  ,     181
15821.0  ,     213
15845.4  ,     163
15869.8  ,     129
15894.1  ,     107
15918.5  ,      97
15942.9  ,      77
15967.3  ,      71
15991.7  ,      58
16016.1  ,      44
16040.4  ,      47
16064.8  ,      56
16089.2  ,      51
16113.6  ,      55
16138.0  ,      65
16162.4  ,      48
16186.8  ,      65
16211.1  ,      60
16235.5  ,      63
16259.9  ,      59
16284.3  ,      49
16308.7  ,      68
16333.1  ,      82
16357.4  ,      64
16381.8  ,      76
16406.2  ,      54
16430.6  ,      63
16455.0  ,      75
16479.4  ,      71
16503.7  ,      54
16528.1  ,      50
16552.5  ,      64
16576.9  ,      69
16601.3  ,      73
16625.7  ,      85
16650.0  ,      70
16674.4  ,      70
16698.8  ,      76
16723.2  ,      98
16747.6  ,      89
16772.0  ,      94
16796.3  ,     114
16820.7  ,     114
16845.1  ,     114
16869.5  ,     104
16893.9  ,     105
16918.3  ,     132
16942.6  ,     128
16967.0  ,     144
16991.4  ,     140
17015.8  ,     147
17040.2  ,     153
17064.6  ,     138
17088.9  ,     160
17113.3  ,     176
17137.7  ,     155
17162.1  ,     181
17186.5  ,     180
17210.9  ,     192
17235.3  ,     163
17259.6  ,     134
17284.0  ,     135
17308.4  ,     143
17332.8  ,     129
17357.2  ,     116
17381.6  ,      98
17405.9  ,      94
17430.3  ,      66
17454.7  ,      72
17479.1  ,      86
17503.5  ,      81
17527.9  ,      79
17552.2  ,      73
17576.6  ,      57
17601.0  ,      79
17625.4  ,      87
17649.8  ,      79
17674.2  ,      71
17698.5  ,      70
17722.9  ,      41
17747.3  ,      61
17771.7  ,      54
17796.1  ,      44
17820.5  ,      39
17844.8  ,      38
17869.2  ,      33
17893.6  ,      34
17918.0  ,      30
17942.4  ,      34
17966.8  ,      36
17991.1  ,      27
18015.5  ,      27
18039.9  ,      33
18064.3  ,      25
18088.7  ,      32
18113.1  ,      46
18137.5  ,      70
18161.8  ,      65
18186.2  ,      94
18210.6  ,      97
18235.0  ,     132
18259.4  ,     137
18283.8  ,     149
18308.1  ,     141
18332.5  ,     128
18356.9  ,     128
18381.3  ,      84
18405.7  ,      70
18430.1  ,      45
18454.4  ,      48
18478.8  ,      46
18503.2  ,      31
18527.6  ,      12
18552.0  ,      12
18576.4  ,      10
18600.7  ,       6
18625.1  ,       6
18649.5  ,       6
18673.9  ,       3
18698.3  ,       7
18722.7  ,      13
18747.0  ,      12
18771.4  ,       9
18795.8  ,      10
18820.2  ,       9
18844.6  ,      13
18869.0  ,       9
18893.3  ,       7
18917.7  ,       5
18942.1  ,       6
18966.5  ,      14
18990.9  ,       8
19015.3  ,       6
19039.7  ,      10
19064.0  ,      11
19088.4  ,      19
19112.8  ,      16
19137.2  ,      13
19161.6  ,      15
19186.0  ,      12
19210.3  ,      13
19234.7  ,      15
19259.1  ,      17
19283.5  ,      17
19307.9  ,      16
