"Target: Tursac, Contains DAT files: APB_670558295ESC30760871078_______M1.DAT"
10429.5  ,      10
10453.9  ,       9
10478.2  ,       6
10502.6  ,       4
10527.0  ,       6
10551.4  ,       7
10575.8  ,       9
10600.1  ,       8
10624.5  ,       7
10648.9  ,       6
10673.3  ,       5
10697.6  ,      10
10722.0  ,       4
10746.4  ,       2
10770.8  ,       3
10795.2  ,       6
10819.5  ,       4
10843.9  ,       1
10868.3  ,       4
10892.7  ,       3
10917.1  ,       3
10941.4  ,       2
10965.8  ,       2
10990.2  ,       5
11014.6  ,       7
11038.9  ,       3
11063.3  ,       7
11087.7  ,       4
11112.1  ,       4
11136.5  ,       9
11160.8  ,      12
11185.2  ,       6
11209.6  ,       7
11234.0  ,       9
11258.4  ,       8
11282.7  ,       6
11307.1  ,      10
11331.5  ,       8
11355.9  ,       6
11380.2  ,       4
11404.6  ,       8
11429.0  ,      10
11453.4  ,       6
11477.8  ,       7
11502.1  ,       6
11526.5  ,       6
11550.9  ,       8
11575.3  ,       5
11599.6  ,       3
11624.0  ,       2
11648.4  ,      12
11672.8  ,       4
11697.2  ,       6
11721.5  ,       8
11745.9  ,      10
11770.3  ,      14
11794.7  ,      12
11819.1  ,      14
11843.4  ,      18
11867.8  ,      18
11892.2  ,      28
11916.6  ,      27
11940.9  ,      23
11965.3  ,      21
11989.7  ,       9
12014.1  ,      17
12038.5  ,      13
12062.8  ,      11
12087.2  ,       6
12111.6  ,      11
12136.0  ,      16
12160.4  ,       3
12184.7  ,      12
12209.1  ,      12
12233.5  ,      10
12257.9  ,       8
12282.2  ,       2
12306.6  ,      14
12331.0  ,       5
12355.4  ,       5
12379.8  ,       7
12404.1  ,       6
12428.5  ,       4
12452.9  ,       9
12477.3  ,       6
12501.6  ,       8
12526.0  ,       9
12550.4  ,       9
12574.8  ,       6
12599.2  ,       7
12623.5  ,      10
12647.9  ,      14
12672.3  ,       4
12696.7  ,       4
12721.1  ,      14
12745.4  ,      11
12769.8  ,       7
12794.2  ,      12
12818.6  ,      11
12842.9  ,      10
12867.3  ,      11
12891.7  ,      12
12916.1  ,      13
12940.5  ,       9
12964.8  ,      14
12989.2  ,      16
13013.6  ,      12
13038.0  ,      18
13062.4  ,      25
13086.7  ,      22
13111.1  ,      30
13135.5  ,      18
13159.9  ,      33
13184.2  ,      32
13208.6  ,      31
13233.0  ,      23
13257.4  ,      39
13281.8  ,      38
13306.1  ,      43
13330.5  ,      38
13354.9  ,      45
13379.3  ,      63
