"Target: Sutton_Island_DRT, Contains DAT files: APB_532735594ESC15230592668_______M1.DAT"
 9267.2  ,     171
 9291.6  ,     166
 9316.0  ,     151
 9340.4  ,     156
 9364.8  ,     142
 9389.2  ,     161
 9413.6  ,     185
 9438.0  ,     148
 9462.4  ,     193
 9486.8  ,     214
 9511.2  ,     242
 9535.6  ,     212
 9560.0  ,     254
 9584.4  ,     222
 9608.8  ,     229
 9633.2  ,     193
 9657.6  ,     190
 9682.0  ,     159
 9706.4  ,     169
 9730.8  ,     173
 9755.2  ,     154
 9779.6  ,     168
 9804.0  ,     190
 9828.4  ,     185
 9852.8  ,     198
 9877.2  ,     189
 9901.6  ,     211
 9926.0  ,     181
 9950.3  ,     182
 9974.7  ,     140
 9999.1  ,     174
10023.5  ,     127
10047.9  ,     159
10072.3  ,     156
10096.7  ,     154
10121.1  ,     162
10145.5  ,     142
10169.9  ,     135
10194.3  ,     141
10218.7  ,     145
10243.1  ,     132
10267.5  ,     155
10291.9  ,     137
10316.3  ,     155
10340.7  ,     133
10365.1  ,     136
10389.5  ,     147
10413.9  ,     157
10438.3  ,     146
10462.7  ,     133
10487.1  ,     192
10511.5  ,     174
10535.9  ,     169
10560.3  ,     146
10584.7  ,     173
10609.1  ,     132
10633.5  ,     155
10657.9  ,     149
10682.3  ,     143
10706.6  ,     149
10731.0  ,     154
10755.4  ,     138
10779.8  ,     131
10804.2  ,     138
10828.6  ,     143
10853.0  ,     181
10877.4  ,     160
10901.8  ,     156
10926.2  ,     167
10950.6  ,     179
10975.0  ,     150
10999.4  ,     192
11023.8  ,     167
11048.2  ,     178
11072.6  ,     151
11097.0  ,     184
11121.4  ,     178
11145.8  ,     201
11170.2  ,     184
11194.6  ,     227
11219.0  ,     203
11243.4  ,     189
11267.8  ,     211
11292.2  ,     205
11316.6  ,     202
11341.0  ,     210
11365.4  ,     236
11389.8  ,     220
11414.2  ,     219
11438.6  ,     220
11462.9  ,     281
11487.3  ,     266
11511.7  ,     285
11536.1  ,     303
11560.5  ,     299
11584.9  ,     293
11609.3  ,     300
11633.7  ,     296
11658.1  ,     309
11682.5  ,     309
11706.9  ,     351
11731.3  ,     421
11755.7  ,     495
11780.1  ,     566
11804.5  ,     719
11828.9  ,     873
11853.3  ,     963
11877.7  ,     983
11902.1  ,    1008
11926.5  ,     979
11950.9  ,     931
11975.3  ,     778
11999.7  ,     718
12024.1  ,     573
12048.5  ,     571
12072.9  ,     559
12097.3  ,     520
12121.7  ,     506
12146.1  ,     486
12170.5  ,     420
12194.9  ,     365
12219.2  ,     291
12243.6  ,     295
12268.0  ,     262
12292.4  ,     240
12316.8  ,     237
12341.2  ,     209
12365.6  ,     244
12390.0  ,     217
12414.4  ,     234
12438.8  ,     236
12463.2  ,     250
12487.6  ,     253
12512.0  ,     284
12536.4  ,     288
12560.8  ,     289
12585.2  ,     319
12609.6  ,     313
12634.0  ,     325
12658.4  ,     302
12682.8  ,     324
12707.2  ,     315
12731.6  ,     342
12756.0  ,     337
12780.4  ,     391
12804.8  ,     381
12829.2  ,     348
12853.6  ,     410
12878.0  ,     432
12902.4  ,     441
12926.8  ,     505
12951.2  ,     516
12975.5  ,     526
12999.9  ,     590
13024.3  ,     598
13048.7  ,     619
13073.1  ,     730
13097.5  ,     805
13121.9  ,     834
13146.3  ,     944
13170.7  ,    1100
13195.1  ,    1153
13219.5  ,    1234
13243.9  ,    1449
13268.3  ,    1571
13292.7  ,    1769
13317.1  ,    1885
13341.5  ,    2096
13365.9  ,    2174
13390.3  ,    2257
13414.7  ,    2388
13439.1  ,    2530
13463.5  ,    2625
13487.9  ,    2575
13512.3  ,    2690
13536.7  ,    2596
13561.1  ,    2584
13585.5  ,    2589
13609.9  ,    2390
13634.3  ,    2341
13658.7  ,    2317
13683.1  ,    2070
13707.5  ,    1900
13731.8  ,    1695
13756.2  ,    1611
13780.6  ,    1407
13805.0  ,    1287
13829.4  ,    1121
13853.8  ,    1051
13878.2  ,     965
13902.6  ,     962
13927.0  ,     923
13951.4  ,    1008
13975.8  ,     987
14000.2  ,    1191
14024.6  ,    1320
14049.0  ,    1491
14073.4  ,    1740
14097.8  ,    2016
14122.2  ,    2377
14146.6  ,    2789
14171.0  ,    3305
14195.4  ,    3720
14219.8  ,    4179
14244.2  ,    4487
14268.6  ,    4354
14293.0  ,    4143
14317.4  ,    3825
14341.8  ,    3243
14366.2  ,    2549
14390.6  ,    1992
14415.0  ,    1415
14439.4  ,    1006
14463.8  ,     646
14488.1  ,     503
14512.5  ,     349
14536.9  ,     279
14561.3  ,     243
14585.7  ,     242
14610.1  ,     210
14634.5  ,     203
14658.9  ,     227
14683.3  ,     224
14707.7  ,     215
14732.1  ,     238
14756.5  ,     233
14780.9  ,     254
14805.3  ,     270
14829.7  ,     286
14854.1  ,     305
14878.5  ,     278
14902.9  ,     306
14927.3  ,     332
14951.7  ,     330
14976.1  ,     352
15000.5  ,     323
15024.9  ,     320
15049.3  ,     274
15073.7  ,     320
15098.1  ,     291
15122.5  ,     288
15146.9  ,     312
15171.3  ,     340
15195.7  ,     304
15220.1  ,     317
15244.4  ,     356
15268.8  ,     391
15293.2  ,     375
15317.6  ,     411
15342.0  ,     425
15366.4  ,     457
15390.8  ,     512
15415.2  ,     453
15439.6  ,     568
15464.0  ,     645
15488.4  ,     742
15512.8  ,     899
15537.2  ,    1098
15561.6  ,    1412
15586.0  ,    1839
15610.4  ,    2341
15634.8  ,    2804
15659.2  ,    3298
15683.6  ,    3775
15708.0  ,    4096
15732.4  ,    4306
15756.8  ,    4299
15781.2  ,    4155
15805.6  ,    3802
15830.0  ,    3233
15854.4  ,    2664
15878.8  ,    2234
15903.2  ,    1874
15927.6  ,    1500
15952.0  ,    1278
15976.4  ,    1073
16000.7  ,    1042
16025.1  ,     993
16049.5  ,     984
16073.9  ,    1028
16098.3  ,    1031
16122.7  ,    1152
16147.1  ,    1138
16171.5  ,    1225
16195.9  ,    1206
16220.3  ,    1206
16244.7  ,    1208
16269.1  ,    1287
16293.5  ,    1287
16317.9  ,    1265
16342.3  ,    1324
16366.7  ,    1309
16391.1  ,    1259
16415.5  ,    1257
16439.9  ,    1278
16464.3  ,    1234
16488.7  ,    1168
16513.1  ,    1253
16537.5  ,    1199
16561.9  ,    1210
16586.3  ,    1206
16610.7  ,    1357
16635.1  ,    1364
16659.5  ,    1401
16683.9  ,    1406
16708.3  ,    1585
16732.7  ,    1608
