"Target: Buckskin_DRT_raster2, Contains DAT files: APB_491372464ESC10580482542_______M1.DAT"
24929.2  ,      72
24953.6  ,      52
24978.0  ,      66
25002.4  ,      72
25026.9  ,      63
25051.3  ,      58
25075.7  ,      75
25100.1  ,      60
25124.5  ,      65
25149.0  ,      71
25173.4  ,      62
25197.8  ,      86
25222.2  ,      65
25246.6  ,      57
25271.1  ,      73
25295.5  ,      83
25319.9  ,      81
25344.3  ,      58
25368.7  ,      62
25393.1  ,      76
25417.6  ,      57
25442.0  ,      60
25466.4  ,  160236
