"Target: Mammoth_rp, Contains DAT files: APB_464835267ESC07590421020_______M1.DAT"
 9769.7  ,     249
 9794.0  ,     271
 9818.4  ,     303
 9842.8  ,     318
 9867.1  ,     334
 9891.5  ,     300
 9915.8  ,     294
 9940.2  ,     273
 9964.6  ,     238
 9988.9  ,     187
10013.3  ,     180
10037.7  ,     155
10062.0  ,     146
10086.4  ,     160
10110.8  ,     171
10135.1  ,     154
10159.5  ,     133
10183.8  ,     145
10208.2  ,     161
10232.6  ,     180
10256.9  ,     175
10281.3  ,     165
10305.7  ,     171
10330.0  ,     155
10354.4  ,     174
10378.7  ,     187
10403.1  ,     194
10427.5  ,     218
10451.8  ,     263
10476.2  ,     268
10500.6  ,     283
10524.9  ,     326
10549.3  ,     324
10573.6  ,     275
10598.0  ,     260
10622.4  ,     208
10646.7  ,     207
10671.1  ,     200
10695.5  ,     166
10719.8  ,     136
10744.2  ,     155
10768.5  ,     157
10792.9  ,     144
10817.3  ,     170
10841.6  ,     173
10866.0  ,     174
10890.4  ,     172
10914.7  ,     173
10939.1  ,     212
10963.4  ,     186
10987.8  ,     190
11012.2  ,     193
11036.5  ,     193
11060.9  ,     214
11085.3  ,     217
11109.6  ,     223
11134.0  ,     222
11158.3  ,     260
11182.7  ,     264
11207.1  ,     265
11231.4  ,     263
11255.8  ,     263
11280.2  ,     233
11304.5  ,     243
11328.9  ,     235
11353.2  ,     196
11377.6  ,     248
11402.0  ,     247
11426.3  ,     235
11450.7  ,     241
11475.1  ,     280
11499.4  ,     286
11523.8  ,     258
11548.1  ,     296
11572.5  ,     278
11596.9  ,     295
11621.2  ,     313
11645.6  ,     299
11670.0  ,     288
11694.3  ,     321
11718.7  ,     361
11743.0  ,     378
11767.4  ,     418
11791.8  ,     401
11816.1  ,     459
11840.5  ,     489
11864.9  ,     545
11889.2  ,     549
11913.6  ,     580
11937.9  ,     551
11962.3  ,     544
11986.7  ,     495
12011.0  ,     486
12035.4  ,     493
12059.8  ,     479
12084.1  ,     484
12108.5  ,     470
12132.9  ,     457
12157.2  ,     449
12181.6  ,     385
12205.9  ,     362
12230.3  ,     344
12254.7  ,     325
12279.0  ,     277
12303.4  ,     260
12327.8  ,     269
12352.1  ,     262
12376.5  ,     263
12400.8  ,     256
12425.2  ,     276
12449.6  ,     297
12473.9  ,     317
12498.3  ,     311
12522.7  ,     388
12547.0  ,     387
12571.4  ,     380
12595.7  ,     442
12620.1  ,     370
12644.5  ,     400
12668.8  ,     436
12693.2  ,     411
12717.6  ,     388
12741.9  ,     395
12766.3  ,     414
12790.6  ,     390
12815.0  ,     405
12839.4  ,     424
12863.7  ,     447
12888.1  ,     486
12912.5  ,     487
12936.8  ,     546
12961.2  ,     512
12985.5  ,     578
13009.9  ,     653
13034.3  ,     704
13058.6  ,     719
13083.0  ,     781
13107.4  ,     902
13131.7  ,     942
13156.1  ,    1053
13180.4  ,    1126
13204.8  ,    1277
13229.2  ,    1395
13253.5  ,    1537
13277.9  ,    1738
13302.3  ,    1919
13326.6  ,    1983
13351.0  ,    2214
13375.3  ,    2358
13399.7  ,    2539
13424.1  ,    2612
13448.4  ,    2642
13472.8  ,    2779
13497.2  ,    2816
13521.5  ,    2787
13545.9  ,    2631
13570.2  ,    2724
13594.6  ,    2593
13619.0  ,    2507
13643.3  ,    2449
13667.7  ,    2163
13692.1  ,    2078
13716.4  ,    1950
13740.8  ,    1768
13765.1  ,    1766
13789.5  ,    1408
13813.9  ,    1377
13838.2  ,    1262
13862.6  ,    1185
13887.0  ,    1108
13911.3  ,    1092
13935.7  ,    1114
13960.1  ,    1087
13984.4  ,    1251
14008.8  ,    1418
14033.1  ,    1489
14057.5  ,    1745
14081.9  ,    1967
14106.2  ,    2327
14130.6  ,    2666
14155.0  ,    3035
14179.3  ,    3517
14203.7  ,    3847
14228.0  ,    4074
14252.4  ,    4425
14276.8  ,    4263
14301.1  ,    3927
14325.5  ,    3535
14349.9  ,    3182
14374.2  ,    2469
14398.6  ,    1890
14422.9  ,    1438
14447.3  ,     957
14471.7  ,     677
14496.0  ,     467
14520.4  ,     372
14544.8  ,     297
14569.1  ,     257
14593.5  ,     202
14617.8  ,     209
14642.2  ,     239
14666.6  ,     213
14690.9  ,     237
14715.3  ,     241
14739.7  ,     237
14764.0  ,     269
14788.4  ,     227
14812.7  ,     301
14837.1  ,     299
14861.5  ,     322
14885.8  ,     341
14910.2  ,     350
14934.6  ,     355
14958.9  ,     343
14983.3  ,     327
15007.6  ,     350
15032.0  ,     329
15056.4  ,     351
15080.7  ,     299
15105.1  ,     370
15129.5  ,     347
15153.8  ,     355
15178.2  ,     375
15202.5  ,     342
15226.9  ,     366
15251.3  ,     397
15275.6  ,     411
15300.0  ,     424
15324.4  ,     413
15348.7  ,     471
15373.1  ,     504
15397.4  ,     568
15421.8  ,     617
15446.2  ,     639
15470.5  ,     781
15494.9  ,     910
15519.3  ,    1087
15543.6  ,    1314
15568.0  ,    1608
15592.3  ,    2054
15616.7  ,    2482
15641.1  ,    2870
15665.4  ,    3431
15689.8  ,    3821
15714.2  ,    4229
15738.5  ,    4388
15762.9  ,    4253
15787.3  ,    4069
15811.6  ,    3766
15836.0  ,    3223
15860.3  ,    2828
15884.7  ,    2281
15909.1  ,    1945
15933.4  ,    1529
15957.8  ,    1336
15982.2  ,    1217
16006.5  ,    1136
16030.9  ,    1034
16055.2  ,    1090
16079.6  ,    1129
16104.0  ,    1134
16128.3  ,    1146
16152.7  ,    1173
16177.1  ,    1258
16201.4  ,    1307
16225.8  ,    1329
16250.1  ,    1261
16274.5  ,    1330
16298.9  ,    1333
16323.2  ,    1438
16347.6  ,    1321
16372.0  ,    1340
16396.3  ,    1299
16420.7  ,    1341
16445.0  ,    1298
16469.4  ,    1282
16493.8  ,    1335
16518.1  ,    1256
16542.5  ,    1392
16566.9  ,    1389
16591.2  ,    1380
16615.6  ,    1400
16639.9  ,    1462
16664.3  ,    1510
16688.7  ,    1572
16713.0  ,    1732
16737.4  ,    1731
16761.8  ,    1978
16786.1  ,    2017
16810.5  ,    2128
16834.8  ,    2338
16859.2  ,    2384
16883.6  ,    2620
16907.9  ,    2729
16932.3  ,    2874
16956.7  ,    2982
16981.0  ,    3099
17005.4  ,    3267
17029.7  ,    3312
17054.1  ,    3499
17078.5  ,    3606
17102.8  ,    3658
17127.2  ,    3666
17151.6  ,    3799
17175.9  ,    3808
17200.3  ,    3890
17224.6  ,    3713
17249.0  ,    3604
17273.4  ,    3543
17297.7  ,    3218
17322.1  ,    3174
17346.5  ,    2832
17370.8  ,    2601
17395.2  ,    2402
17419.5  ,    2107
17443.9  ,    1953
17468.3  ,    1711
17492.6  ,    1642
17517.0  ,    1622
17541.4  ,    1616
17565.7  ,    1564
17590.1  ,    1539
17614.4  ,    1556
17638.8  ,    1470
17663.2  ,    1507
17687.5  ,    1460
17711.9  ,    1361
17736.3  ,    1175
17760.6  ,    1115
17785.0  ,     955
17809.4  ,     901
17833.7  ,     792
17858.1  ,     766
17882.4  ,     734
17906.8  ,     751
17931.2  ,     703
17955.5  ,     758
17979.9  ,     763
18004.3  ,     764
18028.6  ,     782
18053.0  ,     866
18077.3  ,     917
18101.7  ,    1065
18126.1  ,    1366
18150.4  ,    1554
18174.8  ,    1866
18199.2  ,    2210
18223.5  ,    2677
18247.9  ,    2875
18272.2  ,    3037
18296.6  ,    3078
18321.0  ,    3083
18345.3  ,    2779
18369.7  ,    2364
18394.1  ,    2005
18418.4  ,    1594
18442.8  ,    1226
18467.1  ,     968
18491.5  ,     698
18515.9  ,     494
18540.2  ,     383
18564.6  ,     347
18589.0  ,     266
18613.3  ,     246
18637.7  ,     212
18662.0  ,     217
18686.4  ,     227
18710.8  ,     215
18735.1  ,     197
18759.5  ,     226
18783.9  ,     209
18808.2  ,     202
18832.6  ,     217
18856.9  ,     206
18881.3  ,     210
18905.7  ,     212
18930.0  ,     221
18954.4  ,     230
18978.8  ,     235
19003.1  ,     228
19027.5  ,     231
19051.8  ,     239
19076.2  ,     250
19100.6  ,     254
19124.9  ,     266
19149.3  ,     279
19173.7  ,     323
19198.0  ,     316
19222.4  ,     309
19246.7  ,     355
19271.1  ,     363
19295.5  ,     362
19319.8  ,     414
19344.2  ,     416
19368.6  ,     414
19392.9  ,     458
19417.3  ,     472
19441.6  ,     469
19466.0  ,     569
19490.4  ,     605
19514.7  ,     642
19539.1  ,     619
19563.5  ,     677
19587.8  ,     733
19612.2  ,     703
19636.6  ,     761
19660.9  ,     815
19685.3  ,     743
19709.6  ,     855
19734.0  ,     848
19758.4  ,     832
19782.7  ,     911
19807.1  ,     788
19831.5  ,     834
19855.8  ,     922
19880.2  ,     869
19904.5  ,     850
19928.9  ,     828
19953.3  ,     805
19977.6  ,     739
20002.0  ,     728
20026.4  ,     781
20050.7  ,     733
20075.1  ,     722
20099.4  ,     684
20123.8  ,     685
20148.2  ,     616
20172.5  ,     650
20196.9  ,     636
20221.3  ,     543
20245.6  ,     560
20270.0  ,     532
20294.3  ,     506
20318.7  ,     454
20343.1  ,     491
20367.4  ,     487
20391.8  ,     429
20416.2  ,     458
