"Target: Waternish_raster4, Contains DAT files: APB_577021256ESC20220691768_______M1.DAT"
10266.3  ,       8
10290.7  ,       4
10315.1  ,       3
10339.5  ,       4
10363.9  ,       8
10388.3  ,       9
10412.7  ,       1
10437.1  ,       9
10461.5  ,       7
10485.9  ,       7
10510.3  ,      11
10534.7  ,       6
10559.1  ,       3
10583.5  ,       5
10607.9  ,       6
10632.3  ,      12
10656.7  ,       9
10681.0  ,       5
10705.4  ,       6
10729.8  ,       5
10754.2  ,       3
10778.6  ,       6
10803.0  ,       9
10827.4  ,       4
10851.8  ,       3
10876.2  ,       3
10900.6  ,       4
10925.0  ,       7
10949.4  ,       2
10973.8  ,      13
10998.2  ,       3
11022.6  ,       5
11047.0  ,       7
11071.4  ,       6
11095.7  ,       5
11120.1  ,       8
11144.5  ,       7
11168.9  ,       9
11193.3  ,      10
11217.7  ,       6
11242.1  ,       7
11266.5  ,       8
11290.9  ,       7
11315.3  ,      14
11339.7  ,      10
11364.1  ,       7
11388.5  ,       4
11412.9  ,       7
11437.3  ,       5
11461.7  ,       5
11486.1  ,      14
11510.4  ,       5
11534.8  ,       5
11559.2  ,      12
11583.6  ,      16
11608.0  ,      14
11632.4  ,       8
11656.8  ,       8
11681.2  ,       7
11705.6  ,       5
11730.0  ,      10
11754.4  ,      13
11778.8  ,       9
11803.2  ,      14
11827.6  ,      14
11852.0  ,      14
11876.4  ,      21
11900.8  ,      22
11925.1  ,      18
11949.5  ,      20
11973.9  ,      21
11998.3  ,      17
12022.7  ,      19
12047.1  ,      12
12071.5  ,      19
12095.9  ,      21
12120.3  ,      23
12144.7  ,      14
12169.1  ,      15
12193.5  ,      15
12217.9  ,      17
12242.3  ,       8
12266.7  ,      15
12291.1  ,       6
12315.5  ,      11
12339.8  ,       9
12364.2  ,       7
12388.6  ,      12
12413.0  ,       8
12437.4  ,      12
12461.8  ,      12
12486.2  ,      14
12510.6  ,      14
12535.0  ,      10
12559.4  ,      11
12583.8  ,      16
12608.2  ,      14
12632.6  ,       7
12657.0  ,      14
12681.4  ,      14
12705.8  ,      12
12730.2  ,      10
12754.5  ,      15
12778.9  ,      16
12803.3  ,      17
12827.7  ,      21
12852.1  ,      14
12876.5  ,      16
12900.9  ,      19
12925.3  ,      26
12949.7  ,      23
12974.1  ,      34
12998.5  ,      20
13022.9  ,      22
13047.3  ,      28
13071.7  ,      31
13096.1  ,      32
13120.5  ,      32
13144.9  ,      34
13169.2  ,      57
13193.6  ,      53
13218.0  ,      54
13242.4  ,      53
13266.8  ,      66
13291.2  ,      74
13315.6  ,      78
13340.0  ,      90
13364.4  ,      75
13388.8  ,     106
13413.2  ,      94
13437.6  ,     112
13462.0  ,     111
13486.4  ,     123
13510.8  ,      81
13535.2  ,     124
13559.6  ,     112
13584.0  ,     115
13608.3  ,     103
13632.7  ,     120
13657.1  ,      89
13681.5  ,      84
13705.9  ,      81
13730.3  ,      68
13754.7  ,      70
13779.1  ,      62
13803.5  ,      51
13827.9  ,      45
13852.3  ,      48
13876.7  ,      42
13901.1  ,      41
13925.5  ,      47
13949.9  ,      43
13974.3  ,      48
13998.7  ,      47
14023.0  ,      52
