"Target: APXS_Drill_Site_Raster_Integration_Site3, Contains DAT files: APB_417934656ESC02300060000_______M2.DAT"
25237.7  ,       2
25262.1  ,       4
25286.5  ,       6
25310.9  ,       9
25335.3  ,       7
25359.7  ,       4
25384.2  ,       9
25408.6  ,       3
25433.0  ,       5
25457.4  ,   13165
