"Target: Snake_River, Contains DAT files: APA_410718885ESC01490051902_______M2.DAT"
19675.2  ,      20
19699.7  ,      23
19724.1  ,      25
19748.6  ,      25
19773.0  ,      20
19797.4  ,      22
19821.9  ,      20
19846.3  ,      23
19870.8  ,      17
19895.2  ,      21
19919.6  ,      25
19944.1  ,      28
19968.5  ,      25
19993.0  ,      18
20017.4  ,      18
20041.9  ,      10
20066.3  ,      22
20090.7  ,      17
20115.2  ,      11
20139.6  ,      24
20164.1  ,      12
20188.5  ,       7
20213.0  ,      14
20237.4  ,      20
20261.8  ,      20
20286.3  ,      14
20310.7  ,       8
20335.2  ,       9
20359.6  ,       9
20384.1  ,      13
20408.5  ,      16
20432.9  ,       7
20457.4  ,      13
20481.8  ,      13
20506.3  ,       5
20530.7  ,      11
20555.1  ,      10
20579.6  ,      11
20604.0  ,      10
20628.5  ,       9
20652.9  ,       7
20677.4  ,       4
20701.8  ,      11
20726.2  ,       8
20750.7  ,       9
20775.1  ,       7
20799.6  ,       7
20824.0  ,       4
20848.5  ,       5
20872.9  ,       6
20897.3  ,       7
20921.8  ,       5
20946.2  ,      10
20970.7  ,       6
20995.1  ,       2
21019.6  ,       7
21044.0  ,       9
21068.4  ,       5
21092.9  ,      12
21117.3  ,       5
21141.8  ,       7
21166.2  ,       9
21190.6  ,       8
21215.1  ,       5
21239.5  ,       6
21264.0  ,       9
21288.4  ,       5
21312.9  ,      16
21337.3  ,      17
21361.7  ,       9
21386.2  ,      13
21410.6  ,      16
21435.1  ,      20
21459.5  ,      28
21484.0  ,      15
21508.4  ,      10
21532.8  ,      17
21557.3  ,      13
21581.7  ,      16
21606.2  ,       5
21630.6  ,      12
21655.1  ,       9
21679.5  ,       4
21703.9  ,       4
21728.4  ,       7
21752.8  ,       5
21777.3  ,       1
21801.7  ,       5
21826.2  ,       2
21850.6  ,       4
21875.0  ,       5
21899.5  ,       3
21923.9  ,       2
21948.4  ,       7
21972.8  ,       3
21997.2  ,       7
22021.7  ,       5
22046.1  ,       5
22070.6  ,       4
22095.0  ,       5
22119.5  ,       4
22143.9  ,       9
22168.3  ,       6
22192.8  ,       2
22217.2  ,       5
22241.7  ,       5
22266.1  ,       2
22290.6  ,       5
22315.0  ,       6
22339.4  ,       2
22363.9  ,       4
22388.3  ,       2
22412.8  ,       0
22437.2  ,       3
22461.7  ,       4
22486.1  ,       3
22510.5  ,       2
22535.0  ,       6
22559.4  ,       5
22583.9  ,       3
22608.3  ,       3
22632.7  ,       4
22657.2  ,       4
22681.6  ,       4
22706.1  ,       2
22730.5  ,       3
22755.0  ,       0
22779.4  ,       2
22803.8  ,       4
22828.3  ,       6
22852.7  ,       3
22877.2  ,       4
22901.6  ,       4
22926.1  ,       6
22950.5  ,       2
22974.9  ,       2
22999.4  ,       3
23023.8  ,       7
23048.3  ,       1
23072.7  ,       1
23097.2  ,       4
23121.6  ,       2
23146.0  ,       5
23170.5  ,       0
23194.9  ,       3
23219.4  ,       4
23243.8  ,       6
23268.2  ,       3
23292.7  ,       3
23317.1  ,       7
23341.6  ,       1
23366.0  ,       0
23390.5  ,       2
23414.9  ,       6
23439.3  ,       3
23463.8  ,       3
23488.2  ,       5
23512.7  ,       3
23537.1  ,       6
23561.6  ,       2
23586.0  ,       4
23610.4  ,       2
23634.9  ,       1
23659.3  ,       3
23683.8  ,       2
23708.2  ,       5
23732.7  ,       0
23757.1  ,       4
23781.5  ,       6
23806.0  ,       9
23830.4  ,       2
23854.9  ,       2
23879.3  ,       5
23903.7  ,       1
23928.2  ,       2
23952.6  ,       7
23977.1  ,       4
24001.5  ,       1
24026.0  ,       6
24050.4  ,       3
24074.8  ,       6
24099.3  ,       4
24123.7  ,       1
24148.2  ,       3
24172.6  ,       4
24197.1  ,       5
24221.5  ,       6
24245.9  ,       3
24270.4  ,       3
24294.8  ,       3
24319.3  ,       2
24343.7  ,       5
24368.2  ,       1
24392.6  ,       4
24417.0  ,       1
24441.5  ,       4
24465.9  ,       4
24490.4  ,       8
24514.8  ,       4
24539.2  ,       0
24563.7  ,       5
24588.1  ,       3
24612.6  ,       1
24637.0  ,       3
24661.5  ,       4
24685.9  ,       6
24710.3  ,       5
24734.8  ,       5
24759.2  ,       2
24783.7  ,       2
24808.1  ,       8
24832.6  ,       4
24857.0  ,       4
24881.4  ,       2
24905.9  ,       3
24930.3  ,       1
24954.8  ,       3
24979.2  ,       3
25003.7  ,       5
25028.1  ,       5
25052.5  ,       4
