"Target: Cliffside_bridge_raster3, Contains DAT files: APB_546753388ESC16810622452_______M1.DAT"
12004.2  ,      32
12028.6  ,      21
12053.0  ,      20
12077.4  ,      17
12101.8  ,      27
12126.2  ,      27
12150.6  ,      24
12175.0  ,      13
12199.4  ,      13
12223.9  ,      10
12248.3  ,      11
12272.7  ,      10
12297.1  ,      13
12321.5  ,      13
12345.9  ,       8
12370.3  ,      14
12394.7  ,       6
12419.1  ,       8
12443.5  ,       7
12468.0  ,      12
12492.4  ,       9
12516.8  ,      14
12541.2  ,      21
12565.6  ,      19
12590.0  ,      14
12614.4  ,      17
12638.8  ,      16
12663.2  ,      19
12687.7  ,      12
12712.1  ,      18
12736.5  ,      17
12760.9  ,      14
12785.3  ,      12
12809.7  ,      16
12834.1  ,      18
12858.5  ,      14
12882.9  ,      16
12907.3  ,      21
12931.8  ,      20
12956.2  ,      20
12980.6  ,      17
13005.0  ,      21
13029.4  ,      31
13053.8  ,      28
13078.2  ,      29
13102.6  ,      35
13127.0  ,      46
13151.4  ,      33
13175.9  ,      48
13200.3  ,      53
13224.7  ,      58
13249.1  ,      66
13273.5  ,      48
13297.9  ,      83
13322.3  ,      89
13346.7  ,      76
13371.1  ,      76
13395.5  ,      99
13420.0  ,      92
13444.4  ,     100
13468.8  ,      93
13493.2  ,     126
13517.6  ,     126
13542.0  ,     106
13566.4  ,      96
13590.8  ,     112
13615.2  ,      85
13639.6  ,      84
13664.1  ,      90
13688.5  ,      92
13712.9  ,      76
13737.3  ,      78
13761.7  ,      70
13786.1  ,      65
13810.5  ,      55
13834.9  ,      57
13859.3  ,      37
13883.7  ,      44
13908.2  ,      44
13932.6  ,      41
13957.0  ,      32
13981.4  ,      53
14005.8  ,      43
14030.2  ,      36
14054.6  ,      67
14079.0  ,      75
14103.4  ,      78
14127.8  ,      85
14152.3  ,     105
14176.7  ,     140
14201.1  ,     146
14225.5  ,     179
14249.9  ,     154
14274.3  ,     164
14298.7  ,     153
14323.1  ,     157
14347.5  ,      99
14371.9  ,      91
14396.4  ,      74
14420.8  ,      51
14445.2  ,      31
14469.6  ,      33
14494.0  ,      17
14518.4  ,       9
14542.8  ,      11
14567.2  ,      14
14591.6  ,       9
14616.0  ,       8
14640.5  ,      12
14664.9  ,      10
14689.3  ,      14
14713.7  ,      12
14738.1  ,       4
14762.5  ,      16
14786.9  ,       8
14811.3  ,      14
14835.7  ,       8
14860.1  ,       7
14884.6  ,      20
14909.0  ,      15
14933.4  ,      16
14957.8  ,      15
14982.2  ,      12
15006.6  ,       9
15031.0  ,      11
15055.4  ,      21
15079.8  ,      11
15104.3  ,      13
15128.7  ,      12
15153.1  ,      17
15177.5  ,      17
15201.9  ,      19
15226.3  ,      17
15250.7  ,       9
15275.1  ,      13
15299.5  ,      19
15323.9  ,      14
15348.4  ,      16
15372.8  ,      22
15397.2  ,      14
15421.6  ,      34
15446.0  ,      19
15470.4  ,      31
15494.8  ,      31
15519.2  ,      46
15543.6  ,      58
15568.0  ,      74
15592.5  ,     108
15616.9  ,     118
15641.3  ,     166
15665.7  ,     200
15690.1  ,     224
15714.5  ,     200
15738.9  ,     250
15763.3  ,     222
15787.7  ,     241
15812.1  ,     169
15836.6  ,     187
15861.0  ,     137
15885.4  ,     103
15909.8  ,      86
15934.2  ,      77
15958.6  ,      55
15983.0  ,      46
16007.4  ,      42
16031.8  ,      44
16056.2  ,      62
16080.7  ,      45
16105.1  ,      43
16129.5  ,      64
16153.9  ,      45
16178.3  ,      39
16202.7  ,      42
16227.1  ,      57
16251.5  ,      55
16275.9  ,      53
16300.3  ,      54
16324.8  ,      56
16349.2  ,      39
16373.6  ,      61
16398.0  ,      54
16422.4  ,      52
16446.8  ,      47
16471.2  ,      59
16495.6  ,      42
16520.0  ,      69
16544.4  ,      49
16568.9  ,      51
16593.3  ,      64
16617.7  ,      54
16642.1  ,      67
16666.5  ,      68
16690.9  ,      58
16715.3  ,      66
16739.7  ,      94
16764.1  ,      82
16788.5  ,      79
16813.0  ,      95
16837.4  ,     102
16861.8  ,     115
16886.2  ,     110
16910.6  ,     115
16935.0  ,     123
16959.4  ,     145
16983.8  ,     120
17008.2  ,     139
17032.6  ,     129
17057.1  ,     133
17081.5  ,     158
17105.9  ,     142
17130.3  ,     154
17154.7  ,     147
17179.1  ,     147
17203.5  ,     158
17227.9  ,     130
17252.3  ,     131
17276.7  ,     144
17301.2  ,     131
17325.6  ,     112
17350.0  ,     103
17374.4  ,      89
17398.8  ,      87
17423.2  ,      65
17447.6  ,      84
17472.0  ,      61
17496.4  ,      71
17520.9  ,      62
17545.3  ,      68
17569.7  ,      46
17594.1  ,      69
17618.5  ,      87
17642.9  ,      79
17667.3  ,      69
17691.7  ,      70
17716.1  ,      68
17740.5  ,      43
17765.0  ,      62
17789.4  ,      39
17813.8  ,      27
17838.2  ,      29
17862.6  ,      41
17887.0  ,      22
17911.4  ,      33
17935.8  ,      25
17960.2  ,      30
17984.6  ,      29
18009.1  ,      29
18033.5  ,      35
18057.9  ,      26
18082.3  ,      24
18106.7  ,      60
18131.1  ,      59
18155.5  ,      55
18179.9  ,      65
18204.3  ,     104
18228.7  ,     109
18253.2  ,     112
18277.6  ,     109
18302.0  ,     142
18326.4  ,     112
18350.8  ,     109
18375.2  ,      70
18399.6  ,      87
18424.0  ,      58
18448.4  ,      42
18472.8  ,      35
18497.3  ,      26
18521.7  ,      17
18546.1  ,      11
18570.5  ,       8
18594.9  ,      11
18619.3  ,       9
18643.7  ,       8
18668.1  ,      13
18692.5  ,      11
18716.9  ,      12
18741.4  ,       4
18765.8  ,       9
18790.2  ,       8
18814.6  ,      14
18839.0  ,      13
18863.4  ,      14
18887.8  ,       7
18912.2  ,       8
18936.6  ,       7
18961.0  ,       9
18985.5  ,      15
19009.9  ,      16
19034.3  ,      16
19058.7  ,      12
19083.1  ,       9
19107.5  ,       9
19131.9  ,      12
19156.3  ,      10
19180.7  ,      12
19205.1  ,      18
19229.6  ,      16
19254.0  ,      19
19278.4  ,      15
19302.8  ,      17
19327.2  ,      18
19351.6  ,      12
19376.0  ,      16
19400.4  ,      16
19424.8  ,      20
19449.2  ,      20
19473.7  ,      20
19498.1  ,      29
19522.5  ,      34
19546.9  ,      32
19571.3  ,      30
19595.7  ,      33
19620.1  ,      32
19644.5  ,      26
19668.9  ,      39
19693.3  ,      31
19717.8  ,      25
19742.2  ,      44
19766.6  ,      31
19791.0  ,      39
19815.4  ,      33
19839.8  ,      31
19864.2  ,      46
19888.6  ,      26
19913.0  ,      24
19937.5  ,      31
19961.9  ,      30
19986.3  ,      37
20010.7  ,      29
20035.1  ,      19
20059.5  ,      33
20083.9  ,      24
20108.3  ,      28
20132.7  ,      24
20157.1  ,      20
20181.6  ,      19
20206.0  ,      19
20230.4  ,      16
20254.8  ,      23
20279.2  ,      15
20303.6  ,      26
20328.0  ,      23
20352.4  ,      23
20376.8  ,      24
20401.2  ,      18
20425.7  ,      16
20450.1  ,      17
20474.5  ,      18
20498.9  ,      17
20523.3  ,      12
20547.7  ,      23
20572.1  ,      13
20596.5  ,      15
20620.9  ,      10
20645.3  ,      13
20669.8  ,      13
20694.2  ,      18
20718.6  ,      11
20743.0  ,      13
20767.4  ,      10
20791.8  ,      10
20816.2  ,      10
20840.6  ,       7
20865.0  ,      13
20889.4  ,      13
20913.9  ,       9
20938.3  ,       2
20962.7  ,       4
20987.1  ,       3
21011.5  ,      11
21035.9  ,       9
21060.3  ,       7
21084.7  ,       9
21109.1  ,       8
21133.5  ,       2
21158.0  ,       8
21182.4  ,      14
21206.8  ,       9
21231.2  ,       6
21255.6  ,      11
21280.0  ,      14
21304.4  ,      22
21328.8  ,      18
21353.2  ,      24
21377.6  ,      24
21402.1  ,      22
21426.5  ,      35
21450.9  ,      30
21475.3  ,      18
21499.7  ,      19
21524.1  ,      15
21548.5  ,      19
21572.9  ,       8
21597.3  ,       6
21621.7  ,       3
21646.2  ,       8
21670.6  ,       6
21695.0  ,       1
21719.4  ,       4
21743.8  ,       4
21768.2  ,       5
21792.6  ,       3
21817.0  ,       2
21841.4  ,       2
21865.8  ,       5
21890.3  ,       1
21914.7  ,       3
21939.1  ,       5
21963.5  ,       4
21987.9  ,       3
22012.3  ,       7
22036.7  ,       3
22061.1  ,       1
22085.5  ,       6
22109.9  ,       4
22134.4  ,       4
22158.8  ,       4
22183.2  ,       9
22207.6  ,       8
22232.0  ,       3
22256.4  ,       7
22280.8  ,       3
22305.2  ,       8
22329.6  ,      10
22354.1  ,       8
22378.5  ,       4
22402.9  ,       3
22427.3  ,       2
22451.7  ,       3
22476.1  ,       5
22500.5  ,       1
22524.9  ,       4
22549.3  ,       1
22573.7  ,       2
22598.2  ,       4
22622.6  ,       4
22647.0  ,       2
22671.4  ,       2
22695.8  ,       1
22720.2  ,       5
22744.6  ,       3
22769.0  ,       5
22793.4  ,       5
22817.8  ,       4
22842.3  ,       3
22866.7  ,       3
22891.1  ,       3
22915.5  ,       2
22939.9  ,       5
22964.3  ,       0
22988.7  ,       5
23013.1  ,       5
23037.5  ,       5
23061.9  ,       3
23086.4  ,       3
23110.8  ,       4
23135.2  ,       2
23159.6  ,       2
23184.0  ,       2
23208.4  ,       3
23232.8  ,       5
23257.2  ,       7
23281.6  ,       3
23306.0  ,       0
23330.5  ,       5
23354.9  ,       4
23379.3  ,      10
23403.7  ,       3
23428.1  ,       2
23452.5  ,       5
23476.9  ,       7
23501.3  ,       2
23525.7  ,       2
23550.1  ,       2
23574.6  ,       7
23599.0  ,       2
23623.4  ,       2
23647.8  ,       3
23672.2  ,       4
23696.6  ,       2
23721.0  ,       1
23745.4  ,       2
23769.8  ,       4
23794.2  ,       4
23818.7  ,       4
23843.1  ,       3
23867.5  ,       1
23891.9  ,       3
23916.3  ,       4
23940.7  ,       1
23965.1  ,       3
23989.5  ,       0
24013.9  ,       2
24038.3  ,       4
24062.8  ,       3
24087.2  ,       0
24111.6  ,       7
24136.0  ,       1
24160.4  ,       3
24184.8  ,       3
24209.2  ,       5
24233.6  ,       4
24258.0  ,       4
24282.4  ,       2
24306.9  ,       4
24331.3  ,       5
24355.7  ,       0
24380.1  ,       3
24404.5  ,       3
24428.9  ,       3
24453.3  ,       4
24477.7  ,       5
24502.1  ,       1
24526.5  ,       2
24551.0  ,       2
24575.4  ,       1
24599.8  ,       1
24624.2  ,      11
24648.6  ,       1
24673.0  ,       1
24697.4  ,       1
24721.8  ,       4
24746.2  ,       6
24770.7  ,       1
24795.1  ,       1
24819.5  ,       5
24843.9  ,       6
24868.3  ,       0
24892.7  ,       3
24917.1  ,       6
24941.5  ,       1
24965.9  ,       3
24990.3  ,       3
25014.8  ,       3
25039.2  ,       2
25063.6  ,       2
25088.0  ,       3
25112.4  ,       4
25136.8  ,       2
25161.2  ,       6
25185.6  ,       7
25210.0  ,       3
25234.4  ,       1
25258.9  ,       7
25283.3  ,       2
25307.7  ,       3
25332.1  ,       4
25356.5  ,       3
25380.9  ,       3
25405.3  ,       4
25429.7  ,       4
25454.1  ,    9660
