"Target: Mojave2_presieve_dump, Contains DAT files: APB_476380933ESC08890450000_______M1.DAT"
20107.7  ,     548
20132.2  ,     520
20156.6  ,     509
20181.0  ,     498
20205.5  ,     434
20229.9  ,     477
20254.3  ,     415
20278.8  ,     425
20303.2  ,     373
20327.7  ,     379
20352.1  ,     426
20376.5  ,     375
20401.0  ,     389
20425.4  ,     363
20449.9  ,     341
20474.3  ,     356
20498.7  ,     309
20523.2  ,     269
20547.6  ,     298
20572.1  ,     288
20596.5  ,     305
20620.9  ,     276
20645.4  ,     244
20669.8  ,     255
20694.3  ,     276
20718.7  ,     233
20743.1  ,     217
20767.6  ,     212
20792.0  ,     201
20816.5  ,     195
20840.9  ,     188
20865.3  ,     147
20889.8  ,     162
20914.2  ,     124
20938.7  ,     159
20963.1  ,     151
20987.5  ,     143
21012.0  ,     135
21036.4  ,     123
21060.9  ,     109
21085.3  ,     119
21109.7  ,     124
21134.2  ,     133
21158.6  ,     129
21183.0  ,     163
21207.5  ,     166
21231.9  ,     193
21256.4  ,     207
21280.8  ,     289
21305.2  ,     322
21329.7  ,     364
21354.1  ,     412
21378.6  ,     474
21403.0  ,     455
21427.4  ,     500
21451.9  ,     503
21476.3  ,     429
21500.8  ,     427
21525.2  ,     366
21549.6  ,     317
21574.1  ,     256
21598.5  ,     195
21623.0  ,     156
21647.4  ,     132
21671.8  ,     110
21696.3  ,      83
21720.7  ,      84
21745.2  ,      65
21769.6  ,      63
21794.0  ,      59
21818.5  ,      77
21842.9  ,      87
21867.4  ,      76
21891.8  ,      81
21916.2  ,      65
21940.7  ,      94
21965.1  ,      93
21989.6  ,      86
22014.0  ,      90
22038.4  ,     106
22062.9  ,     105
22087.3  ,     104
22111.7  ,     170
22136.2  ,     129
22160.6  ,     138
22185.1  ,     127
22209.5  ,     126
22233.9  ,     148
22258.4  ,     107
22282.8  ,      91
22307.3  ,      86
22331.7  ,      83
22356.1  ,      66
22380.6  ,      62
22405.0  ,      49
22429.5  ,      61
22453.9  ,      37
