"Target: Cumberland_A_adjusted_Target1, Contains DAT files: APB_422635407ESC02830060082_______M2.DAT"
16531.5  ,      56
16555.9  ,      33
16580.3  ,      32
16604.7  ,      53
16629.2  ,      51
16653.6  ,      54
16678.0  ,      51
16702.4  ,      66
16726.9  ,      54
16751.3  ,      57
16775.7  ,      45
16800.1  ,      68
16824.6  ,      74
16849.0  ,      71
16873.4  ,      67
16897.8  ,      78
16922.2  ,      67
16946.7  ,      88
16971.1  ,     102
16995.5  ,     111
17019.9  ,     107
17044.4  ,     109
17068.8  ,     100
17093.2  ,     114
17117.6  ,     114
17142.1  ,     104
17166.5  ,      97
17190.9  ,     116
17215.3  ,      87
17239.8  ,     115
17264.2  ,      80
17288.6  ,     107
17313.0  ,      78
17337.5  ,      83
17361.9  ,      73
17386.3  ,      61
17410.7  ,      86
17435.2  ,      77
17459.6  ,      70
17484.0  ,      50
17508.4  ,      63
17532.9  ,      63
17557.3  ,      55
17581.7  ,      54
17606.1  ,      77
17630.5  ,      61
17655.0  ,      65
17679.4  ,      72
17703.8  ,      68
17728.2  ,      53
17752.7  ,      55
17777.1  ,      42
17801.5  ,      47
17825.9  ,      36
17850.4  ,      43
17874.8  ,      24
17899.2  ,      27
17923.6  ,      33
17948.1  ,      23
17972.5  ,      27
17996.9  ,      22
18021.3  ,      37
18045.8  ,      33
18070.2  ,      31
18094.6  ,      33
18119.0  ,      48
18143.5  ,      60
18167.9  ,      65
18192.3  ,      69
18216.7  ,      72
18241.2  ,      66
18265.6  ,      90
18290.0  ,      99
18314.4  ,     105
18338.8  ,      98
18363.3  ,      82
18387.7  ,      70
18412.1  ,      66
18436.5  ,      58
18461.0  ,      40
18485.4  ,      28
18509.8  ,      27
18534.2  ,      12
18558.7  ,      12
18583.1  ,      14
18607.5  ,      10
18631.9  ,      10
18656.4  ,       9
18680.8  ,      13
18705.2  ,       6
18729.6  ,       7
18754.1  ,      13
18778.5  ,       9
18802.9  ,       6
18827.3  ,       7
18851.8  ,       2
18876.2  ,       5
18900.6  ,       8
18925.0  ,       8
18949.5  ,       8
18973.9  ,       9
18998.3  ,      17
19022.7  ,       8
19047.1  ,      10
19071.6  ,       7
19096.0  ,       9
19120.4  ,       9
19144.8  ,      11
19169.3  ,       8
19193.7  ,      10
19218.1  ,      11
19242.5  ,      16
19267.0  ,      11
19291.4  ,       9
19315.8  ,      13
19340.2  ,      12
19364.7  ,      17
19389.1  ,      14
19413.5  ,      25
19437.9  ,      17
19462.4  ,      18
19486.8  ,      18
19511.2  ,      20
19535.6  ,      27
19560.1  ,      24
19584.5  ,      13
19608.9  ,      31
19633.3  ,      25
19657.8  ,      31
19682.2  ,      27
19706.6  ,      19
19731.0  ,      25
19755.5  ,      22
19779.9  ,      17
19804.3  ,      46
19828.7  ,      23
19853.1  ,      30
19877.6  ,      29
19902.0  ,      28
19926.4  ,      33
19950.8  ,      30
19975.3  ,      32
19999.7  ,      26
20024.1  ,      23
20048.5  ,      19
20073.0  ,      29
20097.4  ,      20
20121.8  ,      26
20146.2  ,      20
20170.7  ,      16
20195.1  ,      24
20219.5  ,      30
20243.9  ,      12
20268.4  ,      24
20292.8  ,      18
20317.2  ,      16
20341.6  ,      18
20366.1  ,      19
20390.5  ,      14
20414.9  ,      17
20439.3  ,      17
20463.8  ,      16
20488.2  ,      16
20512.6  ,      15
20537.0  ,      11
20561.4  ,      11
20585.9  ,       6
20610.3  ,      16
20634.7  ,      15
20659.1  ,       4
20683.6  ,      18
20708.0  ,      13
20732.4  ,      12
20756.8  ,       8
20781.3  ,       8
20805.7  ,      10
20830.1  ,       9
20854.5  ,       9
20879.0  ,       9
20903.4  ,      10
20927.8  ,       6
20952.2  ,       7
20976.7  ,       7
21001.1  ,       3
21025.5  ,       9
21049.9  ,       5
21074.4  ,      10
21098.8  ,       7
21123.2  ,       5
21147.6  ,       5
21172.1  ,       6
21196.5  ,       7
21220.9  ,      14
21245.3  ,       9
21269.7  ,      12
21294.2  ,      16
21318.6  ,      11
21343.0  ,      11
21367.4  ,      20
21391.9  ,      20
21416.3  ,      25
21440.7  ,      18
21465.1  ,      23
21489.6  ,      15
21514.0  ,      17
21538.4  ,      20
21562.8  ,      13
21587.3  ,      18
21611.7  ,      14
21636.1  ,      16
21660.5  ,       7
21685.0  ,       5
21709.4  ,      11
21733.8  ,       5
21758.2  ,       1
21782.7  ,       6
21807.1  ,       5
21831.5  ,       4
21855.9  ,       4
21880.4  ,       4
21904.8  ,       5
21929.2  ,       4
21953.6  ,       3
21978.0  ,       9
22002.5  ,       6
22026.9  ,       6
22051.3  ,       9
22075.7  ,       6
22100.2  ,       5
22124.6  ,       7
22149.0  ,       3
22173.4  ,       6
22197.9  ,       6
22222.3  ,       6
22246.7  ,       4
22271.1  ,      11
22295.6  ,       6
22320.0  ,       2
22344.4  ,       7
22368.8  ,       2
22393.3  ,       5
22417.7  ,       4
22442.1  ,       2
22466.5  ,       7
22491.0  ,       8
22515.4  ,       3
22539.8  ,       4
22564.2  ,       6
22588.7  ,       2
22613.1  ,       2
22637.5  ,       4
22661.9  ,       4
22686.3  ,       2
22710.8  ,       3
22735.2  ,       5
22759.6  ,       7
22784.0  ,       4
22808.5  ,       2
22832.9  ,       5
22857.3  ,       2
22881.7  ,       3
22906.2  ,       2
22930.6  ,       3
22955.0  ,       3
22979.4  ,       4
23003.9  ,       4
23028.3  ,       2
23052.7  ,       1
23077.1  ,       4
23101.6  ,       3
23126.0  ,       4
23150.4  ,       1
23174.8  ,       3
23199.3  ,       5
23223.7  ,       7
23248.1  ,       6
23272.5  ,       5
23297.0  ,       7
23321.4  ,       1
23345.8  ,       2
23370.2  ,       6
23394.6  ,       6
23419.1  ,       4
23443.5  ,       2
23467.9  ,       0
23492.3  ,       1
23516.8  ,       3
23541.2  ,       2
23565.6  ,       5
23590.0  ,       3
23614.5  ,       6
23638.9  ,       0
23663.3  ,       7
23687.7  ,       1
23712.2  ,       2
23736.6  ,       2
23761.0  ,       6
23785.4  ,       4
23809.9  ,       3
23834.3  ,       4
23858.7  ,       1
23883.1  ,       8
23907.6  ,       5
23932.0  ,       3
23956.4  ,       4
23980.8  ,       6
24005.3  ,       6
24029.7  ,       1
24054.1  ,       1
24078.5  ,       4
24102.9  ,       4
24127.4  ,       1
24151.8  ,       4
24176.2  ,       1
24200.6  ,       5
24225.1  ,       2
24249.5  ,       2
24273.9  ,       2
24298.3  ,       4
24322.8  ,       6
24347.2  ,       3
24371.6  ,       5
24396.0  ,       3
24420.5  ,       5
24444.9  ,       5
24469.3  ,       1
24493.7  ,       1
24518.2  ,       3
24542.6  ,       2
24567.0  ,       5
24591.4  ,       2
24615.9  ,       5
24640.3  ,       3
24664.7  ,       1
24689.1  ,       5
24713.6  ,       2
24738.0  ,       5
24762.4  ,       6
24786.8  ,       5
24811.2  ,       3
24835.7  ,       5
24860.1  ,       2
24884.5  ,       1
24908.9  ,       5
24933.4  ,       4
24957.8  ,       4
24982.2  ,       4
25006.6  ,       4
25031.1  ,       2
25055.5  ,       4
25079.9  ,       8
25104.3  ,       7
25128.8  ,       4
25153.2  ,       6
25177.6  ,       4
25202.0  ,       6
25226.5  ,       4
25250.9  ,       3
25275.3  ,       6
25299.7  ,       3
25324.2  ,       6
25348.6  ,       4
25373.0  ,       5
25397.4  ,       5
25421.9  ,       3
25446.3  ,       7
25470.7  ,   11762
