"Target: Windjana_Raster2, Contains DAT files: APB_451822650ESC06120311330_______M1.DAT"
19324.7  ,      15
19349.1  ,      12
19373.5  ,      23
19397.9  ,      15
19422.3  ,      20
19446.7  ,      27
19471.1  ,      27
19495.5  ,      20
19519.9  ,      22
19544.3  ,      32
19568.7  ,      25
19593.1  ,      29
19617.5  ,      26
19641.9  ,      32
19666.3  ,      35
19690.7  ,      26
19715.1  ,      36
19739.5  ,      48
19763.9  ,      38
19788.3  ,      38
19812.7  ,      29
19837.1  ,      47
19861.5  ,      35
19886.0  ,      39
19910.4  ,      37
19934.8  ,      26
19959.2  ,      32
19983.6  ,      31
20008.0  ,      29
20032.4  ,      27
20056.8  ,      31
20081.2  ,      33
20105.6  ,      40
20130.0  ,      22
20154.4  ,      32
20178.8  ,      23
20203.2  ,      29
20227.6  ,      32
20252.0  ,      28
20276.4  ,      17
20300.8  ,      22
20325.2  ,      26
20349.6  ,      17
20374.0  ,      22
20398.4  ,      11
20422.8  ,      17
20447.2  ,      16
20471.6  ,      15
20496.0  ,      17
20520.5  ,      23
20544.9  ,      14
20569.3  ,      17
20593.7  ,      16
20618.1  ,      15
20642.5  ,      20
20666.9  ,      19
20691.3  ,      15
20715.7  ,      11
20740.1  ,      10
20764.5  ,      14
20788.9  ,      12
20813.3  ,      19
20837.7  ,      15
20862.1  ,       9
20886.5  ,       5
20910.9  ,       7
20935.3  ,       5
20959.7  ,       9
20984.1  ,       7
21008.5  ,       7
21032.9  ,       9
21057.3  ,       9
21081.7  ,       6
21106.1  ,      11
21130.5  ,      10
21154.9  ,      10
21179.4  ,      12
21203.8  ,       7
21228.2  ,      15
21252.6  ,      12
21277.0  ,      17
21301.4  ,      28
21325.8  ,      29
21350.2  ,      21
21374.6  ,      35
21399.0  ,      32
21423.4  ,      46
21447.8  ,      31
21472.2  ,      31
21496.6  ,      25
21521.0  ,      22
21545.4  ,      14
21569.8  ,      11
21594.2  ,      12
21618.6  ,      11
21643.0  ,      10
21667.4  ,      10
21691.8  ,       4
21716.2  ,      10
21740.6  ,       6
21765.0  ,       7
21789.4  ,       5
21813.8  ,       8
21838.3  ,       7
21862.7  ,       8
21887.1  ,       1
21911.5  ,       5
21935.9  ,       6
21960.3  ,       8
21984.7  ,       6
22009.1  ,       8
22033.5  ,       4
22057.9  ,       8
22082.3  ,      10
22106.7  ,      10
22131.1  ,       8
22155.5  ,      10
22179.9  ,       7
22204.3  ,       8
22228.7  ,      10
22253.1  ,      10
22277.5  ,       5
22301.9  ,       9
22326.3  ,       4
22350.7  ,       8
22375.1  ,       4
22399.5  ,       3
22423.9  ,       7
22448.3  ,       3
22472.7  ,       3
22497.2  ,       2
22521.6  ,       2
