"Target: Windjana_center_preDRT, Contains DAT files: APB_451820687ESC06120311330_______M1.DAT"
 9815.5  ,      12
 9839.9  ,      19
 9864.4  ,      24
 9888.8  ,      19
 9913.2  ,      23
 9937.6  ,      12
 9962.1  ,      15
 9986.5  ,       6
10010.9  ,       9
10035.4  ,       9
10059.8  ,       7
10084.2  ,      12
10108.6  ,      13
10133.1  ,       9
10157.5  ,       2
10181.9  ,       7
10206.3  ,       4
10230.8  ,       7
10255.2  ,       7
10279.6  ,      12
10304.1  ,       8
10328.5  ,       9
10352.9  ,       4
10377.3  ,       6
10401.8  ,       6
10426.2  ,       7
10450.6  ,       6
10475.1  ,       7
10499.5  ,       7
10523.9  ,       6
10548.3  ,       9
10572.8  ,       6
10597.2  ,       8
10621.6  ,       7
10646.0  ,       4
10670.5  ,       9
10694.9  ,      13
10719.3  ,       5
10743.8  ,      14
10768.2  ,       6
10792.6  ,       9
10817.0  ,       7
10841.5  ,       7
10865.9  ,       7
10890.3  ,      12
10914.8  ,      12
10939.2  ,      10
10963.6  ,       7
10988.0  ,      12
11012.5  ,      13
11036.9  ,      12
11061.3  ,       7
11085.7  ,      13
11110.2  ,      11
11134.6  ,      11
11159.0  ,       9
11183.5  ,      13
11207.9  ,       8
11232.3  ,       7
11256.7  ,      11
11281.2  ,       7
11305.6  ,      12
11330.0  ,      16
11354.5  ,      12
11378.9  ,      16
11403.3  ,      22
11427.7  ,      12
11452.2  ,      16
11476.6  ,      16
11501.0  ,      25
11525.4  ,      13
11549.9  ,      22
11574.3  ,      17
11598.7  ,      14
11623.2  ,      20
11647.6  ,      28
11672.0  ,      34
11696.4  ,      46
11720.9  ,      64
11745.3  ,      96
11769.7  ,     135
11794.2  ,     199
11818.6  ,     262
11843.0  ,     328
11867.4  ,     399
11891.9  ,     373
11916.3  ,     418
11940.7  ,     355
11965.1  ,     252
11989.6  ,     207
12014.0  ,     184
12038.4  ,     113
12062.9  ,      82
12087.3  ,      58
12111.7  ,      35
12136.1  ,      30
12160.6  ,      27
12185.0  ,      24
12209.4  ,      17
12233.9  ,      12
12258.3  ,      17
12282.7  ,      16
12307.1  ,       7
12331.6  ,      13
12356.0  ,      18
12380.4  ,      10
12404.8  ,      17
12429.3  ,      13
12453.7  ,       7
12478.1  ,      10
12502.6  ,      19
12527.0  ,      19
12551.4  ,      21
12575.8  ,      15
12600.3  ,      20
12624.7  ,      23
12649.1  ,      12
12673.6  ,      18
12698.0  ,      22
12722.4  ,      21
12746.8  ,      15
12771.3  ,      21
12795.7  ,      23
12820.1  ,      19
12844.5  ,      26
12869.0  ,      21
12893.4  ,      25
12917.8  ,      25
12942.3  ,      25
12966.7  ,      26
12991.1  ,      22
13015.5  ,      34
13040.0  ,      33
13064.4  ,      41
13088.8  ,      49
13113.3  ,      50
13137.7  ,      58
13162.1  ,      75
13186.5  ,      87
13211.0  ,      89
13235.4  ,     130
13259.8  ,     111
13284.2  ,     136
13308.7  ,     154
13333.1  ,     139
13357.5  ,     135
13382.0  ,     168
13406.4  ,     170
13430.8  ,     117
13455.2  ,     112
13479.7  ,     145
13504.1  ,     122
13528.5  ,     137
13553.0  ,     120
13577.4  ,     114
13601.8  ,     127
13626.2  ,     131
13650.7  ,     105
13675.1  ,     105
13699.5  ,     105
13723.9  ,      78
13748.4  ,      68
13772.8  ,      73
13797.2  ,      61
13821.7  ,      55
13846.1  ,      50
13870.5  ,      43
13894.9  ,      44
13919.4  ,      28
13943.8  ,      46
13968.2  ,      53
13992.7  ,      66
14017.1  ,      69
14041.5  ,      68
14065.9  ,      97
14090.4  ,     106
14114.8  ,     110
14139.2  ,     141
14163.6  ,     182
14188.1  ,     181
14212.5  ,     205
14236.9  ,     205
14261.4  ,     245
14285.8  ,     196
14310.2  ,     217
14334.6  ,     171
14359.1  ,     148
14383.5  ,     103
14407.9  ,      76
14432.4  ,      46
14456.8  ,      35
14481.2  ,      27
14505.6  ,      16
14530.1  ,      20
14554.5  ,       9
14578.9  ,      12
14603.3  ,       7
14627.8  ,      11
14652.2  ,      11
14676.6  ,      10
14701.1  ,      13
14725.5  ,      12
14749.9  ,      11
14774.3  ,      13
14798.8  ,      13
14823.2  ,      10
14847.6  ,       8
14872.1  ,      18
14896.5  ,      14
14920.9  ,      15
14945.3  ,      21
14969.8  ,      24
14994.2  ,      15
15018.6  ,      19
15043.0  ,      14
15067.5  ,      18
15091.9  ,      16
15116.3  ,       8
15140.8  ,      15
15165.2  ,      16
15189.6  ,      18
15214.0  ,      15
15238.5  ,      10
15262.9  ,      17
15287.3  ,      14
15311.8  ,      19
15336.2  ,      15
15360.6  ,      22
15385.0  ,      16
15409.5  ,      15
15433.9  ,      32
15458.3  ,      28
15482.7  ,      33
15507.2  ,      46
15531.6  ,      35
15556.0  ,      59
15580.5  ,      79
15604.9  ,      97
15629.3  ,     129
15653.7  ,     136
15678.2  ,     179
15702.6  ,     211
15727.0  ,     205
15751.5  ,     215
15775.9  ,     198
15800.3  ,     177
15824.7  ,     176
15849.2  ,     176
15873.6  ,     123
15898.0  ,      90
15922.4  ,      58
15946.9  ,      67
15971.3  ,      71
15995.7  ,      35
16020.2  ,      45
16044.6  ,      49
16069.0  ,      35
16093.4  ,      50
16117.9  ,      52
16142.3  ,      40
16166.7  ,      53
16191.2  ,      45
16215.6  ,      52
16240.0  ,      59
16264.4  ,      60
16288.9  ,      76
16313.3  ,      64
16337.7  ,      70
16362.1  ,      57
16386.6  ,      55
16411.0  ,      55
16435.4  ,      59
16459.9  ,      41
16484.3  ,      54
16508.7  ,      49
16533.1  ,      43
16557.6  ,      66
16582.0  ,      62
16606.4  ,      62
16630.9  ,      53
16655.3  ,      62
16679.7  ,      60
16704.1  ,      61
16728.6  ,      80
16753.0  ,      83
16777.4  ,      83
16801.8  ,      68
16826.3  ,      77
16850.7  ,      93
16875.1  ,     106
16899.6  ,     104
16924.0  ,      94
16948.4  ,     119
16972.8  ,     132
16997.3  ,     158
17021.7  ,     128
17046.1  ,     145
17070.5  ,     170
17095.0  ,     147
17119.4  ,     148
17143.8  ,     159
17168.3  ,     158
17192.7  ,     156
17217.1  ,     184
17241.5  ,     173
17266.0  ,     153
17290.4  ,     145
17314.8  ,     140
17339.3  ,     153
17363.7  ,     116
17388.1  ,      95
17412.5  ,     104
17437.0  ,      80
17461.4  ,      76
17485.8  ,      72
17510.2  ,      56
17534.7  ,      76
17559.1  ,      74
17583.5  ,      73
17608.0  ,      76
17632.4  ,      81
17656.8  ,      72
17681.2  ,      66
17705.7  ,      68
17730.1  ,      51
17754.5  ,      54
17779.0  ,      48
17803.4  ,      36
17827.8  ,      34
17852.2  ,      47
17876.7  ,      40
17901.1  ,      32
17925.5  ,      27
17949.9  ,      34
17974.4  ,      36
17998.8  ,      43
18023.2  ,      35
18047.7  ,      37
18072.1  ,      38
18096.5  ,      46
18120.9  ,      51
18145.4  ,      54
18169.8  ,      96
18194.2  ,     116
18218.7  ,     129
18243.1  ,     164
18267.5  ,     174
18291.9  ,     184
18316.4  ,     174
18340.8  ,     177
18365.2  ,     143
18389.6  ,     114
18414.1  ,      77
18438.5  ,      68
18462.9  ,      36
18487.4  ,      27
18511.8  ,      24
18536.2  ,      17
18560.6  ,      24
18585.1  ,      11
18609.5  ,       6
18633.9  ,       8
18658.4  ,       8
18682.8  ,       9
18707.2  ,      11
18731.6  ,       7
18756.1  ,      10
18780.5  ,      11
18804.9  ,       8
18829.3  ,       9
18853.8  ,       6
18878.2  ,      11
18902.6  ,      12
18927.1  ,       7
18951.5  ,      12
18975.9  ,      14
19000.3  ,      13
19024.8  ,       6
19049.2  ,       7
19073.6  ,       8
19098.1  ,      17
19122.5  ,       9
19146.9  ,      18
19171.3  ,      17
19195.8  ,      12
19220.2  ,      12
19244.6  ,      14
19269.0  ,      18
19293.5  ,       9
19317.9  ,      17
19342.3  ,      17
19366.8  ,      14
19391.2  ,      15
19415.6  ,      30
19440.0  ,      22
19464.5  ,      21
19488.9  ,      25
19513.3  ,      24
19537.8  ,      35
19562.2  ,      30
19586.6  ,      25
19611.0  ,      28
19635.5  ,      38
19659.9  ,      45
19684.3  ,      33
19708.7  ,      35
19733.2  ,      40
19757.6  ,      38
19782.0  ,      42
19806.5  ,      42
19830.9  ,      33
19855.3  ,      34
19879.7  ,      43
19904.2  ,      33
19928.6  ,      36
19953.0  ,      32
19977.5  ,      33
20001.9  ,      37
20026.3  ,      24
20050.7  ,      45
20075.2  ,      31
20099.6  ,      29
20124.0  ,      25
20148.4  ,      20
20172.9  ,      35
20197.3  ,      28
20221.7  ,      20
20246.2  ,      19
20270.6  ,      29
20295.0  ,      20
20319.4  ,      17
20343.9  ,      22
20368.3  ,      22
20392.7  ,      22
20417.2  ,      21
20441.6  ,      19
20466.0  ,      20
20490.4  ,      18
20514.9  ,      13
20539.3  ,      13
20563.7  ,      13
20588.1  ,      16
20612.6  ,      15
20637.0  ,      16
20661.4  ,      16
20685.9  ,      15
20710.3  ,      17
20734.7  ,      11
20759.1  ,      14
20783.6  ,       9
20808.0  ,       8
20832.4  ,      10
20856.9  ,      12
20881.3  ,       5
20905.7  ,      10
20930.1  ,      12
20954.6  ,       6
20979.0  ,       6
21003.4  ,       3
21027.8  ,       7
21052.3  ,       3
21076.7  ,       7
21101.1  ,       8
21125.6  ,       6
21150.0  ,       6
21174.4  ,       8
21198.8  ,      12
21223.3  ,       8
21247.7  ,      18
21272.1  ,      16
21296.6  ,      29
21321.0  ,      21
21345.4  ,      28
21369.8  ,      36
21394.3  ,      26
21418.7  ,      23
21443.1  ,      35
21467.5  ,      29
21492.0  ,      35
21516.4  ,      25
21540.8  ,      26
21565.3  ,      13
21589.7  ,      12
21614.1  ,      12
21638.5  ,       7
21663.0  ,       5
21687.4  ,       4
21711.8  ,       6
21736.3  ,       6
21760.7  ,       4
21785.1  ,       3
21809.5  ,       7
21834.0  ,       5
21858.4  ,       8
21882.8  ,       3
21907.2  ,       6
21931.7  ,       4
21956.1  ,       4
21980.5  ,       1
22005.0  ,       5
22029.4  ,       4
22053.8  ,       7
22078.2  ,       7
22102.7  ,       8
22127.1  ,      10
22151.5  ,      14
22176.0  ,      12
22200.4  ,      10
22224.8  ,       9
22249.2  ,       5
22273.7  ,       8
22298.1  ,       5
22322.5  ,       4
22346.9  ,       5
22371.4  ,       6
22395.8  ,       3
22420.2  ,       3
22444.7  ,       3
22469.1  ,       1
22493.5  ,       4
22517.9  ,       7
22542.4  ,       2
22566.8  ,       5
22591.2  ,       1
22615.7  ,       5
22640.1  ,       5
22664.5  ,       2
22688.9  ,       2
22713.4  ,       3
22737.8  ,       2
22762.2  ,       3
22786.6  ,       6
22811.1  ,       1
22835.5  ,       1
22859.9  ,       7
22884.4  ,       5
22908.8  ,       2
22933.2  ,       3
22957.6  ,       2
22982.1  ,       5
23006.5  ,       1
23030.9  ,       4
23055.4  ,       2
23079.8  ,       0
23104.2  ,       5
23128.6  ,       5
23153.1  ,       0
23177.5  ,       1
23201.9  ,       5
23226.3  ,       3
23250.8  ,       2
23275.2  ,       3
23299.6  ,       5
23324.1  ,       8
23348.5  ,       0
23372.9  ,       4
23397.3  ,       2
23421.8  ,       2
23446.2  ,       5
23470.6  ,       8
23495.1  ,       4
23519.5  ,       4
23543.9  ,       4
23568.3  ,       2
23592.8  ,       6
23617.2  ,       4
23641.6  ,       3
23666.0  ,       7
23690.5  ,       4
23714.9  ,       3
23739.3  ,       7
23763.8  ,       3
23788.2  ,       3
23812.6  ,       2
23837.0  ,       2
23861.5  ,       3
23885.9  ,       7
23910.3  ,       1
23934.8  ,       1
23959.2  ,       4
23983.6  ,       2
24008.0  ,       4
24032.5  ,       2
24056.9  ,       3
24081.3  ,       5
24105.7  ,       1
24130.2  ,       0
24154.6  ,       5
24179.0  ,       4
24203.5  ,       6
24227.9  ,       2
24252.3  ,       1
24276.7  ,       1
24301.2  ,       2
24325.6  ,       2
24350.0  ,       0
24374.5  ,       3
24398.9  ,       3
24423.3  ,       1
24447.7  ,       2
24472.2  ,       1
24496.6  ,       3
