"Target: BardinBluffs2_pebble, Contains DAT files: APB_432465123ESC03940160050_______M2.DAT"
24269.4  ,       6
24293.8  ,       1
24318.2  ,       1
24342.6  ,       3
24367.0  ,       3
24391.4  ,       5
24415.8  ,       4
24440.2  ,       2
24464.6  ,       1
24488.9  ,       3
24513.3  ,       4
24537.7  ,       2
24562.1  ,       0
24586.5  ,       4
24610.9  ,       5
24635.3  ,       2
24659.7  ,       1
24684.1  ,       4
24708.5  ,       0
24732.9  ,       1
24757.3  ,       0
24781.7  ,       0
24806.1  ,       4
24830.5  ,       1
24854.9  ,       1
24879.3  ,       3
24903.7  ,       1
24928.1  ,       2
24952.5  ,       5
24976.9  ,       4
25001.3  ,       2
25025.7  ,       4
25050.1  ,       4
25074.5  ,       4
25098.9  ,       0
25123.3  ,       3
25147.7  ,       3
25172.1  ,       3
25196.5  ,       3
25220.9  ,       3
25245.3  ,       2
25269.7  ,       3
25294.1  ,       2
25318.5  ,       0
25342.9  ,       2
25367.3  ,       4
25391.7  ,       0
25416.1  ,       2
25440.5  ,    7137
