"Target: Weissrand, Contains DAT files: APB_502475789ESC11830511298_______M1.DAT"
11199.6  ,     115
11224.0  ,     122
11248.4  ,     135
11272.8  ,     133
11297.2  ,     130
11321.6  ,     143
11346.0  ,     148
11370.4  ,     131
11394.8  ,     168
11419.1  ,     137
11443.5  ,     174
11467.9  ,     195
11492.3  ,     178
11516.7  ,     171
11541.1  ,     182
11565.5  ,     184
11589.9  ,     190
11614.3  ,     210
11638.7  ,     207
11663.1  ,     184
11687.5  ,     184
11711.9  ,     172
11736.3  ,     185
11760.7  ,     202
11785.1  ,     215
11809.5  ,     210
11833.9  ,     210
11858.3  ,     234
11882.7  ,     223
11907.1  ,     222
11931.5  ,     212
11955.9  ,     246
11980.3  ,     201
12004.7  ,     239
12029.1  ,     259
12053.5  ,     306
12077.9  ,     266
12102.3  ,     328
12126.7  ,     298
12151.1  ,     293
12175.5  ,     290
12199.9  ,     267
12224.3  ,     261
12248.7  ,     221
12273.1  ,     196
12297.5  ,     174
12321.9  ,     184
12346.3  ,     180
12370.7  ,     181
12395.1  ,     166
12419.5  ,     175
12443.9  ,     163
12468.3  ,     161
12492.7  ,     199
12517.1  ,     203
12541.5  ,     210
12565.9  ,     200
12590.3  ,     206
12614.7  ,     209
12639.1  ,     246
12663.5  ,     234
12687.8  ,     249
12712.2  ,     227
12736.6  ,     235
12761.0  ,     266
12785.4  ,     279
12809.8  ,     267
12834.2  ,     312
12858.6  ,     314
12883.0  ,     347
12907.4  ,     351
12931.8  ,     383
12956.2  ,     386
12980.6  ,     461
13005.0  ,     455
13029.4  ,     455
13053.8  ,     540
13078.2  ,     572
13102.6  ,     598
13127.0  ,     679
13151.4  ,     687
13175.8  ,     800
13200.2  ,     834
13224.6  ,     935
13249.0  ,    1004
13273.4  ,    1089
13297.8  ,    1134
13322.2  ,    1298
13346.6  ,    1421
13371.0  ,    1504
13395.4  ,    1617
13419.8  ,    1736
13444.2  ,    1688
13468.6  ,    1718
13493.0  ,    1815
13517.4  ,    1825
13541.8  ,    1812
13566.2  ,    1816
13590.6  ,    1775
13615.0  ,    1693
13639.4  ,    1642
13663.8  ,    1564
13688.2  ,    1480
13712.6  ,    1376
13737.0  ,    1280
13761.4  ,    1143
13785.8  ,    1047
13810.2  ,     936
13834.6  ,     891
13859.0  ,     839
13883.4  ,     760
13907.8  ,     775
13932.2  ,     793
13956.6  ,     756
13980.9  ,     822
14005.3  ,     895
14029.7  ,    1028
14054.1  ,    1101
14078.5  ,    1284
14102.9  ,    1415
14127.3  ,    1730
14151.7  ,    2046
14176.1  ,    2273
14200.5  ,    2587
14224.9  ,    2859
14249.3  ,    3014
14273.7  ,    3074
14298.1  ,    2871
14322.5  ,    2470
14346.9  ,    2123
14371.3  ,    1618
14395.7  ,    1194
14420.1  ,     860
14444.5  ,     609
14468.9  ,     407
14493.3  ,     315
14517.7  ,     211
14542.1  ,     200
14566.5  ,     168
14590.9  ,     157
14615.3  ,     155
14639.7  ,     151
14664.1  ,     151
14688.5  ,     154
14712.9  ,     176
14737.3  ,     155
14761.7  ,     155
14786.1  ,     201
14810.5  ,     176
14834.9  ,     214
14859.3  ,     194
14883.7  ,     222
14908.1  ,     230
14932.5  ,     194
14956.9  ,     249
14981.3  ,     220
15005.7  ,     230
15030.1  ,     222
15054.5  ,     247
15078.9  ,     261
15103.3  ,     252
15127.7  ,     287
15152.1  ,     309
15176.5  ,     302
15200.9  ,     352
15225.3  ,     311
15249.7  ,     326
15274.0  ,     341
15298.4  ,     324
15322.8  ,     363
15347.2  ,     379
15371.6  ,     396
15396.0  ,     426
15420.4  ,     437
15444.8  ,     451
15469.2  ,     491
15493.6  ,     585
15518.0  ,     686
15542.4  ,     857
15566.8  ,    1068
15591.2  ,    1372
15615.6  ,    1703
15640.0  ,    2159
15664.4  ,    2499
15688.8  ,    2809
15713.2  ,    2970
15737.6  ,    3155
15762.0  ,    3048
15786.4  ,    3055
15810.8  ,    2722
15835.2  ,    2357
15859.6  ,    1903
15884.0  ,    1529
15908.4  ,    1229
15932.8  ,    1068
15957.2  ,     904
15981.6  ,     721
16006.0  ,     716
16030.4  ,     694
16054.8  ,     701
16079.2  ,     760
16103.6  ,     769
16128.0  ,     810
16152.4  ,     832
16176.8  ,     808
16201.2  ,     885
16225.6  ,     839
16250.0  ,     925
16274.4  ,     900
16298.8  ,     946
16323.2  ,     995
16347.6  ,     919
16372.0  ,     934
16396.4  ,     956
16420.8  ,     930
16445.2  ,     911
16469.6  ,     937
16494.0  ,     944
16518.4  ,     882
16542.7  ,     953
16567.1  ,     956
16591.5  ,     950
16615.9  ,     990
16640.3  ,     978
16664.7  ,    1031
16689.1  ,    1103
16713.5  ,    1127
16737.9  ,    1158
16762.3  ,    1268
16786.7  ,    1309
16811.1  ,    1431
16835.5  ,    1548
16859.9  ,    1622
16884.3  ,    1727
16908.7  ,    1824
16933.1  ,    1919
16957.5  ,    1953
16981.9  ,    2073
17006.3  ,    2167
17030.7  ,    2199
17055.1  ,    2218
17079.5  ,    2323
17103.9  ,    2336
17128.3  ,    2389
17152.7  ,    2376
17177.1  ,    2515
17201.5  ,    2510
17225.9  ,    2634
17250.3  ,    2360
17274.7  ,    2366
17299.1  ,    2206
17323.5  ,    2052
17347.9  ,    1853
17372.3  ,    1717
17396.7  ,    1474
17421.1  ,    1332
17445.5  ,    1180
17469.9  ,    1131
17494.3  ,    1095
17518.7  ,    1043
17543.1  ,    1104
17567.5  ,    1048
17591.9  ,    1093
17616.3  ,    1136
17640.7  ,    1128
17665.1  ,    1141
17689.5  ,    1082
17713.9  ,     969
17738.3  ,     902
17762.7  ,     725
17787.1  ,     719
17811.5  ,     621
17835.8  ,     563
17860.2  ,     577
17884.6  ,     520
17909.0  ,     522
17933.4  ,     520
17957.8  ,     474
17982.2  ,     495
18006.6  ,     526
18031.0  ,     535
18055.4  ,     515
18079.8  ,     587
18104.2  ,     771
18128.6  ,     920
18153.0  ,    1069
18177.4  ,    1388
18201.8  ,    1662
18226.2  ,    1832
18250.6  ,    2193
18275.0  ,    2308
18299.4  ,    2311
18323.8  ,    2244
18348.2  ,    1877
18372.6  ,    1658
18397.0  ,    1379
18421.4  ,    1030
18445.8  ,     751
18470.2  ,     626
18494.6  ,     415
18519.0  ,     323
18543.4  ,     250
18567.8  ,     186
18592.2  ,     183
18616.6  ,     153
18641.0  ,     143
18665.4  ,     145
18689.8  ,     149
18714.2  ,     141
18738.6  ,     116
18763.0  ,     144
18787.4  ,     139
18811.8  ,     138
18836.2  ,     154
18860.6  ,     144
18885.0  ,     146
18909.4  ,     119
18933.8  ,     184
18958.2  ,     171
18982.6  ,     146
19007.0  ,     175
19031.4  ,     196
19055.8  ,     188
19080.2  ,     193
19104.6  ,     177
19128.9  ,     209
19153.3  ,     215
19177.7  ,     222
19202.1  ,     214
19226.5  ,     206
19250.9  ,     211
19275.3  ,     240
19299.7  ,     264
19324.1  ,     286
19348.5  ,     301
19372.9  ,     329
19397.3  ,     338
19421.7  ,     335
19446.1  ,     322
19470.5  ,     376
19494.9  ,     402
19519.3  ,     428
19543.7  ,     450
19568.1  ,     459
19592.5  ,     464
19616.9  ,     482
19641.3  ,     498
19665.7  ,     558
19690.1  ,     503
19714.5  ,     541
19738.9  ,     566
19763.3  ,     534
19787.7  ,     574
19812.1  ,     579
19836.5  ,     581
19860.9  ,     603
19885.3  ,     539
19909.7  ,     551
19934.1  ,     542
19958.5  ,     527
19982.9  ,     515
20007.3  ,     517
20031.7  ,     492
20056.1  ,     448
20080.5  ,     456
20104.9  ,     410
20129.3  ,     423
20153.7  ,     411
20178.1  ,     394
20202.5  ,     380
20226.9  ,     342
20251.3  ,     356
20275.7  ,     343
20300.1  ,     340
20324.5  ,     302
20348.9  ,     297
20373.3  ,     283
20397.6  ,     314
20422.0  ,     303
20446.4  ,     260
20470.8  ,     267
20495.2  ,     279
20519.6  ,     244
20544.0  ,     265
20568.4  ,     249
20592.8  ,     247
20617.2  ,     238
20641.6  ,     249
20666.0  ,     236
20690.4  ,     220
20714.8  ,     204
20739.2  ,     198
20763.6  ,     184
20788.0  ,     181
20812.4  ,     160
20836.8  ,     156
20861.2  ,     160
20885.6  ,     139
20910.0  ,     158
20934.4  ,     139
20958.8  ,     125
20983.2  ,     123
21007.6  ,     141
21032.0  ,     121
21056.4  ,      97
21080.8  ,      95
21105.2  ,      91
21129.6  ,     103
21154.0  ,     120
21178.4  ,     138
21202.8  ,     143
21227.2  ,     195
21251.6  ,     215
21276.0  ,     248
21300.4  ,     310
21324.8  ,     370
21349.2  ,     412
21373.6  ,     419
21398.0  ,     439
21422.4  ,     482
21446.8  ,     451
21471.2  ,     416
21495.6  ,     377
21520.0  ,     349
21544.4  ,     304
21568.8  ,     237
21593.2  ,     172
21617.6  ,     159
21642.0  ,     119
21666.4  ,      99
21690.7  ,      85
21715.1  ,      81
21739.5  ,      71
21763.9  ,      77
21788.3  ,      76
21812.7  ,      58
21837.1  ,      74
21861.5  ,      69
21885.9  ,      62
21910.3  ,      66
21934.7  ,      77
21959.1  ,      73
21983.5  ,      86
22007.9  ,      78
22032.3  ,      92
22056.7  ,      93
22081.1  ,     101
22105.5  ,     126
22129.9  ,     121
22154.3  ,     141
22178.7  ,     124
22203.1  ,     119
22227.5  ,     102
22251.9  ,     117
22276.3  ,     107
22300.7  ,      87
22325.1  ,      65
22349.5  ,      62
22373.9  ,      66
22398.3  ,      44
22422.7  ,      48
22447.1  ,      53
22471.5  ,      37
22495.9  ,      39
22520.3  ,      48
22544.7  ,      51
22569.1  ,      43
22593.5  ,      38
22617.9  ,      40
22642.3  ,      50
22666.7  ,      47
22691.1  ,      36
22715.5  ,      48
22739.9  ,      45
22764.3  ,      47
22788.7  ,      40
22813.1  ,      37
22837.5  ,      56
22861.9  ,      45
22886.3  ,      33
22910.7  ,      38
22935.1  ,      57
22959.4  ,      34
22983.8  ,      50
23008.2  ,      38
23032.6  ,      52
23057.0  ,      45
23081.4  ,      42
23105.8  ,      37
23130.2  ,      49
23154.6  ,      53
23179.0  ,      44
23203.4  ,      54
23227.8  ,      49
23252.2  ,      45
23276.6  ,      57
23301.0  ,      42
23325.4  ,      57
23349.8  ,      44
23374.2  ,      33
23398.6  ,      40
23423.0  ,      53
23447.4  ,      30
23471.8  ,      35
23496.2  ,      39
23520.6  ,      43
23545.0  ,      40
23569.4  ,      47
23593.8  ,      65
23618.2  ,      44
23642.6  ,      40
23667.0  ,      39
23691.4  ,      39
23715.8  ,      38
23740.2  ,      39
23764.6  ,      46
23789.0  ,      39
23813.4  ,      42
23837.8  ,      54
23862.2  ,      48
23886.6  ,      38
23911.0  ,      34
23935.4  ,      48
23959.8  ,      38
23984.2  ,      42
24008.6  ,      51
24033.0  ,      53
24057.4  ,      35
24081.8  ,      41
24106.2  ,      41
24130.6  ,      42
24155.0  ,      46
24179.4  ,      54
24203.8  ,      53
24228.2  ,      41
24252.5  ,      40
24276.9  ,      49
24301.3  ,      43
24325.7  ,      59
24350.1  ,      48
24374.5  ,      36
24398.9  ,      42
24423.3  ,      58
24447.7  ,      48
24472.1  ,      40
24496.5  ,      56
24520.9  ,      44
24545.3  ,      33
24569.7  ,      37
24594.1  ,      50
24618.5  ,      43
24642.9  ,      45
24667.3  ,      49
24691.7  ,      34
24716.1  ,      46
24740.5  ,      46
24764.9  ,      44
24789.3  ,      48
24813.7  ,      34
24838.1  ,      49
24862.5  ,      60
24886.9  ,      60
24911.3  ,      47
24935.7  ,      37
24960.1  ,      50
24984.5  ,      56
25008.9  ,      46
25033.3  ,      48
25057.7  ,      42
25082.1  ,      61
25106.5  ,      48
25130.9  ,      60
25155.3  ,      62
25179.7  ,      47
25204.1  ,      63
25228.5  ,      55
25252.9  ,      54
25277.3  ,      61
25301.7  ,      58
25326.1  ,      55
25350.5  ,      49
25374.9  ,      53
25399.3  ,      49
25423.7  ,      45
25448.1  ,  130768
