"Target: Maya, Contains DAT files: APB_430653584ESC03740140000_______M4.DAT"
18992.4  ,      57
19016.8  ,      56
19041.1  ,      74
19065.5  ,      61
19089.8  ,      77
19114.2  ,      62
19138.5  ,      78
19162.9  ,      67
19187.2  ,      71
19211.6  ,      87
19235.9  ,      90
19260.3  ,     100
19284.7  ,     116
19309.0  ,      99
19333.4  ,     100
19357.7  ,     132
19382.1  ,     104
19406.4  ,     123
19430.8  ,     124
19455.1  ,     127
19479.5  ,     156
19503.8  ,     156
19528.2  ,     181
19552.5  ,     179
19576.9  ,     173
19601.2  ,     178
19625.6  ,     176
19649.9  ,     191
19674.3  ,     181
19698.7  ,     188
19723.0  ,     192
19747.4  ,     217
19771.7  ,     225
19796.1  ,     210
19820.4  ,     236
19844.8  ,     172
19869.1  ,     211
19893.5  ,     220
19917.8  ,     213
19942.2  ,     172
19966.5  ,     216
19990.9  ,     176
20015.2  ,     160
20039.6  ,     171
20064.0  ,     161
20088.3  ,     144
20112.7  ,     162
20137.0  ,     132
20161.4  ,     146
20185.7  ,     137
20210.1  ,     117
20234.4  ,     139
20258.8  ,     127
20283.1  ,     147
20307.5  ,     128
20331.8  ,     124
20356.2  ,      72
20380.5  ,     115
20404.9  ,     101
20429.3  ,     108
20453.6  ,     110
20478.0  ,      91
20502.3  ,     112
20526.7  ,      88
20551.0  ,      70
20575.4  ,      79
20599.7  ,      79
20624.1  ,      75
20648.4  ,      73
20672.8  ,      81
20697.1  ,      81
20721.5  ,      62
20745.8  ,      62
20770.2  ,      72
20794.5  ,      63
20818.9  ,      63
20843.3  ,      57
20867.6  ,      62
20892.0  ,      52
20916.3  ,      42
20940.7  ,      53
20965.0  ,      55
20989.4  ,      42
21013.7  ,      41
21038.1  ,      43
21062.4  ,      37
21086.8  ,      57
21111.1  ,      38
21135.5  ,      56
21159.8  ,      51
21184.2  ,      47
21208.6  ,      68
21232.9  ,      55
21257.3  ,      89
21281.6  ,     111
21306.0  ,      95
21330.3  ,     103
21354.7  ,     127
21379.0  ,     131
21403.4  ,     134
21427.7  ,     145
21452.1  ,     127
21476.4  ,     131
21500.8  ,      97
21525.1  ,     103
21549.5  ,      83
21573.9  ,      74
21598.2  ,      56
21622.6  ,      35
21646.9  ,      43
21671.3  ,      33
21695.6  ,      31
21720.0  ,      25
21744.3  ,      31
21768.7  ,      30
21793.0  ,      18
21817.4  ,      37
21841.7  ,      22
21866.1  ,      32
21890.4  ,      30
21914.8  ,      26
21939.1  ,      25
21963.5  ,      30
21987.9  ,      40
22012.2  ,      38
