"Target: Stephen_Raster4, Contains DAT files: APB_453334302ESC06290311330_______M1.DAT"
13490.9  ,     220
13515.3  ,     200
13539.7  ,     195
13564.1  ,     182
13588.5  ,     164
13612.8  ,     137
13637.2  ,     195
13661.6  ,     155
13686.0  ,     144
13710.4  ,     133
13734.8  ,     137
13759.2  ,      98
13783.6  ,      97
13808.0  ,      94
13832.4  ,      93
13856.8  ,     102
13881.2  ,      65
13905.6  ,      88
13930.0  ,      87
13954.4  ,      65
13978.8  ,      91
14003.2  ,     109
14027.5  ,     128
14051.9  ,     119
14076.3  ,     128
14100.7  ,     179
14125.1  ,     176
14149.5  ,     226
14173.9  ,     214
14198.3  ,     243
14222.7  ,     273
14247.1  ,     288
14271.5  ,     293
14295.9  ,     254
14320.3  ,     267
14344.7  ,     218
14369.1  ,     190
14393.5  ,     156
14417.9  ,     112
14442.2  ,      91
14466.6  ,      70
14491.0  ,      45
14515.4  ,      37
14539.8  ,      37
14564.2  ,      17
14588.6  ,      15
14613.0  ,      19
14637.4  ,      13
14661.8  ,      11
14686.2  ,      20
14710.6  ,      13
14735.0  ,      15
14759.4  ,      20
14783.8  ,      16
14808.2  ,      18
14832.6  ,      16
14856.9  ,      17
14881.3  ,      19
14905.7  ,      26
14930.1  ,      24
14954.5  ,      20
14978.9  ,      24
15003.3  ,      24
15027.7  ,      26
15052.1  ,      20
15076.5  ,      21
15100.9  ,      24
15125.3  ,      20
15149.7  ,      24
15174.1  ,      17
15198.5  ,      28
15222.9  ,      26
15247.3  ,      27
15271.6  ,      27
15296.0  ,      31
15320.4  ,      45
15344.8  ,      30
15369.2  ,      49
15393.6  ,      34
15418.0  ,      40
15442.4  ,      55
15466.8  ,      56
15491.2  ,      61
15515.6  ,      52
15540.0  ,      84
15564.4  ,     105
15588.8  ,     148
15613.2  ,     153
15637.6  ,     178
15662.0  ,     189
15686.3  ,     242
15710.7  ,     246
15735.1  ,     257
15759.5  ,     254
15783.9  ,     281
15808.3  ,     201
15832.7  ,     210
15857.1  ,     195
15881.5  ,     148
15905.9  ,     123
15930.3  ,     119
15954.7  ,      81
15979.1  ,      93
16003.5  ,      91
16027.9  ,      79
16052.3  ,      78
16076.7  ,      68
16101.0  ,      85
16125.4  ,      84
16149.8  ,      86
16174.2  ,      86
16198.6  ,      77
16223.0  ,      87
16247.4  ,      87
16271.8  ,      82
16296.2  ,      85
16320.6  ,      82
16345.0  ,      80
16369.4  ,      91
16393.8  ,      93
16418.2  ,      88
16442.6  ,      83
16467.0  ,      89
16491.4  ,      84
16515.7  ,     114
16540.1  ,      84
16564.5  ,      92
16588.9  ,      94
16613.3  ,      93
16637.7  ,     110
16662.1  ,     100
16686.5  ,     106
16710.9  ,     109
16735.3  ,     103
16759.7  ,     123
16784.1  ,     132
16808.5  ,     145
16832.9  ,     143
16857.3  ,     139
16881.7  ,     135
16906.1  ,     153
16930.4  ,     187
16954.8  ,     176
16979.2  ,     183
17003.6  ,     200
17028.0  ,     214
17052.4  ,     247
17076.8  ,     227
17101.2  ,     220
17125.6  ,     229
17150.0  ,     249
17174.4  ,     252
17198.8  ,     269
17223.2  ,     222
17247.6  ,     259
17272.0  ,     243
17296.4  ,     252
17320.8  ,     205
17345.1  ,     218
17369.5  ,     178
17393.9  ,     165
17418.3  ,     147
17442.7  ,     150
17467.1  ,     126
17491.5  ,     149
17515.9  ,     113
17540.3  ,     101
17564.7  ,     100
17589.1  ,     105
17613.5  ,      91
17637.9  ,      98
17662.3  ,      91
17686.7  ,      84
17711.1  ,      81
17735.5  ,      92
17759.8  ,      84
17784.2  ,      58
17808.6  ,      74
17833.0  ,      65
17857.4  ,      49
17881.8  ,      60
17906.2  ,      68
17930.6  ,      44
17955.0  ,      55
17979.4  ,      48
18003.8  ,      42
18028.2  ,      64
18052.6  ,      47
18077.0  ,      80
18101.4  ,      80
18125.8  ,      77
18150.2  ,      89
18174.5  ,     149
18198.9  ,     180
18223.3  ,     193
18247.7  ,     223
18272.1  ,     212
18296.5  ,     203
18320.9  ,     207
18345.3  ,     197
18369.7  ,     183
18394.1  ,     159
18418.5  ,     148
18442.9  ,     104
18467.3  ,      90
18491.7  ,      68
18516.1  ,      36
18540.5  ,      29
18564.9  ,      26
18589.2  ,      23
18613.6  ,      15
18638.0  ,      10
18662.4  ,      22
18686.8  ,      19
18711.2  ,      18
18735.6  ,      12
18760.0  ,      17
18784.4  ,      13
18808.8  ,      18
18833.2  ,       8
18857.6  ,      11
18882.0  ,      16
18906.4  ,       7
18930.8  ,      14
18955.2  ,      13
18979.6  ,      13
19003.9  ,      16
19028.3  ,      24
19052.7  ,      15
19077.1  ,      16
19101.5  ,      19
19125.9  ,      19
19150.3  ,      20
19174.7  ,      14
19199.1  ,      33
19223.5  ,      28
19247.9  ,      25
19272.3  ,      24
19296.7  ,      29
19321.1  ,      22
19345.5  ,      29
19369.9  ,      25
19394.3  ,      35
19418.6  ,      26
19443.0  ,      28
19467.4  ,      24
19491.8  ,      39
19516.2  ,      31
19540.6  ,      46
19565.0  ,      47
19589.4  ,      45
19613.8  ,      41
19638.2  ,      44
19662.6  ,      43
19687.0  ,      45
19711.4  ,      61
19735.8  ,      57
19760.2  ,      45
19784.6  ,      57
19809.0  ,      40
19833.3  ,      62
19857.7  ,      60
19882.1  ,      56
19906.5  ,      72
19930.9  ,      53
19955.3  ,      55
19979.7  ,      51
20004.1  ,      51
20028.5  ,      45
20052.9  ,      46
20077.3  ,      46
20101.7  ,      48
20126.1  ,      40
20150.5  ,      37
20174.9  ,      54
20199.3  ,      46
20223.7  ,      35
20248.0  ,      28
20272.4  ,      31
20296.8  ,      39
20321.2  ,      33
20345.6  ,      31
20370.0  ,      24
20394.4  ,      32
20418.8  ,      32
20443.2  ,      34
20467.6  ,      25
20492.0  ,      27
20516.4  ,      16
20540.8  ,      18
20565.2  ,      19
20589.6  ,      27
20614.0  ,      29
20638.4  ,      20
20662.7  ,      10
20687.1  ,      18
20711.5  ,      12
20735.9  ,      22
20760.3  ,      19
20784.7  ,      25
20809.1  ,      16
20833.5  ,      18
20857.9  ,      22
20882.3  ,       9
20906.7  ,      16
20931.1  ,      13
20955.5  ,       7
20979.9  ,      12
21004.3  ,      24
21028.7  ,      13
21053.1  ,      15
21077.4  ,      17
21101.8  ,      10
21126.2  ,      11
21150.6  ,      15
21175.0  ,      24
21199.4  ,       5
21223.8  ,      14
21248.2  ,      27
21272.6  ,      23
21297.0  ,      27
21321.4  ,      42
21345.8  ,      43
21370.2  ,      42
21394.6  ,      53
21419.0  ,      47
21443.4  ,      50
21467.8  ,      34
21492.1  ,      51
21516.5  ,      34
21540.9  ,      35
21565.3  ,      37
21589.7  ,      23
21614.1  ,      14
21638.5  ,      14
21662.9  ,      13
21687.3  ,       5
21711.7  ,       5
21736.1  ,      12
21760.5  ,      14
21784.9  ,      13
21809.3  ,       8
21833.7  ,       7
21858.1  ,       5
21882.5  ,      11
21906.9  ,       9
21931.2  ,       8
21955.6  ,       5
21980.0  ,      10
22004.4  ,      10
22028.8  ,      16
22053.2  ,       8
22077.6  ,      17
22102.0  ,      15
22126.4  ,       8
22150.8  ,      14
22175.2  ,      15
22199.6  ,      12
22224.0  ,       4
22248.4  ,       8
22272.8  ,       9
22297.2  ,      13
22321.6  ,      10
22345.9  ,       8
22370.3  ,       7
22394.7  ,       3
22419.1  ,       5
22443.5  ,       3
22467.9  ,       6
22492.3  ,       7
22516.7  ,      12
22541.1  ,       5
22565.5  ,       4
22589.9  ,       3
22614.3  ,       2
22638.7  ,       2
22663.1  ,       6
22687.5  ,       0
22711.9  ,       6
22736.3  ,       8
22760.6  ,       3
22785.0  ,       2
22809.4  ,       5
22833.8  ,       4
22858.2  ,       8
22882.6  ,       6
22907.0  ,       5
22931.4  ,       6
22955.8  ,       4
22980.2  ,       5
23004.6  ,       4
23029.0  ,       6
23053.4  ,       9
23077.8  ,       3
23102.2  ,       6
23126.6  ,       7
23151.0  ,       4
23175.3  ,       4
23199.7  ,       5
23224.1  ,       7
23248.5  ,       5
23272.9  ,       5
23297.3  ,       3
23321.7  ,       5
23346.1  ,      10
23370.5  ,       8
23394.9  ,       3
23419.3  ,       2
23443.7  ,       6
23468.1  ,       6
23492.5  ,       5
23516.9  ,       3
23541.3  ,       7
23565.7  ,       5
23590.0  ,       2
23614.4  ,       7
23638.8  ,       5
23663.2  ,       6
23687.6  ,       2
23712.0  ,       5
23736.4  ,       8
23760.8  ,       7
23785.2  ,       4
23809.6  ,       6
23834.0  ,       5
