"Target: Morehouse_RP, Contains DAT files: APB_442195119ESC05040250000_______M2.DAT"
17660.1  ,    1860
17684.5  ,    1818
17708.8  ,    1611
17733.2  ,    1485
17757.6  ,    1378
17782.0  ,    1181
17806.4  ,    1009
17830.8  ,     953
17855.2  ,     933
17879.6  ,     887
17904.0  ,     865
17928.4  ,     844
17952.8  ,     846
17977.2  ,     889
18001.6  ,     811
18025.9  ,     884
18050.3  ,     867
18074.7  ,    1058
18099.1  ,    1192
18123.5  ,    1456
18147.9  ,    1920
18172.3  ,    2378
18196.7  ,    2739
18221.1  ,    3350
18245.5  ,    3889
18269.9  ,    4050
18294.3  ,    3967
18318.7  ,    3828
18343.0  ,    3569
18367.4  ,    3076
18391.8  ,    2421
18416.2  ,    1901
18440.6  ,    1380
18465.0  ,    1042
18489.4  ,     736
18513.8  ,     515
18538.2  ,     380
18562.6  ,     306
18587.0  ,     279
18611.4  ,     253
18635.8  ,     263
18660.1  ,     212
18684.5  ,     223
18708.9  ,     214
18733.3  ,     215
18757.7  ,     246
18782.1  ,     237
18806.5  ,     260
18830.9  ,     257
18855.3  ,     251
18879.7  ,     266
18904.1  ,     294
18928.5  ,     278
18952.9  ,     281
18977.2  ,     329
19001.6  ,     326
19026.0  ,     302
19050.4  ,     340
19074.8  ,     289
19099.2  ,     358
19123.6  ,     353
19148.0  ,     369
19172.4  ,     393
19196.8  ,     385
19221.2  ,     429
19245.6  ,     430
19270.0  ,     463
19294.3  ,     471
19318.7  ,     472
19343.1  ,     505
19367.5  ,     513
19391.9  ,     567
19416.3  ,     581
19440.7  ,     611
19465.1  ,     676
19489.5  ,     696
19513.9  ,     720
19538.3  ,     819
19562.7  ,     845
19587.1  ,     871
19611.4  ,     977
19635.8  ,     948
19660.2  ,    1060
19684.6  ,    1021
19709.0  ,    1066
19733.4  ,    1097
19757.8  ,    1135
19782.2  ,    1188
19806.6  ,    1133
19831.0  ,    1096
19855.4  ,    1184
19879.8  ,    1135
19904.2  ,    1109
19928.5  ,    1079
19952.9  ,    1098
19977.3  ,    1065
20001.7  ,    1063
20026.1  ,     998
20050.5  ,     879
20074.9  ,     918
20099.3  ,     899
20123.7  ,     868
20148.1  ,     819
20172.5  ,     809
20196.9  ,     778
20221.3  ,     729
20245.6  ,     659
20270.0  ,     692
20294.4  ,     658
20318.8  ,     648
20343.2  ,     657
20367.6  ,     615
20392.0  ,     585
20416.4  ,     562
20440.8  ,     544
20465.2  ,     507
20489.6  ,     530
20514.0  ,     491
20538.4  ,     465
20562.7  ,     474
20587.1  ,     446
20611.5  ,     413
20635.9  ,     459
20660.3  ,     426
20684.7  ,     395
20709.1  ,     390
20733.5  ,     344
20757.9  ,     350
20782.3  ,     318
20806.7  ,     317
20831.1  ,     269
20855.5  ,     277
20879.8  ,     260
20904.2  ,     206
20928.6  ,     243
20953.0  ,     233
20977.4  ,     208
21001.8  ,     209
21026.2  ,     207
21050.6  ,     204
21075.0  ,     184
21099.4  ,     204
21123.8  ,     199
21148.2  ,     189
21172.6  ,     219
21196.9  ,     271
21221.3  ,     313
21245.7  ,     370
21270.1  ,     362
21294.5  ,     543
21318.9  ,     574
21343.3  ,     642
21367.7  ,     735
21392.1  ,     780
21416.5  ,     770
21440.9  ,     795
21465.3  ,     741
21489.7  ,     695
21514.0  ,     566
21538.4  ,     495
21562.8  ,     398
21587.2  ,     273
21611.6  ,     246
21636.0  ,     206
21660.4  ,     158
21684.8  ,     134
21709.2  ,     122
21733.6  ,     105
21758.0  ,     102
21782.4  ,     112
21806.7  ,     123
21831.1  ,      85
21855.5  ,     104
21879.9  ,      93
21904.3  ,     130
21928.7  ,     116
21953.1  ,     129
21977.5  ,     144
22001.9  ,     159
22026.3  ,     174
22050.7  ,     193
