"Target: Aillik_RP_Spot2, Contains DAT files: APB_426102426ESC03220060804_______M2.DAT"
13277.5  ,     155
13301.9  ,     195
13326.3  ,     204
13350.7  ,     166
13375.2  ,     189
13399.6  ,     227
13424.0  ,     235
13448.4  ,     216
13472.8  ,     265
13497.2  ,     246
13521.6  ,     222
13546.0  ,     281
13570.5  ,     232
13594.9  ,     235
13619.3  ,     242
13643.7  ,     227
13668.1  ,     232
13692.5  ,     188
13716.9  ,     178
13741.3  ,     180
13765.8  ,     164
13790.2  ,     153
13814.6  ,     148
13839.0  ,     148
13863.4  ,      99
13887.8  ,     110
13912.2  ,      86
13936.6  ,     105
13961.1  ,      84
13985.5  ,      95
14009.9  ,     119
14034.3  ,     122
14058.7  ,     129
14083.1  ,     151
14107.5  ,     194
14131.9  ,     233
14156.4  ,     263
14180.8  ,     320
14205.2  ,     388
14229.6  ,     390
14254.0  ,     397
14278.4  ,     403
14302.8  ,     420
14327.2  ,     372
14351.7  ,     305
14376.1  ,     261
14400.5  ,     206
14424.9  ,     127
14449.3  ,     105
14473.7  ,      64
14498.1  ,      47
14522.6  ,      26
14547.0  ,      33
14571.4  ,      27
14595.8  ,      15
14620.2  ,      17
14644.6  ,      21
14669.0  ,      25
14693.4  ,      23
14717.9  ,      20
14742.3  ,      20
14766.7  ,      26
14791.1  ,      37
14815.5  ,      21
14839.9  ,      16
14864.3  ,      20
14888.7  ,      27
14913.2  ,      24
14937.6  ,      40
14962.0  ,      19
14986.4  ,      23
15010.8  ,      34
15035.2  ,      29
15059.6  ,      26
15084.0  ,      18
15108.5  ,      25
15132.9  ,      28
15157.3  ,      18
15181.7  ,      25
15206.1  ,      41
15230.5  ,      34
15254.9  ,      29
15279.3  ,      43
15303.8  ,      49
15328.2  ,      41
15352.6  ,      41
15377.0  ,      45
15401.4  ,      43
15425.8  ,      51
15450.2  ,      50
15474.6  ,      49
15499.1  ,      55
15523.5  ,      93
15547.9  ,      85
15572.3  ,     119
15596.7  ,     162
15621.1  ,     237
15645.5  ,     241
15669.9  ,     289
15694.4  ,     352
15718.8  ,     342
15743.2  ,     412
15767.6  ,     374
15792.0  ,     346
15816.4  ,     320
15840.8  ,     288
15865.2  ,     229
15889.7  ,     175
15914.1  ,     169
15938.5  ,     128
15962.9  ,     115
15987.3  ,      99
16011.7  ,      97
16036.1  ,      91
16060.5  ,      79
16085.0  ,      89
16109.4  ,      91
16133.8  ,     104
16158.2  ,      97
16182.6  ,     126
16207.0  ,     111
16231.4  ,     129
16255.8  ,     119
16280.3  ,     122
16304.7  ,     130
16329.1  ,     126
16353.5  ,     111
16377.9  ,     122
16402.3  ,     107
16426.7  ,     128
16451.1  ,     110
16475.6  ,     115
16500.0  ,     118
16524.4  ,     124
16548.8  ,     116
16573.2  ,     111
16597.6  ,     116
16622.0  ,     127
16646.4  ,     147
16670.9  ,     122
16695.3  ,     145
16719.7  ,     126
16744.1  ,     153
16768.5  ,     117
16792.9  ,     194
16817.3  ,     175
16841.7  ,     201
16866.2  ,     220
16890.6  ,     232
16915.0  ,     237
16939.4  ,     262
16963.8  ,     241
16988.2  ,     264
17012.6  ,     289
17037.0  ,     306
17061.5  ,     273
17085.9  ,     312
17110.3  ,     317
17134.7  ,     312
17159.1  ,     328
17183.5  ,     352
17207.9  ,     380
17232.3  ,     374
17256.8  ,     349
17281.2  ,     332
17305.6  ,     296
17330.0  ,     286
17354.4  ,     279
17378.8  ,     244
17403.2  ,     198
17427.7  ,     193
17452.1  ,     178
17476.5  ,     166
17500.9  ,     159
17525.3  ,     148
17549.7  ,     149
17574.1  ,     140
17598.5  ,     145
17623.0  ,     136
17647.4  ,     163
17671.8  ,     132
17696.2  ,     150
17720.6  ,      94
17745.0  ,      86
17769.4  ,      89
17793.8  ,      72
17818.3  ,      80
17842.7  ,      68
17867.1  ,      71
17891.5  ,      66
17915.9  ,      54
17940.3  ,      68
17964.7  ,      58
17989.1  ,      67
18013.6  ,      70
18038.0  ,      82
18062.4  ,      90
18086.8  ,      74
18111.2  ,     102
18135.6  ,     119
18160.0  ,     148
18184.4  ,     204
18208.9  ,     252
18233.3  ,     281
18257.7  ,     330
18282.1  ,     341
18306.5  ,     324
18330.9  ,     348
18355.3  ,     310
18379.7  ,     268
18404.2  ,     216
18428.6  ,     168
18453.0  ,     132
18477.4  ,      85
18501.8  ,      73
18526.2  ,      52
18550.6  ,      39
18575.0  ,      20
18599.5  ,      29
18623.9  ,      16
18648.3  ,      24
