"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
12394.7  ,       6
12419.2  ,      16
12443.6  ,       9
12468.1  ,      12
12492.5  ,       8
12517.0  ,      12
12541.4  ,      11
12565.9  ,      14
12590.4  ,      14
12614.8  ,      11
12639.3  ,      20
12663.7  ,      20
12688.2  ,      11
12712.6  ,      14
12737.1  ,       8
12761.5  ,      10
12786.0  ,      23
12810.4  ,      12
12834.9  ,      22
12859.4  ,      19
12883.8  ,      25
12908.3  ,      12
12932.7  ,      27
12957.2  ,      22
12981.6  ,      28
13006.1  ,      22
13030.5  ,      30
13055.0  ,      32
13079.4  ,      37
13103.9  ,      45
13128.3  ,      53
13152.8  ,      49
13177.3  ,      46
13201.7  ,      56
13226.2  ,      53
13250.6  ,      66
13275.1  ,      78
13299.5  ,      83
13324.0  ,      84
13348.4  ,      93
13372.9  ,      99
13397.3  ,     108
13421.8  ,     145
13446.3  ,     109
13470.7  ,     117
13495.2  ,     134
13519.6  ,     123
13544.1  ,     116
13568.5  ,     135
13593.0  ,     114
13617.4  ,     136
13641.9  ,     122
13666.3  ,     114
13690.8  ,      89
13715.3  ,      90
13739.7  ,     101
13764.2  ,      80
13788.6  ,      74
13813.1  ,      68
13837.5  ,      57
13862.0  ,      51
13886.4  ,      62
13910.9  ,      58
13935.3  ,      42
13959.8  ,      55
13984.3  ,      48
14008.7  ,      60
14033.2  ,      68
14057.6  ,      80
14082.1  ,      90
14106.5  ,     101
14131.0  ,      99
14155.4  ,     108
14179.9  ,     144
14204.3  ,     176
14228.8  ,     204
14253.3  ,     224
14277.7  ,     191
14302.2  ,     205
14326.6  ,     187
14351.1  ,     144
14375.5  ,     112
14400.0  ,      90
14424.4  ,      52
14448.9  ,      31
14473.3  ,      33
14497.8  ,      24
14522.3  ,      21
14546.7  ,      12
14571.2  ,      16
14595.6  ,      11
14620.1  ,      10
14644.5  ,      15
14669.0  ,      10
14693.4  ,      10
14717.9  ,      17
14742.3  ,      12
14766.8  ,       9
14791.3  ,      18
14815.7  ,      10
14840.2  ,       8
14864.6  ,      14
14889.1  ,      16
14913.5  ,      15
14938.0  ,      17
14962.4  ,      16
14986.9  ,      17
15011.3  ,      16
15035.8  ,      16
15060.3  ,      19
15084.7  ,      17
15109.2  ,      26
15133.6  ,      18
15158.1  ,      13
15182.5  ,      18
15207.0  ,      15
15231.4  ,      21
15255.9  ,      16
15280.3  ,      12
15304.8  ,      27
15329.2  ,      18
15353.7  ,      20
15378.2  ,      27
15402.6  ,      22
15427.1  ,      27
15451.5  ,      20
15476.0  ,      21
15500.4  ,      27
15524.9  ,      34
15549.3  ,      59
15573.8  ,      70
15598.2  ,      97
15622.7  ,     103
15647.2  ,     121
15671.6  ,     176
15696.1  ,     164
15720.5  ,     211
15745.0  ,     217
15769.4  ,     231
15793.9  ,     183
15818.3  ,     179
15842.8  ,     174
15867.2  ,     150
15891.7  ,     110
15916.2  ,      82
