"Target: Square_Top_3_overnight, Contains DAT files: APB_449295235ESC05840300786_______M1.DAT"
11041.3  ,     182
11065.6  ,     171
11090.0  ,     169
11114.4  ,     152
11138.8  ,     164
11163.1  ,     172
11187.5  ,     182
11211.9  ,     153
11236.2  ,     178
11260.6  ,     181
11285.0  ,     174
11309.4  ,     205
11333.7  ,     202
11358.1  ,     206
11382.5  ,     206
11406.9  ,     209
11431.2  ,     234
11455.6  ,     225
11480.0  ,     224
11504.3  ,     233
11528.7  ,     258
11553.1  ,     288
11577.5  ,     278
11601.8  ,     254
11626.2  ,     261
11650.6  ,     303
11674.9  ,     295
11699.3  ,     319
11723.7  ,     290
11748.1  ,     348
11772.4  ,     375
11796.8  ,     427
11821.2  ,     482
11845.6  ,     605
11869.9  ,     633
11894.3  ,     700
11918.7  ,     621
11943.0  ,     620
11967.4  ,     553
11991.8  ,     524
12016.2  ,     493
12040.5  ,     467
12064.9  ,     465
12089.3  ,     459
12113.7  ,     452
12138.0  ,     417
12162.4  ,     369
12186.8  ,     362
12211.1  ,     346
12235.5  ,     279
12259.9  ,     283
12284.3  ,     251
12308.6  ,     219
12333.0  ,     223
12357.4  ,     225
12381.7  ,     259
12406.1  ,     209
12430.5  ,     226
12454.9  ,     197
12479.2  ,     233
12503.6  ,     226
12528.0  ,     289
12552.4  ,     272
12576.7  ,     276
12601.1  ,     301
12625.5  ,     293
12649.8  ,     313
12674.2  ,     268
12698.6  ,     310
12723.0  ,     326
12747.3  ,     297
12771.7  ,     336
12796.1  ,     337
12820.5  ,     359
12844.8  ,     369
12869.2  ,     370
12893.6  ,     440
12917.9  ,     420
12942.3  ,     439
12966.7  ,     533
12991.1  ,     519
13015.4  ,     533
13039.8  ,     575
13064.2  ,     612
13088.5  ,     710
13112.9  ,     731
13137.3  ,     790
13161.7  ,     899
13186.0  ,     995
13210.4  ,    1189
13234.8  ,    1365
13259.2  ,    1494
13283.5  ,    1675
13307.9  ,    1775
13332.3  ,    2056
13356.6  ,    2173
13381.0  ,    2321
13405.4  ,    2230
13429.8  ,    2346
13454.1  ,    2323
13478.5  ,    2362
13502.9  ,    2410
13527.3  ,    2328
13551.6  ,    2254
13576.0  ,    2198
13600.4  ,    2107
13624.7  ,    2068
13649.1  ,    1969
13673.5  ,    1818
13697.9  ,    1711
13722.2  ,    1569
13746.6  ,    1445
13771.0  ,    1302
13795.3  ,    1192
13819.7  ,    1115
13844.1  ,     939
13868.5  ,     944
13892.8  ,     844
13917.2  ,     863
13941.6  ,    1002
13966.0  ,     967
13990.3  ,    1116
14014.7  ,    1216
14039.1  ,    1353
14063.4  ,    1559
14087.8  ,    1730
14112.2  ,    2086
14136.6  ,    2396
14160.9  ,    2746
14185.3  ,    3292
14209.7  ,    3636
14234.1  ,    3931
14258.4  ,    4086
14282.8  ,    4086
14307.2  ,    3647
14331.5  ,    3320
14355.9  ,    2648
14380.3  ,    2072
14404.7  ,    1434
14429.0  ,    1115
14453.4  ,     734
14477.8  ,     500
14502.1  ,     342
14526.5  ,     270
