"Target: Pilgrim, Contains DAT files: APB_498214247ESC11350500676_______M1.DAT"
11625.9  ,     189
11650.3  ,     199
11674.7  ,     201
11699.1  ,     247
11723.4  ,     287
11747.8  ,     334
11772.2  ,     457
11796.5  ,     674
11820.9  ,     767
11845.3  ,     928
11869.7  ,    1023
11894.0  ,    1069
11918.4  ,    1019
11942.8  ,     843
11967.1  ,     734
11991.5  ,     690
12015.9  ,     523
12040.3  ,     404
12064.6  ,     325
12089.0  ,     293
12113.4  ,     230
12137.7  ,     230
12162.1  ,     189
12186.5  ,     202
12210.9  ,     176
12235.2  ,     152
12259.6  ,     111
12284.0  ,     113
12308.4  ,     111
12332.7  ,     107
12357.1  ,     101
12381.5  ,     117
12405.8  ,     111
12430.2  ,     120
12454.6  ,     134
12479.0  ,     129
12503.3  ,     119
12527.7  ,     138
12552.1  ,     138
12576.4  ,     148
12600.8  ,     135
12625.2  ,     132
12649.6  ,     168
12673.9  ,     150
12698.3  ,     164
12722.7  ,     177
12747.0  ,     188
12771.4  ,     178
12795.8  ,     186
12820.2  ,     214
12844.5  ,     227
12868.9  ,     250
12893.3  ,     267
12917.6  ,     295
12942.0  ,     274
12966.4  ,     323
12990.8  ,     322
13015.1  ,     343
13039.5  ,     366
13063.9  ,     433
13088.2  ,     449
13112.6  ,     515
13137.0  ,     522
13161.4  ,     626
13185.7  ,     673
13210.1  ,     760
13234.5  ,     893
13258.8  ,     901
13283.2  ,     952
13307.6  ,    1080
13332.0  ,    1135
13356.3  ,    1228
13380.7  ,    1185
13405.1  ,    1364
13429.4  ,    1339
13453.8  ,    1303
13478.2  ,    1353
13502.6  ,    1319
13526.9  ,    1328
13551.3  ,    1334
13575.7  ,    1235
13600.0  ,    1222
13624.4  ,    1147
13648.8  ,    1116
13673.2  ,    1024
13697.5  ,     967
13721.9  ,     860
13746.3  ,     821
13770.7  ,     755
13795.0  ,     741
13819.4  ,     598
13843.8  ,     551
13868.1  ,     541
13892.5  ,     515
13916.9  ,     453
13941.3  ,     466
13965.6  ,     450
13990.0  ,     530
14014.4  ,     538
14038.7  ,     618
14063.1  ,     624
14087.5  ,     721
14111.9  ,     821
14136.2  ,     908
14160.6  ,    1090
14185.0  ,    1298
14209.3  ,    1452
14233.7  ,    1547
14258.1  ,    1582
14282.5  ,    1554
14306.8  ,    1413
14331.2  ,    1271
14355.6  ,    1042
14379.9  ,     831
14404.3  ,     587
14428.7  ,     423
14453.1  ,     293
14477.4  ,     239
14501.8  ,     185
14526.2  ,     114
14550.5  ,     121
14574.9  ,     114
14599.3  ,      98
14623.7  ,      98
14648.0  ,      98
14672.4  ,     102
14696.8  ,     101
14721.1  ,     110
14745.5  ,     113
14769.9  ,     120
14794.3  ,     141
14818.6  ,     126
14843.0  ,     133
14867.4  ,     116
14891.7  ,     122
14916.1  ,     141
14940.5  ,     163
14964.9  ,     165
14989.2  ,     153
15013.6  ,     150
15038.0  ,     158
15062.3  ,     176
15086.7  ,     184
15111.1  ,     175
15135.5  ,     206
15159.8  ,     220
15184.2  ,     228
15208.6  ,     238
15232.9  ,     278
15257.3  ,     275
15281.7  ,     260
15306.1  ,     316
15330.4  ,     262
15354.8  ,     289
15379.2  ,     301
15403.6  ,     327
15427.9  ,     335
15452.3  ,     359
15476.7  ,     413
15501.0  ,     519
15525.4  ,     611
15549.8  ,     751
15574.2  ,    1007
15598.5  ,    1290
15622.9  ,    1562
15647.3  ,    1894
15671.6  ,    2227
15696.0  ,    2578
15720.4  ,    2628
15744.8  ,    2836
15769.1  ,    2694
15793.5  ,    2471
15817.9  ,    2230
15842.2  ,    1870
15866.6  ,    1600
15891.0  ,    1237
15915.4  ,    1028
15939.7  ,     781
15964.1  ,     667
15988.5  ,     587
16012.8  ,     574
16037.2  ,     567
16061.6  ,     549
16086.0  ,     527
16110.3  ,     579
16134.7  ,     592
16159.1  ,     593
16183.4  ,     678
16207.8  ,     632
16232.2  ,     590
16256.6  ,     685
16280.9  ,     702
16305.3  ,     657
16329.7  ,     655
16354.0  ,     656
16378.4  ,     632
16402.8  ,     702
16427.2  ,     666
16451.5  ,     625
16475.9  ,     704
16500.3  ,     619
16524.6  ,     679
16549.0  ,     645
16573.4  ,     666
16597.8  ,     720
16622.1  ,     749
16646.5  ,     797
16670.9  ,     818
16695.2  ,     874
16719.6  ,     837
16744.0  ,     963
16768.4  ,    1001
16792.7  ,    1065
16817.1  ,    1068
16841.5  ,    1182
16865.9  ,    1222
16890.2  ,    1312
16914.6  ,    1362
16939.0  ,    1404
16963.3  ,    1502
16987.7  ,    1510
17012.1  ,    1628
17036.5  ,    1630
17060.8  ,    1629
17085.2  ,    1684
17109.6  ,    1657
17133.9  ,    1756
17158.3  ,    1716
17182.7  ,    1724
17207.1  ,    1704
17231.4  ,    1601
17255.8  ,    1568
17280.2  ,    1457
17304.5  ,    1458
17328.9  ,    1221
17353.3  ,    1162
17377.7  ,    1035
17402.0  ,     967
17426.4  ,     888
17450.8  ,     787
17475.1  ,     760
17499.5  ,     701
17523.9  ,     743
17548.3  ,     744
17572.6  ,     828
17597.0  ,     825
17621.4  ,     860
17645.7  ,     831
17670.1  ,     785
17694.5  ,     759
17718.9  ,     662
17743.2  ,     653
17767.6  ,     582
17792.0  ,     449
17816.3  ,     397
17840.7  ,     386
17865.1  ,     374
17889.5  ,     320
17913.8  ,     358
17938.2  ,     333
17962.6  ,     318
17986.9  ,     297
18011.3  ,     335
18035.7  ,     348
18060.1  ,     346
18084.4  ,     393
18108.8  ,     416
18133.2  ,     501
18157.5  ,     664
18181.9  ,     808
18206.3  ,     917
18230.7  ,    1026
18255.0  ,    1155
18279.4  ,    1180
18303.8  ,    1172
18328.1  ,    1138
18352.5  ,    1003
18376.9  ,     816
18401.3  ,     648
18425.6  ,     515
18450.0  ,     408
18474.4  ,     352
18498.8  ,     233
18523.1  ,     183
18547.5  ,     139
18571.9  ,     125
18596.2  ,     110
18620.6  ,      93
18645.0  ,     106
18669.4  ,     104
18693.7  ,      95
18718.1  ,      83
18742.5  ,      91
18766.8  ,      97
18791.2  ,     104
18815.6  ,      99
18840.0  ,      88
18864.3  ,      89
18888.7  ,     111
18913.1  ,     113
18937.4  ,     103
18961.8  ,     140
18986.2  ,     135
19010.6  ,     116
19034.9  ,     133
19059.3  ,     134
19083.7  ,     145
19108.0  ,     141
19132.4  ,     162
19156.8  ,     145
19181.2  ,     159
19205.5  ,     179
19229.9  ,     177
19254.3  ,     174
19278.6  ,     180
19303.0  ,     205
19327.4  ,     221
19351.8  ,     209
19376.1  ,     237
19400.5  ,     236
19424.9  ,     265
19449.2  ,     284
19473.6  ,     286
19498.0  ,     292
19522.4  ,     315
19546.7  ,     356
19571.1  ,     358
19595.5  ,     355
19619.8  ,     357
19644.2  ,     382
19668.6  ,     381
19693.0  ,     395
19717.3  ,     410
19741.7  ,     423
19766.1  ,     411
19790.4  ,     459
19814.8  ,     425
19839.2  ,     421
19863.6  ,     419
19887.9  ,     380
19912.3  ,     397
19936.7  ,     400
19961.1  ,     376
19985.4  ,     369
20009.8  ,     326
20034.2  ,     306
20058.5  ,     312
20082.9  ,     285
20107.3  ,     272
20131.7  ,     299
20156.0  ,     255
20180.4  ,     263
20204.8  ,     234
20229.1  ,     260
20253.5  ,     253
20277.9  ,     228
20302.3  ,     213
20326.6  ,     194
20351.0  ,     199
20375.4  ,     213
20399.7  ,     223
20424.1  ,     169
20448.5  ,     189
20472.9  ,     158
20497.2  ,     180
20521.6  ,     167
20546.0  ,     163
