"Target: Mescal_DRT_raster1, Contains DAT files: APB_470254694ESC08200441828_______M1.DAT"
14162.3  ,    3222
14186.7  ,    3761
14211.1  ,    4317
14235.5  ,    4628
14260.0  ,    4796
14284.4  ,    4766
14308.8  ,    4376
14333.2  ,    3729
14357.7  ,    3073
14382.1  ,    2358
14406.5  ,    1731
14430.9  ,    1154
14455.4  ,     795
14479.8  ,     553
14504.2  ,     390
14528.6  ,     315
14553.0  ,     262
14577.5  ,     225
14601.9  ,     245
14626.3  ,     253
14650.7  ,     234
14675.2  ,     246
14699.6  ,     261
14724.0  ,     252
14748.4  ,     303
14772.9  ,     292
14797.3  ,     317
14821.7  ,     307
14846.1  ,     372
14870.5  ,     321
14895.0  ,     403
14919.4  ,     381
14943.8  ,     375
14968.2  ,     388
14992.7  ,     438
15017.1  ,     393
15041.5  ,     364
15065.9  ,     358
15090.4  ,     359
15114.8  ,     361
15139.2  ,     374
15163.6  ,     377
15188.0  ,     427
15212.5  ,     382
15236.9  ,     385
15261.3  ,     431
15285.7  ,     416
15310.2  ,     416
15334.6  ,     466
15359.0  ,     476
15383.4  ,     518
15407.9  ,     525
15432.3  ,     569
15456.7  ,     687
15481.1  ,     722
15505.5  ,     823
15530.0  ,    1084
15554.4  ,    1296
15578.8  ,    1682
15603.2  ,    2225
15627.7  ,    2676
15652.1  ,    3269
15676.5  ,    3754
15700.9  ,    4186
15725.4  ,    4463
15749.8  ,    4528
15774.2  ,    4474
15798.6  ,    4114
15823.0  ,    3712
15847.5  ,    3057
15871.9  ,    2628
15896.3  ,    2076
15920.7  ,    1668
15945.2  ,    1418
15969.6  ,    1215
15994.0  ,    1105
16018.4  ,    1165
16042.9  ,    1128
16067.3  ,    1186
16091.7  ,    1165
16116.1  ,    1242
16140.5  ,    1296
16165.0  ,    1261
16189.4  ,    1377
16213.8  ,    1380
16238.2  ,    1406
16262.7  ,    1438
16287.1  ,    1441
16311.5  ,    1485
16335.9  ,    1450
16360.4  ,    1510
16384.8  ,    1454
16409.2  ,    1435
16433.6  ,    1456
16458.1  ,    1426
16482.5  ,    1458
16506.9  ,    1394
16531.3  ,    1420
16555.7  ,    1382
16580.2  ,    1413
16604.6  ,    1483
16629.0  ,    1461
16653.4  ,    1526
16677.9  ,    1585
16702.3  ,    1651
16726.7  ,    1706
16751.1  ,    1895
16775.6  ,    2043
16800.0  ,    2071
16824.4  ,    2220
16848.8  ,    2461
16873.2  ,    2598
16897.7  ,    2744
16922.1  ,    2932
16946.5  ,    3102
16970.9  ,    3284
16995.4  ,    3316
17019.8  ,    3521
17044.2  ,    3768
17068.6  ,    3752
17093.1  ,    3869
17117.5  ,    3975
17141.9  ,    3943
17166.3  ,    4226
17190.7  ,    4097
17215.2  ,    4311
17239.6  ,    4095
17264.0  ,    4011
17288.4  ,    3687
17312.9  ,    3602
17337.3  ,    3197
17361.7  ,    2963
17386.1  ,    2622
17410.6  ,    2547
17435.0  ,    2261
17459.4  ,    1971
17483.8  ,    1916
17508.2  ,    1823
17532.7  ,    1767
17557.1  ,    1706
17581.5  ,    1652
17605.9  ,    1673
17630.4  ,    1738
17654.8  ,    1623
17679.2  ,    1577
17703.6  ,    1444
17728.1  ,    1360
17752.5  ,    1207
17776.9  ,    1093
17801.3  ,     984
17825.7  ,     770
17850.2  ,     805
17874.6  ,     763
17899.0  ,     716
17923.4  ,     744
17947.9  ,     783
17972.3  ,     688
17996.7  ,     665
18021.1  ,     755
18045.6  ,     796
18070.0  ,     906
18094.4  ,    1021
18118.8  ,    1264
