"Target: Nedrow_RP, Contains DAT files: APB_442146515ESC05030250000_______M2.DAT"
12261.3  ,      16
12285.7  ,       8
12310.1  ,      11
12334.5  ,      13
12358.9  ,      14
12383.2  ,      13
12407.6  ,      10
12432.0  ,      15
12456.4  ,      12
12480.8  ,      14
12505.2  ,      19
12529.6  ,      20
12554.0  ,       8
12578.3  ,      17
12602.7  ,      16
12627.1  ,      14
12651.5  ,      17
12675.9  ,      19
12700.3  ,      16
12724.7  ,      13
12749.1  ,      16
12773.4  ,      15
12797.8  ,      21
12822.2  ,      18
12846.6  ,      12
12871.0  ,      19
12895.4  ,      25
12919.8  ,      19
12944.2  ,      24
12968.5  ,      31
12992.9  ,      29
13017.3  ,      34
13041.7  ,      33
13066.1  ,      35
13090.5  ,      56
13114.9  ,      44
13139.3  ,      42
13163.6  ,      50
13188.0  ,      66
13212.4  ,      66
13236.8  ,      68
13261.2  ,      74
13285.6  ,      69
13310.0  ,      93
13334.4  ,     112
13358.7  ,      96
13383.1  ,     102
13407.5  ,     128
13431.9  ,     109
13456.3  ,     155
13480.7  ,     158
13505.1  ,     152
13529.5  ,     156
13553.8  ,     135
13578.2  ,     134
13602.6  ,     135
13627.0  ,     129
13651.4  ,     118
13675.8  ,     131
13700.2  ,     109
13724.6  ,     109
13748.9  ,      75
13773.3  ,      67
13797.7  ,      89
13822.1  ,      64
13846.5  ,      57
13870.9  ,      57
13895.3  ,      51
13919.7  ,      36
13944.0  ,      34
13968.4  ,      50
13992.8  ,      67
14017.2  ,      71
14041.6  ,      64
14066.0  ,      73
14090.4  ,      96
14114.8  ,     111
14139.1  ,     141
14163.5  ,     157
14187.9  ,     164
14212.3  ,     168
14236.7  ,     231
14261.1  ,     207
14285.5  ,     223
14309.9  ,     166
14334.2  ,     157
14358.6  ,     133
14383.0  ,      87
14407.4  ,      66
14431.8  ,      55
14456.2  ,      43
14480.6  ,      18
14505.0  ,      14
14529.3  ,       9
14553.7  ,       7
14578.1  ,      11
14602.5  ,      11
14626.9  ,       4
14651.3  ,      13
14675.7  ,      15
14700.1  ,       7
14724.4  ,       6
14748.8  ,      13
14773.2  ,       8
14797.6  ,       7
14822.0  ,      14
14846.4  ,      13
14870.8  ,      17
14895.2  ,      25
14919.6  ,      15
14943.9  ,      13
14968.3  ,      18
14992.7  ,      23
15017.1  ,      20
15041.5  ,      18
15065.9  ,      19
15090.3  ,      17
15114.7  ,      11
15139.0  ,      11
15163.4  ,      19
15187.8  ,      15
15212.2  ,      13
15236.6  ,      23
15261.0  ,      15
15285.4  ,      17
15309.8  ,      24
15334.1  ,      26
15358.5  ,      26
15382.9  ,      32
15407.3  ,      23
15431.7  ,      38
15456.1  ,      22
15480.5  ,      30
15504.9  ,      41
15529.2  ,      46
15553.6  ,      57
15578.0  ,      87
15602.4  ,     110
15626.8  ,     105
15651.2  ,     146
15675.6  ,     180
15700.0  ,     184
15724.3  ,     212
15748.7  ,     200
15773.1  ,     201
15797.5  ,     185
15821.9  ,     179
15846.3  ,     134
15870.7  ,     103
15895.1  ,     103
15919.4  ,      72
15943.8  ,      67
15968.2  ,      57
15992.6  ,      46
16017.0  ,      61
16041.4  ,      56
16065.8  ,      43
16090.2  ,      61
16114.5  ,      62
16138.9  ,      60
16163.3  ,      58
16187.7  ,      61
16212.1  ,      51
16236.5  ,      69
16260.9  ,      67
16285.3  ,      60
16309.6  ,      57
16334.0  ,      63
16358.4  ,      61
16382.8  ,      53
16407.2  ,      75
16431.6  ,      78
16456.0  ,      76
16480.4  ,      62
16504.7  ,      78
16529.1  ,      56
16553.5  ,      51
16577.9  ,      72
16602.3  ,      77
16626.7  ,      62
16651.1  ,      80
16675.5  ,      68
16699.8  ,      63
16724.2  ,      81
16748.6  ,      88
16773.0  ,      98
16797.4  ,      97
16821.8  ,      87
16846.2  ,     110
16870.6  ,     111
16894.9  ,     116
16919.3  ,     147
16943.7  ,     131
16968.1  ,     158
16992.5  ,     150
17016.9  ,     156
17041.3  ,     157
17065.7  ,     178
17090.0  ,     179
17114.4  ,     182
17138.8  ,     173
17163.2  ,     158
17187.6  ,     151
17212.0  ,     187
17236.4  ,     161
17260.8  ,     187
17285.1  ,     172
17309.5  ,     143
17333.9  ,     164
17358.3  ,     138
17382.7  ,     124
17407.1  ,     102
17431.5  ,     101
