"Target: Sayunei_RP_d, Contains DAT files: APA_412169393ESC01650052270_______M2.DAT"
13460.5  ,      64
13484.9  ,      62
13509.4  ,      45
13533.8  ,      73
13558.3  ,      63
13582.7  ,      51
13607.1  ,      41
13631.6  ,      54
13656.0  ,      46
13680.5  ,      43
13704.9  ,      41
13729.3  ,      47
13753.8  ,      39
13778.2  ,      41
13802.7  ,      38
13827.1  ,      27
13851.5  ,      34
13876.0  ,      29
13900.4  ,      20
13924.9  ,      17
13949.3  ,      12
13973.7  ,      22
13998.2  ,      30
14022.6  ,      27
14047.1  ,      32
14071.5  ,      25
14096.0  ,      34
14120.4  ,      44
14144.8  ,      57
14169.3  ,      53
14193.7  ,      74
14218.2  ,     100
14242.6  ,      88
14267.0  ,     113
14291.5  ,     102
14315.9  ,      99
14340.4  ,      80
14364.8  ,      57
14389.2  ,      39
14413.7  ,      55
14438.1  ,      24
14462.6  ,      24
14487.0  ,      10
14511.4  ,      12
14535.9  ,       5
14560.3  ,       7
14584.8  ,       4
14609.2  ,       6
14633.6  ,       7
14658.1  ,       5
14682.5  ,       4
14707.0  ,       5
14731.4  ,       8
14755.8  ,       9
14780.3  ,       7
14804.7  ,       7
14829.2  ,       1
14853.6  ,       5
14878.1  ,       7
14902.5  ,      18
14926.9  ,       9
14951.4  ,       9
14975.8  ,      13
15000.3  ,       5
15024.7  ,      13
15049.1  ,       9
15073.6  ,      12
15098.0  ,      11
15122.5  ,       6
15146.9  ,       5
15171.3  ,      10
15195.8  ,       8
15220.2  ,      15
15244.7  ,      11
15269.1  ,      16
15293.5  ,      13
15318.0  ,      10
15342.4  ,      13
15366.9  ,      13
15391.3  ,       7
15415.7  ,      15
15440.2  ,      17
15464.6  ,       9
15489.1  ,      10
15513.5  ,      31
15537.9  ,      25
15562.4  ,      43
15586.8  ,      51
15611.3  ,      68
15635.7  ,      90
15660.2  ,     112
15684.6  ,     159
15709.0  ,     161
15733.5  ,     190
15757.9  ,     157
15782.4  ,     165
15806.8  ,     146
15831.2  ,     119
15855.7  ,     106
15880.1  ,      92
15904.6  ,      70
15929.0  ,      50
15953.4  ,      40
15977.9  ,      27
16002.3  ,      26
16026.8  ,      17
16051.2  ,      23
16075.6  ,      19
16100.1  ,      23
16124.5  ,      23
16149.0  ,      30
16173.4  ,      27
16197.8  ,      26
16222.3  ,      27
16246.7  ,      24
16271.2  ,      30
16295.6  ,      26
16320.1  ,      30
16344.5  ,      38
16368.9  ,      21
16393.4  ,      27
16417.8  ,      30
16442.3  ,      33
16466.7  ,      33
16491.1  ,      19
16515.6  ,      33
16540.0  ,      26
16564.5  ,      36
16588.9  ,      37
16613.3  ,      41
16637.8  ,      38
16662.2  ,      35
16686.7  ,      44
16711.1  ,      42
16735.5  ,      43
16760.0  ,      60
16784.4  ,      47
16808.9  ,      47
16833.3  ,      46
16857.7  ,      59
