"Target: Sayunei_RP_c, Contains DAT files: APA_412168451ESC01650052270_______M2.DAT"
15543.4  ,      37
15567.8  ,      41
15592.3  ,      58
15616.7  ,      71
15641.2  ,      95
15665.6  ,     109
15690.1  ,     135
15714.5  ,     167
15739.0  ,     175
15763.4  ,     177
15787.9  ,     152
15812.3  ,     144
15836.8  ,     123
15861.2  ,     103
15885.7  ,      80
15910.1  ,      64
15934.6  ,      42
15959.0  ,      39
15983.5  ,      29
16007.9  ,      20
16032.4  ,      27
16056.8  ,      30
16081.3  ,      23
16105.7  ,      20
16130.2  ,      28
16154.6  ,      25
16179.1  ,      23
16203.5  ,      21
16228.0  ,      21
16252.4  ,      24
16276.9  ,      20
16301.4  ,      21
16325.8  ,      34
16350.3  ,      35
16374.7  ,      33
16399.2  ,      29
16423.6  ,      26
16448.1  ,      23
16472.5  ,      27
16497.0  ,      27
16521.4  ,      19
16545.9  ,      24
16570.3  ,      27
16594.8  ,      26
16619.2  ,      23
16643.7  ,      36
16668.1  ,      31
16692.6  ,      27
16717.0  ,      29
16741.5  ,      28
16765.9  ,      40
16790.4  ,      48
16814.8  ,      47
16839.3  ,      41
16863.7  ,      61
16888.2  ,      37
16912.6  ,      58
16937.1  ,      51
16961.5  ,      66
16986.0  ,      47
17010.4  ,      50
17034.9  ,      70
17059.3  ,      64
17083.8  ,      79
17108.2  ,      65
17132.7  ,      81
17157.1  ,      62
17181.6  ,      73
17206.0  ,      72
17230.5  ,      77
17254.9  ,      56
17279.4  ,      62
17303.8  ,      68
17328.3  ,      50
17352.7  ,      54
17377.2  ,      46
17401.6  ,      45
17426.1  ,      32
17450.5  ,      41
17475.0  ,      43
17499.4  ,      31
17523.9  ,      26
17548.3  ,      37
17572.8  ,      54
17597.2  ,      41
17621.7  ,      29
17646.2  ,      50
17670.6  ,      52
17695.1  ,      39
17719.5  ,      30
17744.0  ,      39
17768.4  ,      25
17792.9  ,      22
17817.3  ,      16
17841.8  ,      25
17866.2  ,      13
17890.7  ,      17
17915.1  ,      24
17939.6  ,      22
17964.0  ,      18
17988.5  ,      16
18012.9  ,      16
18037.4  ,      10
18061.8  ,      22
18086.3  ,      25
18110.7  ,      20
18135.2  ,      20
18159.6  ,      29
18184.1  ,      38
18208.5  ,      58
18233.0  ,      61
18257.4  ,      52
18281.9  ,      66
18306.3  ,      54
18330.8  ,      79
18355.2  ,      61
18379.7  ,      58
18404.1  ,      36
18428.6  ,      26
18453.0  ,      24
18477.5  ,      22
18501.9  ,       8
18526.4  ,       7
18550.8  ,       5
18575.3  ,       6
18599.7  ,       6
18624.2  ,       5
18648.6  ,       3
18673.1  ,       6
18697.5  ,       4
18722.0  ,       7
18746.4  ,       6
18770.9  ,       4
18795.3  ,       6
18819.8  ,       5
18844.2  ,       8
18868.7  ,       2
18893.1  ,       8
18917.6  ,       7
18942.1  ,       2
18966.5  ,       8
18991.0  ,       3
19015.4  ,       6
19039.9  ,       5
19064.3  ,       2
19088.8  ,      12
19113.2  ,       7
19137.7  ,      10
19162.1  ,       7
19186.6  ,       7
19211.0  ,      10
19235.5  ,       9
19259.9  ,       8
19284.4  ,      14
19308.8  ,       6
19333.3  ,      11
19357.7  ,      11
19382.2  ,       8
19406.6  ,       8
19431.1  ,      14
19455.5  ,      10
19480.0  ,      18
19504.4  ,      15
19528.9  ,      11
19553.3  ,      21
19577.8  ,      16
19602.2  ,      16
19626.7  ,      20
19651.1  ,      12
19675.6  ,      19
19700.0  ,       8
19724.5  ,      21
19748.9  ,      16
19773.4  ,      25
19797.8  ,      20
19822.3  ,      24
19846.7  ,      13
19871.2  ,      21
19895.6  ,      15
19920.1  ,      18
19944.5  ,      19
19969.0  ,      19
19993.4  ,      19
20017.9  ,      12
20042.3  ,      21
20066.8  ,      21
20091.2  ,      12
20115.7  ,      19
20140.1  ,      10
20164.6  ,      13
20189.0  ,       9
20213.5  ,      18
20237.9  ,      10
20262.4  ,       7
20286.9  ,       6
20311.3  ,      10
20335.8  ,       6
20360.2  ,       7
20384.7  ,       7
20409.1  ,       7
20433.6  ,       9
20458.0  ,       5
20482.5  ,       8
20506.9  ,      10
20531.4  ,       7
20555.8  ,      12
20580.3  ,       9
20604.7  ,       9
20629.2  ,       7
20653.6  ,       9
20678.1  ,       8
20702.5  ,       5
20727.0  ,       3
20751.4  ,       5
