"Target: Sayunei_RP_b, Contains DAT files: APA_412167507ESC01650052270_______M2.DAT"
11682.1  ,       3
11706.6  ,       8
11731.0  ,       7
11755.5  ,      11
11779.9  ,      11
11804.4  ,      12
11828.8  ,      22
11853.3  ,      19
11877.8  ,      13
11902.2  ,      19
11926.7  ,      30
11951.1  ,      26
11975.6  ,      13
12000.0  ,      15
12024.5  ,       6
12048.9  ,      12
12073.4  ,      19
12097.8  ,      17
12122.3  ,      13
12146.7  ,      10
12171.2  ,      13
12195.6  ,       7
12220.1  ,       5
12244.5  ,       5
12269.0  ,      12
12293.4  ,       6
12317.9  ,      10
12342.4  ,      10
12366.8  ,       8
12391.3  ,      10
12415.7  ,       9
12440.2  ,      10
12464.6  ,      10
12489.1  ,       7
12513.5  ,       4
12538.0  ,      13
12562.4  ,       1
12586.9  ,      13
12611.3  ,       6
12635.8  ,       7
12660.2  ,      12
12684.7  ,       9
12709.1  ,      10
12733.6  ,       9
12758.0  ,       9
12782.5  ,       2
12807.0  ,      11
12831.4  ,      11
12855.9  ,      13
12880.3  ,       8
12904.8  ,      13
12929.2  ,       5
12953.7  ,      11
12978.1  ,       9
13002.6  ,      27
13027.0  ,      22
13051.5  ,      18
13075.9  ,      10
13100.4  ,      31
13124.8  ,      22
13149.3  ,      23
13173.7  ,       8
13198.2  ,      23
13222.7  ,      29
13247.1  ,      30
13271.6  ,      34
13296.0  ,      45
13320.5  ,      56
13344.9  ,      52
13369.4  ,      63
13393.8  ,      58
13418.3  ,      67
13442.7  ,      67
13467.2  ,      59
13491.6  ,      82
13516.1  ,      65
13540.5  ,      60
13565.0  ,      78
13589.4  ,      72
13613.9  ,      55
13638.3  ,      58
13662.8  ,      53
13687.3  ,      58
13711.7  ,      49
13736.2  ,      40
13760.6  ,      39
13785.1  ,      34
13809.5  ,      29
13834.0  ,      33
13858.4  ,      25
13882.9  ,      21
13907.3  ,      31
13931.8  ,      22
13956.2  ,      25
13980.7  ,      27
14005.1  ,      19
14029.6  ,      28
14054.0  ,      37
14078.5  ,      47
14102.9  ,      41
14127.4  ,      56
14151.9  ,      63
14176.3  ,      83
14200.8  ,      94
14225.2  ,      97
14249.7  ,     102
14274.1  ,     134
14298.6  ,     103
14323.0  ,     102
14347.5  ,      76
14371.9  ,      56
14396.4  ,      50
14420.8  ,      35
14445.3  ,      32
14469.7  ,      12
14494.2  ,      15
14518.6  ,       9
14543.1  ,       6
14567.5  ,       2
14592.0  ,       5
14616.5  ,       7
14640.9  ,       7
14665.4  ,       7
14689.8  ,       5
14714.3  ,       9
14738.7  ,       3
14763.2  ,       9
14787.6  ,       3
14812.1  ,       8
14836.5  ,       5
14861.0  ,       7
14885.4  ,       7
14909.9  ,       6
14934.3  ,       7
14958.8  ,       7
14983.2  ,       9
15007.7  ,       4
15032.1  ,       8
15056.6  ,      14
15081.1  ,      12
15105.5  ,       9
15130.0  ,       7
15154.4  ,       8
15178.9  ,      16
15203.3  ,      10
15227.8  ,       9
15252.2  ,       8
15276.7  ,      11
15301.1  ,       8
15325.6  ,      17
15350.0  ,       9
15374.5  ,      10
15398.9  ,      13
15423.4  ,      19
15447.8  ,      22
15472.3  ,      13
15496.8  ,      17
15521.2  ,      20
15545.7  ,      22
15570.1  ,      48
15594.6  ,      57
15619.0  ,      91
15643.5  ,     109
15667.9  ,     132
15692.4  ,     168
15716.8  ,     151
15741.3  ,     152
15765.7  ,     172
15790.2  ,     151
15814.6  ,     159
15839.1  ,     110
15863.5  ,      93
15888.0  ,      85
15912.4  ,      61
15936.9  ,      53
15961.4  ,      36
15985.8  ,      31
16010.3  ,      21
16034.7  ,      27
16059.2  ,      28
16083.6  ,      37
