"Target: Sayunei_RP_a, Contains DAT files: APA_412166565ESC01650052270_______M2.DAT"
 9680.2  ,       6
 9704.7  ,       2
 9729.1  ,       5
 9753.6  ,       5
 9778.1  ,       7
 9802.5  ,       8
 9827.0  ,       7
 9851.5  ,      13
 9875.9  ,      10
 9900.4  ,      11
 9924.8  ,       5
 9949.3  ,       7
 9973.8  ,       2
 9998.2  ,       5
10022.7  ,      10
10047.2  ,       3
10071.6  ,       8
10096.1  ,       2
10120.5  ,       4
10145.0  ,       7
10169.5  ,       6
10193.9  ,       3
10218.4  ,       6
10242.9  ,       7
10267.3  ,       6
10291.8  ,       4
10316.2  ,       3
10340.7  ,       9
10365.2  ,       4
10389.6  ,       2
10414.1  ,       5
10438.6  ,       5
10463.0  ,       7
10487.5  ,       3
10511.9  ,       5
10536.4  ,       3
10560.9  ,       6
10585.3  ,       7
10609.8  ,       6
10634.3  ,       4
10658.7  ,       8
10683.2  ,       6
10707.7  ,       2
10732.1  ,       5
10756.6  ,       2
10781.0  ,       3
10805.5  ,       5
10830.0  ,       5
10854.4  ,       2
10878.9  ,       5
10903.4  ,       3
10927.8  ,       8
10952.3  ,       4
10976.7  ,       5
11001.2  ,       5
11025.7  ,       8
11050.1  ,       5
11074.6  ,       3
11099.1  ,       6
11123.5  ,       6
11148.0  ,       3
11172.4  ,       3
11196.9  ,       4
11221.4  ,       4
11245.8  ,       6
11270.3  ,       4
11294.8  ,       4
11319.2  ,       7
11343.7  ,      10
11368.1  ,       6
11392.6  ,       7
11417.1  ,       7
11441.5  ,       3
11466.0  ,       4
11490.5  ,       9
11514.9  ,       9
11539.4  ,       3
11563.8  ,       9
11588.3  ,      12
11612.8  ,      10
11637.2  ,       8
11661.7  ,      12
11686.2  ,      10
11710.6  ,       8
11735.1  ,      11
11759.5  ,      12
11784.0  ,      18
11808.5  ,      18
11832.9  ,      19
11857.4  ,      37
11881.9  ,      26
11906.3  ,      24
11930.8  ,      22
11955.2  ,      26
11979.7  ,      24
12004.2  ,      17
12028.6  ,       7
12053.1  ,      19
12077.6  ,      17
12102.0  ,      13
12126.5  ,      13
12150.9  ,      15
12175.4  ,       9
12199.9  ,       5
12224.3  ,      12
12248.8  ,      15
12273.3  ,       6
12297.7  ,       9
12322.2  ,       4
12346.6  ,       8
12371.1  ,       6
12395.6  ,       5
12420.0  ,      11
12444.5  ,       9
12469.0  ,      10
12493.4  ,       9
12517.9  ,      13
12542.3  ,       8
12566.8  ,      11
12591.3  ,      10
12615.7  ,       4
12640.2  ,      11
12664.7  ,      12
12689.1  ,       5
12713.6  ,      10
12738.0  ,       6
12762.5  ,      13
12787.0  ,       5
12811.4  ,      13
12835.9  ,      14
12860.4  ,      11
12884.8  ,      17
12909.3  ,      14
12933.7  ,      20
12958.2  ,      20
12982.7  ,      16
13007.1  ,      12
13031.6  ,      13
13056.1  ,      20
13080.5  ,      22
13105.0  ,      23
13129.4  ,      30
13153.9  ,      25
13178.4  ,      36
13202.8  ,      29
13227.3  ,      41
13251.8  ,      46
13276.2  ,      50
13300.7  ,      42
13325.1  ,      51
13349.6  ,      35
13374.1  ,      64
13398.5  ,      61
13423.0  ,      55
13447.5  ,      61
13471.9  ,      83
13496.4  ,      63
13520.8  ,      68
13545.3  ,      65
13569.8  ,      67
13594.2  ,      63
13618.7  ,      64
13643.2  ,      66
13667.6  ,      70
13692.1  ,      75
13716.5  ,      47
13741.0  ,      36
13765.5  ,      28
13789.9  ,      40
13814.4  ,      39
13838.9  ,      33
13863.3  ,      25
13887.8  ,      24
13912.2  ,      22
13936.7  ,      21
13961.2  ,      24
13985.6  ,      18
14010.1  ,      24
14034.6  ,      40
14059.0  ,      38
14083.5  ,      38
14107.9  ,      54
14132.4  ,      52
14156.9  ,      62
14181.3  ,      82
14205.8  ,     104
14230.3  ,     115
14254.7  ,     127
14279.2  ,     105
14303.6  ,     122
14328.1  ,     121
14352.6  ,      69
14377.0  ,      54
14401.5  ,      45
14426.0  ,      28
14450.4  ,      21
14474.9  ,      10
14499.3  ,      15
14523.8  ,       9
14548.3  ,       4
14572.7  ,       6
14597.2  ,       9
14621.7  ,       6
14646.1  ,       8
14670.6  ,      12
14695.0  ,       5
14719.5  ,       9
14744.0  ,       4
14768.4  ,      12
14792.9  ,       8
14817.4  ,       3
14841.8  ,      15
14866.3  ,       4
14890.7  ,       6
14915.2  ,       9
14939.7  ,       9
14964.1  ,      17
14988.6  ,      11
15013.1  ,      11
15037.5  ,      12
15062.0  ,      11
15086.4  ,       5
15110.9  ,      14
15135.4  ,       4
15159.8  ,      11
15184.3  ,       8
15208.8  ,      11
15233.2  ,       9
15257.7  ,      18
15282.1  ,      13
15306.6  ,      13
15331.1  ,       8
15355.5  ,      16
15380.0  ,      18
15404.5  ,      16
15428.9  ,      14
15453.4  ,      12
15477.8  ,       6
15502.3  ,      20
15526.8  ,      37
15551.2  ,      25
15575.7  ,      49
15600.2  ,      67
15624.6  ,      75
15649.1  ,     116
15673.6  ,     140
15698.0  ,     158
15722.5  ,     168
15746.9  ,     171
15771.4  ,     170
15795.9  ,     170
15820.3  ,     143
15844.8  ,     135
15869.3  ,      85
15893.7  ,      85
15918.2  ,      66
15942.6  ,      48
15967.1  ,      52
15991.6  ,      30
16016.0  ,      27
16040.5  ,      31
16065.0  ,      24
16089.4  ,      31
16113.9  ,      29
16138.3  ,      32
16162.8  ,      37
16187.3  ,      29
16211.7  ,      20
16236.2  ,      26
16260.7  ,      40
16285.1  ,      29
16309.6  ,      25
16334.0  ,      41
16358.5  ,      37
16383.0  ,      32
16407.4  ,      35
16431.9  ,      20
16456.4  ,      24
16480.8  ,      26
16505.3  ,      32
16529.7  ,      30
16554.2  ,      34
16578.7  ,      28
16603.1  ,      47
16627.6  ,      55
16652.1  ,      33
16676.5  ,      40
16701.0  ,      48
16725.4  ,      44
16749.9  ,      34
16774.4  ,      60
16798.8  ,      60
16823.3  ,      57
16847.8  ,      59
16872.2  ,      74
16896.7  ,      62
16921.1  ,      53
16945.6  ,      63
16970.1  ,      71
16994.5  ,      76
17019.0  ,      70
17043.5  ,      77
17067.9  ,      74
17092.4  ,     111
17116.8  ,      97
17141.3  ,      79
17165.8  ,      88
17190.2  ,      94
17214.7  ,      85
17239.2  ,      91
17263.6  ,      93
17288.1  ,      90
17312.5  ,      74
17337.0  ,      78
17361.5  ,      53
17385.9  ,      67
17410.4  ,      52
17434.9  ,      49
17459.3  ,      42
17483.8  ,      47
17508.2  ,      51
17532.7  ,      41
17557.2  ,      40
17581.6  ,      38
17606.1  ,      50
17630.6  ,      53
17655.0  ,      45
17679.5  ,      48
17703.9  ,      48
17728.4  ,      52
17752.9  ,      34
17777.3  ,      29
17801.8  ,      37
17826.3  ,      25
17850.7  ,      19
17875.2  ,      18
17899.6  ,      19
17924.1  ,      17
17948.6  ,      11
17973.0  ,      19
17997.5  ,      26
18022.0  ,      10
18046.4  ,      12
18070.9  ,      20
18095.3  ,      24
18119.8  ,      24
18144.3  ,      36
18168.7  ,      46
18193.2  ,      62
18217.7  ,      49
18242.1  ,      84
18266.6  ,      78
18291.0  ,      85
18315.5  ,     110
18340.0  ,      93
18364.4  ,      67
18388.9  ,      50
18413.4  ,      50
18437.8  ,      32
18462.3  ,      34
18486.7  ,      19
18511.2  ,      16
18535.7  ,      14
18560.1  ,       9
18584.6  ,       7
18609.1  ,       6
18633.5  ,       5
18658.0  ,       6
18682.4  ,       5
18706.9  ,       6
18731.4  ,       5
18755.8  ,      10
18780.3  ,       9
18804.8  ,      10
18829.2  ,       4
18853.7  ,       7
18878.1  ,       3
18902.6  ,      10
18927.1  ,       9
18951.5  ,       5
18976.0  ,       6
19000.5  ,       7
19024.9  ,       7
19049.4  ,       6
19073.8  ,       4
19098.3  ,       9
19122.8  ,       7
19147.2  ,      10
19171.7  ,      11
19196.2  ,       7
19220.6  ,      11
19245.1  ,       8
19269.5  ,       4
19294.0  ,      10
19318.5  ,      13
19342.9  ,      10
19367.4  ,       9
19391.9  ,      15
19416.3  ,      19
19440.8  ,      10
19465.2  ,      15
19489.7  ,      15
19514.2  ,      18
19538.6  ,      12
19563.1  ,      20
19587.6  ,      18
19612.0  ,      25
19636.5  ,      11
19660.9  ,      20
19685.4  ,      21
19709.9  ,      18
19734.3  ,      34
19758.8  ,      29
19783.3  ,      22
19807.7  ,      24
19832.2  ,      21
19856.6  ,      25
19881.1  ,      25
19905.6  ,      19
19930.0  ,      13
19954.5  ,      15
19979.0  ,      15
20003.4  ,      18
20027.9  ,      14
20052.3  ,      17
20076.8  ,      19
20101.3  ,      20
20125.7  ,      29
20150.2  ,      14
20174.7  ,      18
20199.1  ,      12
20223.6  ,      15
20248.0  ,      12
20272.5  ,      12
20297.0  ,      13
20321.4  ,      14
20345.9  ,      12
20370.4  ,      10
20394.8  ,      18
20419.3  ,      12
20443.7  ,      10
20468.2  ,      11
20492.7  ,       9
20517.1  ,      11
20541.6  ,       5
20566.1  ,      10
20590.5  ,       7
20615.0  ,       5
20639.4  ,       6
20663.9  ,      11
20688.4  ,      10
20712.8  ,      14
20737.3  ,      10
20761.8  ,       5
20786.2  ,      11
20810.7  ,       6
20835.2  ,       9
20859.6  ,       3
20884.1  ,       5
20908.5  ,       6
20933.0  ,       2
20957.5  ,       4
20981.9  ,      13
21006.4  ,       5
