"Target: Maturango, Contains DAT files: APB_464560318ESC07560421020_______M1.DAT"
 9374.1  ,     203
 9398.5  ,     255
 9422.9  ,     317
 9447.4  ,     393
 9471.8  ,     481
 9496.2  ,     505
 9520.6  ,     603
 9545.0  ,     730
 9569.4  ,     740
 9593.9  ,     625
 9618.3  ,     550
 9642.7  ,     432
 9667.1  ,     359
 9691.5  ,     281
 9715.9  ,     276
 9740.4  ,     262
 9764.8  ,     270
 9789.2  ,     308
 9813.6  ,     338
 9838.0  ,     380
 9862.4  ,     419
 9886.9  ,     392
 9911.3  ,     348
 9935.7  ,     315
 9960.1  ,     251
 9984.5  ,     220
10008.9  ,     191
10033.4  ,     180
10057.8  ,     141
10082.2  ,     142
10106.6  ,     141
10131.0  ,     141
10155.4  ,     162
10179.9  ,     169
10204.3  ,     156
10228.7  ,     187
10253.1  ,     162
10277.5  ,     188
10301.9  ,     182
10326.4  ,     204
10350.8  ,     175
10375.2  ,     181
10399.6  ,     189
10424.0  ,     246
10448.4  ,     241
10472.9  ,     272
10497.3  ,     289
10521.7  ,     307
10546.1  ,     315
10570.5  ,     307
10594.9  ,     283
10619.4  ,     239
10643.8  ,     197
10668.2  ,     170
10692.6  ,     164
10717.0  ,     166
10741.4  ,     152
10765.9  ,     169
10790.3  ,     139
10814.7  ,     167
10839.1  ,     155
10863.5  ,     171
10887.9  ,     194
10912.4  ,     176
10936.8  ,     182
10961.2  ,     208
10985.6  ,     198
11010.0  ,     200
11034.4  ,     191
11058.9  ,     231
11083.3  ,     243
11107.7  ,     241
11132.1  ,     277
11156.5  ,     280
11180.9  ,     289
11205.4  ,     309
11229.8  ,     243
11254.2  ,     268
11278.6  ,     256
11303.0  ,     225
11327.4  ,     254
11351.9  ,     258
11376.3  ,     229
11400.7  ,     228
11425.1  ,     258
11449.5  ,     276
11473.9  ,     257
11498.4  ,     276
11522.8  ,     271
11547.2  ,     274
11571.6  ,     288
11596.0  ,     284
11620.4  ,     306
11644.8  ,     316
11669.3  ,     292
11693.7  ,     319
11718.1  ,     299
11742.5  ,     305
11766.9  ,     350
11791.3  ,     387
11815.8  ,     406
11840.2  ,     510
11864.6  ,     473
11889.0  ,     511
11913.4  ,     516
11937.8  ,     528
11962.3  ,     522
11986.7  ,     478
12011.1  ,     440
12035.5  ,     483
12059.9  ,     501
12084.3  ,     545
12108.8  ,     515
12133.2  ,     471
12157.6  ,     436
12182.0  ,     497
12206.4  ,     402
12230.8  ,     364
12255.3  ,     314
12279.7  ,     288
12304.1  ,     286
12328.5  ,     251
12352.9  ,     266
12377.3  ,     226
12401.8  ,     261
12426.2  ,     303
12450.6  ,     298
12475.0  ,     300
12499.4  ,     324
12523.8  ,     386
12548.3  ,     359
12572.7  ,     397
12597.1  ,     413
12621.5  ,     418
12645.9  ,     405
12670.3  ,     403
12694.8  ,     407
12719.2  ,     381
12743.6  ,     376
12768.0  ,     347
12792.4  ,     396
12816.8  ,     406
12841.3  ,     448
12865.7  ,     455
12890.1  ,     450
12914.5  ,     453
12938.9  ,     507
12963.3  ,     555
12987.8  ,     576
13012.2  ,     625
13036.6  ,     661
13061.0  ,     707
13085.4  ,     766
13109.8  ,     906
13134.3  ,     929
13158.7  ,    1057
13183.1  ,    1114
13207.5  ,    1174
13231.9  ,    1433
13256.3  ,    1539
13280.8  ,    1785
13305.2  ,    1871
13329.6  ,    2095
13354.0  ,    2273
13378.4  ,    2416
13402.8  ,    2644
13427.3  ,    2598
13451.7  ,    2670
13476.1  ,    2807
13500.5  ,    2835
13524.9  ,    2825
13549.3  ,    2846
13573.8  ,    2902
13598.2  ,    2715
13622.6  ,    2625
13647.0  ,    2534
13671.4  ,    2384
13695.8  ,    2196
13720.3  ,    1934
13744.7  ,    1918
13769.1  ,    1597
13793.5  ,    1538
13817.9  ,    1375
13842.3  ,    1285
13866.8  ,    1178
13891.2  ,    1101
13915.6  ,     995
13940.0  ,    1133
13964.4  ,    1152
13988.8  ,    1226
14013.3  ,    1424
14037.7  ,    1631
14062.1  ,    1777
14086.5  ,    2129
14110.9  ,    2378
14135.3  ,    2801
14159.8  ,    3189
14184.2  ,    3725
14208.6  ,    4136
14233.0  ,    4563
14257.4  ,    4649
14281.8  ,    4604
14306.2  ,    4233
14330.7  ,    3803
14355.1  ,    3044
14379.5  ,    2381
14403.9  ,    1688
14428.3  ,    1208
14452.7  ,     788
14477.2  ,     569
14501.6  ,     414
14526.0  ,     287
14550.4  ,     238
14574.8  ,     259
14599.2  ,     217
14623.7  ,     247
14648.1  ,     228
14672.5  ,     233
14696.9  ,     287
14721.3  ,     255
14745.7  ,     275
14770.2  ,     263
14794.6  ,     245
14819.0  ,     303
14843.4  ,     335
14867.8  ,     329
14892.2  ,     342
14916.7  ,     355
14941.1  ,     343
14965.5  ,     346
14989.9  ,     364
15014.3  ,     361
15038.7  ,     337
15063.2  ,     342
15087.6  ,     349
15112.0  ,     329
15136.4  ,     308
15160.8  ,     367
15185.2  ,     356
15209.7  ,     386
15234.1  ,     388
15258.5  ,     406
15282.9  ,     433
15307.3  ,     426
15331.7  ,     478
15356.2  ,     478
15380.6  ,     491
15405.0  ,     499
15429.4  ,     558
15453.8  ,     618
15478.2  ,     670
15502.7  ,     843
15527.1  ,    1023
15551.5  ,    1239
15575.9  ,    1626
15600.3  ,    2066
15624.7  ,    2548
15649.2  ,    3195
15673.6  ,    3652
15698.0  ,    4182
15722.4  ,    4217
15746.8  ,    4541
15771.2  ,    4301
15795.7  ,    4019
15820.1  ,    3602
15844.5  ,    3180
15868.9  ,    2592
15893.3  ,    2021
15917.7  ,    1697
15942.2  ,    1471
15966.6  ,    1142
15991.0  ,    1095
16015.4  ,    1049
16039.8  ,    1075
16064.2  ,    1005
16088.7  ,    1191
16113.1  ,    1152
16137.5  ,    1153
16161.9  ,    1238
16186.3  ,    1192
16210.7  ,    1307
16235.2  ,    1302
16259.6  ,    1335
16284.0  ,    1336
16308.4  ,    1376
16332.8  ,    1425
16357.2  ,    1356
16381.7  ,    1394
16406.1  ,    1413
16430.5  ,    1461
16454.9  ,    1311
16479.3  ,    1361
16503.7  ,    1309
16528.2  ,    1285
16552.6  ,    1344
16577.0  ,    1390
16601.4  ,    1403
16625.8  ,    1418
16650.2  ,    1478
16674.7  ,    1447
16699.1  ,    1544
16723.5  ,    1728
16747.9  ,    1760
16772.3  ,    1857
16796.7  ,    2022
16821.2  ,    2173
16845.6  ,    2278
16870.0  ,    2298
16894.4  ,    2664
16918.8  ,    2755
16943.2  ,    2918
16967.7  ,    3029
16992.1  ,    3201
17016.5  ,    3338
17040.9  ,    3479
17065.3  ,    3545
17089.7  ,    3662
17114.1  ,    3667
17138.6  ,    3715
17163.0  ,    3928
17187.4  ,    3942
17211.8  ,    3993
17236.2  ,    3976
17260.6  ,    3713
17285.1  ,    3626
17309.5  ,    3338
17333.9  ,    3215
17358.3  ,    2786
17382.7  ,    2578
17407.1  ,    2311
17431.6  ,    2066
17456.0  ,    1923
17480.4  ,    1704
17504.8  ,    1680
17529.2  ,    1603
17553.6  ,    1631
17578.1  ,    1671
17602.5  ,    1618
17626.9  ,    1611
17651.3  ,    1527
17675.7  ,    1452
17700.1  ,    1467
17724.6  ,    1304
17749.0  ,    1159
17773.4  ,     991
17797.8  ,     920
17822.2  ,     884
17846.6  ,     792
17871.1  ,     704
17895.5  ,     717
17919.9  ,     692
17944.3  ,     698
17968.7  ,     698
17993.1  ,     752
18017.6  ,     770
18042.0  ,     835
18066.4  ,     831
18090.8  ,     950
18115.2  ,    1163
18139.6  ,    1403
18164.1  ,    1749
18188.5  ,    2218
18212.9  ,    2585
18237.3  ,    3104
18261.7  ,    3426
18286.1  ,    3480
18310.6  ,    3423
18335.0  ,    3147
18359.4  ,    2954
18383.8  ,    2380
18408.2  ,    1895
18432.6  ,    1411
18457.1  ,    1047
18481.5  ,     787
18505.9  ,     582
18530.3  ,     402
18554.7  ,     318
18579.1  ,     265
18603.6  ,     218
18628.0  ,     203
18652.4  ,     234
18676.8  ,     219
18701.2  ,     202
18725.6  ,     203
18750.1  ,     178
18774.5  ,     192
18798.9  ,     209
18823.3  ,     188
18847.7  ,     212
18872.1  ,     206
18896.6  ,     206
18921.0  ,     202
18945.4  ,     203
18969.8  ,     249
18994.2  ,     253
19018.6  ,     247
19043.1  ,     247
19067.5  ,     272
19091.9  ,     239
19116.3  ,     265
19140.7  ,     289
19165.1  ,     310
19189.6  ,     295
19214.0  ,     311
19238.4  ,     305
19262.8  ,     345
19287.2  ,     369
19311.6  ,     393
19336.1  ,     379
19360.5  ,     391
19384.9  ,     460
19409.3  ,     438
19433.7  ,     477
19458.1  ,     531
19482.6  ,     507
19507.0  ,     561
19531.4  ,     555
19555.8  ,     646
19580.2  ,     657
19604.6  ,     667
19629.1  ,     745
19653.5  ,     792
19677.9  ,     789
19702.3  ,     842
19726.7  ,     811
19751.1  ,     907
19775.6  ,     836
19800.0  ,     911
19824.4  ,     953
19848.8  ,     892
19873.2  ,     903
19897.6  ,     887
19922.0  ,     848
19946.5  ,     889
19970.9  ,     808
19995.3  ,     794
20019.7  ,     797
20044.1  ,     747
20068.5  ,     716
20093.0  ,     727
20117.4  ,     712
20141.8  ,     674
20166.2  ,     628
20190.6  ,     611
20215.0  ,     614
20239.5  ,     540
20263.9  ,     513
20288.3  ,     530
20312.7  ,     498
20337.1  ,     482
20361.5  ,     444
20386.0  ,     448
20410.4  ,     409
20434.8  ,     416
20459.2  ,     384
20483.6  ,     419
20508.0  ,     360
20532.5  ,     373
20556.9  ,     408
20581.3  ,     350
20605.7  ,     349
20630.1  ,     347
20654.5  ,     329
20679.0  ,     316
20703.4  ,     332
20727.8  ,     308
20752.2  ,     279
20776.6  ,     247
20801.0  ,     272
20825.5  ,     240
20849.9  ,     248
20874.3  ,     234
20898.7  ,     203
20923.1  ,     212
20947.5  ,     178
20972.0  ,     168
20996.4  ,     186
21020.8  ,     169
21045.2  ,     189
21069.6  ,     154
21094.0  ,     181
21118.5  ,     173
21142.9  ,     195
21167.3  ,     187
21191.7  ,     222
21216.1  ,     233
21240.5  ,     281
21265.0  ,     364
21289.4  ,     404
21313.8  ,     458
21338.2  ,     579
21362.6  ,     630
21387.0  ,     702
21411.5  ,     681
21435.9  ,     728
21460.3  ,     639
21484.7  ,     641
21509.1  ,     536
21533.5  ,     477
21558.0  ,     390
21582.4  ,     290
21606.8  ,     267
21631.2  ,     217
21655.6  ,     137
21680.0  ,     120
21704.5  ,     109
21728.9  ,      93
21753.3  ,      98
21777.7  ,      96
21802.1  ,     118
21826.5  ,      91
21851.0  ,      82
21875.4  ,     113
21899.8  ,      99
21924.2  ,     100
21948.6  ,     120
21973.0  ,     127
21997.5  ,     134
22021.9  ,     140
22046.3  ,     161
22070.7  ,     177
22095.1  ,     143
22119.5  ,     193
22144.0  ,     198
22168.4  ,     171
22192.8  ,     194
22217.2  ,     180
22241.6  ,     149
22266.0  ,     144
22290.5  ,     134
22314.9  ,     115
22339.3  ,      93
22363.7  ,      92
22388.1  ,      79
22412.5  ,      83
22437.0  ,      60
22461.4  ,      62
22485.8  ,      63
22510.2  ,      63
22534.6  ,      61
22559.0  ,      72
22583.4  ,      69
22607.9  ,      73
22632.3  ,      63
22656.7  ,      60
22681.1  ,      55
22705.5  ,      66
22729.9  ,      59
22754.4  ,      57
22778.8  ,      83
22803.2  ,      79
22827.6  ,      67
22852.0  ,      69
22876.4  ,      66
22900.9  ,      59
22925.3  ,      67
22949.7  ,      61
22974.1  ,      70
22998.5  ,      54
23022.9  ,      54
23047.4  ,      67
23071.8  ,      62
23096.2  ,      59
23120.6  ,      77
23145.0  ,      64
23169.4  ,      66
23193.9  ,      63
23218.3  ,      74
23242.7  ,      74
23267.1  ,      58
23291.5  ,      75
23315.9  ,      70
