"Target: Bell_Island_target9_night, Contains DAT files: APA_407918149ESC01170050432_______M2.DAT"
14351.5  ,     202
14375.9  ,     160
14400.4  ,     132
14424.8  ,      77
14449.3  ,      68
14473.7  ,      56
14498.2  ,      33
14522.7  ,      23
14547.1  ,      26
14571.6  ,      16
14596.0  ,      21
14620.5  ,      13
14644.9  ,      18
14669.4  ,      21
14693.9  ,      10
14718.3  ,      14
14742.8  ,      12
14767.2  ,      16
14791.7  ,      12
14816.1  ,      11
14840.6  ,      25
14865.1  ,      29
14889.5  ,      15
14914.0  ,      16
14938.4  ,      24
14962.9  ,      24
14987.3  ,      28
15011.8  ,      15
15036.3  ,      23
15060.7  ,      23
15085.2  ,      17
15109.6  ,      20
15134.1  ,      26
15158.5  ,      22
15183.0  ,      22
15207.4  ,      26
15231.9  ,      28
15256.4  ,      27
15280.8  ,      29
15305.3  ,      43
15329.7  ,      21
15354.2  ,      22
15378.6  ,      32
15403.1  ,      29
15427.6  ,      32
15452.0  ,      41
15476.5  ,      28
15500.9  ,      42
15525.4  ,      71
15549.8  ,      67
15574.3  ,      74
15598.8  ,      95
15623.2  ,     139
15647.7  ,     184
15672.1  ,     252
15696.6  ,     266
15721.0  ,     289
15745.5  ,     276
15770.0  ,     312
15794.4  ,     288
15818.9  ,     264
15843.3  ,     218
15867.8  ,     206
15892.2  ,     155
15916.7  ,     123
15941.2  ,     102
15965.6  ,      92
15990.1  ,      76
16014.5  ,      70
16039.0  ,      64
16063.4  ,      66
16087.9  ,      83
16112.4  ,      62
16136.8  ,      59
16161.3  ,      84
16185.7  ,      83
16210.2  ,      71
16234.6  ,      66
16259.1  ,      80
16283.6  ,      77
16308.0  ,      74
16332.5  ,      68
16356.9  ,      75
16381.4  ,      79
16405.8  ,      83
16430.3  ,      75
16454.8  ,      64
16479.2  ,      95
16503.7  ,      90
16528.1  ,      66
16552.6  ,      78
16577.0  ,      78
16601.5  ,      75
16625.9  ,      70
16650.4  ,      96
16674.9  ,      95
16699.3  ,      91
16723.8  ,     102
16748.2  ,      88
16772.7  ,     105
16797.1  ,     109
16821.6  ,     131
16846.1  ,     123
16870.5  ,     134
16895.0  ,     137
16919.4  ,     170
16943.9  ,     173
16968.3  ,     175
16992.8  ,     164
17017.3  ,     201
17041.7  ,     201
17066.2  ,     196
17090.6  ,     230
17115.1  ,     216
17139.5  ,     211
17164.0  ,     212
17188.5  ,     245
17212.9  ,     227
17237.4  ,     214
17261.8  ,     230
17286.3  ,     245
17310.7  ,     191
17335.2  ,     189
17359.7  ,     185
17384.1  ,     150
17408.6  ,     140
17433.0  ,     122
17457.5  ,     108
17481.9  ,     118
17506.4  ,      96
17530.9  ,      96
17555.3  ,      90
17579.8  ,     103
17604.2  ,     106
17628.7  ,     114
17653.1  ,     104
17677.6  ,     114
17702.1  ,      83
17726.5  ,      83
17751.0  ,      95
17775.4  ,      61
17799.9  ,      60
17824.3  ,      58
17848.8  ,      58
17873.3  ,      35
17897.7  ,      38
17922.2  ,      48
17946.6  ,      39
17971.1  ,      35
17995.5  ,      44
18020.0  ,      40
18044.4  ,      33
18068.9  ,      48
18093.4  ,      56
18117.8  ,      65
18142.3  ,      73
18166.7  ,      94
18191.2  ,     111
18215.6  ,     158
18240.1  ,     190
18264.6  ,     186
18289.0  ,     225
18313.5  ,     208
18337.9  ,     194
18362.4  ,     169
18386.8  ,     151
18411.3  ,     119
18435.8  ,      95
18460.2  ,      92
18484.7  ,      54
18509.1  ,      39
18533.6  ,      32
18558.0  ,      22
18582.5  ,      25
18607.0  ,      20
18631.4  ,      20
18655.9  ,      14
18680.3  ,      10
18704.8  ,      13
18729.2  ,       9
18753.7  ,      11
18778.2  ,      10
18802.6  ,      15
18827.1  ,      12
18851.5  ,      19
18876.0  ,      10
18900.4  ,      15
18924.9  ,      11
18949.4  ,      17
18973.8  ,      14
18998.3  ,       9
19022.7  ,      19
19047.2  ,      24
19071.6  ,      12
19096.1  ,      18
19120.6  ,      20
19145.0  ,      21
19169.5  ,      17
19193.9  ,      21
19218.4  ,      17
19242.8  ,      21
19267.3  ,      22
19291.7  ,      23
19316.2  ,      17
19340.7  ,      27
19365.1  ,      22
19389.6  ,      28
19414.0  ,      21
19438.5  ,      24
19462.9  ,      36
19487.4  ,      25
19511.9  ,      33
19536.3  ,      28
19560.8  ,      36
19585.2  ,      45
19609.7  ,      45
19634.1  ,      47
19658.6  ,      43
19683.1  ,      50
19707.5  ,      52
19732.0  ,      45
19756.4  ,      49
19780.9  ,      54
19805.3  ,      50
19829.8  ,      58
19854.3  ,      64
19878.7  ,      49
19903.2  ,      61
19927.6  ,      43
19952.1  ,      49
19976.5  ,      39
20001.0  ,      53
20025.5  ,      53
20049.9  ,      44
20074.4  ,      31
20098.8  ,      48
20123.3  ,      42
20147.7  ,      40
20172.2  ,      28
20196.7  ,      37
20221.1  ,      35
20245.6  ,      32
20270.0  ,      28
20294.5  ,      30
20318.9  ,      28
20343.4  ,      25
20367.9  ,      19
20392.3  ,      30
20416.8  ,      24
20441.2  ,      36
20465.7  ,      20
20490.1  ,      19
20514.6  ,      26
20539.1  ,      23
20563.5  ,      35
20588.0  ,      33
20612.4  ,      20
20636.9  ,      19
20661.3  ,      20
20685.8  ,      15
20710.2  ,      13
20734.7  ,      21
20759.2  ,      23
20783.6  ,      21
20808.1  ,      16
20832.5  ,      18
20857.0  ,      17
20881.4  ,      12
20905.9  ,      20
20930.4  ,      11
20954.8  ,      12
20979.3  ,      11
21003.7  ,       7
21028.2  ,       9
21052.6  ,      11
21077.1  ,       7
21101.6  ,      18
21126.0  ,      16
21150.5  ,      12
21174.9  ,       8
21199.4  ,       8
21223.8  ,      12
21248.3  ,      20
21272.8  ,      19
21297.2  ,      27
21321.7  ,      28
21346.1  ,      26
21370.6  ,      45
21395.0  ,      33
21419.5  ,      51
21444.0  ,      48
21468.4  ,      33
21492.9  ,      33
21517.3  ,      32
21541.8  ,      27
21566.2  ,      25
21590.7  ,      24
21615.2  ,      15
21639.6  ,      20
21664.1  ,      11
21688.5  ,       9
21713.0  ,       8
21737.4  ,       8
21761.9  ,      10
21786.4  ,       9
21810.8  ,       8
21835.3  ,       7
21859.7  ,       1
21884.2  ,       4
21908.6  ,      12
21933.1  ,      10
21957.6  ,       5
21982.0  ,      11
22006.5  ,      12
22030.9  ,       6
22055.4  ,       7
22079.8  ,      12
22104.3  ,      14
22128.7  ,      16
22153.2  ,       5
22177.7  ,      11
22202.1  ,      11
22226.6  ,       6
22251.0  ,       6
22275.5  ,       4
22299.9  ,       9
22324.4  ,       7
22348.9  ,       8
22373.3  ,       2
22397.8  ,       9
22422.2  ,       4
22446.7  ,       5
22471.1  ,       6
22495.6  ,      10
22520.1  ,       6
22544.5  ,       3
22569.0  ,       2
22593.4  ,       1
22617.9  ,       7
22642.3  ,       3
22666.8  ,       4
22691.3  ,       3
22715.7  ,       5
22740.2  ,       9
22764.6  ,       6
22789.1  ,       5
22813.5  ,       4
22838.0  ,       3
22862.5  ,       4
22886.9  ,       3
22911.4  ,       5
22935.8  ,       5
22960.3  ,       7
22984.7  ,       4
23009.2  ,       2
23033.7  ,       4
23058.1  ,       6
23082.6  ,       7
23107.0  ,       4
23131.5  ,       2
23155.9  ,       9
23180.4  ,       5
23204.9  ,       7
23229.3  ,       4
23253.8  ,       5
23278.2  ,       5
23302.7  ,       3
23327.1  ,       4
23351.6  ,       5
23376.1  ,       2
23400.5  ,       4
23425.0  ,       2
23449.4  ,       4
23473.9  ,       2
23498.3  ,       6
23522.8  ,       6
23547.2  ,       3
23571.7  ,       2
23596.2  ,       7
23620.6  ,       3
23645.1  ,       6
23669.5  ,       2
23694.0  ,       3
23718.4  ,       4
23742.9  ,       7
23767.4  ,       5
23791.8  ,       3
23816.3  ,       3
23840.7  ,       6
23865.2  ,       6
23889.6  ,       4
23914.1  ,       4
23938.6  ,       3
23963.0  ,       4
23987.5  ,       4
24011.9  ,       2
24036.4  ,       7
24060.8  ,       4
24085.3  ,       5
24109.8  ,       3
24134.2  ,       4
24158.7  ,       4
24183.1  ,       5
24207.6  ,       3
24232.0  ,       8
24256.5  ,       7
24281.0  ,       5
24305.4  ,       8
24329.9  ,       0
24354.3  ,       3
24378.8  ,       4
24403.2  ,       4
24427.7  ,       6
24452.2  ,       5
24476.6  ,       2
24501.1  ,       5
24525.5  ,       5
24550.0  ,       8
24574.4  ,       2
24598.9  ,       5
24623.4  ,       7
24647.8  ,       2
24672.3  ,       4
24696.7  ,       2
24721.2  ,       1
24745.6  ,       8
24770.1  ,       3
24794.6  ,       6
24819.0  ,       5
24843.5  ,       3
24867.9  ,       6
24892.4  ,       6
24916.8  ,       1
24941.3  ,       4
24965.7  ,       4
24990.2  ,       3
25014.7  ,       6
25039.1  ,       3
25063.6  ,       5
25088.0  ,      10
25112.5  ,       4
25136.9  ,       4
25161.4  ,       2
25185.9  ,       3
25210.3  ,       3
25234.8  ,       6
25259.2  ,       1
25283.7  ,       4
25308.1  ,       5
25332.6  ,       6
25357.1  ,       8
25381.5  ,       5
25406.0  ,       9
25430.4  ,       2
25454.9  ,       3
25479.3  ,       3
25503.8  ,   12628
