"Target: Sayunei_RP_center, Contains DAT files: APA_412192430ESC01660052270_______M2.DAT"
15330.4  ,     472
15354.8  ,     446
15379.2  ,     499
15403.5  ,     532
15427.9  ,     544
15452.3  ,     627
15476.6  ,     658
15501.0  ,     816
15525.4  ,     967
15549.8  ,    1223
15574.1  ,    1618
15598.5  ,    1937
15622.9  ,    2474
15647.3  ,    3038
15671.6  ,    3599
15696.0  ,    4090
15720.4  ,    4332
15744.8  ,    4544
15769.1  ,    4473
15793.5  ,    4325
15817.9  ,    3899
15842.2  ,    3475
15866.6  ,    2976
15891.0  ,    2408
15915.4  ,    1967
15939.7  ,    1580
15964.1  ,    1342
15988.5  ,    1238
16012.9  ,    1087
16037.2  ,    1155
16061.6  ,    1189
16086.0  ,    1128
16110.4  ,    1202
16134.7  ,    1240
16159.1  ,    1264
16183.5  ,    1284
16207.9  ,    1406
16232.2  ,    1342
16256.6  ,    1424
16281.0  ,    1405
16305.3  ,    1402
16329.7  ,    1403
16354.1  ,    1463
16378.5  ,    1471
16402.8  ,    1362
16427.2  ,    1442
16451.6  ,    1345
16476.0  ,    1356
16500.3  ,    1359
16524.7  ,    1373
16549.1  ,    1390
16573.5  ,    1450
16597.8  ,    1432
16622.2  ,    1439
16646.6  ,    1468
16670.9  ,    1585
16695.3  ,    1641
16719.7  ,    1683
16744.1  ,    1739
16768.4  ,    1904
16792.8  ,    2010
16817.2  ,    2243
16841.6  ,    2276
16865.9  ,    2584
16890.3  ,    2684
16914.7  ,    2850
16939.1  ,    2975
16963.4  ,    3146
16987.8  ,    3235
17012.2  ,    3369
17036.5  ,    3486
17060.9  ,    3679
17085.3  ,    3764
17109.7  ,    3929
17134.0  ,    3866
17158.4  ,    3964
17182.8  ,    4072
17207.2  ,    4051
17231.5  ,    4027
17255.9  ,    3986
17280.3  ,    3697
17304.7  ,    3603
17329.0  ,    3406
17353.4  ,    3134
17377.8  ,    2873
17402.1  ,    2419
17426.5  ,    2226
17450.9  ,    2082
17475.3  ,    1892
17499.6  ,    1797
17524.0  ,    1656
17548.4  ,    1666
17572.8  ,    1620
17597.1  ,    1655
17621.5  ,    1642
17645.9  ,    1594
17670.3  ,    1584
17694.6  ,    1509
17719.0  ,    1382
17743.4  ,    1331
17767.7  ,    1196
17792.1  ,    1106
17816.5  ,     992
17840.9  ,     844
17865.2  ,     792
17889.6  ,     750
17914.0  ,     793
17938.4  ,     745
17962.7  ,     699
17987.1  ,     738
18011.5  ,     691
18035.9  ,     792
18060.2  ,     786
18084.6  ,     929
18109.0  ,    1135
18133.3  ,    1400
18157.7  ,    1697
18182.1  ,    2170
18206.5  ,    2733
18230.8  ,    2902
18255.2  ,    3355
18279.6  ,    3668
18304.0  ,    3708
18328.3  ,    3633
18352.7  ,    3234
18377.1  ,    2804
18401.5  ,    2342
18425.8  ,    1928
18450.2  ,    1425
18474.6  ,    1067
18499.0  ,     849
18523.3  ,     568
18547.7  ,     411
18572.1  ,     316
18596.4  ,     283
18620.8  ,     210
18645.2  ,     249
18669.6  ,     215
18693.9  ,     210
18718.3  ,     162
18742.7  ,     208
18767.1  ,     198
18791.4  ,     184
18815.8  ,     206
18840.2  ,     215
18864.6  ,     197
18888.9  ,     239
18913.3  ,     209
18937.7  ,     258
18962.0  ,     243
18986.4  ,     255
19010.8  ,     255
19035.2  ,     275
19059.5  ,     264
19083.9  ,     245
19108.3  ,     316
19132.7  ,     260
19157.0  ,     304
19181.4  ,     348
19205.8  ,     300
19230.2  ,     332
19254.5  ,     351
19278.9  ,     373
19303.3  ,     390
19327.6  ,     387
19352.0  ,     410
19376.4  ,     436
19400.8  ,     460
19425.1  ,     475
19449.5  ,     491
19473.9  ,     542
19498.3  ,     574
19522.6  ,     607
19547.0  ,     645
19571.4  ,     690
