"Target: BonanzaKing2_RP_raster2_DRT, Contains DAT files: APB_461584149ESC07220401378_______M2.DAT"
19426.2  ,      17
19450.6  ,      45
19475.0  ,      37
19499.4  ,      32
19523.8  ,      23
19548.2  ,      45
19572.6  ,      32
19597.0  ,      32
19621.4  ,      41
19645.8  ,      51
19670.2  ,      52
19694.6  ,      37
19719.0  ,      42
19743.4  ,      39
19767.9  ,      49
19792.3  ,      57
19816.7  ,      55
19841.1  ,      50
19865.5  ,      44
19889.9  ,      48
19914.3  ,      46
19938.7  ,      36
19963.1  ,      34
19987.5  ,      42
20011.9  ,      39
20036.3  ,      46
20060.7  ,      43
20085.1  ,      41
20109.5  ,      38
20133.9  ,      41
20158.3  ,      49
20182.7  ,      32
20207.1  ,      44
20231.5  ,      34
20255.9  ,      36
20280.3  ,      28
20304.8  ,      28
20329.2  ,      20
20353.6  ,      32
20378.0  ,      26
20402.4  ,      35
20426.8  ,      34
20451.2  ,      27
20475.6  ,      22
20500.0  ,      22
20524.4  ,      20
20548.8  ,      22
20573.2  ,      25
20597.6  ,      16
20622.0  ,      15
20646.4  ,      23
20670.8  ,      17
20695.2  ,      17
20719.6  ,      18
20744.0  ,      24
20768.4  ,      16
20792.8  ,      13
20817.2  ,      12
20841.7  ,       9
20866.1  ,      11
20890.5  ,       9
20914.9  ,      12
20939.3  ,       9
20963.7  ,       9
20988.1  ,      11
21012.5  ,      10
21036.9  ,      10
21061.3  ,      16
21085.7  ,       9
21110.1  ,       7
21134.5  ,       7
21158.9  ,      10
21183.3  ,      16
21207.7  ,      14
21232.1  ,      12
21256.5  ,      21
21280.9  ,      24
21305.3  ,      27
21329.7  ,      36
21354.1  ,      28
21378.5  ,      34
21403.0  ,      31
21427.4  ,      31
21451.8  ,      38
21476.2  ,      37
21500.6  ,      32
21525.0  ,      27
21549.4  ,      16
21573.8  ,      22
21598.2  ,      19
21622.6  ,      10
21647.0  ,      12
21671.4  ,       6
21695.8  ,       8
21720.2  ,       7
21744.6  ,       5
21769.0  ,       4
21793.4  ,       7
21817.8  ,       5
21842.2  ,       6
21866.6  ,       8
21891.0  ,       6
21915.4  ,       9
21939.9  ,       4
21964.3  ,       7
21988.7  ,      10
22013.1  ,       8
22037.5  ,       5
22061.9  ,       9
22086.3  ,       6
22110.7  ,       7
22135.1  ,       9
22159.5  ,       9
22183.9  ,       6
22208.3  ,      11
22232.7  ,       8
22257.1  ,       7
22281.5  ,       6
22305.9  ,       6
22330.3  ,       4
22354.7  ,       4
22379.1  ,       3
22403.5  ,       5
22427.9  ,       4
22452.3  ,       3
22476.8  ,       4
22501.2  ,       1
22525.6  ,       5
22550.0  ,       4
22574.4  ,       2
22598.8  ,       2
22623.2  ,       4
22647.6  ,       3
22672.0  ,       4
22696.4  ,       4
22720.8  ,       2
22745.2  ,       4
22769.6  ,       4
22794.0  ,       4
22818.4  ,       5
22842.8  ,       4
22867.2  ,       3
22891.6  ,       3
22916.0  ,       1
22940.4  ,       1
