"  JakeMatijevic3 , contact "
19481.1  ,      91
19505.4  ,      87
19529.8  ,      74
19554.2  ,      86
19578.6  ,      88
19603.0  ,      97
19627.4  ,     112
19651.7  ,     122
19676.1  ,     139
19700.5  ,     107
19724.9  ,     119
19749.3  ,     146
19773.7  ,     112
19798.0  ,     158
19822.4  ,     148
19846.8  ,     135
19871.2  ,     138
19895.6  ,     143
19920.0  ,     127
19944.3  ,     127
19968.7  ,     118
19993.1  ,     119
20017.5  ,     118
20041.9  ,     128
20066.3  ,     105
20090.6  ,     114
20115.0  ,      80
20139.4  ,     114
20163.8  ,      91
20188.2  ,      90
20212.6  ,      81
20236.9  ,      76
20261.3  ,      79
20285.7  ,      86
20310.1  ,      77
20334.5  ,      58
20358.9  ,      62
20383.2  ,      68
20407.6  ,      59
20432.0  ,      59
20456.4  ,      67
20480.8  ,      48
20505.2  ,      52
20529.5  ,      49
20553.9  ,      56
20578.3  ,      67
20602.7  ,      47
20627.1  ,      40
20651.4  ,      39
20675.8  ,      49
20700.2  ,      42
20724.6  ,      49
20749.0  ,      51
20773.4  ,      42
20797.7  ,      34
20822.1  ,      48
20846.5  ,      36
20870.9  ,      31
20895.3  ,      25
20919.7  ,      38
20944.0  ,      28
20968.4  ,      26
20992.8  ,      28
21017.2  ,      23
21041.6  ,      29
21066.0  ,      18
21090.3  ,      23
21114.7  ,      11
21139.1  ,      29
21163.5  ,      27
21187.9  ,      22
21212.3  ,      28
21236.6  ,      33
21261.0  ,      44
21285.4  ,      51
21309.8  ,      55
21334.2  ,      58
21358.6  ,      77
21382.9  ,     105
21407.3  ,     101
21431.7  ,      88
21456.1  ,      96
21480.5  ,      88
21504.9  ,      78
21529.2  ,      76
21553.6  ,      62
21578.0  ,      44
21602.4  ,      36
21626.8  ,      28
21651.2  ,      19
21675.5  ,      20
21699.9  ,      16
21724.3  ,      14
21748.7  ,      14
21773.1  ,      11
21797.5  ,       8
21821.8  ,       4
21846.2  ,      14
21870.6  ,      15
21895.0  ,      11
21919.4  ,      10
21943.8  ,      15
21968.1  ,       8
21992.5  ,      19
22016.9  ,      16
22041.3  ,      25
22065.7  ,      17
22090.1  ,      22
22114.4  ,      28
22138.8  ,      21
22163.2  ,      27
22187.6  ,      24
22212.0  ,      19
22236.4  ,      20
22260.7  ,      17
22285.1  ,      23
22309.5  ,      21
22333.9  ,      11
22358.3  ,      11
22382.7  ,       8
22407.0  ,      11
22431.4  ,      14
22455.8  ,       7
22480.2  ,       6
22504.6  ,       7
22529.0  ,      11
22553.3  ,       4
22577.7  ,      12
22602.1  ,      13
22626.5  ,       8
22650.9  ,      12
22675.3  ,      12
22699.6  ,       9
22724.0  ,       8
22748.4  ,      10
22772.8  ,      11
22797.2  ,       8
22821.6  ,       6
22845.9  ,       7
22870.3  ,      11
22894.7  ,      10
22919.1  ,       9
22943.5  ,      17
22967.9  ,       6
22992.2  ,       5
23016.6  ,       6
23041.0  ,      10
23065.4  ,       9
23089.8  ,       5
23114.2  ,       8
23138.5  ,      11
23162.9  ,       3
23187.3  ,      10
23211.7  ,       8
23236.1  ,       9
23260.5  ,       4
23284.8  ,       8
23309.2  ,       8
23333.6  ,      10
23358.0  ,       5
23382.4  ,      14
23406.8  ,       3
23431.1  ,       6
23455.5  ,      16
23479.9  ,       4
23504.3  ,       5
23528.7  ,       8
23553.1  ,       9
23577.4  ,      11
23601.8  ,       8
23626.2  ,       5
23650.6  ,       7
23675.0  ,       9
23699.4  ,       7
23723.7  ,       7
23748.1  ,      12
23772.5  ,       3
23796.9  ,       8
23821.3  ,       4
23845.7  ,      12
23870.0  ,      13
23894.4  ,       9
23918.8  ,       6
23943.2  ,       7
23967.6  ,       8
23992.0  ,       6
24016.3  ,      12
24040.7  ,       2
24065.1  ,      10
24089.5  ,       8
24113.9  ,      12
24138.3  ,      11
24162.6  ,      13
24187.0  ,       2
24211.4  ,       9
24235.8  ,       9
24260.2  ,      12
24284.6  ,       8
24308.9  ,       7
24333.3  ,       6
24357.7  ,      12
24382.1  ,       9
24406.5  ,       8
24430.9  ,       8
24455.2  ,       9
24479.6  ,      10
24504.0  ,      15
24528.4  ,       6
24552.8  ,       8
24577.2  ,      10
24601.5  ,      13
24625.9  ,       5
24650.3  ,       7
24674.7  ,      10
24699.1  ,       9
24723.5  ,       7
24747.8  ,       7
24772.2  ,       9
24796.6  ,       5
24821.0  ,      10
24845.4  ,      11
24869.8  ,       7
24894.1  ,       4
24918.5  ,       5
24942.9  ,       8
24967.3  ,      10
24991.7  ,       4
25016.1  ,      10
25040.4  ,       4
25064.8  ,      10
25089.2  ,      13
25113.6  ,      10
25138.0  ,      17
25162.4  ,       7
25186.7  ,      11
25211.1  ,      11
25235.5  ,       9
25259.9  ,       9
25284.3  ,      12
25308.7  ,       7
25333.0  ,      13
25357.4  ,      10
25381.8  ,      10
25406.2  ,       9
25430.6  ,   24031
