"Target: Ekwir_1, Contains DAT files: APA_410773493ESC01500051902_______M2.DAT"
12749.8  ,     810
12774.3  ,     849
12798.7  ,     933
12823.1  ,     898
12847.5  ,     940
12872.0  ,    1001
12896.4  ,    1017
12920.8  ,    1129
12945.3  ,    1188
12969.7  ,    1204
12994.1  ,    1280
13018.5  ,    1366
13043.0  ,    1503
13067.4  ,    1622
13091.8  ,    1823
13116.3  ,    1887
13140.7  ,    2219
13165.1  ,    2383
13189.5  ,    2738
13214.0  ,    3065
13238.4  ,    3342
13262.8  ,    3935
13287.3  ,    4177
13311.7  ,    4696
13336.1  ,    5052
13360.5  ,    5157
13385.0  ,    5668
13409.4  ,    5873
13433.8  ,    6050
13458.3  ,    6124
13482.7  ,    6268
13507.1  ,    6279
13531.5  ,    6317
13556.0  ,    6391
13580.4  ,    6090
13604.8  ,    6030
13629.3  ,    5786
13653.7  ,    5428
13678.1  ,    5173
13702.5  ,    4725
13727.0  ,    4313
13751.4  ,    4010
13775.8  ,    3574
13800.3  ,    3430
13824.7  ,    2898
13849.1  ,    2708
13873.5  ,    2512
13898.0  ,    2381
13922.4  ,    2224
13946.8  ,    2381
13971.3  ,    2439
13995.7  ,    2554
14020.1  ,    2939
14044.6  ,    3247
14069.0  ,    3765
14093.4  ,    4272
14117.8  ,    5004
14142.3  ,    5824
14166.7  ,    7084
14191.1  ,    8309
14215.6  ,    9491
14240.0  ,   10377
14264.4  ,   10794
14288.8  ,   10735
14313.3  ,    9967
14337.7  ,    8386
14362.1  ,    6893
14386.6  ,    5243
14411.0  ,    3747
14435.4  ,    2559
14459.8  ,    1711
14484.3  ,    1303
14508.7  ,     905
14533.1  ,     661
14557.6  ,     587
14582.0  ,     512
14606.4  ,     473
14630.8  ,     497
14655.3  ,     470
14679.7  ,     502
14704.1  ,     526
14728.6  ,     534
14753.0  ,     586
14777.4  ,     536
14801.8  ,     652
14826.3  ,     664
14850.7  ,     782
14875.1  ,     793
14899.6  ,     768
14924.0  ,     832
14948.4  ,     877
14972.8  ,     821
14997.3  ,     815
15021.7  ,     818
15046.1  ,     767
15070.6  ,     789
15095.0  ,     720
15119.4  ,     818
15143.8  ,     763
15168.3  ,     765
15192.7  ,     788
15217.1  ,     824
15241.6  ,     867
15266.0  ,     919
15290.4  ,     948
15314.8  ,     888
15339.3  ,    1042
15363.7  ,     976
15388.1  ,    1028
15412.6  ,    1062
15437.0  ,    1181
15461.4  ,    1336
15485.8  ,    1529
15510.3  ,    1676
15534.7  ,    2194
15559.1  ,    2765
15583.6  ,    3462
15608.0  ,    4656
15632.4  ,    5835
15656.8  ,    7126
15681.3  ,    8545
15705.7  ,    9642
15730.1  ,   10111
15754.6  ,   10414
15779.0  ,   10159
15803.4  ,    9310
15827.8  ,    8166
15852.3  ,    6773
15876.7  ,    5483
15901.1  ,    4511
15925.6  ,    3565
15950.0  ,    2974
15974.4  ,    2517
15998.8  ,    2352
16023.3  ,    2385
16047.7  ,    2339
16072.1  ,    2284
16096.6  ,    2454
16121.0  ,    2621
16145.4  ,    2736
16169.9  ,    2739
16194.3  ,    2788
16218.7  ,    2841
16243.1  ,    2940
16267.6  ,    3053
16292.0  ,    2936
16316.4  ,    3056
16340.9  ,    3066
16365.3  ,    3075
16389.7  ,    2918
16414.1  ,    3014
16438.6  ,    3010
16463.0  ,    2996
16487.4  ,    2963
16511.9  ,    2886
16536.3  ,    2919
16560.7  ,    2987
16585.1  ,    3088
16609.6  ,    2936
16634.0  ,    3144
16658.4  ,    3224
16682.9  ,    3361
16707.3  ,    3509
16731.7  ,    3774
16756.1  ,    3853
16780.6  ,    4189
16805.0  ,    4486
16829.4  ,    4815
16853.9  ,    5108
16878.3  ,    5464
16902.7  ,    5694
16927.1  ,    6134
16951.6  ,    6483
16976.0  ,    6809
17000.4  ,    6975
17024.9  ,    7338
17049.3  ,    7565
17073.7  ,    7985
17098.1  ,    8214
17122.6  ,    8359
17147.0  ,    8728
17171.4  ,    8920
17195.9  ,    8834
17220.3  ,    8746
17244.7  ,    8795
17269.1  ,    8610
17293.6  ,    7869
17318.0  ,    7379
17342.4  ,    6854
17366.9  ,    6236
17391.3  ,    5580
17415.7  ,    5029
17440.1  ,    4514
17464.6  ,    4162
17489.0  ,    3817
17513.4  ,    3749
17537.9  ,    3565
17562.3  ,    3588
17586.7  ,    3566
17611.1  ,    3641
17635.6  ,    3591
17660.0  ,    3632
17684.4  ,    3440
17708.9  ,    3104
17733.3  ,    2960
17757.7  ,    2540
17782.1  ,    2261
17806.6  ,    2031
17831.0  ,    1856
17855.4  ,    1707
17879.9  ,    1532
17904.3  ,    1588
17928.7  ,    1595
17953.1  ,    1582
17977.6  ,    1513
18002.0  ,    1562
18026.4  ,    1595
18050.9  ,    1608
18075.3  ,    1766
18099.7  ,    2111
18124.1  ,    2624
18148.6  ,    3296
18173.0  ,    4178
18197.4  ,    5334
18221.9  ,    6606
18246.3  ,    7565
18270.7  ,    8285
18295.2  ,    8464
18319.6  ,    8292
18344.0  ,    7600
18368.4  ,    6591
18392.9  ,    5475
18417.3  ,    4225
18441.7  ,    3312
18466.2  ,    2373
18490.6  ,    1658
18515.0  ,    1202
18539.4  ,     909
18563.9  ,     702
18588.3  ,     534
18612.7  ,     486
18637.2  ,     469
18661.6  ,     421
18686.0  ,     464
18710.4  ,     465
18734.9  ,     429
18759.3  ,     443
18783.7  ,     440
18808.2  ,     434
18832.6  ,     467
18857.0  ,     464
18881.4  ,     490
18905.9  ,     515
18930.3  ,     518
18954.7  ,     507
18979.2  ,     514
19003.6  ,     566
19028.0  ,     544
19052.4  ,     601
19076.9  ,     592
19101.3  ,     642
19125.7  ,     639
19150.2  ,     646
19174.6  ,     641
19199.0  ,     707
19223.4  ,     716
19247.9  ,     715
19272.3  ,     733
19296.7  ,     795
19321.2  ,     873
19345.6  ,     874
19370.0  ,     932
19394.4  ,     929
19418.9  ,    1000
19443.3  ,    1100
19467.7  ,    1138
19492.2  ,    1193
19516.6  ,    1287
19541.0  ,    1346
19565.4  ,    1396
19589.9  ,    1515
19614.3  ,    1591
19638.7  ,    1656
19663.2  ,    1725
19687.6  ,    1774
19712.0  ,    1951
19736.4  ,    1929
19760.9  ,    1979
19785.3  ,    2030
19809.7  ,    1946
19834.2  ,    2046
19858.6  ,    1982
19883.0  ,    1970
19907.4  ,    1960
19931.9  ,    1913
19956.3  ,    1839
19980.7  ,    1876
20005.2  ,    1783
20029.6  ,    1725
20054.0  ,    1702
20078.4  ,    1539
20102.9  ,    1622
20127.3  ,    1546
20151.7  ,    1495
20176.2  ,    1369
20200.6  ,    1373
20225.0  ,    1223
20249.5  ,    1238
20273.9  ,    1206
20298.3  ,    1172
20322.7  ,    1174
20347.2  ,    1077
20371.6  ,    1108
20396.0  ,    1016
20420.5  ,     994
20444.9  ,     980
20469.3  ,     931
20493.7  ,     921
20518.2  ,     888
20542.6  ,     867
20567.0  ,     966
20591.5  ,     817
20615.9  ,     833
20640.3  ,     787
20664.7  ,     753
20689.2  ,     718
20713.6  ,     633
20738.0  ,     729
20762.5  ,     723
20786.9  ,     612
20811.3  ,     552
20835.7  ,     572
20860.2  ,     535
20884.6  ,     502
20909.0  ,     480
20933.5  ,     445
20957.9  ,     449
20982.3  ,     427
21006.7  ,     393
21031.2  ,     378
21055.6  ,     343
21080.0  ,     373
21104.5  ,     330
21128.9  ,     421
21153.3  ,     376
21177.7  ,     428
21202.2  ,     479
21226.6  ,     551
21251.0  ,     635
21275.5  ,     784
21299.9  ,     955
21324.3  ,    1130
21348.7  ,    1424
21373.2  ,    1460
21397.6  ,    1637
21422.0  ,    1637
21446.5  ,    1733
21470.9  ,    1605
21495.3  ,    1408
21519.7  ,    1212
21544.2  ,    1040
21568.6  ,     847
