"Target: Grit_RP, Contains DAT files: APA_410805967ESC01500051902_______M2.DAT"
17799.2  ,      47
17823.7  ,      63
17848.1  ,      51
17872.6  ,      36
17897.0  ,      42
17921.5  ,      32
17945.9  ,      31
17970.4  ,      34
17994.9  ,      32
18019.3  ,      52
18043.8  ,      42
18068.2  ,      43
18092.7  ,      45
18117.1  ,      56
18141.6  ,      67
18166.0  ,      96
18190.5  ,     124
18214.9  ,     129
18239.4  ,     162
18263.8  ,     176
18288.3  ,     187
18312.7  ,     186
18337.2  ,     199
18361.6  ,     166
18386.1  ,     153
18410.5  ,     111
18435.0  ,      91
18459.5  ,      67
18483.9  ,      36
18508.4  ,      41
18532.8  ,      31
18557.3  ,      28
18581.7  ,      16
18606.2  ,      13
18630.6  ,       7
18655.1  ,       7
18679.5  ,       7
18704.0  ,       7
18728.4  ,       8
18752.9  ,       4
18777.3  ,      12
18801.8  ,      16
18826.2  ,      15
18850.7  ,       9
18875.1  ,       9
18899.6  ,      15
18924.1  ,      13
18948.5  ,      11
18973.0  ,      17
18997.4  ,      11
19021.9  ,      22
19046.3  ,      11
19070.8  ,      14
19095.2  ,      17
19119.7  ,      15
19144.1  ,      12
19168.6  ,      14
19193.0  ,      14
19217.5  ,      13
19241.9  ,      20
19266.4  ,      24
19290.8  ,      19
19315.3  ,      22
19339.7  ,      16
19364.2  ,      16
19388.7  ,      23
19413.1  ,      21
19437.6  ,      29
19462.0  ,      37
19486.5  ,      24
19510.9  ,      33
19535.4  ,      22
19559.8  ,      35
19584.3  ,      32
19608.7  ,      32
19633.2  ,      35
19657.6  ,      39
19682.1  ,      35
19706.5  ,      39
19731.0  ,      30
19755.4  ,      49
19779.9  ,      44
19804.3  ,      42
19828.8  ,      44
19853.3  ,      43
19877.7  ,      43
19902.2  ,      56
19926.6  ,      49
19951.1  ,      45
19975.5  ,      48
20000.0  ,      40
20024.4  ,      41
20048.9  ,      36
20073.3  ,      41
20097.8  ,      31
20122.2  ,      35
20146.7  ,      38
20171.1  ,      37
20195.6  ,      26
20220.0  ,      34
20244.5  ,      31
20268.9  ,      28
20293.4  ,      38
20317.9  ,      34
20342.3  ,      19
20366.8  ,      26
20391.2  ,      24
20415.7  ,      27
20440.1  ,      17
20464.6  ,      22
20489.0  ,      30
20513.5  ,      16
20537.9  ,      17
