"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
 9702.9  ,       9
 9727.4  ,      16
 9751.8  ,       9
 9776.3  ,      12
 9800.7  ,      12
 9825.2  ,      13
 9849.6  ,      14
 9874.1  ,      14
 9898.5  ,      18
 9923.0  ,      14
 9947.5  ,      14
 9971.9  ,      14
 9996.4  ,       6
10020.8  ,      12
10045.3  ,       3
10069.7  ,       9
10094.2  ,       5
10118.6  ,       4
10143.1  ,      10
10167.5  ,       6
10192.0  ,      10
10216.4  ,       7
10240.9  ,       1
10265.3  ,       6
10289.8  ,       8
10314.2  ,       6
10338.7  ,      11
10363.1  ,       6
10387.6  ,       8
10412.0  ,       4
10436.5  ,       7
10460.9  ,       3
10485.4  ,       2
10509.8  ,       7
10534.3  ,       8
10558.7  ,      10
10583.2  ,       5
10607.6  ,       9
10632.1  ,       7
10656.6  ,       4
10681.0  ,       8
10705.5  ,       5
10729.9  ,       3
10754.4  ,       8
10778.8  ,      11
10803.3  ,       8
10827.7  ,       8
10852.2  ,      13
10876.6  ,      10
10901.1  ,      13
10925.5  ,       8
10950.0  ,       5
10974.4  ,       9
10998.9  ,      10
11023.3  ,      15
11047.8  ,       8
11072.2  ,      10
11096.7  ,      12
11121.1  ,      11
11145.6  ,       9
11170.0  ,      13
11194.5  ,       7
11218.9  ,       4
11243.4  ,       8
11267.8  ,      14
11292.3  ,       8
11316.8  ,       9
11341.2  ,       7
11365.7  ,      14
11390.1  ,      18
11414.6  ,       7
11439.0  ,      12
11463.5  ,      11
11487.9  ,      12
11512.4  ,      15
11536.8  ,      13
11561.3  ,      21
11585.7  ,      12
11610.2  ,      15
11634.6  ,      12
11659.1  ,      20
11683.5  ,      25
11708.0  ,      22
11732.4  ,      24
11756.9  ,      35
11781.3  ,      52
11805.8  ,      53
11830.2  ,      81
11854.7  ,      84
11879.1  ,     102
11903.6  ,     100
11928.0  ,      88
11952.5  ,      90
11977.0  ,      77
12001.4  ,      68
12025.9  ,      48
12050.3  ,      41
12074.8  ,      34
12099.2  ,      26
12123.7  ,      29
12148.1  ,      25
12172.6  ,      33
12197.0  ,      17
12221.5  ,      24
12245.9  ,      10
12270.4  ,      15
12294.8  ,      14
12319.3  ,      13
12343.7  ,      15
12368.2  ,      10
12392.6  ,      14
12417.1  ,      19
12441.5  ,       8
12466.0  ,      15
12490.4  ,      13
12514.9  ,      11
12539.3  ,       9
12563.8  ,      17
12588.2  ,      13
12612.7  ,      23
12637.1  ,      11
12661.6  ,      16
12686.1  ,      15
12710.5  ,      15
12735.0  ,      19
12759.4  ,      15
12783.9  ,      17
12808.3  ,      17
12832.8  ,      26
12857.2  ,      14
12881.7  ,      17
12906.1  ,      21
12930.6  ,      27
12955.0  ,      22
12979.5  ,      21
13003.9  ,      29
13028.4  ,      26
13052.8  ,      22
13077.3  ,      29
13101.7  ,      35
13126.2  ,      62
13150.6  ,      46
13175.1  ,      67
13199.5  ,      70
13224.0  ,      71
13248.4  ,      80
13272.9  ,      98
13297.3  ,      96
13321.8  ,     106
13346.3  ,     101
13370.7  ,     107
13395.2  ,     132
13419.6  ,     125
13444.1  ,     124
13468.5  ,     133
13493.0  ,     122
13517.4  ,     130
13541.9  ,     129
13566.3  ,      96
13590.8  ,     125
13615.2  ,     117
13639.7  ,     104
13664.1  ,     103
