"Target: Cumberland_DRT_RP_twk_preBrush, Contains DAT files: APB_423343606ESC02910060082_______M1.DAT"
16145.8  ,      39
16170.2  ,      35
16194.6  ,      35
16219.0  ,      38
16243.5  ,      44
16267.9  ,      46
16292.3  ,      48
16316.7  ,      41
16341.2  ,      63
16365.6  ,      45
16390.0  ,      46
16414.4  ,      58
16438.9  ,      59
16463.3  ,      30
16487.7  ,      38
16512.1  ,      60
16536.6  ,      36
16561.0  ,      42
16585.4  ,      50
16609.9  ,      57
16634.3  ,      49
16658.7  ,      58
16683.1  ,      43
16707.6  ,      60
16732.0  ,      58
16756.4  ,      61
16780.8  ,      61
16805.3  ,      62
16829.7  ,      76
16854.1  ,      79
16878.5  ,      62
16903.0  ,      96
16927.4  ,      97
16951.8  ,     100
16976.2  ,      99
17000.7  ,     107
17025.1  ,      97
17049.5  ,     102
17074.0  ,     117
17098.4  ,     106
17122.8  ,     120
17147.2  ,     112
17171.7  ,     110
17196.1  ,     131
17220.5  ,     136
17244.9  ,     127
17269.4  ,     106
17293.8  ,      98
17318.2  ,     101
17342.6  ,      98
17367.1  ,      81
17391.5  ,      93
17415.9  ,      65
17440.3  ,      54
17464.8  ,      75
17489.2  ,      48
17513.6  ,      61
17538.1  ,      57
17562.5  ,      60
17586.9  ,      53
17611.3  ,      59
17635.8  ,      42
17660.2  ,      63
17684.6  ,      43
17709.0  ,      47
17733.5  ,      47
17757.9  ,      39
17782.3  ,      35
17806.7  ,      28
17831.2  ,      35
17855.6  ,      34
17880.0  ,      30
17904.4  ,      23
17928.9  ,      24
17953.3  ,      28
17977.7  ,      25
18002.2  ,      29
18026.6  ,      27
18051.0  ,      33
18075.4  ,      30
18099.9  ,      34
18124.3  ,      54
18148.7  ,      51
18173.1  ,      68
18197.6  ,      72
18222.0  ,      86
18246.4  ,      81
18270.8  ,     115
18295.3  ,     114
18319.7  ,     121
18344.1  ,      83
18368.5  ,      82
18393.0  ,      80
18417.4  ,      52
18441.8  ,      66
18466.3  ,      42
18490.7  ,      50
18515.1  ,      23
18539.5  ,      24
18564.0  ,      17
18588.4  ,      16
18612.8  ,      11
18637.2  ,       4
18661.7  ,      12
18686.1  ,       5
18710.5  ,       6
18734.9  ,       4
18759.4  ,       8
18783.8  ,      10
18808.2  ,       4
18832.6  ,      11
18857.1  ,       7
18881.5  ,      12
18905.9  ,       8
18930.4  ,       7
18954.8  ,       8
18979.2  ,      11
19003.6  ,       8
19028.1  ,      10
19052.5  ,      12
19076.9  ,       8
19101.3  ,      13
19125.8  ,       7
19150.2  ,       7
19174.6  ,      10
19199.0  ,      13
19223.5  ,       7
19247.9  ,      10
19272.3  ,      12
19296.7  ,      14
19321.2  ,      15
19345.6  ,      15
19370.0  ,      22
19394.5  ,      13
19418.9  ,      15
19443.3  ,      24
19467.7  ,       9
19492.2  ,      23
19516.6  ,      14
