"Target: McGrath_center, Contains DAT files: APB_421512512ESC02710060000_______M2.DAT"
13598.0  ,    2001
13622.4  ,    2049
13646.8  ,    2027
13671.1  ,    1774
13695.5  ,    1614
13719.9  ,    1573
13744.3  ,    1492
13768.6  ,    1359
13793.0  ,    1157
13817.4  ,    1060
13841.7  ,     975
13866.1  ,     867
13890.5  ,     832
13914.8  ,     888
13939.2  ,     797
13963.6  ,     807
13987.9  ,     940
14012.3  ,    1007
14036.7  ,    1142
14061.0  ,    1181
14085.4  ,    1443
14109.8  ,    1650
14134.1  ,    1936
14158.5  ,    2370
14182.9  ,    2520
14207.2  ,    2959
14231.6  ,    3268
14256.0  ,    3441
14280.3  ,    3387
14304.7  ,    3445
14329.1  ,    3010
14353.4  ,    2597
14377.8  ,    2089
14402.2  ,    1696
14426.5  ,    1289
14450.9  ,     916
14475.3  ,     692
14499.7  ,     464
14524.0  ,     332
14548.4  ,     271
14572.8  ,     212
14597.1  ,     215
14621.5  ,     171
14645.9  ,     196
14670.2  ,     199
14694.6  ,     179
14719.0  ,     173
14743.3  ,     212
14767.7  ,     208
14792.1  ,     240
14816.4  ,     181
14840.8  ,     233
14865.2  ,     240
14889.5  ,     235
14913.9  ,     263
14938.3  ,     268
14962.6  ,     254
14987.0  ,     263
15011.4  ,     284
15035.7  ,     255
15060.1  ,     278
15084.5  ,     252
15108.8  ,     271
15133.2  ,     297
15157.6  ,     325
15181.9  ,     320
15206.3  ,     309
15230.7  ,     314
15255.1  ,     356
15279.4  ,     320
15303.8  ,     338
15328.2  ,     382
15352.5  ,     384
15376.9  ,     390
15401.3  ,     409
15425.6  ,     419
15450.0  ,     499
15474.4  ,     595
15498.7  ,     719
15523.1  ,     826
15547.5  ,    1076
15571.8  ,    1342
15596.2  ,    1743
15620.6  ,    2142
15644.9  ,    2480
15669.3  ,    3087
15693.7  ,    3342
15718.0  ,    3703
15742.4  ,    3859
15766.8  ,    3894
15791.1  ,    3746
15815.5  ,    3376
15839.9  ,    2924
15864.2  ,    2522
15888.6  ,    2149
15913.0  ,    1725
15937.3  ,    1430
15961.7  ,    1208
15986.1  ,    1014
16010.5  ,     981
16034.8  ,     877
16059.2  ,     932
16083.6  ,     916
16107.9  ,     938
16132.3  ,     940
16156.7  ,     949
16181.0  ,     991
16205.4  ,    1025
16229.8  ,    1035
16254.1  ,    1016
16278.5  ,    1028
16302.9  ,    1139
16327.2  ,    1075
16351.6  ,    1048
16376.0  ,    1112
16400.3  ,    1113
16424.7  ,    1041
16449.1  ,    1083
16473.4  ,    1029
16497.8  ,    1069
16522.2  ,    1074
16546.5  ,    1096
16570.9  ,    1067
16595.3  ,    1132
16619.6  ,    1121
16644.0  ,    1188
16668.4  ,    1233
16692.7  ,    1242
16717.1  ,    1322
16741.5  ,    1370
16765.9  ,    1497
16790.2  ,    1573
16814.6  ,    1663
16839.0  ,    1832
16863.3  ,    1828
16887.7  ,    2126
16912.1  ,    2110
16936.4  ,    2246
16960.8  ,    2351
16985.2  ,    2424
17009.5  ,    2607
17033.9  ,    2484
17058.3  ,    2785
17082.6  ,    2801
17107.0  ,    2876
17131.4  ,    2922
17155.7  ,    3079
17180.1  ,    2962
17204.5  ,    3078
17228.8  ,    3039
17253.2  ,    2954
17277.6  ,    2774
17301.9  ,    2699
17326.3  ,    2543
17350.7  ,    2277
17375.0  ,    2139
17399.4  ,    1959
17423.8  ,    1710
17448.1  ,    1568
17472.5  ,    1493
17496.9  ,    1355
17521.3  ,    1323
17545.6  ,    1332
17570.0  ,    1303
17594.4  ,    1284
17618.7  ,    1354
17643.1  ,    1359
17667.5  ,    1249
17691.8  ,    1194
17716.2  ,    1200
17740.6  ,    1018
17764.9  ,    1013
17789.3  ,     822
17813.7  ,     826
17838.0  ,     679
17862.4  ,     620
17886.8  ,     631
17911.1  ,     578
17935.5  ,     618
17959.9  ,     623
17984.2  ,     566
18008.6  ,     599
18033.0  ,     634
18057.3  ,     667
18081.7  ,     765
18106.1  ,     889
18130.4  ,    1045
18154.8  ,    1322
18179.2  ,    1634
18203.5  ,    1919
18227.9  ,    2204
18252.3  ,    2570
18276.7  ,    2732
18301.0  ,    2906
18325.4  ,    2739
18349.8  ,    2540
18374.1  ,    2178
18398.5  ,    1908
18422.9  ,    1577
18447.2  ,    1195
18471.6  ,     933
18496.0  ,     641
18520.3  ,     498
18544.7  ,     424
18569.1  ,     304
18593.4  ,     232
18617.8  ,     222
18642.2  ,     168
18666.5  ,     163
18690.9  ,     158
18715.3  ,     177
18739.6  ,     170
18764.0  ,     162
18788.4  ,     190
18812.7  ,     165
18837.1  ,     189
18861.5  ,     185
18885.8  ,     190
18910.2  ,     188
18934.6  ,     195
18958.9  ,     200
18983.3  ,     192
19007.7  ,     213
19032.1  ,     188
19056.4  ,     189
19080.8  ,     215
19105.2  ,     219
19129.5  ,     238
19153.9  ,     234
19178.3  ,     241
19202.6  ,     223
19227.0  ,     256
19251.4  ,     278
19275.7  ,     307
19300.1  ,     295
19324.5  ,     277
19348.8  ,     324
19373.2  ,     339
19397.6  ,     358
19421.9  ,     369
19446.3  ,     446
19470.7  ,     428
19495.0  ,     438
19519.4  ,     534
19543.8  ,     510
19568.1  ,     528
19592.5  ,     620
19616.9  ,     592
19641.2  ,     597
19665.6  ,     677
19690.0  ,     630
19714.3  ,     665
19738.7  ,     695
19763.1  ,     667
19787.5  ,     708
19811.8  ,     713
19836.2  ,     717
19860.6  ,     698
19884.9  ,     746
19909.3  ,     629
19933.7  ,     683
19958.0  ,     706
19982.4  ,     713
20006.8  ,     626
20031.1  ,     619
20055.5  ,     598
20079.9  ,     551
20104.2  ,     606
20128.6  ,     553
20153.0  ,     484
20177.3  ,     472
20201.7  ,     444
20226.1  ,     473
