"Target: Eqalulik, Contains DAT files: APB_426205423ESC03230060804_______M2.DAT"
13718.6  ,    1663
13743.0  ,    1541
13767.4  ,    1391
13791.8  ,    1384
13816.2  ,    1160
13840.7  ,     995
13865.1  ,     923
13889.5  ,     882
13913.9  ,     816
13938.3  ,     869
13962.7  ,     844
13987.2  ,     950
14011.6  ,    1019
14036.0  ,    1155
14060.4  ,    1316
14084.8  ,    1565
14109.2  ,    1740
14133.7  ,    2106
14158.1  ,    2494
14182.5  ,    2975
14206.9  ,    3384
14231.3  ,    3865
14255.7  ,    4050
14280.1  ,    4182
14304.6  ,    3936
14329.0  ,    3448
14353.4  ,    3005
14377.8  ,    2292
14402.2  ,    1697
14426.6  ,    1177
14451.1  ,     816
14475.5  ,     583
14499.9  ,     374
14524.3  ,     301
14548.7  ,     248
14573.1  ,     212
14597.6  ,     211
14622.0  ,     209
14646.4  ,     207
14670.8  ,     190
14695.2  ,     206
14719.6  ,     218
14744.0  ,     206
14768.5  ,     218
14792.9  ,     255
14817.3  ,     239
14841.7  ,     247
14866.1  ,     291
14890.5  ,     260
14915.0  ,     296
14939.4  ,     269
14963.8  ,     302
14988.2  ,     288
15012.6  ,     320
15037.0  ,     286
15061.5  ,     290
15085.9  ,     294
15110.3  ,     310
15134.7  ,     292
15159.1  ,     297
15183.5  ,     312
15207.9  ,     354
15232.4  ,     368
15256.8  ,     336
15281.2  ,     356
15305.6  ,     365
15330.0  ,     373
15354.4  ,     372
15378.9  ,     417
15403.3  ,     406
15427.7  ,     433
15452.1  ,     508
15476.5  ,     600
15500.9  ,     643
15525.4  ,     800
15549.8  ,    1112
15574.2  ,    1334
15598.6  ,    1822
15623.0  ,    2305
15647.4  ,    2771
15671.9  ,    3440
15696.3  ,    3731
15720.7  ,    4234
15745.1  ,    4374
15769.5  ,    4273
15793.9  ,    4173
15818.3  ,    3644
15842.8  ,    3099
15867.2  ,    2521
15891.6  ,    2010
15916.0  ,    1543
15940.4  ,    1331
15964.8  ,    1043
15989.3  ,     935
16013.7  ,     920
16038.1  ,     859
16062.5  ,     926
16086.9  ,     910
16111.3  ,     926
16135.8  ,    1008
16160.2  ,     958
16184.6  ,    1073
16209.0  ,    1094
16233.4  ,    1067
16257.8  ,    1150
16282.2  ,    1203
16306.7  ,    1172
16331.1  ,    1169
16355.5  ,    1138
16379.9  ,    1175
16404.3  ,    1143
16428.7  ,    1133
16453.2  ,    1075
16477.6  ,    1216
16502.0  ,    1111
16526.4  ,    1107
16550.8  ,    1192
16575.2  ,    1114
16599.7  ,    1148
16624.1  ,    1203
16648.5  ,    1168
16672.9  ,    1262
16697.3  ,    1289
16721.7  ,    1407
16746.1  ,    1538
16770.6  ,    1583
16795.0  ,    1624
16819.4  ,    1756
16843.8  ,    1939
16868.2  ,    2040
16892.6  ,    2067
16917.1  ,    2247
16941.5  ,    2350
16965.9  ,    2469
16990.3  ,    2688
17014.7  ,    2795
17039.1  ,    2812
17063.6  ,    2911
17088.0  ,    2973
17112.4  ,    2885
17136.8  ,    3187
17161.2  ,    3163
17185.6  ,    3263
17210.0  ,    3283
17234.5  ,    3204
17258.9  ,    3224
17283.3  ,    2950
17307.7  ,    2902
17332.1  ,    2633
17356.5  ,    2359
17381.0  ,    2178
17405.4  ,    1990
17429.8  ,    1800
17454.2  ,    1581
17478.6  ,    1445
17503.0  ,    1301
17527.5  ,    1396
17551.9  ,    1310
17576.3  ,    1394
17600.7  ,    1359
17625.1  ,    1383
17649.5  ,    1449
17673.9  ,    1418
17698.4  ,    1320
17722.8  ,    1273
17747.2  ,    1101
17771.6  ,     983
17796.0  ,     813
17820.4  ,     718
17844.9  ,     693
17869.3  ,     651
17893.7  ,     629
17918.1  ,     598
17942.5  ,     598
17966.9  ,     655
17991.4  ,     592
18015.8  ,     582
18040.2  ,     668
18064.6  ,     661
18089.0  ,     820
18113.4  ,     953
18137.8  ,    1150
18162.3  ,    1490
18186.7  ,    1913
18211.1  ,    2315
18235.5  ,    2758
18259.9  ,    3032
18284.3  ,    3175
18308.8  ,    3180
18333.2  ,    3138
18357.6  ,    2709
18382.0  ,    2401
18406.4  ,    1922
18430.8  ,    1356
18455.3  ,    1078
18479.7  ,     737
18504.1  ,     587
18528.5  ,     396
18552.9  ,     298
18577.3  ,     232
18601.8  ,     222
18626.2  ,     206
18650.6  ,     172
18675.0  ,     187
18699.4  ,     158
18723.8  ,     178
18748.2  ,     168
18772.7  ,     168
18797.1  ,     188
18821.5  ,     199
18845.9  ,     153
18870.3  ,     195
18894.7  ,     195
18919.2  ,     191
18943.6  ,     200
18968.0  ,     220
18992.4  ,     188
19016.8  ,     232
19041.2  ,     219
19065.7  ,     241
19090.1  ,     223
19114.5  ,     250
19138.9  ,     273
19163.3  ,     241
19187.7  ,     245
19212.1  ,     272
19236.6  ,     255
19261.0  ,     296
19285.4  ,     293
19309.8  ,     318
19334.2  ,     330
19358.6  ,     353
19383.1  ,     403
19407.5  ,     417
19431.9  ,     401
19456.3  ,     416
19480.7  ,     480
19505.1  ,     514
19529.6  ,     528
19554.0  ,     526
19578.4  ,     552
19602.8  ,     601
19627.2  ,     671
19651.6  ,     616
