"Target: Howells, Contains DAT files: APB_426163787ESC03230060804_______M2.DAT"
14128.8  ,     176
14153.3  ,     214
14177.7  ,     231
14202.2  ,     299
14226.6  ,     288
14251.1  ,     352
14275.5  ,     355
14300.0  ,     322
14324.4  ,     280
14348.9  ,     255
14373.3  ,     182
14397.8  ,     146
14422.3  ,     129
14446.7  ,      79
14471.2  ,      50
14495.6  ,      30
14520.1  ,      26
14544.5  ,      15
14569.0  ,      22
14593.4  ,      18
14617.9  ,      18
14642.3  ,      12
14666.8  ,      20
14691.2  ,      13
14715.7  ,      15
14740.1  ,      11
14764.6  ,      15
14789.0  ,      22
14813.5  ,      18
14837.9  ,      15
14862.4  ,      33
14886.8  ,      21
14911.3  ,      15
14935.8  ,      22
14960.2  ,      26
14984.7  ,      21
15009.1  ,      11
15033.6  ,      24
15058.0  ,      22
15082.5  ,      23
15106.9  ,      24
15131.4  ,      26
15155.8  ,      24
15180.3  ,      30
15204.7  ,      29
15229.2  ,      30
15253.6  ,      28
15278.1  ,      32
15302.5  ,      25
15327.0  ,      28
15351.4  ,      29
15375.9  ,      33
15400.3  ,      33
15424.8  ,      39
15449.2  ,      35
15473.7  ,      40
15498.2  ,      46
15522.6  ,      75
15547.1  ,      75
15571.5  ,     109
15596.0  ,     112
15620.4  ,     160
15644.9  ,     211
15669.3  ,     253
15693.8  ,     305
15718.2  ,     313
15742.7  ,     348
15767.1  ,     341
15791.6  ,     347
15816.0  ,     310
15840.5  ,     260
15864.9  ,     228
15889.4  ,     180
15913.8  ,     127
15938.3  ,     102
15962.7  ,      86
15987.2  ,      87
16011.6  ,      63
16036.1  ,      77
16060.6  ,      79
16085.0  ,      76
16109.5  ,      76
16133.9  ,      74
16158.4  ,      92
16182.8  ,     114
16207.3  ,     101
16231.7  ,     102
16256.2  ,      73
16280.6  ,      91
16305.1  ,     101
16329.5  ,      84
16354.0  ,     108
16378.4  ,      84
16402.9  ,     108
16427.3  ,      92
16451.8  ,      97
16476.2  ,      84
16500.7  ,      87
16525.1  ,      94
16549.6  ,      98
16574.0  ,      97
16598.5  ,      75
16623.0  ,      90
16647.4  ,      87
16671.9  ,      90
16696.3  ,     115
16720.8  ,      99
16745.2  ,     113
16769.7  ,     127
16794.1  ,     118
16818.6  ,     129
16843.0  ,     193
16867.5  ,     144
16891.9  ,     176
16916.4  ,     179
16940.8  ,     200
16965.3  ,     206
16989.7  ,     225
17014.2  ,     207
17038.6  ,     230
17063.1  ,     230
17087.5  ,     261
17112.0  ,     245
17136.4  ,     279
17160.9  ,     247
17185.4  ,     246
17209.8  ,     258
17234.3  ,     260
17258.7  ,     268
17283.2  ,     264
17307.6  ,     237
17332.1  ,     201
17356.5  ,     191
17381.0  ,     181
17405.4  ,     155
17429.9  ,     166
17454.3  ,     125
17478.8  ,     126
17503.2  ,      93
17527.7  ,     105
17552.1  ,     128
17576.6  ,     103
17601.0  ,     110
17625.5  ,     110
17649.9  ,     119
17674.4  ,     109
17698.8  ,     110
17723.3  ,      80
17747.8  ,     118
17772.2  ,      79
17796.7  ,      58
17821.1  ,      60
17845.6  ,      59
17870.0  ,      59
17894.5  ,      65
17918.9  ,      54
17943.4  ,      40
17967.8  ,      46
17992.3  ,      52
18016.7  ,      52
18041.2  ,      49
18065.6  ,      52
18090.1  ,      54
18114.5  ,      63
18139.0  ,      98
18163.4  ,     136
18187.9  ,     161
18212.3  ,     153
18236.8  ,     246
18261.2  ,     218
18285.7  ,     264
18310.2  ,     263
18334.6  ,     253
18359.1  ,     229
18383.5  ,     212
18408.0  ,     150
18432.4  ,     125
18456.9  ,      96
18481.3  ,      66
18505.8  ,      52
18530.2  ,      30
18554.7  ,      25
18579.1  ,      19
18603.6  ,      25
18628.0  ,      19
18652.5  ,      15
18676.9  ,      13
18701.4  ,      19
18725.8  ,      13
18750.3  ,      13
18774.7  ,      11
18799.2  ,      15
18823.6  ,      11
18848.1  ,      13
18872.6  ,      14
18897.0  ,      12
18921.5  ,      10
18945.9  ,      17
18970.4  ,      14
18994.8  ,      16
19019.3  ,      14
19043.7  ,      20
19068.2  ,      17
19092.6  ,      21
19117.1  ,      14
19141.5  ,      22
19166.0  ,      13
19190.4  ,      23
19214.9  ,      13
19239.3  ,      28
19263.8  ,      24
19288.2  ,      32
19312.7  ,      31
19337.1  ,      26
19361.6  ,      26
19386.1  ,      36
19410.5  ,      34
19435.0  ,      33
19459.4  ,      44
19483.9  ,      38
19508.3  ,      41
19532.8  ,      35
19557.2  ,      51
19581.7  ,      37
19606.1  ,      50
19630.6  ,      49
19655.0  ,      40
19679.5  ,      52
19703.9  ,      56
19728.4  ,      58
19752.8  ,      54
19777.3  ,      46
19801.7  ,      51
19826.2  ,      68
19850.6  ,      68
19875.1  ,      65
19899.5  ,      59
19924.0  ,      50
19948.5  ,      61
19972.9  ,      56
19997.4  ,      65
20021.8  ,      56
20046.3  ,      56
20070.7  ,      60
20095.2  ,      50
20119.6  ,      44
20144.1  ,      49
20168.5  ,      36
20193.0  ,      33
20217.4  ,      52
20241.9  ,      40
20266.3  ,      37
20290.8  ,      33
20315.2  ,      28
20339.7  ,      35
20364.1  ,      24
20388.6  ,      28
20413.0  ,      23
20437.5  ,      31
20461.9  ,      38
20486.4  ,      32
20510.9  ,      22
20535.3  ,      28
20559.8  ,      28
20584.2  ,      26
20608.7  ,      32
20633.1  ,      29
20657.6  ,      16
20682.0  ,      24
20706.5  ,      28
20730.9  ,      27
20755.4  ,      24
20779.8  ,      30
20804.3  ,      15
20828.7  ,      23
20853.2  ,      12
20877.6  ,      21
20902.1  ,      15
20926.5  ,      20
20951.0  ,      11
20975.4  ,      11
20999.9  ,      11
21024.3  ,      14
21048.8  ,      11
21073.3  ,      12
21097.7  ,      19
21122.2  ,       8
21146.6  ,       7
21171.1  ,      18
21195.5  ,      12
21220.0  ,      18
21244.4  ,      18
21268.9  ,      32
21293.3  ,      32
21317.8  ,      35
21342.2  ,      43
21366.7  ,      36
21391.1  ,      40
21415.6  ,      49
21440.0  ,      46
21464.5  ,      58
21488.9  ,      44
21513.4  ,      41
21537.8  ,      32
21562.3  ,      23
21586.7  ,      30
21611.2  ,      18
21635.7  ,      14
21660.1  ,       8
21684.6  ,       6
21709.0  ,       4
21733.5  ,       3
21757.9  ,       9
21782.4  ,       6
21806.8  ,       6
21831.3  ,      12
21855.7  ,       5
21880.2  ,       9
21904.6  ,       8
21929.1  ,       7
21953.5  ,       7
21978.0  ,      10
22002.4  ,       8
22026.9  ,      14
22051.3  ,      12
22075.8  ,      17
22100.2  ,       8
22124.7  ,       8
22149.1  ,      18
22173.6  ,      15
22198.1  ,      10
22222.5  ,       8
22247.0  ,      19
22271.4  ,       8
22295.9  ,      16
22320.3  ,       8
22344.8  ,       3
22369.2  ,       7
22393.7  ,       5
22418.1  ,       8
22442.6  ,      16
22467.0  ,       5
22491.5  ,       4
22515.9  ,       3
22540.4  ,       7
22564.8  ,       5
22589.3  ,       3
22613.7  ,       8
22638.2  ,       7
22662.6  ,       4
22687.1  ,       2
22711.5  ,       6
22736.0  ,       5
22760.5  ,       3
22784.9  ,       6
22809.4  ,       4
22833.8  ,       4
22858.3  ,       5
22882.7  ,       3
22907.2  ,       4
22931.6  ,       8
22956.1  ,       6
22980.5  ,       9
23005.0  ,       6
23029.4  ,       2
23053.9  ,       2
23078.3  ,       7
23102.8  ,       6
23127.2  ,       3
23151.7  ,       3
23176.1  ,       5
23200.6  ,      10
23225.0  ,       5
23249.5  ,       6
23274.0  ,       4
23298.4  ,       5
23322.9  ,       4
23347.3  ,       9
23371.8  ,       6
23396.2  ,       6
23420.7  ,       4
23445.1  ,       8
23469.6  ,      15
23494.0  ,       3
23518.5  ,       3
23542.9  ,       4
23567.4  ,       3
23591.8  ,       3
23616.3  ,       5
23640.7  ,       2
23665.2  ,       8
23689.6  ,       2
23714.1  ,       6
23738.5  ,       3
23763.0  ,       3
23787.4  ,       4
23811.9  ,       5
23836.4  ,       6
23860.8  ,       8
23885.3  ,       3
23909.7  ,       3
23934.2  ,       3
23958.6  ,       4
23983.1  ,       7
24007.5  ,       7
24032.0  ,       5
24056.4  ,       6
24080.9  ,       4
24105.3  ,       2
24129.8  ,       5
24154.2  ,       6
24178.7  ,       3
24203.1  ,       6
24227.6  ,       7
24252.0  ,       3
24276.5  ,       4
24300.9  ,       7
24325.4  ,       3
24349.8  ,       5
24374.3  ,       6
24398.8  ,       9
24423.2  ,       6
24447.7  ,       1
24472.1  ,       4
24496.6  ,       6
24521.0  ,       4
24545.5  ,       5
24569.9  ,       3
24594.4  ,       4
24618.8  ,       7
24643.3  ,       9
24667.7  ,       5
24692.2  ,       6
24716.6  ,       3
24741.1  ,       5
24765.5  ,       4
24790.0  ,       0
24814.4  ,       3
24838.9  ,       6
24863.3  ,       6
24887.8  ,       3
24912.2  ,       2
24936.7  ,       6
24961.2  ,       3
24985.6  ,       7
25010.1  ,       5
25034.5  ,       7
25059.0  ,       6
25083.4  ,       5
25107.9  ,       7
25132.3  ,       3
25156.8  ,       4
25181.2  ,       3
25205.7  ,       5
25230.1  ,       7
25254.6  ,       7
25279.0  ,       3
25303.5  ,       5
25327.9  ,       4
25352.4  ,       4
25376.8  ,       9
25401.3  ,       1
25425.7  ,       6
25450.2  ,      13
25474.6  ,       9
25499.1  ,   14087
