"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
 9326.9  ,      85
 9351.2  ,      76
 9375.6  ,      86
 9399.9  ,      85
 9424.3  ,      87
 9448.6  ,      92
 9473.0  ,      90
 9497.3  ,      96
 9521.7  ,     118
 9546.0  ,     105
 9570.4  ,     136
 9594.7  ,     109
 9619.1  ,     110
 9643.4  ,      89
 9667.8  ,      99
 9692.1  ,      78
 9716.5  ,      64
 9740.8  ,      67
 9765.2  ,      57
 9789.5  ,      61
 9813.9  ,      60
 9838.2  ,      64
 9862.6  ,      64
 9886.9  ,      75
 9911.3  ,      78
 9935.6  ,      60
 9960.0  ,      59
 9984.4  ,      61
10008.7  ,      78
10033.1  ,      66
10057.4  ,      62
10081.8  ,      62
10106.1  ,      60
10130.5  ,      60
10154.8  ,      57
10179.2  ,      67
10203.5  ,      63
10227.9  ,      85
10252.2  ,      69
10276.6  ,      67
10300.9  ,      84
10325.3  ,      67
10349.6  ,      84
10374.0  ,      71
10398.3  ,      84
10422.7  ,      97
10447.0  ,      88
10471.4  ,     116
10495.7  ,     102
10520.1  ,     117
10544.4  ,     105
10568.8  ,     103
10593.1  ,     106
10617.5  ,      90
10641.8  ,      81
10666.2  ,      69
10690.5  ,      70
10714.9  ,      90
10739.2  ,      64
10763.6  ,      72
10787.9  ,      74
10812.3  ,      58
10836.7  ,      76
10861.0  ,      57
10885.4  ,      75
10909.7  ,      90
10934.1  ,      62
10958.4  ,      71
10982.8  ,      60
11007.1  ,      73
11031.5  ,      77
11055.8  ,      88
11080.2  ,      63
11104.5  ,      79
11128.9  ,      88
11153.2  ,      82
11177.6  ,      84
11201.9  ,      94
11226.3  ,      80
11250.6  ,      98
11275.0  ,     114
11299.3  ,      97
11323.7  ,     104
11348.0  ,      98
11372.4  ,     102
11396.7  ,     149
11421.1  ,     151
11445.4  ,     142
11469.8  ,     138
11494.1  ,     142
11518.5  ,     146
11542.8  ,     158
11567.2  ,     162
11591.5  ,     171
11615.9  ,     174
11640.2  ,     135
11664.6  ,     159
11689.0  ,     159
11713.3  ,     144
11737.7  ,     158
11762.0  ,     173
11786.4  ,     157
11810.7  ,     185
11835.1  ,     190
11859.4  ,     190
11883.8  ,     205
11908.1  ,     205
11932.5  ,     215
11956.8  ,     210
11981.2  ,     191
12005.5  ,     218
12029.9  ,     198
12054.2  ,     220
12078.6  ,     241
12102.9  ,     260
12127.3  ,     223
12151.6  ,     259
12176.0  ,     210
12200.3  ,     196
12224.7  ,     189
12249.0  ,     146
12273.4  ,     133
12297.7  ,     122
12322.1  ,     122
12346.4  ,     128
12370.8  ,     113
12395.1  ,     142
12419.5  ,     150
12443.8  ,     121
12468.2  ,     157
12492.5  ,     181
12516.9  ,     155
12541.3  ,     186
12565.6  ,     180
12590.0  ,     200
12614.3  ,     191
12638.7  ,     176
12663.0  ,     190
12687.4  ,     195
12711.7  ,     195
12736.1  ,     205
12760.4  ,     226
12784.8  ,     213
12809.1  ,     208
12833.5  ,     210
12857.8  ,     244
12882.2  ,     259
12906.5  ,     257
12930.9  ,     263
12955.2  ,     285
12979.6  ,     349
13003.9  ,     374
13028.3  ,     393
13052.6  ,     453
13077.0  ,     424
13101.3  ,     488
13125.7  ,     529
13150.0  ,     548
13174.4  ,     596
13198.7  ,     710
13223.1  ,     776
13247.4  ,     911
13271.8  ,     930
13296.1  ,    1002
13320.5  ,    1101
13344.8  ,    1225
13369.2  ,    1322
13393.6  ,    1472
13417.9  ,    1496
13442.3  ,    1601
13466.6  ,    1601
13491.0  ,    1581
13515.3  ,    1679
13539.7  ,    1547
13564.0  ,    1634
