"Target: Cumberland_dump_pile_center, Contains DAT files: APB_440781134ESC04880240366_______M2.DAT"
12828.3  ,     111
12852.7  ,      87
12877.1  ,     102
12901.5  ,      99
12925.9  ,     104
12950.3  ,     128
12974.6  ,     132
12999.0  ,     124
13023.4  ,     160
13047.8  ,     144
13072.2  ,     187
13096.6  ,     198
13121.0  ,     205
13145.4  ,     259
13169.8  ,     255
13194.2  ,     283
13218.6  ,     315
13243.0  ,     334
13267.4  ,     358
13291.8  ,     423
13316.2  ,     464
13340.6  ,     453
13364.9  ,     539
13389.3  ,     517
13413.7  ,     550
13438.1  ,     626
13462.5  ,     581
13486.9  ,     593
13511.3  ,     565
13535.7  ,     548
13560.1  ,     536
13584.5  ,     531
13608.9  ,     578
13633.3  ,     507
13657.7  ,     441
13682.1  ,     421
13706.5  ,     392
13730.9  ,     331
13755.2  ,     355
13779.6  ,     321
13804.0  ,     271
13828.4  ,     259
13852.8  ,     213
13877.2  ,     241
13901.6  ,     226
13926.0  ,     216
13950.4  ,     187
13974.8  ,     237
13999.2  ,     255
14023.6  ,     288
14048.0  ,     308
14072.4  ,     358
14096.8  ,     433
14121.2  ,     473
14145.6  ,     612
14169.9  ,     716
14194.3  ,     855
14218.7  ,     905
14243.1  ,    1032
14267.5  ,     939
14291.9  ,     993
14316.3  ,     813
14340.7  ,     720
14365.1  ,     565
14389.5  ,     444
14413.9  ,     284
14438.3  ,     189
14462.7  ,     162
14487.1  ,      96
14511.5  ,      75
14535.9  ,      66
14560.2  ,      51
14584.6  ,      72
14609.0  ,      64
14633.4  ,      49
14657.8  ,      57
14682.2  ,      44
14706.6  ,      52
14731.0  ,      58
14755.4  ,      71
14779.8  ,      69
14804.2  ,      69
14828.6  ,      81
14853.0  ,      69
14877.4  ,      92
14901.8  ,      80
14926.2  ,      96
14950.5  ,      91
14974.9  ,      88
14999.3  ,      77
15023.7  ,      98
15048.1  ,      81
15072.5  ,      87
15096.9  ,      82
15121.3  ,     102
15145.7  ,      67
15170.1  ,      87
15194.5  ,      88
15218.9  ,      98
15243.3  ,      81
15267.7  ,      92
15292.1  ,      93
15316.5  ,     128
15340.8  ,     110
15365.2  ,     135
15389.6  ,     124
15414.0  ,     138
15438.4  ,     124
15462.8  ,     170
15487.2  ,     222
15511.6  ,     260
15536.0  ,     342
15560.4  ,     479
15584.8  ,     659
15609.2  ,     873
15633.6  ,    1116
15658.0  ,    1270
15682.4  ,    1509
15706.8  ,    1640
15731.2  ,    1800
15755.5  ,    1777
15779.9  ,    1664
15804.3  ,    1522
15828.7  ,    1291
15853.1  ,     991
15877.5  ,     740
15901.9  ,     565
15926.3  ,     449
15950.7  ,     375
15975.1  ,     283
15999.5  ,     297
16023.9  ,     255
16048.3  ,     237
16072.7  ,     249
16097.1  ,     242
16121.5  ,     259
16145.8  ,     280
16170.2  ,     237
16194.6  ,     276
16219.0  ,     277
16243.4  ,     292
16267.8  ,     316
16292.2  ,     279
16316.6  ,     305
16341.0  ,     270
16365.4  ,     303
16389.8  ,     284
16414.2  ,     301
16438.6  ,     302
16463.0  ,     320
16487.4  ,     281
16511.8  ,     287
16536.1  ,     308
16560.5  ,     296
16584.9  ,     312
16609.3  ,     314
16633.7  ,     290
16658.1  ,     317
16682.5  ,     340
16706.9  ,     344
16731.3  ,     365
16755.7  ,     429
16780.1  ,     453
16804.5  ,     523
16828.9  ,     505
16853.3  ,     516
16877.7  ,     551
16902.1  ,     629
16926.4  ,     648
16950.8  ,     669
16975.2  ,     695
16999.6  ,     696
17024.0  ,     696
17048.4  ,     693
17072.8  ,     721
17097.2  ,     713
17121.6  ,     788
17146.0  ,     766
17170.4  ,     879
17194.8  ,     737
17219.2  ,     773
17243.6  ,     707
17268.0  ,     760
17292.4  ,     660
17316.8  ,     650
17341.1  ,     569
17365.5  ,     536
17389.9  ,     505
17414.3  ,     399
17438.7  ,     426
17463.1  ,     378
17487.5  ,     380
17511.9  ,     345
17536.3  ,     366
17560.7  ,     397
17585.1  ,     429
17609.5  ,     422
17633.9  ,     531
17658.3  ,     458
17682.7  ,     452
17707.1  ,     405
17731.4  ,     366
17755.8  ,     318
17780.2  ,     261
17804.6  ,     229
17829.0  ,     220
17853.4  ,     169
17877.8  ,     160
17902.2  ,     204
17926.6  ,     171
17951.0  ,     153
17975.4  ,     164
17999.8  ,     180
18024.2  ,     141
18048.6  ,     175
18073.0  ,     178
18097.4  ,     215
18121.7  ,     293
18146.1  ,     315
18170.5  ,     448
18194.9  ,     558
18219.3  ,     678
18243.7  ,     729
18268.1  ,     784
18292.5  ,     752
18316.9  ,     764
18341.3  ,     626
18365.7  ,     599
18390.1  ,     486
18414.5  ,     405
18438.9  ,     242
18463.3  ,     173
18487.7  ,     130
18512.0  ,     106
18536.4  ,      70
18560.8  ,      79
18585.2  ,      51
18609.6  ,      55
18634.0  ,      70
18658.4  ,      54
18682.8  ,      35
18707.2  ,      45
18731.6  ,      40
18756.0  ,      49
18780.4  ,      37
18804.8  ,      41
18829.2  ,      42
18853.6  ,      55
18878.0  ,      54
18902.3  ,      43
18926.7  ,      52
18951.1  ,      66
18975.5  ,      59
18999.9  ,      48
19024.3  ,      65
19048.7  ,      55
19073.1  ,      68
19097.5  ,      65
19121.9  ,      70
19146.3  ,      79
19170.7  ,      67
19195.1  ,      73
19219.5  ,      80
19243.9  ,      76
19268.3  ,      69
19292.7  ,      94
19317.0  ,     108
19341.4  ,     104
19365.8  ,     107
19390.2  ,      94
19414.6  ,     123
19439.0  ,     105
19463.4  ,     111
19487.8  ,     118
19512.2  ,     131
19536.6  ,     150
19561.0  ,     165
19585.4  ,     172
19609.8  ,     177
19634.2  ,     147
19658.6  ,     187
19683.0  ,     180
19707.3  ,     186
19731.7  ,     171
19756.1  ,     191
19780.5  ,     178
19804.9  ,     167
19829.3  ,     196
19853.7  ,     202
19878.1  ,     147
19902.5  ,     181
19926.9  ,     175
19951.3  ,     177
19975.7  ,     163
20000.1  ,     142
20024.5  ,     157
20048.9  ,     155
20073.3  ,     141
20097.6  ,     129
20122.0  ,     161
20146.4  ,     124
20170.8  ,     146
20195.2  ,     126
20219.6  ,     120
20244.0  ,     117
20268.4  ,     117
20292.8  ,      91
