"Target: Okoruso_full_drill_tailings, Contains DAT files: APB_516238368ESC13380540938_______M1.DAT"
10545.7  ,     136
10570.1  ,     134
10594.4  ,     121
10618.8  ,     132
10643.1  ,     148
10667.5  ,     114
10691.8  ,     117
10716.2  ,     111
10740.6  ,     108
10764.9  ,     104
10789.3  ,     121
10813.6  ,     106
10838.0  ,     145
10862.3  ,     115
10886.7  ,     104
10911.0  ,     135
10935.4  ,     113
10959.8  ,     113
10984.1  ,     110
11008.5  ,     114
11032.8  ,     133
11057.2  ,     129
11081.5  ,     124
11105.9  ,     138
11130.3  ,     128
11154.6  ,     120
11179.0  ,     137
11203.3  ,     130
11227.7  ,     112
11252.0  ,     156
11276.4  ,     144
11300.8  ,     136
11325.1  ,     152
11349.5  ,     141
11373.8  ,     161
11398.2  ,     177
11422.5  ,     157
11446.9  ,     190
11471.3  ,     193
11495.6  ,     172
11520.0  ,     210
11544.3  ,     200
11568.7  ,     187
11593.0  ,     186
11617.4  ,     189
11641.8  ,     228
11666.1  ,     210
11690.5  ,     197
11714.8  ,     234
11739.2  ,     261
11763.5  ,     311
11787.9  ,     367
11812.3  ,     385
11836.6  ,     493
11861.0  ,     508
11885.3  ,     517
11909.7  ,     542
11934.0  ,     517
11958.4  ,     472
11982.8  ,     415
12007.1  ,     411
12031.5  ,     372
12055.8  ,     346
12080.2  ,     357
12104.5  ,     345
12128.9  ,     349
12153.3  ,     304
12177.6  ,     283
12202.0  ,     272
12226.3  ,     220
12250.7  ,     222
12275.0  ,     213
12299.4  ,     205
12323.7  ,     179
12348.1  ,     156
12372.5  ,     171
12396.8  ,     166
12421.2  ,     172
12445.5  ,     178
12469.9  ,     167
12494.2  ,     194
12518.6  ,     194
12543.0  ,     203
12567.3  ,     216
12591.7  ,     246
12616.0  ,     246
12640.4  ,     226
12664.7  ,     228
12689.1  ,     236
12713.5  ,     256
12737.8  ,     253
12762.2  ,     261
12786.5  ,     248
12810.9  ,     274
12835.2  ,     269
12859.6  ,     318
12884.0  ,     328
12908.3  ,     328
12932.7  ,     364
12957.0  ,     407
12981.4  ,     445
13005.7  ,     420
13030.1  ,     425
13054.5  ,     484
13078.8  ,     484
13103.2  ,     530
13127.5  ,     612
13151.9  ,     674
13176.2  ,     747
13200.6  ,     918
13225.0  ,     887
13249.3  ,    1060
13273.7  ,    1143
13298.0  ,    1238
13322.4  ,    1352
13346.7  ,    1477
13371.1  ,    1610
13395.5  ,    1645
13419.8  ,    1735
13444.2  ,    1734
13468.5  ,    1834
13492.9  ,    1863
13517.2  ,    1791
13541.6  ,    1773
13566.0  ,    1794
13590.3  ,    1721
13614.7  ,    1665
13639.0  ,    1589
13663.4  ,    1565
13687.7  ,    1304
13712.1  ,    1219
13736.4  ,    1231
13760.8  ,    1082
13785.2  ,     964
13809.5  ,     888
13833.9  ,     818
13858.2  ,     743
13882.6  ,     709
13906.9  ,     713
13931.3  ,     698
13955.7  ,     778
13980.0  ,     812
14004.4  ,     853
14028.7  ,     969
14053.1  ,    1085
14077.4  ,    1270
14101.8  ,    1515
14126.2  ,    1691
14150.5  ,    2072
14174.9  ,    2337
14199.2  ,    2565
14223.6  ,    2735
14247.9  ,    2904
14272.3  ,    2911
14296.7  ,    2785
14321.0  ,    2443
14345.4  ,    2149
14369.7  ,    1705
14394.1  ,    1262
14418.4  ,     982
14442.8  ,     713
14467.2  ,     491
14491.5  ,     321
14515.9  ,     255
14540.2  ,     236
14564.6  ,     190
14588.9  ,     149
14613.3  ,     158
14637.7  ,     154
14662.0  ,     164
14686.4  ,     162
14710.7  ,     163
14735.1  ,     147
14759.4  ,     188
14783.8  ,     183
14808.2  ,     201
14832.5  ,     190
14856.9  ,     207
14881.2  ,     216
14905.6  ,     235
14929.9  ,     234
14954.3  ,     235
14978.7  ,     241
15003.0  ,     205
15027.4  ,     246
15051.7  ,     231
15076.1  ,     223
15100.4  ,     245
15124.8  ,     252
15149.1  ,     264
15173.5  ,     241
15197.9  ,     239
15222.2  ,     287
15246.6  ,     283
15270.9  ,     274
15295.3  ,     300
15319.6  ,     320
15344.0  ,     307
15368.4  ,     299
15392.7  ,     365
15417.1  ,     411
15441.4  ,     419
15465.8  ,     474
15490.1  ,     601
15514.5  ,     773
15538.9  ,     973
15563.2  ,    1215
15587.6  ,    1548
15611.9  ,    1958
15636.3  ,    2400
15660.6  ,    2775
15685.0  ,    3108
15709.4  ,    3309
15733.7  ,    3442
15758.1  ,    3330
15782.4  ,    3232
15806.8  ,    2848
15831.1  ,    2519
15855.5  ,    2142
15879.9  ,    1819
15904.2  ,    1425
15928.6  ,    1145
15952.9  ,     986
15977.3  ,     781
16001.6  ,     743
16026.0  ,     734
16050.4  ,     745
16074.7  ,     738
16099.1  ,     779
16123.4  ,     765
16147.8  ,     774
16172.1  ,     801
16196.5  ,     835
16220.9  ,     929
16245.2  ,     896
16269.6  ,     899
16293.9  ,     919
16318.3  ,     923
16342.6  ,     894
16367.0  ,     877
16391.4  ,     923
16415.7  ,     855
16440.1  ,     876
16464.4  ,     867
16488.8  ,     910
16513.1  ,     897
16537.5  ,     870
16561.8  ,     963
16586.2  ,     965
16610.6  ,     889
16634.9  ,    1005
16659.3  ,     968
16683.6  ,    1030
16708.0  ,    1095
16732.3  ,    1176
16756.7  ,    1284
16781.1  ,    1355
16805.4  ,    1473
16829.8  ,    1414
16854.1  ,    1555
16878.5  ,    1656
16902.8  ,    1908
16927.2  ,    1846
16951.6  ,    1924
16975.9  ,    2026
17000.3  ,    2083
17024.6  ,    2131
17049.0  ,    2238
17073.3  ,    2290
17097.7  ,    2375
17122.1  ,    2481
17146.4  ,    2475
17170.8  ,    2404
17195.1  ,    2509
17219.5  ,    2534
17243.8  ,    2480
17268.2  ,    2321
17292.6  ,    2246
17316.9  ,    2004
17341.3  ,    1801
17365.6  ,    1702
17390.0  ,    1575
17414.3  ,    1457
17438.7  ,    1268
17463.1  ,    1144
17487.4  ,    1128
17511.8  ,    1173
17536.1  ,    1060
17560.5  ,    1059
17584.8  ,    1109
17609.2  ,    1119
17633.6  ,    1169
17657.9  ,    1095
17682.3  ,    1070
17706.6  ,     938
17731.0  ,     893
17755.3  ,     772
17779.7  ,     686
17804.0  ,     649
17828.4  ,     563
17852.8  ,     559
17877.1  ,     468
17901.5  ,     460
17925.8  ,     486
17950.2  ,     507
17974.5  ,     497
17998.9  ,     521
18023.3  ,     455
18047.6  ,     573
18072.0  ,     677
18096.3  ,     806
18120.7  ,     930
18145.0  ,    1169
18169.4  ,    1408
18193.8  ,    1723
18218.1  ,    1971
18242.5  ,    2182
18266.8  ,    2292
18291.2  ,    2262
18315.5  ,    2205
18339.9  ,    2040
18364.3  ,    1781
18388.6  ,    1498
18413.0  ,    1177
18437.3  ,     947
18461.7  ,     672
18486.0  ,     548
18510.4  ,     430
18534.8  ,     307
18559.1  ,     213
18583.5  ,     209
18607.8  ,     160
18632.2  ,     154
18656.5  ,     140
18680.9  ,     127
18705.3  ,     117
18729.6  ,     156
18754.0  ,     152
18778.3  ,     156
18802.7  ,     139
18827.0  ,     139
18851.4  ,     157
18875.8  ,     153
18900.1  ,     140
18924.5  ,     128
18948.8  ,     144
18973.2  ,     175
18997.5  ,     178
19021.9  ,     150
19046.3  ,     182
19070.6  ,     211
19095.0  ,     182
19119.3  ,     206
19143.7  ,     204
19168.0  ,     207
19192.4  ,     218
19216.7  ,     206
19241.1  ,     275
19265.5  ,     252
19289.8  ,     278
19314.2  ,     276
19338.5  ,     275
19362.9  ,     320
19387.2  ,     321
19411.6  ,     317
19436.0  ,     327
19460.3  ,     358
19484.7  ,     416
19509.0  ,     378
19533.4  ,     428
19557.7  ,     424
19582.1  ,     504
19606.5  ,     493
19630.8  ,     541
19655.2  ,     533
19679.5  ,     539
19703.9  ,     533
19728.2  ,     537
19752.6  ,     557
19777.0  ,     593
19801.3  ,     592
19825.7  ,     539
19850.0  ,     581
19874.4  ,     555
19898.7  ,     557
19923.1  ,     494
19947.5  ,     529
19971.8  ,     502
19996.2  ,     532
20020.5  ,     519
20044.9  ,     425
20069.2  ,     483
20093.6  ,     424
20118.0  ,     418
