"Target: Mavor, Contains DAT files: APA_411516167ESC01580051954_______M2.DAT"
11797.8  ,      26
11822.2  ,      19
11846.7  ,      30
11871.1  ,      34
11895.5  ,      35
11920.0  ,      34
11944.4  ,      33
11968.8  ,      41
11993.3  ,      39
12017.7  ,      29
12042.1  ,      26
12066.6  ,      16
12091.0  ,      20
12115.4  ,      21
12139.9  ,      24
12164.3  ,      18
12188.7  ,      18
12213.2  ,      22
12237.6  ,      21
12262.0  ,      12
12286.5  ,       8
12310.9  ,      14
12335.3  ,       7
12359.8  ,      12
12384.2  ,       9
12408.6  ,      10
12433.1  ,      10
12457.5  ,      13
12482.0  ,       8
12506.4  ,       9
12530.8  ,       6
12555.3  ,      16
12579.7  ,      10
12604.1  ,      27
12628.6  ,      15
12653.0  ,      12
12677.4  ,      18
12701.9  ,      15
12726.3  ,      18
12750.7  ,      17
12775.2  ,      12
12799.6  ,      23
12824.0  ,      20
12848.5  ,      14
12872.9  ,      14
12897.3  ,      18
12921.8  ,      15
12946.2  ,      24
12970.6  ,      29
12995.1  ,      29
13019.5  ,      28
13043.9  ,      29
13068.4  ,      38
13092.8  ,      41
13117.2  ,      27
13141.7  ,      41
13166.1  ,      39
13190.5  ,      48
13215.0  ,      58
13239.4  ,      54
13263.8  ,      66
13288.3  ,      70
13312.7  ,      89
13337.1  ,      79
13361.6  ,      90
13386.0  ,     101
13410.4  ,     108
13434.9  ,     100
13459.3  ,      97
13483.7  ,     125
13508.2  ,     122
13532.6  ,     105
13557.1  ,     113
13581.5  ,     108
13605.9  ,     120
13630.4  ,      83
13654.8  ,      75
13679.2  ,      73
13703.7  ,      92
13728.1  ,      84
13752.5  ,      65
13777.0  ,      70
13801.4  ,      66
13825.8  ,      47
13850.3  ,      42
13874.7  ,      45
13899.1  ,      48
13923.6  ,      39
13948.0  ,      45
13972.4  ,      45
13996.9  ,      58
14021.3  ,      55
14045.7  ,      70
14070.2  ,      72
14094.6  ,      91
14119.0  ,     102
14143.5  ,     129
14167.9  ,     142
14192.3  ,     171
14216.8  ,     173
14241.2  ,     189
14265.6  ,     196
14290.1  ,     205
14314.5  ,     208
14338.9  ,     148
14363.4  ,     117
14387.8  ,     102
14412.2  ,      79
14436.7  ,      55
14461.1  ,      46
14485.5  ,      26
14510.0  ,      22
14534.4  ,      19
14558.8  ,      11
14583.3  ,       9
14607.7  ,      12
14632.2  ,       9
14656.6  ,       9
14681.0  ,      11
14705.5  ,      11
14729.9  ,       8
14754.3  ,      13
14778.8  ,      10
14803.2  ,      18
14827.6  ,      15
14852.1  ,      10
14876.5  ,      17
14900.9  ,       5
14925.4  ,      15
14949.8  ,      20
14974.2  ,       9
14998.7  ,       9
15023.1  ,      14
15047.5  ,      14
15072.0  ,       9
15096.4  ,      14
15120.8  ,      17
15145.3  ,      20
15169.7  ,      13
15194.1  ,       8
15218.6  ,      16
15243.0  ,      16
15267.4  ,      20
15291.9  ,      14
15316.3  ,      21
15340.7  ,      23
15365.2  ,      17
15389.6  ,      22
15414.0  ,      28
15438.5  ,      14
15462.9  ,      30
15487.3  ,      33
15511.8  ,      36
15536.2  ,      39
15560.6  ,      63
15585.1  ,      67
15609.5  ,      83
15634.0  ,     126
15658.4  ,     133
15682.8  ,     178
15707.3  ,     169
15731.7  ,     220
15756.1  ,     213
15780.6  ,     199
15805.0  ,     187
15829.4  ,     157
15853.9  ,     123
15878.3  ,     115
15902.7  ,      90
15927.2  ,      58
15951.6  ,      53
15976.0  ,      55
16000.5  ,      48
16024.9  ,      44
16049.3  ,      37
16073.8  ,      47
16098.2  ,      44
16122.6  ,      42
16147.1  ,      39
16171.5  ,      46
16195.9  ,      59
16220.4  ,      48
16244.8  ,      52
16269.2  ,      59
16293.7  ,      51
16318.1  ,      65
16342.5  ,      40
16367.0  ,      61
16391.4  ,      46
16415.8  ,      65
16440.3  ,      42
16464.7  ,      56
16489.1  ,      44
16513.6  ,      58
16538.0  ,      40
16562.4  ,      52
16586.9  ,      54
16611.3  ,      50
16635.7  ,      57
16660.2  ,      65
16684.6  ,      41
16709.1  ,      63
16733.5  ,      76
16757.9  ,      65
16782.4  ,      90
16806.8  ,      78
16831.2  ,      81
16855.7  ,      94
16880.1  ,     118
16904.5  ,      94
16929.0  ,      92
16953.4  ,     138
16977.8  ,     112
17002.3  ,     112
17026.7  ,     144
17051.1  ,     147
17075.6  ,     151
17100.0  ,     153
17124.4  ,     155
17148.9  ,     136
17173.3  ,     149
17197.7  ,     150
17222.2  ,     138
17246.6  ,     169
17271.0  ,     135
17295.5  ,     152
17319.9  ,     129
17344.3  ,     109
17368.8  ,     110
17393.2  ,     102
17417.6  ,      94
17442.1  ,      63
17466.5  ,      53
17490.9  ,      59
17515.4  ,      53
17539.8  ,      71
17564.2  ,      66
17588.7  ,      64
17613.1  ,      76
17637.5  ,      70
17662.0  ,      58
17686.4  ,      79
17710.9  ,      60
17735.3  ,      48
17759.7  ,      51
17784.2  ,      57
17808.6  ,      35
17833.0  ,      32
17857.5  ,      29
17881.9  ,      26
17906.3  ,      27
17930.8  ,      35
17955.2  ,      35
17979.6  ,      23
18004.1  ,      31
18028.5  ,      28
18052.9  ,      26
