"Target: Albert, Contains DAT files: APB_484092240ESC09760470598_______M1.DAT"
 9420.8  ,     187
 9445.2  ,     182
 9469.6  ,     224
 9494.1  ,     239
 9518.5  ,     262
 9542.9  ,     301
 9567.3  ,     301
 9591.7  ,     299
 9616.1  ,     285
 9640.6  ,     236
 9665.0  ,     227
 9689.4  ,     180
 9713.8  ,     158
 9738.2  ,     147
 9762.6  ,     176
 9787.1  ,     168
 9811.5  ,     155
 9835.9  ,     183
 9860.3  ,     172
 9884.7  ,     214
 9909.1  ,     169
 9933.6  ,     154
 9958.0  ,     142
 9982.4  ,     174
10006.8  ,     132
10031.2  ,     118
10055.6  ,     128
10080.1  ,     137
10104.5  ,     125
10128.9  ,     131
10153.3  ,     145
10177.7  ,      97
10202.1  ,     133
10226.6  ,     129
10251.0  ,     126
10275.4  ,     141
10299.8  ,     133
10324.2  ,     119
10348.6  ,     126
10373.1  ,     123
10397.5  ,     139
10421.9  ,     129
10446.3  ,     147
10470.7  ,     140
10495.1  ,     158
10519.5  ,     168
10544.0  ,     154
10568.4  ,     150
10592.8  ,     130
10617.2  ,     138
10641.6  ,     139
10666.0  ,     106
10690.5  ,     131
10714.9  ,     126
10739.3  ,     127
10763.7  ,     113
10788.1  ,     148
10812.5  ,     147
10837.0  ,     138
10861.4  ,     140
10885.8  ,     137
10910.2  ,     136
10934.6  ,     150
10959.0  ,     139
10983.5  ,     134
11007.9  ,     151
11032.3  ,     140
11056.7  ,     174
11081.1  ,     135
11105.5  ,     162
11130.0  ,     137
11154.4  ,     133
11178.8  ,     150
11203.2  ,     143
11227.6  ,     155
11252.0  ,     147
11276.5  ,     165
11300.9  ,     170
11325.3  ,     185
11349.7  ,     164
11374.1  ,     192
11398.5  ,     184
11423.0  ,     180
11447.4  ,     201
11471.8  ,     216
11496.2  ,     184
11520.6  ,     220
11545.0  ,     200
11569.5  ,     217
11593.9  ,     219
11618.3  ,     223
11642.7  ,     253
11667.1  ,     251
11691.5  ,     251
11716.0  ,     270
11740.4  ,     320
11764.8  ,     399
11789.2  ,     486
11813.6  ,     578
11838.0  ,     648
11862.5  ,     778
11886.9  ,     784
11911.3  ,     783
11935.7  ,     753
11960.1  ,     635
11984.5  ,     589
12009.0  ,     532
12033.4  ,     468
12057.8  ,     412
12082.2  ,     394
12106.6  ,     365
12131.0  ,     384
12155.4  ,     359
12179.9  ,     345
12204.3  ,     282
12228.7  ,     259
12253.1  ,     225
12277.5  ,     207
12301.9  ,     204
12326.4  ,     217
12350.8  ,     174
12375.2  ,     206
12399.6  ,     163
12424.0  ,     188
12448.4  ,     186
12472.9  ,     201
12497.3  ,     237
12521.7  ,     216
12546.1  ,     231
12570.5  ,     263
12594.9  ,     242
12619.4  ,     256
12643.8  ,     255
12668.2  ,     260
12692.6  ,     265
12717.0  ,     267
12741.4  ,     283
12765.9  ,     278
12790.3  ,     273
12814.7  ,     300
12839.1  ,     320
12863.5  ,     309
12887.9  ,     344
12912.4  ,     375
12936.8  ,     376
12961.2  ,     404
12985.6  ,     398
13010.0  ,     467
13034.4  ,     484
13058.9  ,     521
13083.3  ,     582
13107.7  ,     603
13132.1  ,     634
13156.5  ,     765
13180.9  ,     796
13205.4  ,     897
13229.8  ,     980
13254.2  ,    1077
13278.6  ,    1233
13303.0  ,    1288
13327.4  ,    1447
13351.9  ,    1471
13376.3  ,    1531
13400.7  ,    1646
13425.1  ,    1699
13449.5  ,    1782
13473.9  ,    1803
13498.4  ,    1749
13522.8  ,    1762
13547.2  ,    1834
13571.6  ,    1777
13596.0  ,    1678
13620.4  ,    1590
13644.9  ,    1509
13669.3  ,    1456
13693.7  ,    1355
13718.1  ,    1237
13742.5  ,    1124
13766.9  ,    1109
13791.3  ,     895
13815.8  ,     879
13840.2  ,     817
13864.6  ,     668
13889.0  ,     727
13913.4  ,     679
13937.8  ,     735
13962.3  ,     760
13986.7  ,     879
14011.1  ,     944
14035.5  ,    1018
14059.9  ,    1161
14084.3  ,    1288
14108.8  ,    1545
14133.2  ,    1720
14157.6  ,    2129
14182.0  ,    2404
14206.4  ,    2737
14230.8  ,    3055
14255.3  ,    3221
14279.7  ,    3128
14304.1  ,    3040
14328.5  ,    2724
14352.9  ,    2240
14377.3  ,    1797
14401.8  ,    1334
14426.2  ,     885
14450.6  ,     608
14475.0  ,     461
14499.4  ,     294
14523.8  ,     250
14548.3  ,     171
14572.7  ,     180
14597.1  ,     180
14621.5  ,     186
14645.9  ,     179
14670.3  ,     159
14694.8  ,     181
14719.2  ,     189
14743.6  ,     187
14768.0  ,     204
14792.4  ,     219
14816.8  ,     206
14841.3  ,     197
14865.7  ,     222
14890.1  ,     227
14914.5  ,     249
14938.9  ,     282
14963.3  ,     244
14987.8  ,     253
15012.2  ,     276
15036.6  ,     245
15061.0  ,     225
15085.4  ,     255
15109.8  ,     221
15134.3  ,     298
15158.7  ,     269
15183.1  ,     264
15207.5  ,     293
15231.9  ,     283
15256.3  ,     297
15280.8  ,     341
15305.2  ,     313
15329.6  ,     370
15354.0  ,     372
15378.4  ,     407
15402.8  ,     465
15427.3  ,     498
15451.7  ,     498
15476.1  ,     563
15500.5  ,     693
15524.9  ,     823
15549.3  ,    1008
15573.7  ,    1351
15598.2  ,    1665
15622.6  ,    2118
15647.0  ,    2612
15671.4  ,    3126
15695.8  ,    3547
15720.2  ,    3712
15744.7  ,    3904
15769.1  ,    3880
15793.5  ,    3441
15817.9  ,    3273
15842.3  ,    2646
15866.7  ,    2142
15891.2  ,    1743
15915.6  ,    1363
15940.0  ,    1042
15964.4  ,     885
15988.8  ,     804
16013.2  ,     722
16037.7  ,     701
16062.1  ,     713
16086.5  ,     713
16110.9  ,     752
16135.3  ,     804
16159.7  ,     784
16184.2  ,     863
16208.6  ,     860
16233.0  ,     866
16257.4  ,     870
16281.8  ,     860
16306.2  ,     920
16330.7  ,     941
16355.1  ,     840
16379.5  ,     879
16403.9  ,     898
16428.3  ,     891
16452.7  ,     850
16477.2  ,     832
16501.6  ,     870
16526.0  ,     887
16550.4  ,     898
16574.8  ,     905
16599.2  ,     863
16623.7  ,     935
16648.1  ,    1009
16672.5  ,     973
16696.9  ,    1037
16721.3  ,    1026
16745.7  ,    1176
16770.2  ,    1291
16794.6  ,    1347
16819.0  ,    1396
16843.4  ,    1510
16867.8  ,    1621
16892.2  ,    1614
16916.7  ,    1723
16941.1  ,    1869
16965.5  ,    1948
16989.9  ,    1955
17014.3  ,    2060
17038.7  ,    2145
17063.2  ,    2158
17087.6  ,    2244
17112.0  ,    2360
17136.4  ,    2423
17160.8  ,    2358
17185.2  ,    2525
17209.6  ,    2524
17234.1  ,    2426
17258.5  ,    2348
17282.9  ,    2255
17307.3  ,    2198
17331.7  ,    2029
17356.1  ,    1715
17380.6  ,    1655
17405.0  ,    1455
17429.4  ,    1273
17453.8  ,    1209
17478.2  ,    1081
17502.6  ,    1120
17527.1  ,    1039
17551.5  ,    1070
17575.9  ,    1167
17600.3  ,    1126
17624.7  ,    1158
17649.1  ,    1231
17673.6  ,    1198
17698.0  ,    1141
17722.4  ,    1051
17746.8  ,     855
17771.2  ,     818
17795.6  ,     712
17820.1  ,     621
17844.5  ,     579
17868.9  ,     521
17893.3  ,     580
17917.7  ,     524
17942.1  ,     515
17966.6  ,     563
17991.0  ,     547
18015.4  ,     538
18039.8  ,     551
18064.2  ,     643
18088.6  ,     679
18113.1  ,     789
18137.5  ,     987
18161.9  ,    1331
18186.3  ,    1597
18210.7  ,    1908
18235.1  ,    2103
18259.6  ,    2420
18284.0  ,    2619
18308.4  ,    2522
18332.8  ,    2417
18357.2  ,    2124
18381.6  ,    1782
18406.1  ,    1473
18430.5  ,    1154
18454.9  ,     826
18479.3  ,     658
18503.7  ,     457
18528.1  ,     299
18552.6  ,     273
18577.0  ,     178
18601.4  ,     161
18625.8  ,     185
18650.2  ,     167
18674.6  ,     157
18699.1  ,     166
18723.5  ,     149
18747.9  ,     163
18772.3  ,     171
18796.7  ,     171
18821.1  ,     157
18845.5  ,     174
18870.0  ,     174
18894.4  ,     146
18918.8  ,     168
18943.2  ,     170
18967.6  ,     152
18992.0  ,     173
19016.5  ,     172
19040.9  ,     186
19065.3  ,     193
19089.7  ,     195
19114.1  ,     201
19138.5  ,     198
19163.0  ,     200
19187.4  ,     210
19211.8  ,     228
19236.2  ,     235
19260.6  ,     230
19285.0  ,     275
19309.5  ,     300
19333.9  ,     285
19358.3  ,     293
19382.7  ,     308
19407.1  ,     310
19431.5  ,     343
19456.0  ,     378
19480.4  ,     366
19504.8  ,     385
19529.2  ,     433
19553.6  ,     462
19578.0  ,     458
19602.5  ,     475
19626.9  ,     479
19651.3  ,     532
19675.7  ,     504
19700.1  ,     497
19724.5  ,     532
19749.0  ,     543
19773.4  ,     568
19797.8  ,     556
19822.2  ,     521
19846.6  ,     563
19871.0  ,     537
19895.5  ,     537
19919.9  ,     538
19944.3  ,     523
19968.7  ,     510
19993.1  ,     543
20017.5  ,     497
20042.0  ,     443
20066.4  ,     485
20090.8  ,     454
20115.2  ,     405
20139.6  ,     390
20164.0  ,     381
20188.5  ,     387
20212.9  ,     402
20237.3  ,     320
20261.7  ,     357
20286.1  ,     322
20310.5  ,     290
20335.0  ,     304
20359.4  ,     344
20383.8  ,     294
20408.2  ,     303
20432.6  ,     286
20457.0  ,     262
20481.4  ,     257
20505.9  ,     265
20530.3  ,     280
20554.7  ,     242
20579.1  ,     270
20603.5  ,     230
20627.9  ,     267
20652.4  ,     234
20676.8  ,     238
20701.2  ,     195
20725.6  ,     209
20750.0  ,     202
20774.4  ,     182
20798.9  ,     201
20823.3  ,     191
20847.7  ,     179
20872.1  ,     176
20896.5  ,     171
