"Target: Glossopteris_Gully, Contains DAT files: APB_432964693ESC04000160148_______M2.DAT"
18043.6  ,     638
18068.0  ,     653
18092.3  ,     812
18116.7  ,     911
18141.0  ,    1215
18165.4  ,    1496
18189.7  ,    1777
18214.1  ,    2108
18238.4  ,    2486
18262.8  ,    2536
18287.1  ,    2623
18311.5  ,    2556
18335.8  ,    2369
18360.2  ,    1994
18384.5  ,    1641
18408.9  ,    1367
18433.2  ,    1095
18457.6  ,     732
18481.9  ,     557
18506.3  ,     403
18530.6  ,     305
18555.0  ,     246
18579.3  ,     204
18603.7  ,     196
18628.0  ,     176
18652.4  ,     163
18676.7  ,     193
18701.1  ,     145
18725.4  ,     179
18749.8  ,     185
18774.1  ,     192
18798.5  ,     187
18822.8  ,     188
18847.2  ,     194
18871.5  ,     170
18895.9  ,     205
18920.2  ,     194
18944.6  ,     223
18968.9  ,     218
18993.3  ,     202
19017.6  ,     218
19042.0  ,     231
19066.3  ,     276
19090.7  ,     241
19115.0  ,     265
19139.4  ,     263
19163.7  ,     280
19188.1  ,     264
19212.4  ,     318
19236.8  ,     292
19261.1  ,     316
19285.5  ,     377
19309.8  ,     345
19334.2  ,     395
19358.5  ,     392
19382.9  ,     439
19407.2  ,     396
19431.6  ,     466
19455.9  ,     476
19480.3  ,     535
19504.6  ,     522
19529.0  ,     596
19553.3  ,     558
19577.7  ,     665
19602.0  ,     729
19626.4  ,     700
19650.8  ,     783
19675.1  ,     763
19699.5  ,     766
19723.8  ,     785
19748.2  ,     751
19772.5  ,     794
19796.9  ,     814
19821.2  ,     800
19845.6  ,     833
19869.9  ,     797
19894.3  ,     797
19918.6  ,     723
19943.0  ,     710
19967.3  ,     693
19991.7  ,     653
20016.0  ,     687
20040.4  ,     665
20064.7  ,     627
20089.1  ,     582
20113.4  ,     526
20137.8  ,     545
20162.1  ,     499
20186.5  ,     502
20210.8  ,     486
20235.2  ,     483
20259.5  ,     461
20283.9  ,     431
20308.2  ,     442
20332.6  ,     390
20356.9  ,     392
20381.3  ,     407
20405.6  ,     389
20430.0  ,     398
20454.3  ,     331
20478.7  ,     380
20503.0  ,     327
20527.4  ,     314
20551.7  ,     323
20576.1  ,     289
20600.4  ,     281
20624.8  ,     351
20649.1  ,     232
20673.5  ,     290
20697.8  ,     252
20722.2  ,     228
20746.5  ,     255
20770.9  ,     228
20795.2  ,     233
20819.6  ,     207
20843.9  ,     206
20868.3  ,     209
20892.6  ,     163
20917.0  ,     151
20941.3  ,     145
20965.7  ,     142
20990.0  ,     141
21014.4  ,     139
21038.7  ,     137
21063.1  ,     121
21087.4  ,     138
21111.8  ,     155
21136.1  ,     153
21160.5  ,     148
21184.8  ,     168
21209.2  ,     189
21233.5  ,     227
21257.9  ,     262
21282.2  ,     291
21306.6  ,     363
21330.9  ,     372
21355.3  ,     485
21379.6  ,     473
21404.0  ,     545
21428.3  ,     503
21452.7  ,     518
21477.0  ,     468
21501.4  ,     393
21525.7  ,     369
21550.1  ,     290
21574.5  ,     223
21598.8  ,     198
21623.2  ,     156
21647.5  ,     104
21671.9  ,     111
21696.2  ,     102
21720.6  ,      89
21744.9  ,      95
21769.3  ,      72
21793.6  ,      88
21818.0  ,      83
21842.3  ,      78
21866.7  ,      82
21891.0  ,      66
21915.4  ,      67
21939.7  ,      77
21964.1  ,      83
21988.4  ,      83
22012.8  ,     115
22037.1  ,     117
22061.5  ,     117
22085.8  ,     156
22110.2  ,     142
22134.5  ,     126
22158.9  ,     166
22183.2  ,     153
22207.6  ,     126
22231.9  ,     126
22256.3  ,     113
22280.6  ,      96
22305.0  ,      96
22329.3  ,      89
22353.7  ,      64
22378.0  ,      62
