"Target: Ungava, Contains DAT files: APA_411166790ESC01540051954_______M2.DAT"
17026.6  ,     173
17051.1  ,     158
17075.6  ,     163
17100.1  ,     197
17124.5  ,     165
17149.0  ,     180
17173.5  ,     176
17198.0  ,     175
17222.5  ,     211
17247.0  ,     191
17271.5  ,     152
17296.0  ,     144
17320.5  ,     143
17345.0  ,     147
17369.5  ,     137
17394.0  ,     146
17418.5  ,     130
17443.0  ,     108
17467.5  ,     109
17492.0  ,      92
17516.5  ,      83
17541.0  ,      89
17565.5  ,      93
17590.0  ,      73
17614.5  ,      91
17638.9  ,      59
17663.4  ,      65
17687.9  ,      66
17712.4  ,      52
17736.9  ,      60
17761.4  ,      72
17785.9  ,      41
17810.4  ,      41
17834.9  ,      43
17859.4  ,      38
17883.9  ,      55
17908.4  ,      44
17932.9  ,      48
17957.4  ,      45
17981.9  ,      44
18006.4  ,      44
18030.9  ,      50
18055.4  ,      66
18079.9  ,      57
18104.4  ,      80
18128.9  ,      80
18153.3  ,      90
18177.8  ,     101
18202.3  ,     107
18226.8  ,     120
18251.3  ,     114
18275.8  ,     131
18300.3  ,     137
18324.8  ,     134
18349.3  ,     135
18373.8  ,     117
18398.3  ,     117
18422.8  ,      93
18447.3  ,      75
18471.8  ,      73
18496.3  ,      64
18520.8  ,      45
18545.3  ,      54
18569.8  ,      32
18594.3  ,      35
18618.8  ,      25
18643.3  ,      22
18667.7  ,      12
18692.2  ,      14
18716.7  ,       6
18741.2  ,      10
18765.7  ,       7
18790.2  ,       6
18814.7  ,      14
18839.2  ,      10
18863.7  ,       9
18888.2  ,      10
18912.7  ,      13
18937.2  ,      10
18961.7  ,       8
18986.2  ,      15
19010.7  ,      15
19035.2  ,      11
19059.7  ,       9
19084.2  ,      15
19108.7  ,       8
19133.2  ,      16
19157.7  ,      12
19182.1  ,      15
19206.6  ,      20
19231.1  ,      18
19255.6  ,      18
19280.1  ,      19
19304.6  ,      24
19329.1  ,      15
19353.6  ,      19
19378.1  ,      12
19402.6  ,      16
19427.1  ,      20
19451.6  ,      22
19476.1  ,      25
19500.6  ,      22
19525.1  ,      31
19549.6  ,      35
19574.1  ,      28
19598.6  ,      34
19623.1  ,      34
19647.6  ,      37
19672.0  ,      39
19696.5  ,      34
19721.0  ,      30
19745.5  ,      46
19770.0  ,      51
19794.5  ,      41
19819.0  ,      41
19843.5  ,      33
19868.0  ,      41
19892.5  ,      34
19917.0  ,      37
19941.5  ,      41
19966.0  ,      58
19990.5  ,      35
20015.0  ,      43
20039.5  ,      37
20064.0  ,      48
20088.5  ,      32
20113.0  ,      34
