"Target: Telegraph_Peak_DRT_raster2, Contains DAT files: APB_477874429ESC09050450450_______M1.DAT"
13343.9  ,    2399
13368.2  ,    2503
13392.6  ,    2575
13417.0  ,    2836
13441.4  ,    2862
13465.8  ,    2922
13490.2  ,    3016
13514.6  ,    2983
13539.0  ,    2880
13563.4  ,    3022
13587.8  ,    2885
13612.2  ,    2843
13636.6  ,    2698
13661.0  ,    2458
13685.4  ,    2300
13709.8  ,    2204
13734.2  ,    1970
13758.6  ,    1859
13783.0  ,    1636
13807.4  ,    1477
13831.8  ,    1376
13856.2  ,    1307
13880.6  ,    1265
13905.0  ,    1160
13929.4  ,    1177
13953.8  ,    1238
13978.2  ,    1326
14002.6  ,    1480
14027.0  ,    1543
14051.4  ,    1726
14075.8  ,    2010
14100.2  ,    2179
14124.6  ,    2553
14148.9  ,    2922
14173.3  ,    3593
14197.7  ,    3856
14222.1  ,    4405
14246.5  ,    4534
14270.9  ,    4579
14295.3  ,    4414
14319.7  ,    4121
14344.1  ,    3485
14368.5  ,    2737
14392.9  ,    2062
14417.3  ,    1549
14441.7  ,    1063
14466.1  ,     701
14490.5  ,     530
14514.9  ,     400
14539.3  ,     303
14563.7  ,     270
14588.1  ,     291
14612.5  ,     246
14636.9  ,     258
14661.3  ,     290
14685.7  ,     247
14710.1  ,     276
14734.5  ,     287
14758.9  ,     307
14783.3  ,     300
14807.7  ,     306
14832.1  ,     347
14856.5  ,     329
14880.9  ,     415
14905.3  ,     400
14929.6  ,     399
14954.0  ,     387
14978.4  ,     403
15002.8  ,     361
15027.2  ,     363
15051.6  ,     387
15076.0  ,     352
15100.4  ,     381
15124.8  ,     399
15149.2  ,     397
15173.6  ,     414
15198.0  ,     406
15222.4  ,     442
15246.8  ,     405
15271.2  ,     489
15295.6  ,     505
15320.0  ,     511
15344.4  ,     495
15368.8  ,     557
15393.2  ,     599
15417.6  ,     675
15442.0  ,     699
15466.4  ,     735
15490.8  ,     896
15515.2  ,    1064
15539.6  ,    1310
15564.0  ,    1607
15588.4  ,    2026
15612.8  ,    2444
15637.2  ,    3080
15661.6  ,    3684
15686.0  ,    4270
15710.3  ,    4481
15734.7  ,    4695
15759.1  ,    4774
15783.5  ,    4607
15807.9  ,    4177
15832.3  ,    3646
15856.7  ,    3044
15881.1  ,    2596
15905.5  ,    1953
15929.9  ,    1644
15954.3  ,    1405
15978.7  ,    1250
16003.1  ,    1165
16027.5  ,    1161
16051.9  ,    1148
16076.3  ,    1129
16100.7  ,    1145
16125.1  ,    1146
16149.5  ,    1285
16173.9  ,    1326
16198.3  ,    1377
16222.7  ,    1333
16247.1  ,    1376
16271.5  ,    1383
16295.9  ,    1478
16320.3  ,    1489
16344.7  ,    1427
16369.1  ,    1485
16393.5  ,    1490
16417.9  ,    1456
16442.3  ,    1442
16466.7  ,    1371
16491.0  ,    1409
16515.4  ,    1398
16539.8  ,    1407
16564.2  ,    1445
16588.6  ,    1501
16613.0  ,    1461
16637.4  ,    1545
16661.8  ,    1567
16686.2  ,    1685
16710.6  ,    1711
16735.0  ,    1862
16759.4  ,    1956
16783.8  ,    2161
16808.2  ,    2225
16832.6  ,    2334
16857.0  ,    2489
16881.4  ,    2708
16905.8  ,    2804
16930.2  ,    2937
16954.6  ,    3030
16979.0  ,    3285
17003.4  ,    3376
17027.8  ,    3438
17052.2  ,    3505
17076.6  ,    3759
17101.0  ,    3726
17125.4  ,    3961
17149.8  ,    3998
17174.2  ,    3992
17198.6  ,    3934
17223.0  ,    4084
17247.4  ,    3924
17271.7  ,    3711
17296.1  ,    3455
17320.5  ,    3352
17344.9  ,    3172
17369.3  ,    2815
17393.7  ,    2437
17418.1  ,    2277
17442.5  ,    1995
17466.9  ,    1885
17491.3  ,    1748
17515.7  ,    1714
17540.1  ,    1650
17564.5  ,    1646
17588.9  ,    1663
17613.3  ,    1656
17637.7  ,    1708
17662.1  ,    1678
17686.5  ,    1552
17710.9  ,    1500
17735.3  ,    1447
17759.7  ,    1217
17784.1  ,    1046
17808.5  ,     994
17832.9  ,     852
17857.3  ,     894
17881.7  ,     764
17906.1  ,     817
17930.5  ,     839
17954.9  ,     845
17979.3  ,     866
18003.7  ,     855
18028.1  ,     859
18052.4  ,     895
18076.8  ,     980
18101.2  ,    1118
18125.6  ,    1318
18150.0  ,    1648
18174.4  ,    2069
18198.8  ,    2451
18223.2  ,    2946
18247.6  ,    3387
18272.0  ,    3493
18296.4  ,    3632
18320.8  ,    3476
18345.2  ,    3315
18369.6  ,    2818
18394.0  ,    2221
18418.4  ,    1915
18442.8  ,    1373
18467.2  ,    1074
18491.6  ,     711
18516.0  ,     553
18540.4  ,     388
18564.8  ,     307
18589.2  ,     278
18613.6  ,     275
18638.0  ,     212
18662.4  ,     217
18686.8  ,     208
18711.2  ,     203
18735.6  ,     226
18760.0  ,     230
18784.4  ,     220
18808.8  ,     232
18833.1  ,     220
18857.5  ,     223
18881.9  ,     218
18906.3  ,     217
18930.7  ,     218
18955.1  ,     243
18979.5  ,     252
19003.9  ,     257
19028.3  ,     278
19052.7  ,     278
19077.1  ,     305
19101.5  ,     301
19125.9  ,     293
19150.3  ,     298
19174.7  ,     314
19199.1  ,     341
19223.5  ,     337
19247.9  ,     400
19272.3  ,     370
19296.7  ,     362
19321.1  ,     467
19345.5  ,     451
19369.9  ,     443
19394.3  ,     464
19418.7  ,     483
19443.1  ,     539
19467.5  ,     574
19491.9  ,     571
19516.3  ,     599
19540.7  ,     678
19565.1  ,     689
19589.5  ,     778
19613.8  ,     732
19638.2  ,     795
19662.6  ,     803
19687.0  ,     845
19711.4  ,     856
19735.8  ,     837
19760.2  ,     878
19784.6  ,     876
19809.0  ,     902
19833.4  ,     899
19857.8  ,     893
19882.2  ,     933
19906.6  ,     957
19931.0  ,     929
19955.4  ,     841
19979.8  ,     845
20004.2  ,     826
20028.6  ,     847
20053.0  ,     754
20077.4  ,     738
20101.8  ,     715
20126.2  ,     723
20150.6  ,     671
20175.0  ,     638
20199.4  ,     608
20223.8  ,     636
20248.2  ,     588
20272.6  ,     565
20297.0  ,     537
20321.4  ,     549
20345.8  ,     511
20370.2  ,     535
20394.5  ,     495
20418.9  ,     483
20443.3  ,     469
20467.7  ,     450
20492.1  ,     440
20516.5  ,     415
20540.9  ,     425
20565.3  ,     407
20589.7  ,     442
20614.1  ,     389
20638.5  ,     363
20662.9  ,     364
20687.3  ,     337
20711.7  ,     346
20736.1  ,     331
20760.5  ,     318
20784.9  ,     291
20809.3  ,     283
20833.7  ,     266
20858.1  ,     251
20882.5  ,     213
20906.9  ,     234
20931.3  ,     235
20955.7  ,     203
20980.1  ,     211
21004.5  ,     231
21028.9  ,     225
21053.3  ,     187
21077.7  ,     167
21102.1  ,     189
21126.5  ,     181
21150.9  ,     212
21175.2  ,     229
21199.6  ,     227
21224.0  ,     260
21248.4  ,     307
21272.8  ,     381
21297.2  ,     425
21321.6  ,     523
21346.0  ,     609
21370.4  ,     630
21394.8  ,     743
21419.2  ,     741
21443.6  ,     732
21468.0  ,     681
21492.4  ,     660
21516.8  ,     538
21541.2  ,     462
21565.6  ,     386
21590.0  ,     298
21614.4  ,     251
21638.8  ,     200
21663.2  ,     178
21687.6  ,     122
21712.0  ,     116
21736.4  ,     121
21760.8  ,     115
21785.2  ,     115
21809.6  ,     108
21834.0  ,     106
21858.4  ,     117
21882.8  ,     110
21907.2  ,     121
21931.6  ,     130
21955.9  ,     121
21980.3  ,     117
22004.7  ,     154
22029.1  ,     172
22053.5  ,     159
22077.9  ,     194
22102.3  ,     208
22126.7  ,     205
22151.1  ,     219
22175.5  ,     210
22199.9  ,     206
22224.3  ,     192
22248.7  ,     173
22273.1  ,     156
22297.5  ,     137
22321.9  ,     133
22346.3  ,     129
22370.7  ,      92
22395.1  ,      97
22419.5  ,      82
22443.9  ,      74
22468.3  ,      69
22492.7  ,      88
22517.1  ,      94
22541.5  ,      67
22565.9  ,      60
22590.3  ,      62
22614.7  ,      79
22639.1  ,      77
22663.5  ,      74
22687.9  ,      75
22712.3  ,      82
22736.6  ,      78
22761.0  ,      73
22785.4  ,      79
22809.8  ,      67
22834.2  ,      68
22858.6  ,      79
22883.0  ,      78
22907.4  ,      70
22931.8  ,      75
22956.2  ,      65
22980.6  ,      65
23005.0  ,      58
23029.4  ,      66
23053.8  ,      93
23078.2  ,      73
23102.6  ,      71
23127.0  ,      73
23151.4  ,      78
23175.8  ,      83
23200.2  ,      63
23224.6  ,      67
23249.0  ,      68
23273.4  ,      70
23297.8  ,      72
23322.2  ,      67
23346.6  ,      70
23371.0  ,      63
23395.4  ,      85
23419.8  ,      67
23444.2  ,      71
23468.6  ,      83
23492.9  ,      66
23517.3  ,      63
23541.7  ,      76
23566.1  ,      63
23590.5  ,      55
23614.9  ,      82
23639.3  ,      87
23663.7  ,      72
23688.1  ,      77
23712.5  ,      72
23736.9  ,      79
23761.3  ,      53
23785.7  ,      71
23810.1  ,      59
23834.5  ,      63
23858.9  ,      80
23883.3  ,      62
23907.7  ,      67
23932.1  ,      52
23956.5  ,      68
23980.9  ,      64
24005.3  ,      68
24029.7  ,      54
24054.1  ,      78
24078.5  ,      69
24102.9  ,      73
24127.3  ,      76
24151.7  ,      78
24176.1  ,      55
24200.5  ,      69
24224.9  ,      82
24249.3  ,      72
24273.6  ,      70
24298.0  ,      71
24322.4  ,      72
24346.8  ,      71
24371.2  ,      70
24395.6  ,      72
24420.0  ,      63
24444.4  ,      60
24468.8  ,      52
24493.2  ,      62
24517.6  ,      69
24542.0  ,      57
24566.4  ,      71
24590.8  ,      67
24615.2  ,      80
24639.6  ,      79
24664.0  ,      67
24688.4  ,      63
24712.8  ,      63
24737.2  ,      75
24761.6  ,      80
24786.0  ,      58
24810.4  ,      67
24834.8  ,      67
24859.2  ,      71
24883.6  ,      65
24908.0  ,      94
24932.4  ,      79
24956.8  ,      69
24981.2  ,      63
25005.6  ,      86
25030.0  ,      92
25054.3  ,      84
25078.7  ,      76
25103.1  ,      89
25127.5  ,      91
25151.9  ,      71
25176.3  ,      82
25200.7  ,      93
25225.1  ,      90
25249.5  ,      75
25273.9  ,      81
25298.3  ,      96
25322.7  ,      94
25347.1  ,      90
25371.5  ,      75
25395.9  ,      86
25420.3  ,      73
25444.7  ,  202524
