"Target: Mojave2_postsieve_dump, Contains DAT files: APB_476905000ESC08950450000_______M1.DAT"
 9253.9  ,     215
 9278.3  ,     183
 9302.7  ,     187
 9327.2  ,     170
 9351.6  ,     191
 9376.0  ,     189
 9400.4  ,     219
 9424.9  ,     297
 9449.3  ,     391
 9473.7  ,     421
 9498.2  ,     531
 9522.6  ,     602
 9547.0  ,     672
 9571.4  ,     634
 9595.9  ,     552
 9620.3  ,     488
 9644.7  ,     389
 9669.2  ,     304
 9693.6  ,     248
 9718.0  ,     249
 9742.4  ,     232
 9766.9  ,     258
 9791.3  ,     328
 9815.7  ,     377
 9840.2  ,     367
 9864.6  ,     382
 9889.0  ,     409
 9913.4  ,     352
 9937.9  ,     274
 9962.3  ,     248
 9986.7  ,     167
10011.2  ,     153
10035.6  ,     133
10060.0  ,     127
10084.4  ,     106
10108.9  ,     136
10133.3  ,     141
10157.7  ,     129
10182.2  ,     150
10206.6  ,     152
10231.0  ,     147
10255.4  ,     170
10279.9  ,     133
10304.3  ,     175
10328.7  ,     154
10353.2  ,     191
10377.6  ,     220
10402.0  ,     255
10426.4  ,     293
10450.9  ,     359
10475.3  ,     414
10499.7  ,     455
10524.2  ,     484
10548.6  ,     474
10573.0  ,     452
10597.4  ,     368
10621.9  ,     325
10646.3  ,     242
10670.7  ,     225
10695.1  ,     159
10719.6  ,     156
10744.0  ,     133
10768.4  ,     141
10792.9  ,     117
10817.3  ,     159
10841.7  ,     137
10866.1  ,     162
10890.6  ,     151
10915.0  ,     164
10939.4  ,     176
10963.9  ,     202
10988.3  ,     191
11012.7  ,     200
11037.1  ,     180
11061.6  ,     202
11086.0  ,     221
11110.4  ,     254
11134.9  ,     314
11159.3  ,     316
11183.7  ,     331
11208.1  ,     315
11232.6  ,     314
11257.0  ,     269
11281.4  ,     248
11305.9  ,     248
11330.3  ,     244
11354.7  ,     218
11379.1  ,     218
11403.6  ,     232
11428.0  ,     210
11452.4  ,     224
11476.9  ,     260
11501.3  ,     245
11525.7  ,     258
11550.1  ,     286
11574.6  ,     291
11599.0  ,     259
11623.4  ,     272
11647.9  ,     260
11672.3  ,     308
11696.7  ,     252
11721.1  ,     284
11745.6  ,     277
11770.0  ,     308
11794.4  ,     331
11818.9  ,     332
11843.3  ,     355
11867.7  ,     410
11892.1  ,     424
11916.6  ,     391
11941.0  ,     370
11965.4  ,     428
11989.9  ,     387
12014.3  ,     396
12038.7  ,     391
12063.1  ,     381
12087.6  ,     386
12112.0  ,     456
12136.4  ,     435
12160.9  ,     409
12185.3  ,     369
12209.7  ,     377
12234.1  ,     323
12258.6  ,     304
12283.0  ,     274
12307.4  ,     262
12331.8  ,     255
12356.3  ,     253
12380.7  ,     243
12405.1  ,     260
12429.6  ,     283
12454.0  ,     288
12478.4  ,     356
12502.8  ,     391
12527.3  ,     440
12551.7  ,     454
12576.1  ,     487
12600.6  ,     527
12625.0  ,     499
12649.4  ,     521
12673.8  ,     482
12698.3  ,     447
12722.7  ,     392
12747.1  ,     415
12771.6  ,     391
12796.0  ,     363
12820.4  ,     398
12844.8  ,     454
12869.3  ,     399
12893.7  ,     479
12918.1  ,     480
12942.6  ,     513
12967.0  ,     534
12991.4  ,     597
