"Target: Hudson_Bay_dust_free, Contains DAT files: APA_411786284ESC01610051986_______M2.DAT"
20934.7  ,       5
20959.1  ,       6
20983.6  ,       6
21008.0  ,      12
21032.5  ,       5
21056.9  ,       9
21081.4  ,      10
21105.8  ,      11
21130.3  ,       5
21154.8  ,      10
21179.2  ,      18
21203.7  ,      21
21228.1  ,      10
21252.6  ,      16
21277.0  ,      22
21301.5  ,      28
21326.0  ,      28
21350.4  ,      34
21374.9  ,      30
21399.3  ,      31
21423.8  ,      37
21448.2  ,      29
21472.7  ,      32
21497.1  ,      35
21521.6  ,      26
21546.1  ,      26
21570.5  ,      18
21595.0  ,      20
21619.4  ,      25
21643.9  ,      14
21668.3  ,      13
21692.8  ,       6
21717.3  ,       8
21741.7  ,       8
21766.2  ,       7
21790.6  ,       7
21815.1  ,       5
21839.5  ,       5
21864.0  ,       5
21888.5  ,       5
21912.9  ,       5
21937.4  ,       3
21961.8  ,       1
21986.3  ,       5
22010.7  ,       9
22035.2  ,       7
22059.6  ,       7
22084.1  ,       8
22108.6  ,      11
22133.0  ,      10
22157.5  ,       8
22181.9  ,       9
22206.4  ,       9
22230.8  ,       8
22255.3  ,      10
22279.8  ,      14
22304.2  ,       9
22328.7  ,       6
22353.1  ,       5
22377.6  ,       9
22402.0  ,       5
22426.5  ,       4
22450.9  ,       7
22475.4  ,       2
22499.9  ,       8
22524.3  ,       6
22548.8  ,       4
22573.2  ,       4
22597.7  ,       4
22622.1  ,       6
22646.6  ,       7
22671.1  ,       5
22695.5  ,       1
22720.0  ,       4
22744.4  ,       1
22768.9  ,       6
22793.3  ,       4
22817.8  ,       3
22842.3  ,       4
22866.7  ,       4
22891.2  ,       2
22915.6  ,       1
22940.1  ,       2
22964.5  ,       5
22989.0  ,       3
23013.4  ,       1
23037.9  ,       4
23062.4  ,       2
23086.8  ,       2
23111.3  ,       5
23135.7  ,       0
23160.2  ,       1
23184.6  ,       3
23209.1  ,       1
23233.6  ,       6
23258.0  ,       3
23282.5  ,       3
23306.9  ,       6
23331.4  ,       5
23355.8  ,       5
23380.3  ,       4
23404.7  ,       3
23429.2  ,       3
23453.7  ,       4
23478.1  ,       6
23502.6  ,       9
23527.0  ,       2
23551.5  ,       6
23575.9  ,       5
23600.4  ,       3
23624.9  ,       1
23649.3  ,       3
23673.8  ,       4
23698.2  ,       5
23722.7  ,       3
23747.1  ,       4
23771.6  ,       9
23796.1  ,       4
23820.5  ,       2
23845.0  ,       3
23869.4  ,       2
23893.9  ,       2
23918.3  ,       4
23942.8  ,       5
23967.2  ,       2
23991.7  ,       3
24016.2  ,       3
24040.6  ,       5
24065.1  ,       2
24089.5  ,       5
24114.0  ,       2
24138.4  ,       9
24162.9  ,       3
24187.4  ,       5
24211.8  ,       5
24236.3  ,       4
24260.7  ,       7
24285.2  ,       3
24309.6  ,       4
24334.1  ,       4
24358.5  ,       3
24383.0  ,       1
24407.5  ,       2
24431.9  ,       2
24456.4  ,       0
24480.8  ,       3
24505.3  ,       3
24529.7  ,       3
24554.2  ,       1
24578.7  ,       1
24603.1  ,       2
24627.6  ,       2
24652.0  ,       3
24676.5  ,       4
24700.9  ,       2
24725.4  ,       3
24749.9  ,       7
24774.3  ,       3
24798.8  ,       2
24823.2  ,       2
24847.7  ,       6
24872.1  ,       2
24896.6  ,       3
24921.0  ,       4
24945.5  ,       4
24970.0  ,       1
24994.4  ,       1
