"Target: Bonnet_Plume_2_and_APXS_RP, Contains DAT files: APA_411782708ESC01610051986_______M2.DAT"
 9601.6  ,      14
 9626.1  ,      14
 9650.5  ,      14
 9674.9  ,      16
 9699.4  ,      15
 9723.8  ,       8
 9748.2  ,      11
 9772.7  ,      12
 9797.1  ,      14
 9821.6  ,       9
 9846.0  ,      13
 9870.4  ,       6
 9894.9  ,      11
 9919.3  ,      13
 9943.7  ,      12
 9968.2  ,       7
 9992.6  ,      14
10017.0  ,      10
10041.5  ,       6
10065.9  ,       7
10090.4  ,      12
10114.8  ,       8
10139.2  ,       9
10163.7  ,       6
10188.1  ,       4
10212.5  ,       3
10237.0  ,       7
10261.4  ,       4
10285.8  ,       6
10310.3  ,      12
10334.7  ,       9
10359.2  ,       9
10383.6  ,       7
10408.0  ,       4
10432.5  ,       4
10456.9  ,       4
10481.3  ,       5
10505.8  ,       7
10530.2  ,       9
10554.6  ,       7
10579.1  ,       4
10603.5  ,       7
10628.0  ,       9
10652.4  ,       6
10676.8  ,       6
10701.3  ,       6
10725.7  ,      11
10750.1  ,       7
10774.6  ,       6
10799.0  ,      10
10823.4  ,       3
10847.9  ,      11
10872.3  ,      10
10896.7  ,       8
10921.2  ,       7
10945.6  ,      11
10970.1  ,       5
10994.5  ,      10
11018.9  ,       7
11043.4  ,       9
11067.8  ,       9
11092.2  ,       9
11116.7  ,       9
11141.1  ,       8
11165.5  ,       9
11190.0  ,       8
11214.4  ,       6
11238.9  ,       8
11263.3  ,       8
11287.7  ,      14
11312.2  ,       3
11336.6  ,      11
11361.0  ,       5
11385.5  ,      12
11409.9  ,      10
11434.3  ,      11
11458.8  ,      11
11483.2  ,       8
11507.7  ,       9
11532.1  ,      13
11556.5  ,      10
11581.0  ,      17
11605.4  ,      11
11629.8  ,      16
11654.3  ,      14
11678.7  ,      22
11703.1  ,      17
11727.6  ,      18
11752.0  ,      22
11776.5  ,      30
11800.9  ,      30
11825.3  ,      34
11849.8  ,      42
11874.2  ,      43
11898.6  ,      48
11923.1  ,      36
11947.5  ,      44
11971.9  ,      51
11996.4  ,      38
12020.8  ,      28
12045.3  ,      28
12069.7  ,      18
12094.1  ,      30
12118.6  ,      19
12143.0  ,      25
12167.4  ,      24
12191.9  ,      27
12216.3  ,      24
12240.7  ,      13
12265.2  ,      12
12289.6  ,      14
12314.1  ,       6
12338.5  ,      12
12362.9  ,      16
12387.4  ,      10
12411.8  ,       6
12436.2  ,      15
12460.7  ,      15
12485.1  ,       9
12509.5  ,      13
12534.0  ,      11
12558.4  ,      15
12582.9  ,      16
12607.3  ,      22
12631.7  ,      16
12656.2  ,      16
12680.6  ,      13
12705.0  ,      13
12729.5  ,      17
12753.9  ,      15
12778.3  ,      21
12802.8  ,      16
12827.2  ,      24
12851.7  ,      17
12876.1  ,      17
12900.5  ,      14
12925.0  ,      33
12949.4  ,      25
12973.8  ,      26
12998.3  ,      33
13022.7  ,      22
13047.1  ,      33
13071.6  ,      36
13096.0  ,      43
13120.4  ,      37
13144.9  ,      44
13169.3  ,      54
13193.8  ,      52
13218.2  ,      58
13242.6  ,      53
13267.1  ,      73
13291.5  ,      88
13315.9  ,      68
13340.4  ,      95
13364.8  ,      88
13389.2  ,     123
13413.7  ,      97
13438.1  ,     118
13462.6  ,     111
13487.0  ,     129
13511.4  ,     123
13535.9  ,     120
13560.3  ,     117
13584.7  ,     117
13609.2  ,      96
13633.6  ,     107
13658.0  ,     111
13682.5  ,     106
13706.9  ,      84
13731.4  ,      94
13755.8  ,      78
13780.2  ,      65
13804.7  ,      59
13829.1  ,      61
13853.5  ,      53
13878.0  ,      63
13902.4  ,      47
13926.8  ,      53
13951.3  ,      50
13975.7  ,      54
14000.2  ,      52
14024.6  ,      75
14049.0  ,      64
14073.5  ,      81
14097.9  ,      94
14122.3  ,      96
14146.8  ,     133
14171.2  ,     152
14195.6  ,     153
14220.1  ,     202
14244.5  ,     174
14269.0  ,     194
14293.4  ,     198
14317.8  ,     165
14342.3  ,     167
14366.7  ,     148
14391.1  ,     110
14415.6  ,      86
14440.0  ,      50
14464.4  ,      33
14488.9  ,      30
14513.3  ,      23
14537.8  ,      28
14562.2  ,      13
14586.6  ,      10
14611.1  ,       8
14635.5  ,       9
14659.9  ,      19
14684.4  ,       7
14708.8  ,      10
14733.2  ,      12
14757.7  ,      17
14782.1  ,      10
14806.6  ,      18
14831.0  ,      10
14855.4  ,      13
14879.9  ,      17
14904.3  ,      13
14928.7  ,      12
14953.2  ,      19
14977.6  ,      16
15002.0  ,      25
15026.5  ,      11
15050.9  ,      19
15075.4  ,      18
15099.8  ,      15
15124.2  ,      12
15148.7  ,      15
15173.1  ,      11
15197.5  ,      10
15222.0  ,      12
15246.4  ,      21
15270.8  ,      18
15295.3  ,      25
15319.7  ,      21
15344.1  ,      26
15368.6  ,      21
15393.0  ,      28
15417.5  ,      30
15441.9  ,      21
15466.3  ,      25
15490.8  ,      26
15515.2  ,      41
15539.6  ,      65
15564.1  ,      75
15588.5  ,      72
15612.9  ,     102
15637.4  ,     123
15661.8  ,     159
15686.3  ,     177
15710.7  ,     215
15735.1  ,     213
15759.6  ,     213
15784.0  ,     183
15808.4  ,     165
15832.9  ,     162
15857.3  ,     155
15881.7  ,     100
15906.2  ,     108
15930.6  ,      79
15955.1  ,      70
15979.5  ,      63
16003.9  ,      62
16028.4  ,      43
16052.8  ,      58
16077.2  ,      42
16101.7  ,      52
16126.1  ,      63
16150.5  ,      59
16175.0  ,      64
16199.4  ,      58
16223.9  ,      64
16248.3  ,      68
16272.7  ,      64
16297.2  ,      75
16321.6  ,      68
16346.0  ,      51
16370.5  ,      55
16394.9  ,      63
16419.3  ,      72
16443.8  ,      58
16468.2  ,      88
16492.7  ,      58
16517.1  ,      45
16541.5  ,      54
16566.0  ,      63
16590.4  ,      66
16614.8  ,      72
16639.3  ,      59
16663.7  ,      63
16688.1  ,      66
16712.6  ,      84
16737.0  ,      86
16761.5  ,      75
16785.9  ,      88
16810.3  ,      82
16834.8  ,     108
16859.2  ,     124
16883.6  ,     110
16908.1  ,     143
16932.5  ,     150
16956.9  ,     123
16981.4  ,     131
17005.8  ,     147
17030.3  ,     160
17054.7  ,     156
17079.1  ,     139
17103.6  ,     159
17128.0  ,     132
17152.4  ,     149
17176.9  ,     170
17201.3  ,     169
17225.7  ,     161
17250.2  ,     162
17274.6  ,     162
17299.1  ,     160
17323.5  ,     147
17347.9  ,     132
17372.4  ,     132
17396.8  ,     125
17421.2  ,     106
17445.7  ,      86
17470.1  ,     113
17494.5  ,      95
17519.0  ,      88
17543.4  ,      52
17567.8  ,      81
17592.3  ,      74
17616.7  ,      73
17641.2  ,      64
17665.6  ,      76
17690.0  ,      60
17714.5  ,      70
17738.9  ,      70
17763.3  ,      46
17787.8  ,      36
17812.2  ,      55
17836.6  ,      49
17861.1  ,      27
17885.5  ,      40
17910.0  ,      29
17934.4  ,      31
17958.8  ,      37
17983.3  ,      28
18007.7  ,      28
18032.1  ,      37
18056.6  ,      37
18081.0  ,      40
18105.4  ,      55
18129.9  ,      50
18154.3  ,      79
18178.8  ,      96
18203.2  ,     110
18227.6  ,     117
18252.1  ,     135
18276.5  ,     158
18300.9  ,     159
18325.4  ,     131
18349.8  ,     130
18374.2  ,     108
18398.7  ,      86
18423.1  ,     100
18447.6  ,      63
18472.0  ,      58
18496.4  ,      37
18520.9  ,      27
18545.3  ,      16
18569.7  ,      26
18594.2  ,      13
18618.6  ,      13
18643.0  ,      15
18667.5  ,       7
18691.9  ,       7
18716.4  ,       7
18740.8  ,       5
18765.2  ,       5
18789.7  ,      11
18814.1  ,      12
18838.5  ,      11
18863.0  ,       6
18887.4  ,      12
18911.8  ,      16
18936.3  ,       7
18960.7  ,      14
18985.2  ,       9
19009.6  ,      10
19034.0  ,      12
19058.5  ,      17
19082.9  ,      13
19107.3  ,      10
19131.8  ,      13
19156.2  ,      17
19180.6  ,      13
19205.1  ,      15
19229.5  ,      13
19254.0  ,      12
19278.4  ,      12
19302.8  ,      18
19327.3  ,      16
19351.7  ,      26
19376.1  ,      16
19400.6  ,      21
19425.0  ,      19
19449.4  ,      28
19473.9  ,      22
19498.3  ,      23
19522.8  ,      22
19547.2  ,      32
19571.6  ,      26
19596.1  ,      28
19620.5  ,      38
19644.9  ,      35
19669.4  ,      37
19693.8  ,      48
19718.2  ,      37
19742.7  ,      36
19767.1  ,      48
19791.6  ,      36
19816.0  ,      43
19840.4  ,      31
19864.9  ,      30
19889.3  ,      39
19913.7  ,      45
19938.2  ,      44
19962.6  ,      36
19987.0  ,      41
20011.5  ,      37
20035.9  ,      38
20060.3  ,      39
20084.8  ,      23
20109.2  ,      39
20133.7  ,      33
20158.1  ,      23
20182.5  ,      28
20207.0  ,      21
20231.4  ,      35
20255.8  ,      20
20280.3  ,      27
20304.7  ,      22
20329.1  ,      30
20353.6  ,      22
20378.0  ,      19
20402.5  ,      23
20426.9  ,      25
20451.3  ,      18
20475.8  ,      12
20500.2  ,      26
20524.6  ,      14
20549.1  ,      25
20573.5  ,       9
20597.9  ,      17
20622.4  ,      15
20646.8  ,      14
20671.3  ,      16
20695.7  ,      14
20720.1  ,      12
20744.6  ,      11
20769.0  ,      12
20793.4  ,      12
20817.9  ,       7
20842.3  ,      12
20866.7  ,       7
20891.2  ,       6
20915.6  ,      14
20940.1  ,      13
20964.5  ,       9
20988.9  ,       9
21013.4  ,       5
21037.8  ,       7
21062.2  ,      10
21086.7  ,      11
21111.1  ,       6
21135.5  ,       8
21160.0  ,       9
21184.4  ,      11
21208.9  ,      13
21233.3  ,      14
21257.7  ,      10
21282.2  ,      19
21306.6  ,      26
21331.0  ,      26
21355.5  ,      20
21379.9  ,      20
21404.3  ,      33
21428.8  ,      35
21453.2  ,      19
21477.7  ,      29
21502.1  ,      33
21526.5  ,      25
21551.0  ,      20
21575.4  ,      16
21599.8  ,      10
21624.3  ,      10
21648.7  ,       7
21673.1  ,       7
21697.6  ,       6
21722.0  ,       6
21746.5  ,       3
21770.9  ,       5
21795.3  ,       6
21819.8  ,       2
21844.2  ,       6
21868.6  ,       4
21893.1  ,       4
21917.5  ,       1
21941.9  ,       7
21966.4  ,      11
21990.8  ,      10
22015.3  ,       5
22039.7  ,       6
22064.1  ,       6
22088.6  ,       8
22113.0  ,      11
22137.4  ,      10
22161.9  ,      10
22186.3  ,       8
22210.7  ,       7
22235.2  ,      11
22259.6  ,       9
22284.0  ,       8
22308.5  ,       9
22332.9  ,      11
22357.4  ,       5
22381.8  ,       4
22406.2  ,       5
22430.7  ,       4
22455.1  ,       4
22479.5  ,       3
22504.0  ,       0
22528.4  ,       5
22552.8  ,       3
22577.3  ,       1
