"Target: Rensselaer, Contains DAT files: APB_436781880ESC04430220000_______M2.DAT"
12283.1  ,     171
12307.4  ,     154
12331.8  ,     149
12356.2  ,     156
12380.6  ,     172
12404.9  ,     158
12429.3  ,     163
12453.7  ,     177
12478.0  ,     169
12502.4  ,     194
12526.8  ,     192
12551.1  ,     198
12575.5  ,     202
12599.9  ,     206
12624.2  ,     222
12648.6  ,     197
12673.0  ,     224
12697.3  ,     236
12721.7  ,     232
12746.1  ,     241
12770.4  ,     228
12794.8  ,     230
12819.2  ,     285
12843.5  ,     256
12867.9  ,     288
12892.3  ,     316
12916.6  ,     360
12941.0  ,     353
12965.4  ,     348
12989.8  ,     379
13014.1  ,     372
13038.5  ,     442
13062.9  ,     475
13087.2  ,     483
13111.6  ,     534
13136.0  ,     589
13160.3  ,     624
13184.7  ,     729
13209.1  ,     832
13233.4  ,     951
13257.8  ,    1081
13282.2  ,    1177
13306.5  ,    1307
13330.9  ,    1417
13355.3  ,    1483
13379.6  ,    1620
13404.0  ,    1663
13428.4  ,    1710
13452.7  ,    1727
13477.1  ,    1855
13501.5  ,    1866
13525.8  ,    1761
13550.2  ,    1776
13574.6  ,    1852
13599.0  ,    1744
13623.3  ,    1685
13647.7  ,    1600
13672.1  ,    1481
13696.4  ,    1452
13720.8  ,    1225
13745.2  ,    1168
13769.5  ,    1091
13793.9  ,     902
13818.3  ,     843
13842.6  ,     826
13867.0  ,     773
13891.4  ,     719
13915.7  ,     642
13940.1  ,     725
13964.5  ,     759
13988.8  ,     806
14013.2  ,     908
14037.6  ,    1087
14061.9  ,    1211
14086.3  ,    1395
14110.7  ,    1607
14135.0  ,    1890
14159.4  ,    2152
14183.8  ,    2586
14208.1  ,    2955
14232.5  ,    3077
14256.9  ,    3170
14281.3  ,    3061
14305.6  ,    2870
14330.0  ,    2465
14354.4  ,    2097
14378.7  ,    1609
14403.1  ,    1103
14427.5  ,     788
14451.8  ,     499
14476.2  ,     348
14500.6  ,     267
14524.9  ,     174
14549.3  ,     187
14573.7  ,     165
14598.0  ,     152
14622.4  ,     158
14646.8  ,     151
14671.1  ,     147
14695.5  ,     160
14719.9  ,     156
14744.2  ,     159
14768.6  ,     191
14793.0  ,     219
14817.3  ,     181
14841.7  ,     248
14866.1  ,     230
14890.5  ,     224
14914.8  ,     231
14939.2  ,     232
14963.6  ,     273
14987.9  ,     243
15012.3  ,     237
15036.7  ,     240
15061.0  ,     235
15085.4  ,     234
15109.8  ,     231
15134.1  ,     228
15158.5  ,     208
15182.9  ,     234
15207.2  ,     234
15231.6  ,     254
15256.0  ,     270
15280.3  ,     256
15304.7  ,     281
15329.1  ,     307
15353.4  ,     283
15377.8  ,     313
15402.2  ,     353
15426.5  ,     319
15450.9  ,     394
15475.3  ,     445
15499.6  ,     482
15524.0  ,     656
15548.4  ,     835
15572.8  ,    1030
15597.1  ,    1307
15621.5  ,    1611
15645.9  ,    2062
15670.2  ,    2390
15694.6  ,    2615
15719.0  ,    2870
15743.3  ,    2763
15767.7  ,    2862
15792.1  ,    2658
15816.4  ,    2259
15840.8  ,    2075
15865.2  ,    1680
15889.5  ,    1327
15913.9  ,    1045
15938.3  ,     877
15962.6  ,     703
15987.0  ,     714
16011.4  ,     663
16035.7  ,     664
16060.1  ,     698
16084.5  ,     703
16108.8  ,     772
16133.2  ,     737
16157.6  ,     796
16182.0  ,     733
16206.3  ,     887
16230.7  ,     860
16255.1  ,     841
16279.4  ,     867
16303.8  ,     891
16328.2  ,     845
16352.5  ,     833
16376.9  ,     866
16401.3  ,     863
16425.6  ,     901
16450.0  ,     882
16474.4  ,     770
16498.7  ,     865
16523.1  ,     877
16547.5  ,     802
16571.8  ,     860
16596.2  ,     872
16620.6  ,     854
16644.9  ,     936
16669.3  ,     894
16693.7  ,    1000
16718.0  ,    1037
16742.4  ,    1182
16766.8  ,    1163
16791.1  ,    1281
16815.5  ,    1315
16839.9  ,    1390
16864.3  ,    1653
16888.6  ,    1559
16913.0  ,    1727
16937.4  ,    1738
16961.7  ,    1954
16986.1  ,    1987
17010.5  ,    2114
17034.8  ,    2106
17059.2  ,    2166
17083.6  ,    2300
17107.9  ,    2387
17132.3  ,    2400
17156.7  ,    2491
17181.0  ,    2511
17205.4  ,    2607
17229.8  ,    2468
17254.1  ,    2497
17278.5  ,    2248
17302.9  ,    2199
17327.2  ,    1892
17351.6  ,    1749
17376.0  ,    1582
17400.3  ,    1418
17424.7  ,    1231
17449.1  ,    1204
17473.5  ,    1141
17497.8  ,    1073
17522.2  ,    1055
17546.6  ,    1067
17570.9  ,    1071
17595.3  ,     980
17619.7  ,     991
17644.0  ,    1031
17668.4  ,     983
17692.8  ,     976
17717.1  ,     855
17741.5  ,     749
17765.9  ,     670
17790.2  ,     608
17814.6  ,     529
17839.0  ,     493
17863.3  ,     490
17887.7  ,     467
17912.1  ,     475
17936.4  ,     457
17960.8  ,     448
17985.2  ,     439
18009.5  ,     443
18033.9  ,     469
18058.3  ,     524
18082.7  ,     649
18107.0  ,     758
18131.4  ,     916
18155.8  ,    1173
18180.1  ,    1490
18204.5  ,    1709
18228.9  ,    2141
18253.2  ,    2337
18277.6  ,    2427
18302.0  ,    2396
18326.3  ,    2274
18350.7  ,    2022
18375.1  ,    1717
18399.4  ,    1354
18423.8  ,    1073
18448.2  ,     800
18472.5  ,     588
18496.9  ,     384
18521.3  ,     273
18545.6  ,     215
18570.0  ,     177
18594.4  ,     143
18618.7  ,     154
18643.1  ,     139
18667.5  ,     148
18691.8  ,     119
18716.2  ,     135
18740.6  ,     107
18765.0  ,     141
18789.3  ,     143
18813.7  ,     104
18838.1  ,     132
18862.4  ,     125
18886.8  ,     125
18911.2  ,     125
18935.5  ,     154
18959.9  ,     141
18984.3  ,     147
19008.6  ,     132
19033.0  ,     161
19057.4  ,     172
19081.7  ,     180
19106.1  ,     170
19130.5  ,     165
19154.8  ,     203
19179.2  ,     214
19203.6  ,     180
19227.9  ,     222
19252.3  ,     217
19276.7  ,     228
19301.0  ,     212
19325.4  ,     243
19349.8  ,     243
19374.2  ,     266
19398.5  ,     263
19422.9  ,     299
19447.3  ,     346
19471.6  ,     347
19496.0  ,     352
19520.4  ,     354
19544.7  ,     380
19569.1  ,     408
19593.5  ,     459
19617.8  ,     471
19642.2  ,     504
19666.6  ,     468
19690.9  ,     546
19715.3  ,     561
19739.7  ,     555
19764.0  ,     577
19788.4  ,     542
19812.8  ,     513
19837.1  ,     559
19861.5  ,     563
19885.9  ,     579
19910.2  ,     553
19934.6  ,     548
19959.0  ,     520
19983.3  ,     520
20007.7  ,     509
20032.1  ,     486
20056.5  ,     467
20080.8  ,     484
20105.2  ,     438
20129.6  ,     468
20153.9  ,     390
20178.3  ,     411
20202.7  ,     365
20227.0  ,     362
20251.4  ,     348
20275.8  ,     338
20300.1  ,     324
20324.5  ,     287
20348.9  ,     290
20373.2  ,     294
20397.6  ,     330
20422.0  ,     310
20446.3  ,     279
20470.7  ,     273
20495.1  ,     284
20519.4  ,     243
20543.8  ,     228
20568.2  ,     231
20592.5  ,     228
20616.9  ,     232
20641.3  ,     219
20665.7  ,     227
20690.0  ,     209
20714.4  ,     193
20738.8  ,     212
20763.1  ,     169
20787.5  ,     192
20811.9  ,     192
20836.2  ,     152
20860.6  ,     162
20885.0  ,     126
20909.3  ,     140
20933.7  ,     116
20958.1  ,     128
20982.4  ,     118
21006.8  ,     119
21031.2  ,     116
21055.5  ,     113
21079.9  ,      97
21104.3  ,      97
21128.6  ,     101
21153.0  ,     124
21177.4  ,     138
21201.7  ,     158
21226.1  ,     192
21250.5  ,     224
21274.9  ,     268
21299.2  ,     305
21323.6  ,     391
21348.0  ,     403
21372.3  ,     424
21396.7  ,     454
21421.1  ,     484
21445.4  ,     499
21469.8  ,     475
21494.2  ,     384
21518.5  ,     342
21542.9  ,     296
21567.3  ,     243
21591.6  ,     169
21616.0  ,     141
21640.4  ,     108
21664.7  ,      85
21689.1  ,      82
21713.5  ,      70
21737.8  ,      75
21762.2  ,      63
21786.6  ,      64
21810.9  ,      65
21835.3  ,      66
21859.7  ,      66
21884.0  ,      70
21908.4  ,      70
21932.8  ,      71
21957.2  ,      88
21981.5  ,      99
22005.9  ,      93
22030.3  ,     105
22054.6  ,     114
22079.0  ,     129
22103.4  ,     135
22127.7  ,     125
22152.1  ,     131
22176.5  ,     125
22200.8  ,     130
22225.2  ,     119
22249.6  ,      98
22273.9  ,      96
22298.3  ,      85
22322.7  ,      71
22347.0  ,      76
22371.4  ,      66
22395.8  ,      68
22420.1  ,      47
22444.5  ,      59
22468.9  ,      34
22493.2  ,      60
22517.6  ,      54
22542.0  ,      43
22566.4  ,      48
22590.7  ,      41
22615.1  ,      51
22639.5  ,      33
22663.8  ,      45
22688.2  ,      39
22712.6  ,      39
22736.9  ,      51
22761.3  ,      44
22785.7  ,      47
22810.0  ,      47
22834.4  ,      55
22858.8  ,      51
22883.1  ,      65
22907.5  ,      40
22931.9  ,      52
22956.2  ,      59
22980.6  ,      42
23005.0  ,      38
23029.3  ,      50
23053.7  ,      48
23078.1  ,      44
23102.4  ,      33
23126.8  ,      43
23151.2  ,      45
23175.5  ,      51
23199.9  ,      47
23224.3  ,      33
23248.7  ,      38
23273.0  ,      33
23297.4  ,      41
23321.8  ,      47
23346.1  ,      43
23370.5  ,      41
23394.9  ,      39
23419.2  ,      51
23443.6  ,      49
23468.0  ,      44
23492.3  ,      44
23516.7  ,      46
23541.1  ,      41
23565.4  ,      48
23589.8  ,      49
23614.2  ,      45
23638.5  ,      53
23662.9  ,      42
23687.3  ,      38
23711.6  ,      47
23736.0  ,      36
23760.4  ,      49
23784.7  ,      40
23809.1  ,      37
23833.5  ,      46
23857.9  ,      63
23882.2  ,      46
23906.6  ,      49
23931.0  ,      42
23955.3  ,      41
23979.7  ,      41
24004.1  ,      43
24028.4  ,      43
24052.8  ,      54
24077.2  ,      33
24101.5  ,      47
24125.9  ,      42
24150.3  ,      36
24174.6  ,      42
24199.0  ,      44
24223.4  ,      54
24247.7  ,      52
24272.1  ,      36
24296.5  ,      42
24320.8  ,      31
24345.2  ,      45
24369.6  ,      33
24393.9  ,      43
24418.3  ,      52
24442.7  ,      46
24467.1  ,      37
24491.4  ,      46
24515.8  ,      54
24540.2  ,      45
24564.5  ,      41
24588.9  ,      36
24613.3  ,      41
24637.6  ,      50
24662.0  ,      38
24686.4  ,      47
24710.7  ,      37
24735.1  ,      51
24759.5  ,      41
24783.8  ,      50
24808.2  ,      46
24832.6  ,      35
24856.9  ,      47
24881.3  ,      54
24905.7  ,      55
24930.0  ,      63
24954.4  ,      51
24978.8  ,      47
25003.1  ,      53
25027.5  ,      49
25051.9  ,      54
25076.2  ,      47
25100.6  ,      68
25125.0  ,      59
25149.4  ,      46
25173.7  ,      54
25198.1  ,      51
25222.5  ,      42
25246.8  ,      52
25271.2  ,      66
25295.6  ,      45
25319.9  ,      66
25344.3  ,      60
25368.7  ,      60
25393.0  ,      58
25417.4  ,  127235
