"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
10742.4  ,     165
10766.8  ,     150
10791.2  ,     165
10815.7  ,     156
10840.1  ,     196
10864.5  ,     186
10888.9  ,     188
10913.3  ,     220
10937.8  ,     221
10962.2  ,     240
10986.6  ,     224
11011.0  ,     233
11035.5  ,     220
11059.9  ,     216
11084.3  ,     237
11108.7  ,     263
11133.1  ,     295
11157.6  ,     301
11182.0  ,     344
11206.4  ,     365
11230.8  ,     339
11255.3  ,     322
11279.7  ,     298
11304.1  ,     281
11328.5  ,     259
11352.9  ,     216
11377.4  ,     266
11401.8  ,     236
11426.2  ,     279
11450.6  ,     244
11475.1  ,     285
11499.5  ,     301
11523.9  ,     295
11548.3  ,     292
11572.8  ,     312
11597.2  ,     307
11621.6  ,     315
11646.0  ,     324
11670.4  ,     337
11694.9  ,     313
11719.3  ,     354
11743.7  ,     352
11768.1  ,     392
11792.6  ,     444
11817.0  ,     492
11841.4  ,     518
11865.8  ,     550
11890.2  ,     589
11914.7  ,     647
11939.1  ,     630
11963.5  ,     605
11987.9  ,     572
12012.4  ,     504
12036.8  ,     512
12061.2  ,     521
12085.6  ,     529
12110.0  ,     478
12134.5  ,     542
12158.9  ,     481
12183.3  ,     426
12207.7  ,     391
12232.2  ,     358
12256.6  ,     340
12281.0  ,     304
12305.4  ,     305
12329.9  ,     290
12354.3  ,     258
12378.7  ,     268
12403.1  ,     301
12427.5  ,     342
12452.0  ,     306
12476.4  ,     402
12500.8  ,     373
12525.2  ,     438
12549.7  ,     495
12574.1  ,     476
12598.5  ,     534
12622.9  ,     509
12647.3  ,     514
12671.8  ,     517
12696.2  ,     463
12720.6  ,     449
12745.0  ,     422
12769.5  ,     440
12793.9  ,     440
12818.3  ,     479
12842.7  ,     503
12867.1  ,     507
12891.6  ,     563
12916.0  ,     553
12940.4  ,     597
12964.8  ,     639
12989.3  ,     619
13013.7  ,     700
13038.1  ,     772
13062.5  ,     820
13087.0  ,     877
13111.4  ,     887
13135.8  ,    1029
13160.2  ,    1054
13184.6  ,    1247
13209.1  ,    1391
13233.5  ,    1545
13257.9  ,    1689
13282.3  ,    1893
13306.8  ,    2146
13331.2  ,    2233
13355.6  ,    2475
13380.0  ,    2552
13404.4  ,    2804
13428.9  ,    2947
13453.3  ,    2896
13477.7  ,    3066
13502.1  ,    3069
13526.6  ,    3139
13551.0  ,    3156
13575.4  ,    3042
13599.8  ,    2941
13624.2  ,    2827
13648.7  ,    2738
13673.1  ,    2481
13697.5  ,    2380
13721.9  ,    2174
13746.4  ,    1925
13770.8  ,    1736
13795.2  ,    1526
13819.6  ,    1361
13844.1  ,    1290
13868.5  ,    1199
13892.9  ,    1104
13917.3  ,    1121
13941.7  ,    1128
13966.2  ,    1148
