"Target: Matthew, Contains DAT files: APB_429504116ESC03610120000_______M2.DAT"
 9301.1  ,     181
 9325.4  ,     176
 9349.8  ,     180
 9374.1  ,     199
 9398.5  ,     171
 9422.8  ,     154
 9447.2  ,     167
 9471.5  ,     177
 9495.9  ,     170
 9520.2  ,     236
 9544.6  ,     196
 9568.9  ,     208
 9593.3  ,     236
 9617.6  ,     191
 9642.0  ,     206
 9666.3  ,     177
 9690.7  ,     171
 9715.0  ,     172
 9739.4  ,     189
 9763.7  ,     164
 9788.1  ,     191
 9812.4  ,     184
 9836.8  ,     203
 9861.1  ,     206
 9885.5  ,     207
 9909.8  ,     193
 9934.2  ,     199
 9958.5  ,     140
 9982.9  ,     163
10007.2  ,     138
10031.6  ,     166
10055.9  ,     162
10080.3  ,     141
10104.6  ,     140
10129.0  ,     132
10153.3  ,     142
10177.7  ,     130
10202.0  ,     141
10226.4  ,     137
10250.7  ,     127
10275.1  ,     135
10299.4  ,     158
10323.8  ,     135
10348.1  ,     137
10372.5  ,     161
10396.8  ,     134
10421.2  ,     121
10445.5  ,     147
10469.9  ,     122
10494.2  ,     131
10518.6  ,     163
10542.9  ,     157
10567.3  ,     137
10591.6  ,     141
10616.0  ,     126
10640.3  ,     134
10664.7  ,     136
10689.0  ,     126
10713.4  ,     119
10737.7  ,     130
10762.1  ,     164
10786.4  ,     136
10810.8  ,     146
10835.1  ,     137
10859.5  ,     143
10883.8  ,     166
10908.2  ,     148
10932.5  ,     168
10956.9  ,     173
10981.2  ,     145
11005.6  ,     178
11029.9  ,     181
11054.3  ,     162
11078.6  ,     142
11103.0  ,     161
11127.3  ,     162
11151.7  ,     167
11176.0  ,     164
11200.4  ,     158
11224.7  ,     176
11249.1  ,     166
11273.4  ,     193
11297.8  ,     195
11322.1  ,     223
11346.5  ,     226
11370.8  ,     200
11395.2  ,     205
11419.5  ,     243
11443.9  ,     262
11468.2  ,     258
11492.6  ,     269
11516.9  ,     288
11541.3  ,     254
11565.6  ,     275
11590.0  ,     284
11614.3  ,     322
11638.7  ,     284
11663.0  ,     278
11687.4  ,     287
11711.7  ,     302
11736.1  ,     268
11760.4  ,     274
11784.8  ,     251
11809.1  ,     249
11833.5  ,     282
11857.8  ,     267
11882.2  ,     247
11906.5  ,     264
11930.9  ,     316
11955.2  ,     316
11979.6  ,     313
12003.9  ,     354
12028.3  ,     369
12052.6  ,     412
12077.0  ,     448
12101.3  ,     443
12125.7  ,     461
12150.0  ,     426
12174.4  ,     408
12198.7  ,     370
12223.1  ,     340
12247.4  ,     293
12271.8  ,     302
12296.1  ,     241
12320.5  ,     248
12344.8  ,     270
12369.2  ,     229
12393.5  ,     225
12417.9  ,     264
12442.2  ,     237
12466.6  ,     255
12490.9  ,     283
12515.3  ,     289
12539.6  ,     295
12564.0  ,     279
12588.3  ,     309
12612.7  ,     301
12637.0  ,     308
12661.4  ,     322
12685.7  ,     316
12710.1  ,     329
12734.4  ,     388
12758.8  ,     362
12783.1  ,     390
12807.5  ,     405
12831.8  ,     408
12856.2  ,     457
12880.5  ,     467
12904.9  ,     490
12929.2  ,     497
12953.6  ,     527
12977.9  ,     534
13002.3  ,     619
13026.6  ,     675
13051.0  ,     661
13075.3  ,     704
13099.7  ,     846
13124.0  ,     914
13148.4  ,    1068
13172.7  ,    1096
13197.1  ,    1281
13221.4  ,    1416
13245.8  ,    1485
13270.1  ,    1763
13294.5  ,    1970
13318.8  ,    2168
13343.2  ,    2274
13367.5  ,    2488
13391.9  ,    2537
13416.2  ,    2734
13440.6  ,    2775
13464.9  ,    2812
13489.3  ,    2908
13513.6  ,    2829
13538.0  ,    2873
13562.3  ,    2792
13586.7  ,    2775
13611.0  ,    2696
13635.4  ,    2569
13659.7  ,    2446
13684.1  ,    2215
13708.4  ,    2111
13732.8  ,    1906
13757.1  ,    1668
13781.5  ,    1461
13805.8  ,    1362
13830.2  ,    1281
13854.5  ,    1152
13878.9  ,    1055
13903.2  ,    1072
13927.6  ,    1065
13951.9  ,    1117
13976.3  ,    1174
14000.6  ,    1279
14025.0  ,    1547
14049.3  ,    1642
14073.7  ,    2008
14098.0  ,    2310
14122.4  ,    2576
14146.7  ,    2933
14171.1  ,    3353
14195.4  ,    3803
14219.8  ,    4133
14244.1  ,    4299
14268.5  ,    4164
14292.8  ,    3943
14317.2  ,    3446
14341.5  ,    3008
14365.9  ,    2317
14390.2  ,    1807
14414.6  ,    1240
14438.9  ,     839
14463.3  ,     619
14487.6  ,     425
14512.0  ,     361
14536.3  ,     274
14560.7  ,     245
14585.0  ,     205
14609.4  ,     193
14633.7  ,     203
14658.1  ,     215
14682.4  ,     199
14706.8  ,     223
14731.1  ,     258
14755.5  ,     265
14779.8  ,     237
14804.2  ,     257
14828.5  ,     289
14852.9  ,     309
14877.2  ,     326
14901.6  ,     324
14925.9  ,     340
14950.3  ,     362
14974.6  ,     334
14999.0  ,     320
15023.3  ,     344
15047.7  ,     352
15072.0  ,     328
15096.4  ,     338
15120.7  ,     336
15145.1  ,     354
15169.4  ,     328
15193.8  ,     375
15218.1  ,     384
15242.5  ,     410
15266.8  ,     431
15291.2  ,     385
15315.5  ,     456
15339.9  ,     448
15364.2  ,     474
15388.6  ,     548
15412.9  ,     516
15437.3  ,     564
15461.6  ,     631
15486.0  ,     738
15510.3  ,     924
15534.7  ,    1088
15559.0  ,    1481
15583.4  ,    1882
15607.7  ,    2341
15632.1  ,    3055
15656.4  ,    3339
15680.8  ,    3944
15705.1  ,    4403
15729.5  ,    4624
15753.8  ,    4437
15778.2  ,    4461
15802.5  ,    3903
15826.9  ,    3434
15851.2  ,    2966
15875.6  ,    2335
15899.9  ,    1912
15924.3  ,    1488
15948.6  ,    1340
15973.0  ,    1123
15997.3  ,    1156
16021.7  ,    1106
16046.0  ,    1025
16070.4  ,    1121
16094.7  ,    1099
16119.1  ,    1176
16143.4  ,    1223
16167.8  ,    1254
16192.1  ,    1284
16216.5  ,    1331
16240.8  ,    1272
16265.2  ,    1350
16289.5  ,    1344
16313.9  ,    1357
16338.2  ,    1339
16362.6  ,    1343
16386.9  ,    1336
16411.3  ,    1323
16435.6  ,    1266
16460.0  ,    1323
16484.3  ,    1304
16508.7  ,    1287
16533.0  ,    1284
16557.4  ,    1309
16581.7  ,    1372
16606.1  ,    1339
16630.4  ,    1415
16654.8  ,    1526
16679.1  ,    1522
16703.5  ,    1675
16727.8  ,    1658
16752.2  ,    1934
16776.5  ,    1977
16800.9  ,    2209
16825.2  ,    2239
16849.6  ,    2444
16873.9  ,    2560
