"Target: Oudam_post_sieve_dump_pile, Contains DAT files: APB_523504288ESC14190561236_______M1.DAT"
11657.0  ,     207
11681.4  ,     220
11705.7  ,     205
11730.1  ,     276
11754.5  ,     261
11778.9  ,     301
11803.3  ,     365
11827.7  ,     414
11852.1  ,     449
11876.5  ,     483
11900.9  ,     474
11925.3  ,     494
11949.7  ,     415
11974.1  ,     425
11998.5  ,     384
12022.9  ,     384
12047.3  ,     358
12071.7  ,     364
12096.1  ,     362
12120.4  ,     337
12144.8  ,     285
12169.2  ,     276
12193.6  ,     298
12218.0  ,     270
12242.4  ,     237
12266.8  ,     203
12291.2  ,     181
12315.6  ,     204
12340.0  ,     189
12364.4  ,     182
12388.8  ,     196
12413.2  ,     191
12437.6  ,     207
12462.0  ,     198
12486.4  ,     244
12510.8  ,     225
12535.2  ,     288
12559.5  ,     273
12583.9  ,     295
12608.3  ,     301
12632.7  ,     311
12657.1  ,     321
12681.5  ,     288
12705.9  ,     274
12730.3  ,     275
12754.7  ,     317
12779.1  ,     300
12803.5  ,     286
12827.9  ,     317
12852.3  ,     296
12876.7  ,     294
12901.1  ,     327
12925.5  ,     292
12949.9  ,     418
12974.2  ,     372
12998.6  ,     439
13023.0  ,     433
13047.4  ,     444
13071.8  ,     470
13096.2  ,     586
13120.6  ,     582
13145.0  ,     689
13169.4  ,     748
13193.8  ,     877
13218.2  ,     897
13242.6  ,    1025
13267.0  ,    1165
13291.4  ,    1286
13315.8  ,    1382
13340.2  ,    1547
13364.6  ,    1606
13388.9  ,    1693
13413.3  ,    1864
13437.7  ,    1859
13462.1  ,    1925
13486.5  ,    1835
13510.9  ,    1828
13535.3  ,    1897
13559.7  ,    1909
13584.1  ,    1812
13608.5  ,    1729
13632.9  ,    1603
13657.3  ,    1561
13681.7  ,    1380
13706.1  ,    1333
13730.5  ,    1176
13754.9  ,    1128
13779.3  ,     985
13803.7  ,     938
13828.0  ,     832
13852.4  ,     804
13876.8  ,     691
13901.2  ,     682
13925.6  ,     698
13950.0  ,     684
13974.4  ,     733
13998.8  ,     878
14023.2  ,     930
14047.6  ,    1075
14072.0  ,    1206
14096.4  ,    1367
14120.8  ,    1725
14145.2  ,    1968
14169.6  ,    2341
14194.0  ,    2591
14218.4  ,    2998
14242.7  ,    3249
14267.1  ,    3266
14291.5  ,    3125
14315.9  ,    2829
14340.3  ,    2391
14364.7  ,    1914
14389.1  ,    1444
14413.5  ,    1060
14437.9  ,     680
14462.3  ,     476
14486.7  ,     366
14511.1  ,     251
14535.5  ,     202
14559.9  ,     174
14584.3  ,     164
14608.7  ,     157
14633.1  ,     156
14657.4  ,     167
14681.8  ,     171
14706.2  ,     179
14730.6  ,     195
14755.0  ,     177
14779.4  ,     197
14803.8  ,     191
14828.2  ,     189
14852.6  ,     236
14877.0  ,     229
14901.4  ,     227
14925.8  ,     276
14950.2  ,     257
14974.6  ,     262
14999.0  ,     247
15023.4  ,     247
15047.8  ,     252
15072.2  ,     245
15096.5  ,     250
15120.9  ,     247
15145.3  ,     245
15169.7  ,     280
15194.1  ,     268
15218.5  ,     262
15242.9  ,     280
15267.3  ,     283
15291.7  ,     312
15316.1  ,     296
15340.5  ,     306
15364.9  ,     313
15389.3  ,     337
15413.7  ,     340
15438.1  ,     388
15462.5  ,     411
15486.9  ,     487
15511.2  ,     627
15535.6  ,     827
15560.0  ,    1133
15584.4  ,    1401
15608.8  ,    1844
15633.2  ,    2180
15657.6  ,    2623
15682.0  ,    3065
15706.4  ,    3283
15730.8  ,    3560
15755.2  ,    3622
15779.6  ,    3305
15804.0  ,    3052
15828.4  ,    2658
15852.8  ,    2235
15877.2  ,    1862
15901.6  ,    1411
15925.9  ,    1133
15950.3  ,     966
15974.7  ,     834
15999.1  ,     758
16023.5  ,     739
16047.9  ,     722
16072.3  ,     692
16096.7  ,     771
16121.1  ,     747
16145.5  ,     772
16169.9  ,     822
16194.3  ,     898
16218.7  ,     863
16243.1  ,     891
16267.5  ,     877
16291.9  ,     902
16316.3  ,     888
16340.7  ,     891
16365.0  ,     899
16389.4  ,     930
16413.8  ,     878
16438.2  ,     902
16462.6  ,     913
16487.0  ,     906
16511.4  ,     845
16535.8  ,     865
16560.2  ,     873
16584.6  ,     914
16609.0  ,     936
16633.4  ,     957
16657.8  ,     938
