"Target: Barberton_raster2, Contains DAT files: APB_563087639ESC18650661994_______M1.DAT"
17660.2  ,      83
17684.6  ,      78
17709.0  ,      68
17733.5  ,      78
17757.9  ,      57
17782.3  ,      58
17806.8  ,      44
17831.2  ,      33
17855.7  ,      38
17880.1  ,      35
17904.5  ,      32
17929.0  ,      26
17953.4  ,      35
17977.8  ,      36
18002.3  ,      31
18026.7  ,      36
18051.2  ,      44
18075.6  ,      38
18100.0  ,      37
18124.5  ,      54
18148.9  ,      61
18173.3  ,      91
18197.8  ,      94
18222.2  ,     121
18246.7  ,     131
18271.1  ,     152
18295.5  ,     147
18320.0  ,     147
18344.4  ,     121
18368.8  ,     106
18393.3  ,      95
18417.7  ,      68
18442.2  ,      46
18466.6  ,      47
18491.0  ,      33
18515.5  ,      25
18539.9  ,      16
18564.3  ,      17
18588.8  ,      17
18613.2  ,      11
18637.7  ,       7
18662.1  ,       7
18686.5  ,       9
18711.0  ,       9
18735.4  ,       5
18759.8  ,       5
18784.3  ,      12
18808.7  ,      13
18833.2  ,      10
18857.6  ,      11
18882.0  ,      10
18906.5  ,       8
18930.9  ,       8
18955.4  ,      11
18979.8  ,      10
19004.2  ,      13
19028.7  ,      17
19053.1  ,      14
19077.5  ,      11
19102.0  ,      17
19126.4  ,      15
19150.9  ,      13
19175.3  ,      15
19199.7  ,      13
19224.2  ,      16
19248.6  ,      12
19273.0  ,      12
19297.5  ,      12
19321.9  ,      21
19346.4  ,      19
19370.8  ,      25
19395.2  ,      24
19419.7  ,      22
19444.1  ,      21
19468.5  ,      27
19493.0  ,      32
19517.4  ,      36
19541.9  ,      29
19566.3  ,      28
19590.7  ,      44
19615.2  ,      27
19639.6  ,      44
19664.0  ,      33
19688.5  ,      47
19712.9  ,      27
19737.4  ,      35
19761.8  ,      57
19786.2  ,      38
19810.7  ,      38
19835.1  ,      29
19859.5  ,      34
19884.0  ,      53
19908.4  ,      28
19932.9  ,      36
19957.3  ,      25
19981.7  ,      27
20006.2  ,      33
20030.6  ,      38
20055.0  ,      32
20079.5  ,      24
20103.9  ,      29
20128.4  ,      20
20152.8  ,      34
20177.2  ,      34
20201.7  ,      20
20226.1  ,      18
20250.5  ,      29
20275.0  ,      34
20299.4  ,      23
20323.9  ,      26
20348.3  ,      13
20372.7  ,      19
20397.2  ,      21
20421.6  ,      27
20446.0  ,      25
20470.5  ,      13
20494.9  ,      13
20519.4  ,      20
20543.8  ,      13
20568.2  ,      22
20592.7  ,       7
20617.1  ,      14
20641.5  ,      19
20666.0  ,      13
20690.4  ,      15
20714.9  ,      13
20739.3  ,      16
20763.7  ,       7
20788.2  ,      13
20812.6  ,      15
20837.0  ,      13
20861.5  ,      15
20885.9  ,      15
20910.4  ,       5
20934.8  ,       8
20959.2  ,       9
20983.7  ,       4
21008.1  ,      10
21032.5  ,       8
21057.0  ,       5
21081.4  ,       9
21105.9  ,      11
21130.3  ,       8
21154.7  ,      12
21179.2  ,       7
21203.6  ,      10
21228.1  ,      12
21252.5  ,      14
21276.9  ,      15
21301.4  ,      16
21325.8  ,      23
21350.2  ,      24
21374.7  ,      34
21399.1  ,      43
21423.6  ,      28
21448.0  ,      33
21472.4  ,      31
21496.9  ,      20
21521.3  ,      24
21545.7  ,      14
21570.2  ,      13
21594.6  ,      14
21619.1  ,       8
21643.5  ,      12
21667.9  ,       6
21692.4  ,       6
21716.8  ,       2
21741.2  ,       6
21765.7  ,       4
21790.1  ,       6
21814.6  ,       1
21839.0  ,       8
21863.4  ,       7
21887.9  ,       7
21912.3  ,       6
21936.7  ,       5
21961.2  ,       3
21985.6  ,       5
22010.1  ,       6
22034.5  ,      13
22058.9  ,      10
22083.4  ,      11
22107.8  ,       7
22132.2  ,      14
22156.7  ,       3
22181.1  ,       9
22205.6  ,       9
22230.0  ,      10
22254.4  ,       6
22278.9  ,       9
22303.3  ,       8
22327.7  ,       5
22352.2  ,       3
22376.6  ,       2
22401.1  ,       4
22425.5  ,       3
22449.9  ,       4
22474.4  ,       7
22498.8  ,       7
22523.2  ,       2
22547.7  ,       3
22572.1  ,       1
22596.6  ,       5
22621.0  ,       3
22645.4  ,       7
22669.9  ,       6
22694.3  ,       2
22718.7  ,       1
22743.2  ,       5
22767.6  ,       0
22792.1  ,       3
22816.5  ,       9
22840.9  ,       5
22865.4  ,       4
22889.8  ,       6
22914.2  ,       3
22938.7  ,       3
22963.1  ,       4
22987.6  ,       3
23012.0  ,       4
23036.4  ,       8
23060.9  ,       2
23085.3  ,       5
23109.7  ,       5
23134.2  ,       1
23158.6  ,       3
23183.1  ,       6
23207.5  ,       4
23231.9  ,       1
23256.4  ,       4
23280.8  ,       4
23305.2  ,       4
23329.7  ,       3
23354.1  ,       9
23378.6  ,       5
23403.0  ,       6
23427.4  ,       5
23451.9  ,       4
23476.3  ,       4
23500.8  ,       4
23525.2  ,       3
23549.6  ,       9
23574.1  ,       5
23598.5  ,       3
23622.9  ,       4
23647.4  ,       3
23671.8  ,       1
23696.3  ,       6
23720.7  ,       4
23745.1  ,       0
23769.6  ,       7
23794.0  ,       1
23818.4  ,       2
23842.9  ,       1
23867.3  ,       1
23891.8  ,       1
23916.2  ,       2
23940.6  ,       2
23965.1  ,       4
23989.5  ,       4
