"Target: Cumberland_dump_substrate_touch, Contains DAT files: APB_440547441ESC04850240366_______M2.DAT"
10048.0  ,       5
10072.4  ,      11
10096.8  ,       7
10121.2  ,      13
10145.6  ,       6
10170.0  ,       9
10194.4  ,       5
10218.8  ,       6
10243.2  ,       9
10267.6  ,       5
10292.0  ,       4
10316.4  ,       4
10340.8  ,       4
10365.2  ,       5
10389.6  ,       7
10414.0  ,       9
10438.4  ,      11
10462.8  ,       4
10487.2  ,       7
10511.6  ,       3
10536.0  ,      10
10560.4  ,       7
10584.8  ,      14
10609.2  ,       8
10633.6  ,       4
10658.0  ,       9
10682.4  ,       4
10706.9  ,       7
10731.3  ,       7
10755.7  ,       6
10780.1  ,       6
10804.5  ,      12
10828.9  ,      12
10853.3  ,       7
10877.7  ,       7
10902.1  ,       7
10926.5  ,       5
10950.9  ,       6
10975.3  ,       9
10999.7  ,      10
11024.1  ,       4
11048.5  ,       6
11072.9  ,       3
11097.3  ,       8
11121.7  ,       3
11146.1  ,       8
11170.5  ,       8
11194.9  ,       8
11219.3  ,       7
11243.7  ,      10
11268.1  ,       7
11292.5  ,      10
11316.9  ,       8
11341.3  ,       8
11365.7  ,       7
11390.1  ,       9
11414.5  ,       9
11438.9  ,       9
11463.3  ,      11
11487.7  ,       8
11512.1  ,      13
11536.5  ,      11
11560.9  ,      13
11585.3  ,       7
11609.7  ,       7
11634.1  ,       9
11658.5  ,      14
11682.9  ,      15
11707.3  ,       9
11731.7  ,       7
11756.1  ,      12
11780.5  ,      13
11804.9  ,       6
11829.3  ,      12
11853.7  ,      19
11878.1  ,      16
11902.5  ,      14
11926.9  ,      15
11951.3  ,      16
11975.7  ,      14
12000.1  ,      18
12024.5  ,      17
12048.9  ,      18
12073.3  ,      18
12097.7  ,      21
12122.1  ,      17
12146.5  ,      24
12170.9  ,      19
12195.3  ,      22
12219.7  ,      17
12244.1  ,      16
12268.5  ,      11
12292.9  ,       6
12317.3  ,      10
12341.7  ,       9
12366.1  ,       5
12390.5  ,       7
12414.9  ,       5
12439.3  ,      10
12463.7  ,       8
12488.1  ,      11
12512.5  ,      20
12536.9  ,      15
12561.3  ,      17
12585.7  ,       9
12610.1  ,      10
12634.5  ,      11
12658.9  ,      15
12683.3  ,      12
12707.7  ,      14
12732.1  ,      22
12756.5  ,      12
12780.9  ,      11
12805.3  ,      15
