"Target: Morrison_DRT_raster3, Contains DAT files: APB_466229570ESC07740421020_______M1.DAT"
11440.9  ,      17
11465.3  ,      13
11489.7  ,      25
11514.1  ,      11
11538.5  ,      15
11562.9  ,      16
11587.3  ,      18
11611.7  ,      23
11636.1  ,      17
11660.5  ,      25
11684.9  ,      22
11709.3  ,      13
11733.7  ,      22
11758.1  ,      27
11782.5  ,      27
11806.9  ,      31
11831.3  ,      18
11855.7  ,      29
11880.1  ,      26
11904.5  ,      37
11928.9  ,      38
11953.3  ,      31
11977.7  ,      37
12002.1  ,      28
12026.5  ,      27
12050.9  ,      27
12075.3  ,      30
12099.7  ,      30
12124.1  ,      33
12148.5  ,      35
12172.9  ,      42
12197.3  ,      22
12221.7  ,      20
12246.1  ,      23
12270.5  ,      16
12294.9  ,      15
12319.3  ,      13
12343.7  ,      15
12368.1  ,      23
12392.5  ,      20
12416.9  ,      12
12441.3  ,      14
12465.8  ,      14
12490.2  ,      21
12514.6  ,      23
12539.0  ,      25
12563.4  ,      17
12587.8  ,      25
12612.2  ,      22
12636.6  ,      32
12661.0  ,      21
12685.4  ,      34
12709.8  ,      28
12734.2  ,      21
12758.6  ,      26
12783.0  ,      30
12807.4  ,      26
12831.8  ,      34
12856.2  ,      26
12880.6  ,      33
12905.0  ,      29
12929.4  ,      28
12953.8  ,      37
12978.2  ,      33
13002.6  ,      42
13027.0  ,      31
13051.4  ,      52
13075.8  ,      52
13100.2  ,      52
13124.6  ,      57
13149.0  ,      59
13173.4  ,      65
13197.8  ,      74
13222.2  ,      95
13246.6  ,      93
13271.0  ,     106
13295.4  ,     112
13319.8  ,     141
13344.2  ,     153
13368.6  ,     173
13393.0  ,     163
13417.4  ,     164
13441.8  ,     182
13466.2  ,     177
13490.7  ,     180
13515.1  ,     143
13539.5  ,     157
13563.9  ,     163
13588.3  ,     188
13612.7  ,     152
13637.1  ,     157
13661.5  ,     148
13685.9  ,     140
13710.3  ,     131
13734.7  ,     141
13759.1  ,     113
13783.5  ,      92
13807.9  ,      81
13832.3  ,      67
13856.7  ,      75
13881.1  ,      64
13905.5  ,      57
13929.9  ,      70
13954.3  ,      61
13978.7  ,      79
14003.1  ,      73
14027.5  ,     101
14051.9  ,     109
14076.3  ,      93
14100.7  ,     143
14125.1  ,     144
14149.5  ,     212
14173.9  ,     214
14198.3  ,     248
14222.7  ,     238
14247.1  ,     273
14271.5  ,     286
14295.9  ,     268
14320.3  ,     241
14344.7  ,     229
14369.1  ,     149
14393.5  ,     136
14417.9  ,      79
14442.3  ,      62
14466.7  ,      38
14491.1  ,      30
14515.5  ,      21
14540.0  ,      20
14564.4  ,      20
14588.8  ,      17
14613.2  ,      12
14637.6  ,      16
14662.0  ,      12
14686.4  ,      16
14710.8  ,      15
14735.2  ,      16
14759.6  ,      15
14784.0  ,      20
14808.4  ,      12
14832.8  ,      23
14857.2  ,      18
14881.6  ,      25
14906.0  ,      18
14930.4  ,      16
14954.8  ,      17
14979.2  ,      29
15003.6  ,      23
15028.0  ,      21
15052.4  ,      21
15076.8  ,      20
15101.2  ,      16
15125.6  ,      25
15150.0  ,      25
15174.4  ,      27
15198.8  ,      29
15223.2  ,      15
15247.6  ,      28
15272.0  ,      25
15296.4  ,      31
15320.8  ,      27
15345.2  ,      37
15369.6  ,      34
15394.0  ,      33
15418.4  ,      44
15442.8  ,      39
15467.2  ,      39
15491.6  ,      62
15516.0  ,      64
15540.4  ,      78
15564.8  ,     108
15589.3  ,     132
15613.7  ,     187
15638.1  ,     195
15662.5  ,     204
15686.9  ,     248
15711.3  ,     276
15735.7  ,     286
15760.1  ,     312
15784.5  ,     261
15808.9  ,     262
15833.3  ,     219
15857.7  ,     163
15882.1  ,     145
15906.5  ,     121
15930.9  ,     114
15955.3  ,      93
15979.7  ,      72
16004.1  ,      79
16028.5  ,      69
16052.9  ,      62
16077.3  ,      58
16101.7  ,      83
16126.1  ,      81
16150.5  ,      69
16174.9  ,      72
16199.3  ,      74
16223.7  ,      99
16248.1  ,     108
16272.5  ,      84
16296.9  ,      95
16321.3  ,      93
16345.7  ,      86
16370.1  ,      72
16394.5  ,      91
16418.9  ,      74
16443.3  ,      83
16467.7  ,      88
16492.1  ,      96
16516.5  ,      87
16540.9  ,     101
16565.3  ,      85
16589.7  ,      81
16614.2  ,      96
16638.6  ,      86
16663.0  ,     100
16687.4  ,      98
16711.8  ,      96
16736.2  ,     115
16760.6  ,     125
16785.0  ,     148
16809.4  ,     140
16833.8  ,     148
16858.2  ,     181
16882.6  ,     165
16907.0  ,     172
16931.4  ,     198
16955.8  ,     178
16980.2  ,     216
17004.6  ,     189
17029.0  ,     210
17053.4  ,     246
17077.8  ,     224
17102.2  ,     227
17126.6  ,     253
17151.0  ,     224
17175.4  ,     250
17199.8  ,     255
17224.2  ,     253
17248.6  ,     252
17273.0  ,     208
17297.4  ,     222
17321.8  ,     188
17346.2  ,     201
17370.6  ,     160
17395.0  ,     156
17419.4  ,     127
17443.8  ,     126
17468.2  ,     134
17492.6  ,     114
17517.0  ,      92
17541.4  ,     108
17565.8  ,     100
17590.2  ,      96
17614.6  ,      97
17639.0  ,      88
17663.5  ,      99
17687.9  ,      73
17712.3  ,      78
17736.7  ,      85
17761.1  ,      71
17785.5  ,      46
17809.9  ,      51
17834.3  ,      51
17858.7  ,      60
17883.1  ,      36
17907.5  ,      41
17931.9  ,      45
17956.3  ,      43
17980.7  ,      43
18005.1  ,      54
18029.5  ,      48
18053.9  ,      49
18078.3  ,      74
18102.7  ,      76
18127.1  ,      75
18151.5  ,      97
18175.9  ,     125
18200.3  ,     145
18224.7  ,     170
18249.1  ,     212
18273.5  ,     210
18297.9  ,     223
18322.3  ,     215
18346.7  ,     172
18371.1  ,     156
18395.5  ,     112
18419.9  ,     109
18444.3  ,      70
18468.7  ,      48
18493.1  ,      28
18517.5  ,      32
18541.9  ,      14
18566.3  ,      19
18590.7  ,      15
18615.1  ,      13
18639.5  ,      13
18663.9  ,      12
18688.3  ,      14
18712.8  ,      11
18737.2  ,       7
18761.6  ,      13
18786.0  ,      11
18810.4  ,      16
18834.8  ,      15
18859.2  ,      13
18883.6  ,      15
18908.0  ,      17
18932.4  ,      20
18956.8  ,      16
18981.2  ,      13
19005.6  ,      20
19030.0  ,      17
19054.4  ,      19
19078.8  ,      18
19103.2  ,      16
19127.6  ,      19
19152.0  ,      21
19176.4  ,      26
19200.8  ,      27
19225.2  ,      19
19249.6  ,      21
19274.0  ,      21
19298.4  ,      21
19322.8  ,      28
19347.2  ,      25
19371.6  ,      32
19396.0  ,      29
19420.4  ,      32
19444.8  ,      30
19469.2  ,      35
19493.6  ,      34
19518.0  ,      42
19542.4  ,      46
19566.8  ,      39
19591.2  ,      45
19615.6  ,      43
19640.0  ,      48
19664.4  ,      47
19688.8  ,      50
19713.2  ,      37
19737.7  ,      58
19762.1  ,      55
19786.5  ,      61
19810.9  ,      59
19835.3  ,      52
19859.7  ,      51
19884.1  ,      55
19908.5  ,      48
19932.9  ,      50
19957.3  ,      54
19981.7  ,      57
20006.1  ,      58
20030.5  ,      37
20054.9  ,      47
20079.3  ,      39
20103.7  ,      44
20128.1  ,      32
20152.5  ,      45
20176.9  ,      34
20201.3  ,      35
20225.7  ,      34
20250.1  ,      26
20274.5  ,      50
20298.9  ,      24
20323.3  ,      30
20347.7  ,      31
20372.1  ,      29
20396.5  ,      34
20420.9  ,      30
20445.3  ,      25
20469.7  ,      36
20494.1  ,      30
20518.5  ,      24
20542.9  ,      31
20567.3  ,      23
20591.7  ,      24
20616.1  ,      17
20640.5  ,      22
20664.9  ,      23
20689.3  ,      20
20713.7  ,      26
20738.1  ,      18
20762.5  ,      14
20787.0  ,      15
20811.4  ,      12
20835.8  ,      19
20860.2  ,      14
20884.6  ,      22
20909.0  ,      15
20933.4  ,      11
20957.8  ,      11
20982.2  ,      14
21006.6  ,      10
21031.0  ,      10
21055.4  ,       4
21079.8  ,      13
21104.2  ,      15
21128.6  ,      10
21153.0  ,      20
21177.4  ,       9
21201.8  ,      12
21226.2  ,      13
21250.6  ,      10
21275.0  ,      20
21299.4  ,      25
21323.8  ,      36
21348.2  ,      38
21372.6  ,      34
21397.0  ,      43
21421.4  ,      44
21445.8  ,      43
21470.2  ,      38
21494.6  ,      29
21519.0  ,      23
21543.4  ,      30
21567.8  ,      25
21592.2  ,      14
21616.6  ,      19
21641.0  ,       7
21665.4  ,      12
21689.8  ,       6
21714.2  ,       9
21738.6  ,       4
21763.0  ,       8
21787.4  ,       7
21811.9  ,       7
21836.3  ,       5
21860.7  ,       7
21885.1  ,       6
21909.5  ,       4
21933.9  ,       3
21958.3  ,       7
21982.7  ,      10
22007.1  ,       9
22031.5  ,      12
22055.9  ,       8
22080.3  ,      12
22104.7  ,      11
22129.1  ,      11
22153.5  ,       9
22177.9  ,      12
22202.3  ,      16
22226.7  ,       7
22251.1  ,       9
22275.5  ,       9
22299.9  ,      12
22324.3  ,       9
22348.7  ,       5
22373.1  ,       6
22397.5  ,       3
22421.9  ,       6
22446.3  ,       4
22470.7  ,       5
22495.1  ,       3
22519.5  ,       1
22543.9  ,       3
22568.3  ,       2
22592.7  ,       5
22617.1  ,       6
22641.5  ,       3
22665.9  ,       7
22690.3  ,       4
22714.7  ,       5
22739.1  ,       6
22763.5  ,       2
22787.9  ,       5
22812.3  ,       9
22836.7  ,       2
22861.2  ,       4
22885.6  ,       4
22910.0  ,       6
22934.4  ,       6
22958.8  ,       9
22983.2  ,       9
23007.6  ,       3
23032.0  ,       2
23056.4  ,       4
23080.8  ,       5
23105.2  ,       7
23129.6  ,       3
23154.0  ,       4
23178.4  ,       2
23202.8  ,       4
23227.2  ,       5
23251.6  ,       4
23276.0  ,       1
23300.4  ,       5
23324.8  ,       6
23349.2  ,       4
23373.6  ,       6
23398.0  ,       1
23422.4  ,       3
23446.8  ,       3
23471.2  ,       3
23495.6  ,       3
23520.0  ,       5
23544.4  ,       4
23568.8  ,       3
23593.2  ,       4
23617.6  ,       2
23642.0  ,       6
23666.4  ,       4
23690.8  ,       3
23715.2  ,       4
23739.6  ,       6
23764.0  ,       6
23788.4  ,       3
23812.8  ,       5
23837.2  ,       4
23861.6  ,       3
23886.0  ,       5
23910.5  ,       1
23934.9  ,       2
23959.3  ,       1
23983.7  ,       4
24008.1  ,       6
24032.5  ,       2
24056.9  ,       3
24081.3  ,       3
24105.7  ,       2
24130.1  ,       3
24154.5  ,       4
24178.9  ,       5
24203.3  ,       4
24227.7  ,       1
24252.1  ,       5
24276.5  ,       7
24300.9  ,       4
24325.3  ,       6
24349.7  ,       5
24374.1  ,       1
24398.5  ,       3
24422.9  ,       3
24447.3  ,       8
24471.7  ,       7
24496.1  ,       2
24520.5  ,       4
24544.9  ,       1
24569.3  ,       3
24593.7  ,       6
24618.1  ,       4
24642.5  ,       3
24666.9  ,       2
24691.3  ,       1
24715.7  ,       3
24740.1  ,       6
24764.5  ,       1
24788.9  ,       5
24813.3  ,       2
24837.7  ,       2
24862.1  ,       2
24886.5  ,       7
24910.9  ,       4
24935.4  ,       3
24959.8  ,       4
24984.2  ,       7
25008.6  ,       8
25033.0  ,       2
25057.4  ,       3
25081.8  ,       4
25106.2  ,       4
25130.6  ,       4
25155.0  ,       3
25179.4  ,       4
25203.8  ,       2
25228.2  ,       8
25252.6  ,       7
25277.0  ,       8
25301.4  ,       8
25325.8  ,       8
25350.2  ,       5
25374.6  ,       6
25399.0  ,       8
25423.4  ,       4
25447.8  ,   11738
