"Target: Flaherty, Contains DAT files: APA_408992063ESC01300051576_______M2.DAT"
12455.6  ,     428
12480.0  ,     476
12504.4  ,     469
12528.9  ,     468
12553.3  ,     490
12577.7  ,     509
12602.1  ,     534
12626.6  ,     533
12651.0  ,     546
12675.4  ,     548
12699.8  ,     562
12724.3  ,     561
12748.7  ,     597
12773.1  ,     616
12797.5  ,     625
12822.0  ,     650
12846.4  ,     668
12870.8  ,     687
12895.2  ,     722
12919.7  ,     791
12944.1  ,     852
12968.5  ,     939
12992.9  ,     937
13017.4  ,    1036
13041.8  ,    1141
13066.2  ,    1222
13090.7  ,    1336
13115.1  ,    1390
13139.5  ,    1554
13163.9  ,    1706
13188.4  ,    1974
13212.8  ,    2173
13237.2  ,    2459
13261.6  ,    2777
13286.1  ,    2921
13310.5  ,    3197
13334.9  ,    3554
13359.3  ,    3756
13383.8  ,    3900
13408.2  ,    4117
13432.6  ,    4240
13457.0  ,    4290
13481.5  ,    4539
13505.9  ,    4521
13530.3  ,    4640
13554.7  ,    4656
13579.2  ,    4562
13603.6  ,    4443
13628.0  ,    4398
13652.4  ,    4053
13676.9  ,    3868
13701.3  ,    3489
13725.7  ,    3289
13750.1  ,    3002
13774.6  ,    2587
13799.0  ,    2410
13823.4  ,    2203
13847.9  ,    2017
13872.3  ,    1825
13896.7  ,    1748
13921.1  ,    1711
13945.6  ,    1680
13970.0  ,    1784
13994.4  ,    1923
14018.8  ,    2180
14043.3  ,    2442
14067.7  ,    2713
14092.1  ,    3128
14116.5  ,    3785
14141.0  ,    4415
14165.4  ,    5295
14189.8  ,    5939
14214.2  ,    6907
14238.7  ,    7730
14263.1  ,    7888
14287.5  ,    7818
14311.9  ,    7358
14336.4  ,    6469
14360.8  ,    5249
14385.2  ,    4035
14409.6  ,    2911
14434.1  ,    1986
14458.5  ,    1376
14482.9  ,     909
14507.3  ,     670
14531.8  ,     543
14556.2  ,     396
14580.6  ,     442
14605.0  ,     338
14629.5  ,     351
14653.9  ,     370
14678.3  ,     383
14702.8  ,     347
14727.2  ,     383
14751.6  ,     428
14776.0  ,     416
14800.5  ,     415
14824.9  ,     513
14849.3  ,     500
14873.7  ,     553
14898.2  ,     521
14922.6  ,     573
14947.0  ,     601
14971.4  ,     567
14995.9  ,     565
15020.3  ,     590
15044.7  ,     552
15069.1  ,     546
15093.6  ,     543
15118.0  ,     538
15142.4  ,     532
15166.8  ,     535
15191.3  ,     600
15215.7  ,     641
15240.1  ,     622
15264.5  ,     613
15289.0  ,     725
15313.4  ,     681
15337.8  ,     743
15362.2  ,     723
15386.7  ,     811
15411.1  ,     798
15435.5  ,     850
15459.9  ,     973
15484.4  ,    1084
15508.8  ,    1284
